Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 17, 2022",271,"45,679",,
"Sep 18, 2022",305,"46,276",,
"Sep 19, 2022",337,"46,828",,
"Sep 20, 2022",367,"54,986",,
"Sep 21, 2022",397,"55,432",,
"Sep 22, 2022",420,"55,730",,
"Sep 23, 2022",443,"55,445",,
"Sep 24, 2022",459,"53,286",,
"Sep 25, 2022",468,"41,461",,
"Sep 26, 2022",481,"41,586",,
"Sep 27, 2022",489,"41,713",,
"Sep 28, 2022",493,"41,788",,
"Sep 29, 2022",498,"42,379",,
"Sep 30, 2022",501,"43,281",,
"Oct 01, 2022",503,"41,377",,
"Oct 02, 2022",504,"38,607",,
"Oct 03, 2022",507,"38,640",,
"Oct 04, 2022",505,"38,698",,
"Oct 05, 2022",509,"38,859",,
"Oct 06, 2022",510,"38,924",,
"Oct 07, 2022",513,"39,022",,
"Oct 08, 2022",513,"33,099",,
"Oct 09, 2022",511,"33,034",,
"Oct 10, 2022",517,"40,110",,
"Oct 11, 2022",519,"40,206",,
"Oct 12, 2022",521,"40,073",,
"Oct 13, 2022",522,"40,140",,
"Oct 14, 2022",527,"35,068",,
"Oct 15, 2022",532,"35,094",,
"Oct 16, 2022",534,"35,141",,
"Oct 17, 2022",538,"35,202",,
"Oct 18, 2022",538,"35,230",,
"Oct 19, 2022",540,"35,283",,
"Oct 20, 2022",542,"35,365",,
"Oct 21, 2022",543,"35,404",,
"Oct 22, 2022",541,"35,611",,
"Oct 23, 2022",542,"35,737",,
"Oct 24, 2022",542,"35,801",,
"Oct 25, 2022",544,"35,859",,
"Oct 26, 2022",543,"35,924",,
"Oct 27, 2022",544,"35,982",,
"Oct 28, 2022",547,"36,027",,
"Oct 29, 2022",548,"36,144",,
"Oct 30, 2022",547,"36,164",,
"Oct 31, 2022",548,"36,197",,
"Nov 01, 2022",547,"36,231",,
"Nov 02, 2022",547,"35,284",,
"Nov 03, 2022",549,"35,479",,
"Nov 04, 2022",549,"35,518",,
"Nov 05, 2022",549,"35,555",,
"Nov 06, 2022",549,"35,580",,
"Nov 07, 2022",548,"35,568",,
"Nov 08, 2022",548,"35,590",,
"Nov 09, 2022",548,"35,613",,
"Nov 10, 2022",550,"35,674",,
"Nov 11, 2022",547,"35,661",,
"Nov 12, 2022",547,"35,678",,
"Nov 13, 2022",546,"35,693",,
"Nov 14, 2022",547,"35,720",,
"Nov 15, 2022",547,"35,737",,
"Nov 16, 2022",547,"35,747",,
"Nov 17, 2022",547,"35,762",,
"Nov 18, 2022",535,"35,414",,
"Nov 19, 2022",535,"35,423",,
"Nov 20, 2022",535,"35,473",,
"Nov 21, 2022",540,"35,600",,
"Nov 22, 2022",545,"35,858",,
"Nov 23, 2022",544,"35,606",,
"Nov 24, 2022",545,"35,677",,
"Nov 25, 2022",547,"35,729",,
"Nov 26, 2022",545,"35,732",,
"Nov 27, 2022",544,"35,318",,
"Nov 28, 2022",543,"35,317",,
"Nov 29, 2022",544,"35,754",,
"Nov 30, 2022",545,"35,784",,
"Dec 01, 2022",546,"35,833",,
"Dec 02, 2022",544,"35,855",,
"Dec 03, 2022",533,"35,425",,
"Dec 04, 2022",531,"35,418",,
"Dec 05, 2022",522,"34,004",,
"Dec 06, 2022",520,"35,643",,
"Dec 07, 2022",505,"35,350",,
"Dec 08, 2022",501,"34,841",,
"Dec 09, 2022",497,"34,834",,
"Dec 10, 2022",498,"34,924",,
"Dec 11, 2022",494,"31,008",,
"Dec 12, 2022",494,"32,720",,
"Dec 13, 2022",495,"32,566",,
"Dec 14, 2022",497,"32,848",,
"Dec 15, 2022",497,"31,201",,
"Dec 16, 2022",498,"33,491",,
"Dec 17, 2022",496,"29,841",,
"Dec 18, 2022",498,"31,802",,
"Dec 19, 2022",502,"33,831",,
"Dec 20, 2022",499,"29,837",,
"Dec 21, 2022",505,"31,690",,
"Dec 22, 2022",506,"34,799",,
"Dec 23, 2022",502,"33,401",,
"Dec 24, 2022",489,"29,624",,
"Dec 25, 2022",483,"30,929",,
"Dec 26, 2022",472,"30,548",,
"Dec 27, 2022",471,"34,873",,
"Dec 28, 2022",458,"28,221",,
"Dec 29, 2022",451,"32,835",,
"Dec 30, 2022",447,"34,217",,
"Dec 31, 2022",436,"26,955",,
"Jan 01, 2023",433,"27,197",,
"Jan 02, 2023",433,"33,164",,
"Jan 03, 2023",428,"35,787",,
"Jan 04, 2023",416,"25,498",,
"Jan 05, 2023",411,"23,224",,
"Jan 06, 2023",400,"19,538",,
"Jan 07, 2023",400,"19,538",,
"Jan 08, 2023",400,"19,538",,
"Jan 09, 2023",400,"19,541",,
"Jan 10, 2023",409,"31,845",,
"Jan 11, 2023",415,"35,731",,
"Jan 12, 2023",418,"35,881",,
"Jan 13, 2023",420,"37,482",,
"Jan 14, 2023",420,"37,490",,
"Jan 15, 2023",424,"38,419",,
"Jan 16, 2023",650,"42,408",,
"Jan 17, 2023",650,"42,445",,
"Jan 18, 2023",650,"42,475",,
"Jan 19, 2023",650,"42,502",,
"Jan 20, 2023",650,"42,529",,
"Jan 21, 2023",651,"42,545",,
"Jan 22, 2023",651,"42,598",,
"Jan 23, 2023",651,"42,624",,
"Jan 24, 2023",651,"42,645",,
"Jan 25, 2023",652,"42,681",,
"Jan 26, 2023",653,"42,710",,
"Jan 27, 2023",652,"42,737",,
"Jan 28, 2023",652,"42,801",,
"Jan 29, 2023",653,"42,865",,
"Jan 30, 2023",655,"42,949",,
"Jan 31, 2023",656,"43,016",,
"Feb 01, 2023",656,"43,040",,
"Feb 02, 2023",658,"43,107",,
"Feb 03, 2023",659,"43,122",,
"Feb 04, 2023",660,"43,153",,
"Feb 05, 2023",659,"43,160",,
"Feb 06, 2023",659,"43,173",,
"Feb 07, 2023",659,"43,194",,
"Feb 08, 2023",659,"43,206",,
"Feb 09, 2023",662,"43,276",,
"Feb 10, 2023",662,"43,305",,
"Feb 11, 2023",662,"43,339",,
"Feb 12, 2023",663,"44,421",,
"Feb 13, 2023",664,"44,474",,
"Feb 14, 2023",664,"44,546",,
"Feb 15, 2023",664,"44,591",,
"Feb 16, 2023",665,"44,626",,
"Feb 17, 2023",665,"44,684",,
"Feb 18, 2023",665,"44,709",,
"Feb 19, 2023",665,"44,727",,
"Feb 20, 2023",664,"44,779",,
"Feb 21, 2023",663,"44,808",,
"Feb 22, 2023",662,"44,856",,
"Feb 23, 2023",662,"44,900",,
"Feb 24, 2023",662,"44,925",,
"Feb 25, 2023",663,"44,941",,
"Feb 26, 2023",662,"44,966",,
"Feb 27, 2023",662,"44,986",,
"Mar 01, 2023",662,"45,040",,
"Mar 02, 2023",664,"45,121",,
"Mar 03, 2023",665,"45,146",,
"Mar 04, 2023",666,"45,181",,
