"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",809580,935
"2023-05-14 00:00:00",808645,1007
"2023-05-13 00:00:00",807638,1007
"2023-05-12 00:00:00",806631,1040
"2023-05-11 00:00:00",805592,1040
"2023-05-10 00:00:00",804552,934
"2023-05-09 00:00:00",803618,911
"2023-05-08 00:00:00",802707,0
"2023-05-07 00:00:00",802707,1697
"2023-05-06 00:00:00",801011,1697
"2023-05-05 00:00:00",799314,1096
"2023-05-04 00:00:00",798218,0
"2023-05-03 00:00:00",798218,1997
"2023-05-02 00:00:00",796221,0
"2023-05-01 00:00:00",796221,899
"2023-04-30 00:00:00",795322,1968
"2023-04-29 00:00:00",793354,944
"2023-04-28 00:00:00",792410,0
"2023-04-27 00:00:00",792410,2085
"2023-04-26 00:00:00",790325,930
"2023-04-25 00:00:00",789395,829
"2023-04-24 00:00:00",788566,0
"2023-04-23 00:00:00",788566,1599
"2023-04-22 00:00:00",786967,1599
"2023-04-21 00:00:00",785368,1099
"2023-04-20 00:00:00",784270,1099
"2023-04-19 00:00:00",783171,1024
"2023-04-18 00:00:00",782147,917
"2023-04-17 00:00:00",781230,1036
"2023-04-16 00:00:00",780194,1152
"2023-04-15 00:00:00",779042,1139
"2023-04-14 00:00:00",777903,1101
"2023-04-13 00:00:00",776802,1184
"2023-04-12 00:00:00",775618,1107
"2023-04-11 00:00:00",774511,961
"2023-04-10 00:00:00",773550,1060
"2023-04-09 00:00:00",772490,1199
"2023-04-08 00:00:00",771291,1314
"2023-04-07 00:00:00",769977,1199
"2023-04-06 00:00:00",768778,1227
"2023-04-05 00:00:00",767551,0
"2023-04-04 00:00:00",767551,2201
"2023-04-03 00:00:00",765350,1126
"2023-04-02 00:00:00",764224,1217
"2023-04-01 00:00:00",763007,0
"2023-03-31 00:00:00",763007,2620
"2023-03-30 00:00:00",760387,1305
"2023-03-29 00:00:00",759082,1134
"2023-03-28 00:00:00",757948,1126
"2023-03-27 00:00:00",756822,1382
"2023-03-26 00:00:00",755440,1306
"2023-03-25 00:00:00",754134,1404
"2023-03-24 00:00:00",752730,1543
"2023-03-23 00:00:00",751187,1437
"2023-03-22 00:00:00",749750,1411
"2023-03-21 00:00:00",748339,0
"2023-03-20 00:00:00",748339,2423
"2023-03-19 00:00:00",745916,1555
"2023-03-18 00:00:00",744361,1754
"2023-03-17 00:00:00",742607,1632
"2023-03-16 00:00:00",740975,1597
"2023-03-15 00:00:00",739378,1391
"2023-03-14 00:00:00",737987,0
"2023-03-13 00:00:00",737987,2668
"2023-03-12 00:00:00",735319,0
"2023-03-11 00:00:00",735319,3214
"2023-03-10 00:00:00",732105,1751
"2023-03-09 00:00:00",730354,1634
"2023-03-08 00:00:00",728720,1560
"2023-03-07 00:00:00",727160,1261
"2023-03-06 00:00:00",725899,1385
"2023-03-05 00:00:00",724514,1600
"2023-03-04 00:00:00",722914,1536
"2023-03-03 00:00:00",721378,0
"2023-03-02 00:00:00",721378,3067
"2023-03-01 00:00:00",718311,1464
"2023-02-28 00:00:00",716847,1203
"2023-02-27 00:00:00",715644,0
"2023-02-26 00:00:00",715644,2685
"2023-02-25 00:00:00",712959,1410
"2023-02-24 00:00:00",711549,1316
"2023-02-23 00:00:00",710233,1426
"2023-02-22 00:00:00",708807,1330
"2023-02-21 00:00:00",707477,0
"2023-02-20 00:00:00",707477,2608
"2023-02-19 00:00:00",704869,1529
"2023-02-18 00:00:00",703340,0
"2023-02-17 00:00:00",703340,3090
"2023-02-16 00:00:00",700250,1514
"2023-02-15 00:00:00",698736,1377
"2023-02-14 00:00:00",697359,1314
"2023-02-13 00:00:00",696045,1482
"2023-02-12 00:00:00",694563,1601
"2023-02-11 00:00:00",692962,0
"2023-02-10 00:00:00",692962,3034
"2023-02-09 00:00:00",689928,1588
"2023-02-08 00:00:00",688340,0
"2023-02-07 00:00:00",688340,2740
