"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",939098,1326
"2023-05-14 00:00:00",937772,1484
"2023-05-13 00:00:00",936288,1484
"2023-05-12 00:00:00",934804,1475
"2023-05-11 00:00:00",933330,1475
"2023-05-10 00:00:00",931855,1490
"2023-05-09 00:00:00",930365,1236
"2023-05-08 00:00:00",929129,0
"2023-05-07 00:00:00",929129,2358
"2023-05-06 00:00:00",926771,2358
"2023-05-05 00:00:00",924413,1651
"2023-05-04 00:00:00",922762,0
"2023-05-03 00:00:00",922762,2922
"2023-05-02 00:00:00",919840,0
"2023-05-01 00:00:00",919840,1266
"2023-04-30 00:00:00",918574,2911
"2023-04-29 00:00:00",915663,1526
"2023-04-28 00:00:00",914137,0
"2023-04-27 00:00:00",914137,3189
"2023-04-26 00:00:00",910948,1340
"2023-04-25 00:00:00",909608,1175
"2023-04-24 00:00:00",908433,0
"2023-04-23 00:00:00",908433,2179
"2023-04-22 00:00:00",906255,2179
"2023-04-21 00:00:00",904076,1478
"2023-04-20 00:00:00",902598,1478
"2023-04-19 00:00:00",901120,1461
"2023-04-18 00:00:00",899659,1432
"2023-04-17 00:00:00",898227,1542
"2023-04-16 00:00:00",896685,1675
"2023-04-15 00:00:00",895010,1621
"2023-04-14 00:00:00",893389,1566
"2023-04-13 00:00:00",891823,1607
"2023-04-12 00:00:00",890216,1495
"2023-04-11 00:00:00",888721,1296
"2023-04-10 00:00:00",887425,1457
"2023-04-09 00:00:00",885968,1571
"2023-04-08 00:00:00",884397,1667
"2023-04-07 00:00:00",882730,1640
"2023-04-06 00:00:00",881090,1571
"2023-04-05 00:00:00",879519,0
"2023-04-04 00:00:00",879519,2867
"2023-04-03 00:00:00",876652,1520
"2023-04-02 00:00:00",875132,1692
"2023-04-01 00:00:00",873440,0
"2023-03-31 00:00:00",873440,3369
"2023-03-30 00:00:00",870071,1652
"2023-03-29 00:00:00",868419,1626
"2023-03-28 00:00:00",866793,1442
"2023-03-27 00:00:00",865351,1627
"2023-03-26 00:00:00",863724,1698
"2023-03-25 00:00:00",862026,1800
"2023-03-24 00:00:00",860226,1822
"2023-03-23 00:00:00",858404,1803
"2023-03-22 00:00:00",856601,1731
"2023-03-21 00:00:00",854870,0
"2023-03-20 00:00:00",854870,3239
"2023-03-19 00:00:00",851631,1869
"2023-03-18 00:00:00",849762,2066
"2023-03-17 00:00:00",847696,2101
"2023-03-16 00:00:00",845595,2129
"2023-03-15 00:00:00",843466,1999
"2023-03-14 00:00:00",841467,0
"2023-03-13 00:00:00",841467,3724
"2023-03-12 00:00:00",837743,0
"2023-03-11 00:00:00",837743,4225
"2023-03-10 00:00:00",833518,2545
"2023-03-09 00:00:00",830973,1984
"2023-03-08 00:00:00",828989,1869
"2023-03-07 00:00:00",827120,1702
"2023-03-06 00:00:00",825418,1803
"2023-03-05 00:00:00",823615,2067
"2023-03-04 00:00:00",821548,2200
"2023-03-03 00:00:00",819348,0
"2023-03-02 00:00:00",819348,4086
"2023-03-01 00:00:00",815262,1969
"2023-02-28 00:00:00",813293,1655
"2023-02-27 00:00:00",811638,0
"2023-02-26 00:00:00",811638,3884
"2023-02-25 00:00:00",807754,1922
"2023-02-24 00:00:00",805832,1826
"2023-02-23 00:00:00",804006,1880
"2023-02-22 00:00:00",802126,1797
"2023-02-21 00:00:00",800329,0
"2023-02-20 00:00:00",800329,3478
"2023-02-19 00:00:00",796851,2103
"2023-02-18 00:00:00",794748,0
"2023-02-17 00:00:00",794748,4381
"2023-02-16 00:00:00",790367,2100
"2023-02-15 00:00:00",788267,1947
"2023-02-14 00:00:00",786320,1775
"2023-02-13 00:00:00",784545,1982
"2023-02-12 00:00:00",782563,2263
"2023-02-11 00:00:00",780300,0
"2023-02-10 00:00:00",780300,4175
"2023-02-09 00:00:00",776125,2166
"2023-02-08 00:00:00",773959,0
"2023-02-07 00:00:00",773959,3845
"2023-02-06 00:00:00",770114,1975
"2023-02-05 00:00:00",768139,2264
"2023-02-04 00:00:00",765875,2504
"2023-02-03 00:00:00",763371,2320
"2023-02-02 00:00:00",761051,2254
"2023-02-01 00:00:00",758797,2219
"2023-01-31 00:00:00",756578,2000
"2023-01-30 00:00:00",754578,2383
"2023-01-29 00:00:00",752195,1250
"2023-01-28 00:00:00",750946,1250
"2023-01-27 00:00:00",749696,4489
"2023-01-26 00:00:00",745207,0
"2023-01-25 00:00:00",745207,4177
"2023-01-24 00:00:00",741030,1668
"2023-01-23 00:00:00",739362,2043
"2023-01-22 00:00:00",737319,2256
"2023-01-21 00:00:00",735063,2376
"2023-01-20 00:00:00",732687,2404
"2023-01-19 00:00:00",730283,2283
"2023-01-18 00:00:00",728000,1991
"2023-01-17 00:00:00",726009,1892
"2023-01-16 00:00:00",724117,2083
"2023-01-15 00:00:00",722034,2394
"2023-01-14 00:00:00",719640,2399
"2023-01-13 00:00:00",717241,2435
"2023-01-12 00:00:00",714806,2527
"2023-01-11 00:00:00",712279,2406
"2023-01-10 00:00:00",709873,1985
"2023-01-09 00:00:00",707888,2257
"2023-01-08 00:00:00",705631,2433
"2023-01-07 00:00:00",703198,2509
"2023-01-06 00:00:00",700689,2356
"2023-01-05 00:00:00",698333,2253
"2023-01-04 00:00:00",696080,2159
"2023-01-03 00:00:00",693921,1910
"2023-01-02 00:00:00",692011,2230
"2023-01-01 00:00:00",689781,2358
"2022-12-31 00:00:00",687423,0
"2022-12-30 00:00:00",687423,4767
"2022-12-29 00:00:00",682656,2194
"2022-12-28 00:00:00",680462,1992
"2022-12-27 00:00:00",678470,1716
"2022-12-26 00:00:00",676754,2090
"2022-12-25 00:00:00",674664,2128
"2022-12-24 00:00:00",672536,2435
"2022-12-23 00:00:00",670101,2464
"2022-12-22 00:00:00",667637,2390
"2022-12-21 00:00:00",665247,2332
"2022-12-20 00:00:00",662915,2074
"2022-12-19 00:00:00",660841,2313
"2022-12-18 00:00:00",658528,2576
"2022-12-17 00:00:00",655952,2529
"2022-12-16 00:00:00",653423,2556
"2022-12-15 00:00:00",650867,2589
"2022-12-14 00:00:00",648278,2413
"2022-12-13 00:00:00",645865,2107
"2022-12-12 00:00:00",643758,2454
"2022-12-11 00:00:00",641304,2678
"2022-12-10 00:00:00",638626,2783
"2022-12-09 00:00:00",635843,2804
"2022-12-08 00:00:00",633039,2759
"2022-12-07 00:00:00",630280,2569
"2022-12-06 00:00:00",627711,2655
"2022-12-05 00:00:00",625056,2655
"2022-12-04 00:00:00",622401,2655
"2022-12-03 00:00:00",619745,2655
"2022-12-02 00:00:00",617090,2655
"2022-12-01 00:00:00",614435,2743
"2022-11-30 00:00:00",611692,2825
"2022-11-29 00:00:00",608867,2372
"2022-11-28 00:00:00",606495,2626
"2022-11-27 00:00:00",603869,2638
"2022-11-26 00:00:00",601231,2768
"2022-11-25 00:00:00",598463,3225
"2022-11-24 00:00:00",595238,3056
"2022-11-23 00:00:00",592182,2858
"2022-11-22 00:00:00",589324,2688
"2022-11-21 00:00:00",586636,2965
"2022-11-20 00:00:00",583671,3199
"2022-11-19 00:00:00",580472,3218
"2022-11-18 00:00:00",577254,3321
"2022-11-17 00:00:00",573933,3394
"2022-11-16 00:00:00",570539,3113
"2022-11-15 00:00:00",567426,2674
"2022-11-14 00:00:00",564752,3135
"2022-11-13 00:00:00",561617,3341
"2022-11-12 00:00:00",558276,3504
"2022-11-11 00:00:00",554772,3529
"2022-11-10 00:00:00",551243,3568
"2022-11-09 00:00:00",547675,3444
"2022-11-08 00:00:00",544231,2884
"2022-11-07 00:00:00",541347,3509
"2022-11-06 00:00:00",537838,3685
"2022-11-05 00:00:00",534153,4252
"2022-11-04 00:00:00",529901,4265
"2022-11-03 00:00:00",525636,4061
"2022-11-02 00:00:00",521575,4060
"2022-11-01 00:00:00",517515,3679
"2022-10-31 00:00:00",513836,4450
"2022-10-30 00:00:00",509386,4850
"2022-10-29 00:00:00",504536,4807
"2022-10-28 00:00:00",499729,4664
"2022-10-27 00:00:00",495065,4817
"2022-10-26 00:00:00",490248,4824
"2022-10-25 00:00:00",485424,4253
"2022-10-24 00:00:00",481171,5007
"2022-10-23 00:00:00",476164,5309
"2022-10-22 00:00:00",470855,5443
"2022-10-21 00:00:00",465412,5575
"2022-10-20 00:00:00",459837,5854
"2022-10-19 00:00:00",453983,5666
"2022-10-18 00:00:00",448317,5138
"2022-10-17 00:00:00",443179,6158
"2022-10-16 00:00:00",437021,6712
"2022-10-15 00:00:00",430309,15632
"2022-10-14 00:00:00",414677,0
"2022-10-13 00:00:00",414677,7288
"2022-10-12 00:00:00",407389,6666
"2022-10-11 00:00:00",400723,6426
"2022-10-10 00:00:00",394297,7930
"2022-10-09 00:00:00",386367,8733
"2022-10-08 00:00:00",377634,9685
"2022-10-07 00:00:00",367949,9316
"2022-10-06 00:00:00",358633,8743
"2022-10-05 00:00:00",349890,8530
"2022-10-04 00:00:00",341360,7681
"2022-10-03 00:00:00",333679,8583
"2022-10-02 00:00:00",325096,9902
"2022-10-01 00:00:00",315194,10945
"2022-09-30 00:00:00",304249,11416
"2022-09-29 00:00:00",292833,13109
"2022-09-28 00:00:00",279725,13109
"2022-09-27 00:00:00",266616,12069
"2022-09-26 00:00:00",254547,15824
"2022-09-25 00:00:00",238723,19849
"2022-09-24 00:00:00",218874,22163
"2022-09-23 00:00:00",196711,52986
"2022-09-22 00:00:00",143725,0
"2022-09-21 00:00:00",143725,29139
"2022-09-20 00:00:00",114586,26938
"2022-09-19 00:00:00",87648,37304
"2022-09-18 00:00:00",50344,0
