Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 17, 2022",320,"57,373",,
"Sep 18, 2022",355,"58,875",,
"Sep 19, 2022",398,"67,005",,
"Sep 20, 2022",437,"130,015",,
"Sep 21, 2022",474,"130,513",,
"Sep 22, 2022",498,"130,994",,
"Sep 23, 2022",514,"131,262",,
"Sep 24, 2022",532,"129,177",,
"Sep 25, 2022",546,"129,550",,
"Sep 26, 2022",562,"130,117",,
"Sep 27, 2022",568,"130,081",,
"Sep 28, 2022",574,"127,456",,
"Sep 29, 2022",579,"126,431",,
"Sep 30, 2022",582,"126,517",,
"Oct 01, 2022",586,"124,886",,
"Oct 02, 2022",587,"108,955",,
"Oct 03, 2022",587,"100,464",,
"Oct 04, 2022",591,"100,575",,
"Oct 05, 2022",596,"106,067",,
"Oct 06, 2022",598,"103,928",,
"Oct 07, 2022",601,"104,030",,
"Oct 08, 2022",602,"103,343",,
"Oct 09, 2022",603,"103,382",,
"Oct 10, 2022",606,"105,126",,
"Oct 11, 2022",610,"105,232",,
"Oct 12, 2022",612,"105,134",,
"Oct 13, 2022",611,"105,214",,
"Oct 14, 2022",619,"105,474",,
"Oct 15, 2022",621,"105,545",,
"Oct 16, 2022",622,"105,617",,
"Oct 17, 2022",625,"105,707",,
"Oct 18, 2022",627,"105,784",,
"Oct 19, 2022",631,"105,855",,
"Oct 20, 2022",632,"105,940",,
"Oct 21, 2022",633,"106,206",,
"Oct 22, 2022",634,"106,284",,
"Oct 23, 2022",634,"106,401",,
"Oct 24, 2022",635,"106,471",,
"Oct 25, 2022",635,"101,111",,
"Oct 26, 2022",636,"101,893",,
"Oct 27, 2022",640,"101,953",,
"Oct 28, 2022",644,"102,058",,
"Oct 29, 2022",645,"102,175",,
"Oct 30, 2022",644,"102,176",,
"Oct 31, 2022",644,"102,217",,
"Nov 01, 2022",645,"102,245",,
"Nov 02, 2022",643,"102,104",,
"Nov 03, 2022",644,"102,285",,
"Nov 04, 2022",645,"102,320",,
"Nov 05, 2022",645,"102,335",,
"Nov 06, 2022",649,"102,405",,
"Nov 07, 2022",649,"102,445",,
"Nov 08, 2022",649,"102,478",,
"Nov 09, 2022",649,"102,502",,
"Nov 10, 2022",652,"102,771",,
"Nov 11, 2022",648,"102,753",,
"Nov 12, 2022",647,"102,767",,
"Nov 13, 2022",646,"102,782",,
"Nov 14, 2022",646,"102,792",,
"Nov 15, 2022",644,"102,807",,
"Nov 16, 2022",644,"102,834",,
"Nov 17, 2022",642,"102,836",,
"Nov 18, 2022",631,"102,753",,
"Nov 19, 2022",630,"102,803",,
"Nov 20, 2022",631,"102,854",,
"Nov 21, 2022",633,"102,895",,
"Nov 22, 2022",636,"102,839",,
"Nov 23, 2022",635,"102,910",,
"Nov 24, 2022",636,"102,971",,
"Nov 25, 2022",638,"103,000",,
"Nov 26, 2022",638,"103,017",,
"Nov 27, 2022",638,"102,611",,
"Nov 28, 2022",642,"102,640",,
"Nov 29, 2022",644,"103,062",,
"Nov 30, 2022",648,"103,115",,
"Dec 01, 2022",647,"103,136",,
"Dec 02, 2022",644,"102,938",,
"Dec 03, 2022",632,"103,479",,
"Dec 04, 2022",631,"97,553",,
"Dec 05, 2022",624,"101,776",,
"Dec 06, 2022",624,"103,410",,
"Dec 07, 2022",612,"103,247",,
"Dec 08, 2022",603,"103,197",,
"Dec 09, 2022",600,"103,191",,
"Dec 10, 2022",601,"104,108",,
"Dec 11, 2022",592,"96,866",,
"Dec 12, 2022",588,"99,568",,
"Dec 13, 2022",593,"94,380",,
"Dec 14, 2022",593,"94,241",,
"Dec 15, 2022",590,"92,173",,
"Dec 16, 2022",595,"91,940",,
"Dec 17, 2022",594,"91,648",,
"Dec 18, 2022",596,"96,610",,
"Dec 19, 2022",598,"98,007",,
"Dec 20, 2022",597,"96,901",,
"Dec 21, 2022",603,"99,376",,
"Dec 22, 2022",602,"99,609",,
"Dec 23, 2022",595,"97,486",,
"Dec 24, 2022",585,"96,638",,
"Dec 25, 2022",574,"87,342",,
"Dec 26, 2022",563,"80,467",,
"Dec 27, 2022",560,"97,047",,
"Dec 28, 2022",546,"95,650",,
"Dec 29, 2022",535,"94,470",,
"Dec 30, 2022",523,"99,609",,
"Dec 31, 2022",516,"99,363",,
"Jan 01, 2023",508,"94,337",,
"Jan 02, 2023",507,"95,427",,
"Jan 03, 2023",499,"95,430",,
"Jan 04, 2023",492,"94,554",,
"Jan 05, 2023",483,"80,918",,
"Jan 06, 2023",470,"79,734",,
"Jan 07, 2023",468,"79,728",,
"Jan 08, 2023",468,"79,728",,
"Jan 09, 2023",468,"79,726",,
"Jan 10, 2023",477,"99,686",,
"Jan 11, 2023",485,"102,854",,
"Jan 12, 2023",491,"103,779",,
"Jan 13, 2023",495,"103,241",,
"Jan 14, 2023",496,"103,486",,
"Jan 15, 2023",500,"103,640",,
"Jan 16, 2023",786,"108,510",,
"Jan 17, 2023",787,"108,581",,
"Jan 18, 2023",790,"108,644",,
"Jan 19, 2023",790,"108,429",,
"Jan 20, 2023",790,"108,462",,
"Jan 21, 2023",791,"108,497",,
"Jan 22, 2023",791,"108,590",,
"Jan 23, 2023",792,"108,687",,
"Jan 24, 2023",792,"108,737",,
"Jan 25, 2023",793,"108,787",,
"Jan 26, 2023",794,"108,838",,
"Jan 27, 2023",794,"108,875",,
"Jan 28, 2023",794,"108,955",,
"Jan 29, 2023",795,"109,016",,
"Jan 30, 2023",795,"109,062",,
"Jan 31, 2023",795,"874,553",,
"Feb 01, 2023",795,"874,514",,
"Feb 02, 2023",792,"874,484",,
"Feb 03, 2023",793,"874,482",,
"Feb 04, 2023",794,"874,501",,
