Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 17, 2022",312,"39,978",,
"Sep 18, 2022",350,"41,779",,
"Sep 19, 2022",383,"42,811",,
"Sep 20, 2022",409,"39,232",,
"Sep 21, 2022",434,"38,185",,
"Sep 22, 2022",463,"38,665",,
"Sep 23, 2022",481,"44,248",,
"Sep 24, 2022",493,"41,964",,
"Sep 25, 2022",498,"42,547",,
"Sep 26, 2022",507,"42,621",,
"Sep 27, 2022",511,"37,492",,
"Sep 28, 2022",514,"37,606",,
"Sep 29, 2022",517,"38,036",,
"Sep 30, 2022",522,"38,924",,
"Oct 01, 2022",525,"38,999",,
"Oct 02, 2022",526,"38,239",,
"Oct 03, 2022",527,"38,299",,
"Oct 04, 2022",527,"38,368",,
"Oct 05, 2022",530,"38,504",,
"Oct 06, 2022",532,"38,560",,
"Oct 07, 2022",534,"38,643",,
"Oct 08, 2022",538,"38,023",,
"Oct 09, 2022",540,"39,372",,
"Oct 10, 2022",543,"41,135",,
"Oct 11, 2022",546,"41,224",,
"Oct 12, 2022",551,"41,279",,
"Oct 13, 2022",552,"40,062",,
"Oct 14, 2022",561,"40,312",,
"Oct 15, 2022",566,"40,371",,
"Oct 16, 2022",567,"40,407",,
"Oct 17, 2022",568,"40,468",,
"Oct 18, 2022",567,"40,516",,
"Oct 19, 2022",569,"40,578",,
"Oct 20, 2022",570,"40,667",,
"Oct 21, 2022",571,"40,749",,
"Oct 22, 2022",571,"40,846",,
"Oct 23, 2022",573,"41,134",,
"Oct 24, 2022",574,"41,201",,
"Oct 25, 2022",577,"41,273",,
"Oct 26, 2022",578,"41,360",,
"Oct 27, 2022",579,"41,418",,
"Oct 28, 2022",579,"41,473",,
"Oct 29, 2022",580,"41,611",,
"Oct 30, 2022",580,"41,664",,
"Oct 31, 2022",582,"41,709",,
"Nov 01, 2022",583,"41,764",,
"Nov 02, 2022",583,"40,826",,
"Nov 03, 2022",585,"41,029",,
"Nov 04, 2022",585,"41,059",,
"Nov 05, 2022",586,"41,083",,
"Nov 06, 2022",586,"41,119",,
"Nov 07, 2022",588,"41,187",,
"Nov 08, 2022",589,"41,224",,
"Nov 09, 2022",591,"41,364",,
"Nov 10, 2022",593,"41,431",,
"Nov 11, 2022",591,"41,423",,
"Nov 12, 2022",592,"41,465",,
"Nov 13, 2022",593,"41,496",,
"Nov 14, 2022",594,"41,514",,
"Nov 15, 2022",594,"41,542",,
"Nov 16, 2022",594,"41,567",,
"Nov 17, 2022",594,"41,590",,
"Nov 18, 2022",577,"41,213",,
"Nov 19, 2022",578,"41,228",,
"Nov 20, 2022",581,"41,390",,
"Nov 21, 2022",587,"40,126",,
"Nov 22, 2022",590,"41,506",,
"Nov 23, 2022",590,"41,576",,
"Nov 24, 2022",594,"41,660",,
"Nov 25, 2022",597,"41,697",,
"Nov 26, 2022",598,"41,727",,
"Nov 27, 2022",597,"41,310",,
"Nov 28, 2022",598,"41,314",,
"Nov 29, 2022",601,"41,742",,
"Nov 30, 2022",600,"41,759",,
"Dec 01, 2022",599,"40,387",,
"Dec 02, 2022",599,"41,617",,
"Dec 03, 2022",591,"41,200",,
"Dec 04, 2022",592,"41,468",,
"Dec 05, 2022",584,"40,086",,
"Dec 06, 2022",583,"41,722",,
"Dec 07, 2022",573,"41,756",,
"Dec 08, 2022",568,"41,718",,
"Dec 09, 2022",566,"41,376",,
"Dec 10, 2022",568,"41,577",,
"Dec 11, 2022",565,"42,828",,
"Dec 12, 2022",564,"41,459",,
"Dec 13, 2022",567,"41,499",,
"Dec 14, 2022",568,"40,539",,
"Dec 15, 2022",568,"38,904",,
"Dec 16, 2022",568,"39,690",,
"Dec 17, 2022",568,"39,740",,
"Dec 18, 2022",569,"39,167",,
"Dec 19, 2022",571,"39,787",,
"Dec 20, 2022",571,"38,687",,
"Dec 21, 2022",578,"41,486",,
"Dec 22, 2022",579,"41,849",,
"Dec 23, 2022",573,"39,836",,
"Dec 24, 2022",566,"39,034",,
"Dec 25, 2022",550,"29,505",,
"Dec 26, 2022",543,"28,156",,
"Dec 27, 2022",539,"43,575",,
"Dec 28, 2022",531,"42,440",,
"Dec 29, 2022",520,"41,762",,
"Dec 30, 2022",514,"41,616",,
"Dec 31, 2022",503,"39,799",,
"Jan 01, 2023",497,"39,689",,
"Jan 02, 2023",496,"42,181",,
"Jan 03, 2023",486,"41,776",,
"Jan 04, 2023",477,"40,860",,
"Jan 05, 2023",467,"25,522",,
"Jan 06, 2023",451,"23,692",,
"Jan 07, 2023",450,"23,689",,
"Jan 08, 2023",450,"23,689",,
"Jan 09, 2023",451,"23,711",,
"Jan 10, 2023",455,"38,009",,
"Jan 11, 2023",465,"43,627",,
"Jan 12, 2023",469,"43,796",,
"Jan 13, 2023",472,"43,603",,
"Jan 14, 2023",473,"43,863",,
"Jan 15, 2023",480,"44,125",,
"Jan 16, 2023",732,"49,878",,
"Jan 17, 2023",733,"49,952",,
"Jan 18, 2023",734,"50,015",,
"Jan 19, 2023",734,"50,070",,
"Jan 20, 2023",733,"50,107",,
"Jan 21, 2023",734,"51,393",,
"Jan 22, 2023",735,"51,485",,
"Jan 23, 2023",736,"51,545",,
"Jan 24, 2023",738,"51,594",,
