Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 17, 2022",184,"29,227",,
"Sep 18, 2022",201,"29,795",,
"Sep 19, 2022",225,"30,006",,
"Sep 20, 2022",247,"32,051",,
"Sep 21, 2022",264,"32,277",,
"Sep 22, 2022",283,"32,547",,
"Sep 23, 2022",296,"32,957",,
"Sep 24, 2022",305,"30,731",,
"Sep 25, 2022",311,"31,289",,
"Sep 26, 2022",317,"31,351",,
"Sep 27, 2022",320,"31,274",,
"Sep 28, 2022",323,"31,870",,
"Sep 29, 2022",326,"31,967",,
"Sep 30, 2022",330,"32,021",,
"Oct 01, 2022",332,"32,073",,
"Oct 02, 2022",332,"32,000",,
"Oct 03, 2022",329,"28,651",,
"Oct 04, 2022",327,"28,703",,
"Oct 05, 2022",329,"28,807",,
"Oct 06, 2022",330,"28,855",,
"Oct 07, 2022",331,"28,930",,
"Oct 08, 2022",333,"28,248",,
"Oct 09, 2022",333,"28,290",,
"Oct 10, 2022",335,"29,964",,
"Oct 11, 2022",336,"30,030",,
"Oct 12, 2022",338,"30,077",,
"Oct 13, 2022",339,"30,141",,
"Oct 14, 2022",343,"30,372",,
"Oct 15, 2022",346,"30,410",,
"Oct 16, 2022",347,"30,461",,
"Oct 17, 2022",348,"30,519",,
"Oct 18, 2022",349,"30,608",,
"Oct 19, 2022",351,"30,640",,
"Oct 20, 2022",351,"30,712",,
"Oct 21, 2022",352,"30,798",,
"Oct 22, 2022",351,"30,856",,
"Oct 23, 2022",351,"30,935",,
"Oct 24, 2022",351,"30,988",,
"Oct 25, 2022",352,"31,040",,
"Oct 26, 2022",353,"31,091",,
"Oct 27, 2022",354,"31,128",,
"Oct 28, 2022",355,"31,177",,
"Oct 29, 2022",356,"31,291",,
"Oct 30, 2022",355,"31,292",,
"Oct 31, 2022",356,"31,330",,
"Nov 01, 2022",356,"31,355",,
"Nov 02, 2022",357,"31,375",,
"Nov 03, 2022",358,"31,545",,
"Nov 04, 2022",358,"31,577",,
"Nov 05, 2022",358,"31,595",,
"Nov 06, 2022",358,"31,623",,
"Nov 07, 2022",358,"31,658",,
"Nov 08, 2022",360,"31,988",,
"Nov 09, 2022",361,"32,011",,
"Nov 10, 2022",362,"32,066",,
"Nov 11, 2022",360,"32,049",,
"Nov 12, 2022",359,"32,066",,
"Nov 13, 2022",359,"32,084",,
"Nov 14, 2022",359,"32,097",,
"Nov 15, 2022",359,"32,123",,
"Nov 16, 2022",359,"32,146",,
"Nov 17, 2022",359,"32,162",,
"Nov 18, 2022",352,"32,085",,
"Nov 19, 2022",352,"32,095",,
"Nov 20, 2022",353,"32,145",,
"Nov 21, 2022",356,"32,221",,
"Nov 22, 2022",356,"32,185",,
"Nov 23, 2022",356,"32,200",,
"Nov 24, 2022",357,"32,255",,
"Nov 25, 2022",358,"32,281",,
"Nov 26, 2022",358,"32,293",,
"Nov 27, 2022",357,"31,880",,
"Nov 28, 2022",359,"31,889",,
"Nov 29, 2022",360,"32,302",,
"Nov 30, 2022",359,"32,329",,
"Dec 01, 2022",359,"32,348",,
"Dec 02, 2022",361,"32,377",,
"Dec 03, 2022",356,"31,968",,
"Dec 04, 2022",357,"31,996",,
"Dec 05, 2022",352,"30,689",,
"Dec 06, 2022",351,"32,337",,
"Dec 07, 2022",341,"32,089",,
"Dec 08, 2022",333,"31,568",,
"Dec 09, 2022",331,"31,566",,
"Dec 10, 2022",330,"32,441",,
"Dec 11, 2022",329,"34,015",,
"Dec 12, 2022",324,"32,005",,
"Dec 13, 2022",325,"32,046",,
"Dec 14, 2022",327,"32,349",,
"Dec 15, 2022",326,"30,184",,
"Dec 16, 2022",328,"30,531",,
"Dec 17, 2022",328,"30,107",,
"Dec 18, 2022",334,"31,277",,
"Dec 19, 2022",335,"32,560",,
"Dec 20, 2022",334,"31,458",,
"Dec 21, 2022",339,"33,640",,
"Dec 22, 2022",339,"33,689",,
"Dec 23, 2022",335,"32,311",,
"Dec 24, 2022",328,"31,511",,
"Dec 25, 2022",317,"19,642",,
"Dec 26, 2022",310,"18,734",,
"Dec 27, 2022",312,"33,656",,
"Dec 28, 2022",303,"32,056",,
"Dec 29, 2022",297,"31,959",,
"Dec 30, 2022",296,"33,599",,
"Dec 31, 2022",290,"31,708",,
"Jan 01, 2023",287,"31,381",,
"Jan 02, 2023",284,"32,054",,
"Jan 03, 2023",278,"33,447",,
"Jan 04, 2023",274,"31,308",,
"Jan 05, 2023",269,"18,175",,
"Jan 06, 2023",259,"17,014",,
"Jan 07, 2023",259,"17,014",,
"Jan 08, 2023",259,"17,014",,
"Jan 09, 2023",259,"17,017",,
"Jan 10, 2023",266,"31,327",,
"Jan 11, 2023",272,"34,491",,
"Jan 12, 2023",274,"34,650",,
"Jan 13, 2023",277,"33,979",,
"Jan 14, 2023",277,"34,020",,
"Jan 15, 2023",281,"34,176",,
"Jan 16, 2023",441,"38,060",,
"Jan 17, 2023",441,"38,119",,
"Jan 18, 2023",441,"38,177",,
"Jan 19, 2023",441,"38,227",,
"Jan 20, 2023",441,"38,265",,
"Jan 21, 2023",441,"38,305",,
"Jan 22, 2023",441,"38,391",,
"Jan 23, 2023",440,"38,447",,
"Jan 24, 2023",440,"38,484",,
"Jan 25, 2023",440,"38,530",,
"Jan 26, 2023",441,"38,590",,
"Jan 27, 2023",441,"38,642",,
"Jan 28, 2023",441,"38,721",,
"Jan 29, 2023",441,"38,785",,
"Jan 30, 2023",441,"38,840",,
"Jan 31, 2023",442,"38,884",,
"Feb 01, 2023",443,"38,929",,
"Feb 02, 2023",444,"38,986",,
"Feb 03, 2023",445,"39,014",,
"Feb 04, 2023",446,"39,060",,
"Feb 05, 2023",447,"39,091",,
"Feb 06, 2023",447,"39,111",,
"Feb 07, 2023",448,"39,148",,
"Feb 08, 2023",448,"39,184",,
"Feb 09, 2023",449,"39,235",,
"Feb 10, 2023",449,"39,286",,
"Feb 11, 2023",450,"39,565",,
"Feb 12, 2023",450,"39,604",,
"Feb 13, 2023",450,"39,646",,
"Feb 14, 2023",450,"39,682",,
"Feb 15, 2023",450,"39,725",,
"Feb 16, 2023",450,"39,763",,
"Feb 17, 2023",450,"39,830",,
"Feb 18, 2023",450,"39,869",,
"Feb 19, 2023",450,"39,908",,
"Feb 20, 2023",449,"39,962",,
"Feb 21, 2023",449,"40,006",,
"Feb 22, 2023",448,"40,057",,
"Feb 23, 2023",448,"40,086",,
"Feb 24, 2023",448,"40,112",,
"Feb 25, 2023",448,"40,135",,
"Feb 26, 2023",447,"40,176",,
"Feb 27, 2023",447,"40,219",,
"Mar 01, 2023",447,"40,286",,
"Mar 02, 2023",448,"40,327",,
"Mar 03, 2023",450,"40,371",,
"Mar 04, 2023",451,"40,407",,
"Mar 05, 2023",451,"40,446",,
"Mar 06, 2023",451,"40,479",,
"Mar 07, 2023",450,"40,501",,
"Mar 08, 2023",452,"40,536",,
"Mar 09, 2023",452,"40,588",,
"Mar 10, 2023",451,"40,626",,
"Mar 11, 2023",452,"40,669",,
"Mar 12, 2023",452,"40,718",,
"Mar 13, 2023",453,"40,750",,
"Mar 14, 2023",453,"40,806",,
"Mar 15, 2023",454,"40,864",,
"Mar 16, 2023",456,"40,961",,
"Mar 17, 2023",457,"41,014",,
"Mar 18, 2023",456,"41,084",,
"Mar 19, 2023",457,"41,157",,
"Mar 20, 2023",457,"41,247",,
"Mar 21, 2023",457,"41,292",,
"Mar 22, 2023",459,"42,436",,
"Mar 23, 2023",459,"42,473",,
"Mar 24, 2023",459,"42,516",,
"Mar 25, 2023",462,"42,595",,
"Mar 26, 2023",463,"42,618",,
"Mar 27, 2023",462,"42,636",,
"Mar 28, 2023",462,"42,666",,
"Mar 29, 2023",463,"42,740",,
"Mar 30, 2023",464,"42,795",,
"Mar 31, 2023",465,"42,847",,
"Apr 01, 2023",467,"42,879",,
"Apr 02, 2023",468,"42,932",,
"Apr 03, 2023",467,"42,965",,
"Apr 04, 2023",467,"43,010",,
"Apr 05, 2023",468,"43,069",,
"Apr 06, 2023",469,"43,127",,
"Apr 07, 2023",471,"43,179",,
"Apr 08, 2023",471,"43,222",,
"Apr 09, 2023",471,"43,264",,
"Apr 10, 2023",473,"43,307",,
"Apr 11, 2023",474,"43,364",,
"Apr 12, 2023",475,"43,411",,
"Apr 13, 2023",474,"43,476",,
"Apr 14, 2023",473,"43,522",,
"Apr 15, 2023",472,"43,593",,
"Apr 16, 2023",473,"43,663",,
"Apr 17, 2023",473,"43,763",,
"Apr 18, 2023",475,"43,838",,
"Apr 19, 2023",475,"43,885",,
"Apr 20, 2023",476,"43,955",,
"Apr 21, 2023",478,"43,986",,
"Apr 22, 2023",478,"44,035",,
"Apr 23, 2023",480,"44,056",,
"Apr 24, 2023",481,"44,104",,
"Apr 25, 2023",484,"44,154",,
"Apr 26, 2023",487,"44,221",,
"Apr 27, 2023",489,"44,287",,
"Apr 28, 2023",491,"44,336",,
"Apr 29, 2023",493,"44,375",,
"Apr 30, 2023",493,"44,409",,
"May 01, 2023",495,"44,460",,
"May 02, 2023",496,"44,506",,
"May 03, 2023",496,"44,553",,
"May 04, 2023",500,"44,614",,
"May 05, 2023",500,"44,662",,
"May 06, 2023",501,"44,715",,
"May 07, 2023",501,"44,747",,
"May 08, 2023",504,"44,763",,
"May 09, 2023",506,"44,814",,
"May 10, 2023",508,"44,894",,
"May 11, 2023",508,"44,945",,
"May 12, 2023",509,"45,042",,
"May 13, 2023",509,"45,076",,
"May 14, 2023",510,"45,138",,
"May 15, 2023",513,"45,166",,
Invalid date,,,,
