"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",455183,638
"2023-05-14 00:00:00",454545,687
"2023-05-13 00:00:00",453858,687
"2023-05-12 00:00:00",453171,684
"2023-05-11 00:00:00",452487,684
"2023-05-10 00:00:00",451803,610
"2023-05-09 00:00:00",451193,613
"2023-05-08 00:00:00",450580,0
"2023-05-07 00:00:00",450580,1097
"2023-05-06 00:00:00",449483,1097
"2023-05-05 00:00:00",448386,676
"2023-05-04 00:00:00",447710,0
"2023-05-03 00:00:00",447710,1469
"2023-05-02 00:00:00",446241,0
"2023-05-01 00:00:00",446241,544
"2023-04-30 00:00:00",445697,1392
"2023-04-29 00:00:00",444305,665
"2023-04-28 00:00:00",443640,0
"2023-04-27 00:00:00",443640,1321
"2023-04-26 00:00:00",442319,584
"2023-04-25 00:00:00",441735,567
"2023-04-24 00:00:00",441168,0
"2023-04-23 00:00:00",441168,1044
"2023-04-22 00:00:00",440125,1044
"2023-04-21 00:00:00",439081,689
"2023-04-20 00:00:00",438393,689
"2023-04-19 00:00:00",437704,671
"2023-04-18 00:00:00",437033,667
"2023-04-17 00:00:00",436366,734
"2023-04-16 00:00:00",435632,789
"2023-04-15 00:00:00",434843,752
"2023-04-14 00:00:00",434091,738
"2023-04-13 00:00:00",433353,740
"2023-04-12 00:00:00",432613,664
"2023-04-11 00:00:00",431949,577
"2023-04-10 00:00:00",431372,716
"2023-04-09 00:00:00",430656,799
"2023-04-08 00:00:00",429857,686
"2023-04-07 00:00:00",429171,769
"2023-04-06 00:00:00",428402,779
"2023-04-05 00:00:00",427623,0
"2023-04-04 00:00:00",427623,1535
"2023-04-03 00:00:00",426088,806
"2023-04-02 00:00:00",425282,794
"2023-04-01 00:00:00",424488,0
"2023-03-31 00:00:00",424488,1580
"2023-03-30 00:00:00",422908,784
"2023-03-29 00:00:00",422124,738
"2023-03-28 00:00:00",421386,672
"2023-03-27 00:00:00",420714,778
"2023-03-26 00:00:00",419936,875
"2023-03-25 00:00:00",419061,871
"2023-03-24 00:00:00",418190,947
"2023-03-23 00:00:00",417243,990
"2023-03-22 00:00:00",416253,911
"2023-03-21 00:00:00",415342,801
"2023-03-20 00:00:00",414541,906
"2023-03-19 00:00:00",413635,927
"2023-03-18 00:00:00",412708,959
"2023-03-17 00:00:00",411749,922
"2023-03-16 00:00:00",410827,991
"2023-03-15 00:00:00",409836,859
"2023-03-14 00:00:00",408977,0
"2023-03-13 00:00:00",408977,1650
"2023-03-12 00:00:00",407327,0
"2023-03-11 00:00:00",407327,1911
"2023-03-10 00:00:00",405416,927
"2023-03-09 00:00:00",404489,977
"2023-03-08 00:00:00",403512,881
"2023-03-07 00:00:00",402631,800
"2023-03-06 00:00:00",401831,891
"2023-03-05 00:00:00",400940,988
"2023-03-04 00:00:00",399952,1055
"2023-03-03 00:00:00",398897,0
"2023-03-02 00:00:00",398897,2060
"2023-03-01 00:00:00",396837,893
"2023-02-28 00:00:00",395944,843
"2023-02-27 00:00:00",395101,0
"2023-02-26 00:00:00",395101,1840
"2023-02-25 00:00:00",393261,927
"2023-02-24 00:00:00",392334,859
"2023-02-23 00:00:00",391475,888
"2023-02-22 00:00:00",390587,849
"2023-02-21 00:00:00",389738,0
"2023-02-20 00:00:00",389738,1687
"2023-02-19 00:00:00",388051,988
"2023-02-18 00:00:00",387063,0
"2023-02-17 00:00:00",387063,1873
"2023-02-16 00:00:00",385190,998
"2023-02-15 00:00:00",384192,802
"2023-02-14 00:00:00",383390,819
"2023-02-13 00:00:00",382571,910
"2023-02-12 00:00:00",381661,1123
"2023-02-11 00:00:00",380538,0
"2023-02-10 00:00:00",380538,1901
"2023-02-09 00:00:00",378637,964
"2023-02-08 00:00:00",377673,0
"2023-02-07 00:00:00",377673,1690
"2023-02-06 00:00:00",375983,919
"2023-02-05 00:00:00",375064,994
"2023-02-04 00:00:00",374070,1062
"2023-02-03 00:00:00",373008,951
"2023-02-02 00:00:00",372057,1118
"2023-02-01 00:00:00",370939,1050
"2023-01-31 00:00:00",369889,899
"2023-01-30 00:00:00",368990,1184
"2023-01-29 00:00:00",367806,517
"2023-01-28 00:00:00",367289,517
"2023-01-27 00:00:00",366772,1943
"2023-01-26 00:00:00",364829,0
"2023-01-25 00:00:00",364829,1838
"2023-01-24 00:00:00",362991,860
"2023-01-23 00:00:00",362131,966
"2023-01-22 00:00:00",361165,1034
"2023-01-21 00:00:00",360131,1202
"2023-01-20 00:00:00",358929,1032
"2023-01-19 00:00:00",357897,999
"2023-01-18 00:00:00",356898,942
"2023-01-17 00:00:00",355956,855
"2023-01-16 00:00:00",355101,941
"2023-01-15 00:00:00",354160,1101
"2023-01-14 00:00:00",353059,1138
"2023-01-13 00:00:00",351921,1126
"2023-01-12 00:00:00",350795,1108
"2023-01-11 00:00:00",349687,1066
"2023-01-10 00:00:00",348621,956
"2023-01-09 00:00:00",347665,1070
"2023-01-08 00:00:00",346595,1116
"2023-01-07 00:00:00",345479,1251
"2023-01-06 00:00:00",344228,1137
"2023-01-05 00:00:00",343091,1043
"2023-01-04 00:00:00",342048,1025
"2023-01-03 00:00:00",341023,977
"2023-01-02 00:00:00",340046,1116
"2023-01-01 00:00:00",338930,1186
"2022-12-31 00:00:00",337744,0
"2022-12-30 00:00:00",337744,2266
"2022-12-29 00:00:00",335478,1035
"2022-12-28 00:00:00",334443,924
"2022-12-27 00:00:00",333519,926
"2022-12-26 00:00:00",332593,1066
"2022-12-25 00:00:00",331527,1117
"2022-12-24 00:00:00",330410,1292
"2022-12-23 00:00:00",329118,1188
"2022-12-22 00:00:00",327930,1174
"2022-12-21 00:00:00",326756,1060
"2022-12-20 00:00:00",325696,939
"2022-12-19 00:00:00",324757,1159
"2022-12-18 00:00:00",323598,1246
"2022-12-17 00:00:00",322352,1414
"2022-12-16 00:00:00",320938,1178
"2022-12-15 00:00:00",319760,1085
"2022-12-14 00:00:00",318675,1090
"2022-12-13 00:00:00",317585,1113
"2022-12-12 00:00:00",316472,1167
"2022-12-11 00:00:00",315305,1388
"2022-12-10 00:00:00",313917,1224
"2022-12-09 00:00:00",312693,1294
"2022-12-08 00:00:00",311399,1231
"2022-12-07 00:00:00",310168,1196
"2022-12-06 00:00:00",308972,1267
"2022-12-05 00:00:00",307705,1267
"2022-12-04 00:00:00",306438,1267
"2022-12-03 00:00:00",305170,1267
"2022-12-02 00:00:00",303903,1267
"2022-12-01 00:00:00",302636,1372
"2022-11-30 00:00:00",301264,1374
"2022-11-29 00:00:00",299890,1128
"2022-11-28 00:00:00",298762,1325
"2022-11-27 00:00:00",297437,1279
"2022-11-26 00:00:00",296158,1284
"2022-11-25 00:00:00",294874,1558
"2022-11-24 00:00:00",293316,1431
"2022-11-23 00:00:00",291885,1318
"2022-11-22 00:00:00",290567,1194
"2022-11-21 00:00:00",289373,1411
"2022-11-20 00:00:00",287962,1535
"2022-11-19 00:00:00",286427,1784
"2022-11-18 00:00:00",284643,1706
"2022-11-17 00:00:00",282937,1767
"2022-11-16 00:00:00",281170,1580
"2022-11-15 00:00:00",279590,1486
"2022-11-14 00:00:00",278104,1672
"2022-11-13 00:00:00",276432,1709
"2022-11-12 00:00:00",274723,1696
"2022-11-11 00:00:00",273027,1632
"2022-11-10 00:00:00",271395,1742
"2022-11-09 00:00:00",269653,1669
"2022-11-08 00:00:00",267984,1422
"2022-11-07 00:00:00",266562,1777
"2022-11-06 00:00:00",264785,1914
"2022-11-05 00:00:00",262871,2035
"2022-11-04 00:00:00",260836,2006
"2022-11-03 00:00:00",258830,2013
"2022-11-02 00:00:00",256817,2068
"2022-11-01 00:00:00",254749,1785
"2022-10-31 00:00:00",252964,2124
"2022-10-30 00:00:00",250840,2499
"2022-10-29 00:00:00",248341,2542
"2022-10-28 00:00:00",245799,2610
"2022-10-27 00:00:00",243189,2627
"2022-10-26 00:00:00",240562,2462
"2022-10-25 00:00:00",238100,2304
"2022-10-24 00:00:00",235796,2561
"2022-10-23 00:00:00",233235,2722
"2022-10-22 00:00:00",230513,2690
"2022-10-21 00:00:00",227823,2708
"2022-10-20 00:00:00",225115,2694
"2022-10-19 00:00:00",222421,2757
"2022-10-18 00:00:00",219664,2302
"2022-10-17 00:00:00",217362,2855
"2022-10-16 00:00:00",214507,3104
"2022-10-15 00:00:00",211403,7713
"2022-10-14 00:00:00",203690,0
"2022-10-13 00:00:00",203690,3548
"2022-10-12 00:00:00",200142,3320
"2022-10-11 00:00:00",196822,3114
"2022-10-10 00:00:00",193708,3565
"2022-10-09 00:00:00",190143,3984
"2022-10-08 00:00:00",186159,4485
"2022-10-07 00:00:00",181674,4477
"2022-10-06 00:00:00",177197,4269
"2022-10-05 00:00:00",172928,3993
"2022-10-04 00:00:00",168935,3610
"2022-10-03 00:00:00",165325,4264
"2022-10-02 00:00:00",161061,4613
"2022-10-01 00:00:00",156448,5096
"2022-09-30 00:00:00",151352,5406
"2022-09-29 00:00:00",145946,6165
"2022-09-28 00:00:00",139782,6165
"2022-09-27 00:00:00",133617,5978
"2022-09-26 00:00:00",127639,7565
"2022-09-25 00:00:00",120074,9311
"2022-09-24 00:00:00",110763,10609
"2022-09-23 00:00:00",100154,26354
"2022-09-22 00:00:00",73800,0
"2022-09-21 00:00:00",73800,14610
"2022-09-20 00:00:00",59190,14360
"2022-09-19 00:00:00",44830,19377
"2022-09-18 00:00:00",25453,0
