"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",688452,976
"2023-05-14 00:00:00",687476,1061
"2023-05-13 00:00:00",686415,1061
"2023-05-12 00:00:00",685354,1053
"2023-05-11 00:00:00",684301,1053
"2023-05-10 00:00:00",683248,1081
"2023-05-09 00:00:00",682167,928
"2023-05-08 00:00:00",681239,0
"2023-05-07 00:00:00",681239,1727
"2023-05-06 00:00:00",679512,1727
"2023-05-05 00:00:00",677785,1096
"2023-05-04 00:00:00",676689,0
"2023-05-03 00:00:00",676689,2027
"2023-05-02 00:00:00",674662,0
"2023-05-01 00:00:00",674662,830
"2023-04-30 00:00:00",673832,2312
"2023-04-29 00:00:00",671520,994
"2023-04-28 00:00:00",670526,0
"2023-04-27 00:00:00",670526,2126
"2023-04-26 00:00:00",668400,1042
"2023-04-25 00:00:00",667358,879
"2023-04-24 00:00:00",666479,0
"2023-04-23 00:00:00",666479,1636
"2023-04-22 00:00:00",664844,1636
"2023-04-21 00:00:00",663208,1133
"2023-04-20 00:00:00",662075,1133
"2023-04-19 00:00:00",660942,1067
"2023-04-18 00:00:00",659875,1219
"2023-04-17 00:00:00",658656,1081
"2023-04-16 00:00:00",657575,1118
"2023-04-15 00:00:00",656457,1138
"2023-04-14 00:00:00",655319,1132
"2023-04-13 00:00:00",654187,1179
"2023-04-12 00:00:00",653008,1042
"2023-04-11 00:00:00",651966,940
"2023-04-10 00:00:00",651026,1085
"2023-04-09 00:00:00",649941,1185
"2023-04-08 00:00:00",648756,1158
"2023-04-07 00:00:00",647598,1199
"2023-04-06 00:00:00",646399,1232
"2023-04-05 00:00:00",645167,0
"2023-04-04 00:00:00",645167,2303
"2023-04-03 00:00:00",642864,1184
"2023-04-02 00:00:00",641680,1194
"2023-04-01 00:00:00",640486,0
"2023-03-31 00:00:00",640486,2513
"2023-03-30 00:00:00",637973,1210
"2023-03-29 00:00:00",636763,1147
"2023-03-28 00:00:00",635616,1086
"2023-03-27 00:00:00",634530,1159
"2023-03-26 00:00:00",633371,1254
"2023-03-25 00:00:00",632117,1265
"2023-03-24 00:00:00",630852,1398
"2023-03-23 00:00:00",629454,1328
"2023-03-22 00:00:00",628126,1229
"2023-03-21 00:00:00",626897,0
"2023-03-20 00:00:00",626897,2330
"2023-03-19 00:00:00",624567,1462
"2023-03-18 00:00:00",623105,1488
"2023-03-17 00:00:00",621617,1430
"2023-03-16 00:00:00",620187,1516
"2023-03-15 00:00:00",618671,1356
"2023-03-14 00:00:00",617315,0
"2023-03-13 00:00:00",617315,2500
"2023-03-12 00:00:00",614815,0
"2023-03-11 00:00:00",614815,2939
"2023-03-10 00:00:00",611876,1506
"2023-03-09 00:00:00",610370,1460
"2023-03-08 00:00:00",608910,1286
"2023-03-07 00:00:00",607624,1262
"2023-03-06 00:00:00",606362,1408
"2023-03-05 00:00:00",604954,1460
"2023-03-04 00:00:00",603494,1537
"2023-03-03 00:00:00",601957,0
"2023-03-02 00:00:00",601957,2882
"2023-03-01 00:00:00",599075,1389
"2023-02-28 00:00:00",597686,1244
"2023-02-27 00:00:00",596442,0
"2023-02-26 00:00:00",596442,2791
"2023-02-25 00:00:00",593651,1396
"2023-02-24 00:00:00",592255,1371
"2023-02-23 00:00:00",590884,1521
"2023-02-22 00:00:00",589363,1297
"2023-02-21 00:00:00",588066,0
"2023-02-20 00:00:00",588066,2610
"2023-02-19 00:00:00",585456,1476
"2023-02-18 00:00:00",583980,0
"2023-02-17 00:00:00",583980,2947
