"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",492413,642
"2023-05-14 00:00:00",491771,664
"2023-05-13 00:00:00",491107,664
"2023-05-12 00:00:00",490443,712
"2023-05-11 00:00:00",489732,712
"2023-05-10 00:00:00",489020,642
"2023-05-09 00:00:00",488378,586
"2023-05-08 00:00:00",487792,0
"2023-05-07 00:00:00",487792,1101
"2023-05-06 00:00:00",486692,1101
"2023-05-05 00:00:00",485591,807
"2023-05-04 00:00:00",484784,0
"2023-05-03 00:00:00",484784,1671
"2023-05-02 00:00:00",483113,0
"2023-05-01 00:00:00",483113,686
"2023-04-30 00:00:00",482427,1558
"2023-04-29 00:00:00",480869,767
"2023-04-28 00:00:00",480102,0
"2023-04-27 00:00:00",480102,1632
"2023-04-26 00:00:00",478470,767
"2023-04-25 00:00:00",477703,636
"2023-04-24 00:00:00",477067,0
"2023-04-23 00:00:00",477067,1283
"2023-04-22 00:00:00",475785,1283
"2023-04-21 00:00:00",474502,879
"2023-04-20 00:00:00",473623,879
"2023-04-19 00:00:00",472744,801
"2023-04-18 00:00:00",471943,686
"2023-04-17 00:00:00",471257,767
"2023-04-16 00:00:00",470490,861
"2023-04-15 00:00:00",469629,829
"2023-04-14 00:00:00",468800,804
"2023-04-13 00:00:00",467996,727
"2023-04-12 00:00:00",467269,691
"2023-04-11 00:00:00",466578,605
"2023-04-10 00:00:00",465973,738
"2023-04-09 00:00:00",465235,786
"2023-04-08 00:00:00",464449,773
"2023-04-07 00:00:00",463676,877
"2023-04-06 00:00:00",462799,840
"2023-04-05 00:00:00",461959,0
"2023-04-04 00:00:00",461959,1556
"2023-04-03 00:00:00",460403,832
"2023-04-02 00:00:00",459571,864
"2023-04-01 00:00:00",458707,0
"2023-03-31 00:00:00",458707,1823
"2023-03-30 00:00:00",456884,992
"2023-03-29 00:00:00",455892,898
"2023-03-28 00:00:00",454994,807
"2023-03-27 00:00:00",454187,943
"2023-03-26 00:00:00",453244,972
"2023-03-25 00:00:00",452272,1015
"2023-03-24 00:00:00",451257,1090
"2023-03-23 00:00:00",450167,1098
"2023-03-22 00:00:00",449069,869
"2023-03-21 00:00:00",448200,0
"2023-03-20 00:00:00",448200,1749
"2023-03-19 00:00:00",446451,1180
"2023-03-18 00:00:00",445271,1029
"2023-03-17 00:00:00",444242,909
"2023-03-16 00:00:00",443333,989
"2023-03-15 00:00:00",442344,887
"2023-03-14 00:00:00",441457,0
"2023-03-13 00:00:00",441457,1787
"2023-03-12 00:00:00",439670,0
"2023-03-11 00:00:00",439670,1995
"2023-03-10 00:00:00",437675,992
"2023-03-09 00:00:00",436683,887
"2023-03-08 00:00:00",435796,836
"2023-03-07 00:00:00",434960,855
"2023-03-06 00:00:00",434105,933
"2023-03-05 00:00:00",433172,1310
"2023-03-04 00:00:00",431862,1281
"2023-03-03 00:00:00",430581,0
"2023-03-02 00:00:00",430581,2072
"2023-03-01 00:00:00",428509,891
"2023-02-28 00:00:00",427618,856
"2023-02-27 00:00:00",426762,0
"2023-02-26 00:00:00",426762,1859
"2023-02-25 00:00:00",424903,889
"2023-02-24 00:00:00",424014,868
"2023-02-23 00:00:00",423146,926
"2023-02-22 00:00:00",422220,839
"2023-02-21 00:00:00",421381,0
