Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 17, 2022",461,"60,881",,
"Sep 18, 2022",517,"64,862",,
"Sep 19, 2022",567,"65,872",,
"Sep 20, 2022",614,"67,484",,
"Sep 21, 2022",666,"68,281",,
"Sep 22, 2022",725,"68,795",,
"Sep 23, 2022",758,"69,426",,
"Sep 24, 2022",780,"56,136",,
"Sep 25, 2022",799,"56,984",,
"Sep 26, 2022",818,"62,636",,
"Sep 27, 2022",837,"62,755",,
"Sep 28, 2022",850,"63,794",,
"Sep 29, 2022",868,"65,213",,
"Sep 30, 2022",878,"65,345",,
"Oct 01, 2022",885,"59,410",,
"Oct 02, 2022",890,"59,796",,
"Oct 03, 2022",896,"57,278",,
"Oct 04, 2022",903,"57,457",,
"Oct 05, 2022",911,"58,706",,
"Oct 06, 2022",913,"63,508",,
"Oct 07, 2022",917,"63,670",,
"Oct 08, 2022",927,"63,141",,
"Oct 09, 2022",928,"63,228",,
"Oct 10, 2022",931,"65,020",,
"Oct 11, 2022",935,"65,152",,
"Oct 12, 2022",944,"150,930",,
"Oct 13, 2022",947,"151,120",,
"Oct 14, 2022",958,"63,460",,
"Oct 15, 2022",967,"63,940",,
"Oct 16, 2022",970,"65,736",,
"Oct 17, 2022",975,"65,675",,
"Oct 18, 2022",976,"65,772",,
"Oct 19, 2022",977,"65,874",,
"Oct 20, 2022",982,"66,014",,
"Oct 21, 2022",985,"66,170",,
"Oct 22, 2022",987,"66,453",,
"Oct 23, 2022",987,"66,274",,
"Oct 24, 2022",988,"66,354",,
"Oct 25, 2022",985,"66,326",,
"Oct 26, 2022",989,"66,756",,
"Oct 27, 2022",991,"66,873",,
"Oct 28, 2022",992,"66,993",,
"Oct 29, 2022",996,"67,159",,
"Oct 30, 2022",997,"67,215",,
"Oct 31, 2022","1,000","67,308",,
"Nov 01, 2022","1,003","67,362",,
"Nov 02, 2022","1,002","62,708",,
"Nov 03, 2022","1,004","62,784",,
"Nov 04, 2022","1,007","62,907",,
"Nov 05, 2022","1,007","62,993",,
"Nov 06, 2022","1,009","63,136",,
"Nov 07, 2022","1,010","63,099",,
"Nov 08, 2022","1,013","63,203",,
"Nov 09, 2022","1,014","63,340",,
"Nov 10, 2022","1,017","63,413",,
"Nov 11, 2022","1,017","63,456",,
"Nov 12, 2022","1,018","63,521",,
"Nov 13, 2022","1,018","63,597",,
"Nov 14, 2022","1,018","58,067",,
"Nov 15, 2022","1,016","58,117",,
"Nov 16, 2022","1,014","58,150",,
"Nov 17, 2022","1,013","58,193",,
"Nov 18, 2022",993,"57,788",,
"Nov 19, 2022",996,"57,810",,
"Nov 20, 2022",995,"57,780",,
"Nov 21, 2022","1,004","57,009",,
"Nov 22, 2022","1,007","58,717",,
"Nov 23, 2022","1,009","58,567",,
"Nov 24, 2022","1,013","58,715",,
"Nov 25, 2022","1,017","58,787",,
"Nov 26, 2022","1,017","58,823",,
"Nov 27, 2022","1,015","58,427",,
"Nov 28, 2022","1,018","58,494",,
"Nov 29, 2022","1,024","59,410",,
"Nov 30, 2022","1,026","59,488",,
"Dec 01, 2022","1,024","58,157",,
"Dec 02, 2022","1,024","59,610",,
"Dec 03, 2022","1,008","57,762",,
"Dec 04, 2022","1,007","57,542",,
"Dec 05, 2022",997,"54,200",,
"Dec 06, 2022",998,"57,576",,
"Dec 07, 2022",987,"55,730",,
"Dec 08, 2022",981,"56,475",,
"Dec 09, 2022",978,"50,239",,
"Dec 10, 2022",982,"51,195",,
"Dec 11, 2022",979,"52,753",,
"Dec 12, 2022",977,"52,592",,
"Dec 13, 2022",982,"51,677",,
"Dec 14, 2022",984,"49,745",,
"Dec 15, 2022",981,"48,770",,
"Dec 16, 2022",982,"49,125",,
"Dec 17, 2022",977,"47,788",,
"Dec 18, 2022",981,"47,028",,
"Dec 19, 2022",983,"46,988",,
"Dec 20, 2022",980,"43,937",,
"Dec 21, 2022",988,"47,858",,
"Dec 22, 2022",987,"48,517",,
"Dec 23, 2022",982,"46,413",,
"Dec 24, 2022",967,"46,194",,
"Dec 25, 2022",946,"32,711",,
"Dec 26, 2022",936,"34,273",,
"Dec 27, 2022",926,"47,206",,
"Dec 28, 2022",907,"47,929",,
"Dec 29, 2022",896,"48,521",,
"Dec 30, 2022",884,"47,942",,
"Dec 31, 2022",875,"44,024",,
"Jan 01, 2023",859,"42,614",,
"Jan 02, 2023",861,"45,677",,
"Jan 03, 2023",844,"45,299",,
"Jan 04, 2023",828,"41,852",,
"Jan 05, 2023",816,"28,559",,
"Jan 06, 2023",797,"25,512",,
"Jan 07, 2023",796,"25,509",,
