Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 17, 2022",385,"40,621",,
"Sep 18, 2022",434,"43,084",,
"Sep 19, 2022",484,"43,614",,
"Sep 20, 2022",531,"50,274",,
"Sep 21, 2022",566,"71,632",,
"Sep 22, 2022",592,"71,948",,
"Sep 23, 2022",616,"67,518",,
"Sep 24, 2022",634,"65,352",,
"Sep 25, 2022",644,"65,693",,
"Sep 26, 2022",660,"65,966",,
"Sep 27, 2022",668,"65,945",,
"Sep 28, 2022",673,"71,171",,
"Sep 29, 2022",680,"71,678",,
"Sep 30, 2022",685,"71,793",,
"Oct 01, 2022",690,"71,906",,
"Oct 02, 2022",694,"71,851",,
"Oct 03, 2022",691,"63,368",,
"Oct 04, 2022",691,"63,477",,
"Oct 05, 2022",698,"63,619",,
"Oct 06, 2022",700,"63,707",,
"Oct 07, 2022",703,"63,896",,
"Oct 08, 2022",711,"63,336",,
"Oct 09, 2022",712,"63,418",,
"Oct 10, 2022",718,"65,247",,
"Oct 11, 2022",721,"65,354",,
"Oct 12, 2022",723,"70,537",,
"Oct 13, 2022",723,"70,697",,
"Oct 14, 2022",730,"50,465",,
"Oct 15, 2022",735,"50,573",,
"Oct 16, 2022",733,"45,293",,
"Oct 17, 2022",736,"45,618",,
"Oct 18, 2022",734,"45,673",,
"Oct 19, 2022",737,"45,736",,
"Oct 20, 2022",741,"45,843",,
"Oct 21, 2022",746,"46,075",,
"Oct 22, 2022",745,"46,312",,
"Oct 23, 2022",745,"46,405",,
"Oct 24, 2022",747,"46,397",,
"Oct 25, 2022",747,"46,472",,
"Oct 26, 2022",747,"47,307",,
"Oct 27, 2022",748,"47,373",,
"Oct 28, 2022",749,"47,461",,
"Oct 29, 2022",749,"47,591",,
"Oct 30, 2022",749,"47,611",,
"Oct 31, 2022",750,"47,670",,
"Nov 01, 2022",754,"47,734",,
"Nov 02, 2022",756,"47,771",,
"Nov 03, 2022",758,"47,977",,
"Nov 04, 2022",758,"48,017",,
"Nov 05, 2022",759,"48,059",,
"Nov 06, 2022",760,"48,111",,
"Nov 07, 2022",760,"48,110",,
"Nov 08, 2022",760,"48,133",,
"Nov 09, 2022",759,"48,100",,
"Nov 10, 2022",760,"48,361",,
"Nov 11, 2022",757,"48,348",,
"Nov 12, 2022",757,"48,374",,
"Nov 13, 2022",758,"48,606",,
"Nov 14, 2022",759,"48,625",,
"Nov 15, 2022",760,"48,665",,
"Nov 16, 2022",760,"48,707",,
"Nov 17, 2022",759,"48,726",,
"Nov 18, 2022",744,"48,669",,
"Nov 19, 2022",746,"48,690",,
"Nov 20, 2022",747,"48,743",,
"Nov 21, 2022",752,"48,827",,
"Nov 22, 2022",754,"48,796",,
"Nov 23, 2022",754,"48,872",,
"Nov 24, 2022",758,"48,958",,
"Nov 25, 2022",761,"49,018",,
"Nov 26, 2022",762,"49,050",,
"Nov 27, 2022",761,"48,636",,
"Nov 28, 2022",764,"48,663",,
"Nov 29, 2022",769,"49,541",,
"Nov 30, 2022",771,"49,569",,
"Dec 01, 2022",772,"49,628",,
"Dec 02, 2022",769,"49,440",,
"Dec 03, 2022",758,"48,662",,
"Dec 04, 2022",752,"42,716",,
"Dec 05, 2022",741,"46,735",,
"Dec 06, 2022",738,"48,358",,
"Dec 07, 2022",725,"48,280",,
"Dec 08, 2022",719,"48,684",,
"Dec 09, 2022",715,"48,676",,
"Dec 10, 2022",716,"49,566",,
"Dec 11, 2022",710,"42,299",,
"Dec 12, 2022",708,"46,324",,
"Dec 13, 2022",711,"40,986",,
"Dec 14, 2022",711,"38,774",,
"Dec 15, 2022",706,"37,636",,
"Dec 16, 2022",708,"37,656",,
"Dec 17, 2022",705,"37,423",,
"Dec 18, 2022",709,"42,772",,
"Dec 19, 2022",715,"45,322",,
"Dec 20, 2022",715,"42,769",,
"Dec 21, 2022",720,"44,488",,
"Dec 22, 2022",720,"44,747",,
"Dec 23, 2022",712,"42,292",,
"Dec 24, 2022",702,"43,001",,
"Dec 25, 2022",680,"30,797",,
"Dec 26, 2022",672,"25,728",,
"Dec 27, 2022",669,"39,266",,
"Dec 28, 2022",653,"39,694",,
"Dec 29, 2022",639,"38,541",,
"Dec 30, 2022",632,"41,859",,
"Dec 31, 2022",621,"43,350",,
"Jan 01, 2023",613,"37,059",,
"Jan 02, 2023",614,"38,714",,
"Jan 03, 2023",603,"36,948",,
"Jan 04, 2023",593,"35,973",,
"Jan 05, 2023",585,"22,597",,
"Jan 06, 2023",570,"22,155",,
"Jan 07, 2023",569,"22,152",,
"Jan 08, 2023",569,"22,151",,
"Jan 09, 2023",570,"22,172",,
"Jan 10, 2023",579,"42,147",,
"Jan 11, 2023",589,"46,753",,
"Jan 12, 2023",596,"47,790",,
"Jan 13, 2023",603,"47,543",,
"Jan 14, 2023",606,"47,811",,
"Jan 15, 2023",612,"48,072",,
"Jan 16, 2023",929,"54,818",,
"Jan 17, 2023",932,"54,898",,
"Jan 18, 2023",934,"55,041",,
"Jan 19, 2023",934,"55,120",,
"Jan 20, 2023",934,"55,184",,
"Jan 21, 2023",933,"55,073",,
"Jan 22, 2023",932,"54,794",,
"Jan 23, 2023",933,"54,876",,
"Jan 24, 2023",933,"54,925",,
"Jan 25, 2023",934,"54,992",,
"Jan 26, 2023",934,"55,071",,
"Jan 27, 2023",931,"55,109",,
"Jan 28, 2023",931,"55,216",,
"Jan 29, 2023",932,"55,288",,
"Jan 30, 2023",930,"55,291",,
"Jan 31, 2023",931,"55,348",,
"Feb 01, 2023",932,"55,395",,
"Feb 02, 2023",934,"55,473",,
"Feb 03, 2023",935,"55,517",,
"Feb 04, 2023",938,"55,593",,
"Feb 05, 2023",939,"55,634",,
"Feb 06, 2023",938,"55,644",,
"Feb 07, 2023",940,"55,688",,
"Feb 08, 2023",940,"55,729",,
"Feb 09, 2023",942,"55,811",,
"Feb 10, 2023",942,"55,868",,
"Feb 11, 2023",944,"56,171",,
"Feb 12, 2023",944,"56,224",,
"Feb 13, 2023",946,"56,330",,
"Feb 14, 2023",946,"56,362",,
"Feb 15, 2023",947,"56,409",,
"Feb 16, 2023",948,"56,485",,
"Feb 17, 2023",947,"56,593",,
"Feb 18, 2023",947,"56,637",,
"Feb 19, 2023",947,"56,727",,
"Feb 20, 2023",946,"56,785",,
"Feb 21, 2023",945,"56,843",,
"Feb 22, 2023",944,"56,905",,
"Feb 23, 2023",944,"56,944",,
"Feb 24, 2023",944,"56,975",,
"Feb 25, 2023",944,"57,006",,
"Feb 26, 2023",943,"57,257",,
"Feb 27, 2023",943,"57,534",,
"Mar 01, 2023",942,"57,618",,
"Mar 02, 2023",946,"57,752",,
"Mar 03, 2023",949,"57,807",,
"Mar 04, 2023",950,"57,848",,
"Mar 05, 2023",951,"57,921",,
"Mar 06, 2023",951,"57,972",,
"Mar 07, 2023",951,"58,014",,
"Mar 08, 2023",952,"52,561",,
"Mar 09, 2023",953,"52,617",,
"Mar 10, 2023",955,"52,669",,
"Mar 11, 2023",955,"52,743",,
"Mar 12, 2023",955,"52,806",,
"Mar 13, 2023",957,"52,849",,
"Mar 14, 2023",959,"52,917",,
"Mar 15, 2023",963,"53,016",,
"Mar 16, 2023",965,"53,086",,
"Mar 17, 2023",966,"53,176",,
"Mar 18, 2023",966,"53,294",,
"Mar 19, 2023",971,"53,400",,
"Mar 20, 2023",970,"53,480",,
"Mar 21, 2023",971,"53,545",,
"Mar 22, 2023",975,"54,768",,
"Mar 23, 2023",974,"54,822",,
"Mar 24, 2023",975,"54,890",,
"Mar 25, 2023",978,"54,976",,
"Mar 26, 2023",980,"55,013",,
"Mar 27, 2023",982,"55,075",,
"Mar 28, 2023",982,"55,078",,
"Mar 29, 2023",983,"55,156",,
