Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 17, 2022",276,"32,205",,
"Sep 18, 2022",318,"32,924",,
"Sep 19, 2022",345,"33,200",,
"Sep 20, 2022",381,"99,473",,
"Sep 21, 2022",414,"100,537",,
"Sep 22, 2022",430,"100,767",,
"Sep 23, 2022",451,"101,217",,
"Sep 24, 2022",462,"99,004",,
"Sep 25, 2022",470,"99,675",,
"Sep 26, 2022",479,"99,759",,
"Sep 27, 2022",485,"99,718",,
"Sep 28, 2022",488,"99,821",,
"Sep 29, 2022",491,"99,926",,
"Sep 30, 2022",493,"99,997",,
"Oct 01, 2022",497,"100,260",,
"Oct 02, 2022",496,"100,191",,
"Oct 03, 2022",494,"96,849",,
"Oct 04, 2022",493,"96,922",,
"Oct 05, 2022",497,"97,044",,
"Oct 06, 2022",500,"97,123",,
"Oct 07, 2022",501,"97,214",,
"Oct 08, 2022",503,"96,536",,
"Oct 09, 2022",505,"97,885",,
"Oct 10, 2022",507,"99,636",,
"Oct 11, 2022",511,"99,734",,
"Oct 12, 2022",518,"99,809",,
"Oct 13, 2022",518,"98,643",,
"Oct 14, 2022",522,"93,582",,
"Oct 15, 2022",525,"93,618",,
"Oct 16, 2022",527,"93,682",,
"Oct 17, 2022",528,"93,723",,
"Oct 18, 2022",531,"93,766",,
"Oct 19, 2022",532,"93,796",,
"Oct 20, 2022",533,"93,879",,
"Oct 21, 2022",533,"93,969",,
"Oct 22, 2022",532,"94,163",,
"Oct 23, 2022",533,"94,259",,
"Oct 24, 2022",533,"94,322",,
"Oct 25, 2022",535,"94,384",,
"Oct 26, 2022",535,"95,173",,
"Oct 27, 2022",536,"95,209",,
"Oct 28, 2022",537,"95,268",,
"Oct 29, 2022",538,"95,384",,
"Oct 30, 2022",536,"95,387",,
"Oct 31, 2022",538,"95,419",,
"Nov 01, 2022",538,"95,448",,
"Nov 02, 2022",542,"95,479",,
"Nov 03, 2022",544,"95,658",,
"Nov 04, 2022",544,"95,695",,
"Nov 05, 2022",544,"95,717",,
"Nov 06, 2022",544,"95,748",,
"Nov 07, 2022",544,"95,751",,
"Nov 08, 2022",545,"95,788",,
"Nov 09, 2022",546,"95,847",,
"Nov 10, 2022",548,"95,909",,
"Nov 11, 2022",545,"95,894",,
"Nov 12, 2022",545,"95,913",,
"Nov 13, 2022",545,"95,930",,
"Nov 14, 2022",546,"95,946",,
"Nov 15, 2022",546,"95,972",,
"Nov 16, 2022",546,"95,992",,
"Nov 17, 2022",546,"96,003",,
"Nov 18, 2022",532,"95,905",,
"Nov 19, 2022",533,"95,906",,
"Nov 20, 2022",534,"95,938",,
"Nov 21, 2022",540,"96,051",,
"Nov 22, 2022",543,"96,029",,
"Nov 23, 2022",541,"96,044",,
"Nov 24, 2022",544,"96,125",,
