Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 17, 2022",203,"33,570",,
"Sep 18, 2022",227,"34,097",,
"Sep 19, 2022",261,"37,119",,
"Sep 20, 2022",280,"38,461",,
"Sep 21, 2022",296,"38,563",,
"Sep 22, 2022",315,"38,773",,
"Sep 23, 2022",329,"39,173",,
"Sep 24, 2022",342,"36,905",,
"Sep 25, 2022",353,"37,473",,
"Sep 26, 2022",363,"37,546",,
"Sep 27, 2022",366,"37,463",,
"Sep 28, 2022",366,"34,784",,
"Sep 29, 2022",368,"34,839",,
"Sep 30, 2022",371,"35,255",,
"Oct 01, 2022",375,"40,480",,
"Oct 02, 2022",375,"38,420",,
"Oct 03, 2022",373,"35,108",,
"Oct 04, 2022",372,"35,190",,
"Oct 05, 2022",374,"35,314",,
"Oct 06, 2022",374,"30,176",,
"Oct 07, 2022",374,"30,247",,
"Oct 08, 2022",375,"29,562",,
"Oct 09, 2022",376,"29,610",,
"Oct 10, 2022",380,"31,371",,
"Oct 11, 2022",383,"31,453",,
"Oct 12, 2022",386,"31,501",,
"Oct 13, 2022",387,"31,566",,
"Oct 14, 2022",396,"31,796",,
"Oct 15, 2022",399,"31,880",,
"Oct 16, 2022",400,"31,947",,
"Oct 17, 2022",399,"31,996",,
"Oct 18, 2022",401,"32,046",,
"Oct 19, 2022",403,"32,091",,
"Oct 20, 2022",405,"32,176",,
"Oct 21, 2022",405,"32,266",,
"Oct 22, 2022",401,"32,340",,
"Oct 23, 2022",401,"32,437",,
"Oct 24, 2022",402,"32,464",,
"Oct 25, 2022",403,"32,528",,
"Oct 26, 2022",403,"33,324",,
"Oct 27, 2022",404,"33,357",,
"Oct 28, 2022",404,"33,089",,
"Oct 29, 2022",407,"33,209",,
"Oct 30, 2022",407,"33,243",,
"Oct 31, 2022",408,"33,288",,
"Nov 01, 2022",409,"33,312",,
"Nov 02, 2022",410,"33,332",,
"Nov 03, 2022",411,"33,532",,
"Nov 04, 2022",413,"33,571",,
"Nov 05, 2022",414,"33,590",,
"Nov 06, 2022",414,"33,632",,
"Nov 07, 2022",414,"33,668",,
"Nov 08, 2022",416,"33,700",,
"Nov 09, 2022",416,"33,725",,
"Nov 10, 2022",416,"33,776",,
"Nov 11, 2022",414,"33,759",,
"Nov 12, 2022",413,"33,778",,
"Nov 13, 2022",412,"33,735",,
"Nov 14, 2022",412,"33,748",,
"Nov 15, 2022",411,"33,773",,
"Nov 16, 2022",410,"33,793",,
"Nov 17, 2022",410,"33,810",,
"Nov 18, 2022",399,"33,754",,
"Nov 19, 2022",400,"33,764",,
"Nov 20, 2022",403,"33,825",,
"Nov 21, 2022",406,"33,878",,
"Nov 22, 2022",408,"33,850",,
"Nov 23, 2022",408,"33,865",,
"Nov 24, 2022",410,"33,941",,
"Nov 25, 2022",412,"33,968",,
"Nov 26, 2022",412,"33,982",,
"Nov 27, 2022",412,"33,576",,
"Nov 28, 2022",412,"33,591",,
"Nov 29, 2022",414,"34,011",,
"Nov 30, 2022",414,"34,040",,
"Dec 01, 2022",414,"34,063",,
"Dec 02, 2022",414,"34,086",,
"Dec 03, 2022",406,"33,664",,
"Dec 04, 2022",404,"33,339",,
"Dec 05, 2022",397,"32,002",,
"Dec 06, 2022",396,"33,649",,
"Dec 07, 2022",390,"33,527",,
"Dec 08, 2022",383,"33,484",,
"Dec 09, 2022",381,"33,480",,
"Dec 10, 2022",379,"34,317",,
"Dec 11, 2022",376,"33,389",,
"Dec 12, 2022",373,"31,678",,
"Dec 13, 2022",376,"31,724",,
"Dec 14, 2022",376,"31,664",,
"Dec 15, 2022",376,"30,018",,
"Dec 16, 2022",377,"29,792",,
"Dec 17, 2022",378,"29,841",,
"Dec 18, 2022",382,"30,181",,
"Dec 19, 2022",386,"32,110",,
"Dec 20, 2022",385,"31,009",,
"Dec 21, 2022",389,"32,719",,
"Dec 22, 2022",390,"32,774",,
"Dec 23, 2022",384,"30,656",,
"Dec 24, 2022",376,"29,841",,
"Dec 25, 2022",370,"19,520",,
"Dec 26, 2022",363,"18,599",,
"Dec 27, 2022",362,"32,760",,
"Dec 28, 2022",355,"31,527",,
"Dec 29, 2022",346,"30,679",,
"Dec 30, 2022",339,"31,968",,
"Dec 31, 2022",332,"30,042",,
"Jan 01, 2023",332,"30,362",,
"Jan 02, 2023",333,"33,077",,
"Jan 03, 2023",328,"32,873",,
"Jan 04, 2023",321,"30,344",,
"Jan 05, 2023",315,"17,730",,
"Jan 06, 2023",306,"17,347",,
"Jan 07, 2023",306,"17,347",,
"Jan 08, 2023",306,"17,347",,
"Jan 09, 2023",306,"17,351",,
"Jan 10, 2023",311,"30,838",,
"Jan 11, 2023",318,"33,221",,
"Jan 12, 2023",322,"34,123",,
"Jan 13, 2023",324,"33,925",,
"Jan 14, 2023",324,"33,981",,
"Jan 15, 2023",329,"34,138",,
"Jan 16, 2023",499,"37,553",,
"Jan 17, 2023",499,"37,606",,
"Jan 18, 2023",499,"37,653",,
"Jan 19, 2023",499,"37,728",,
"Jan 20, 2023",499,"37,813",,
"Jan 21, 2023",499,"37,852",,
"Jan 22, 2023",499,"37,932",,
"Jan 23, 2023",500,"37,987",,
"Jan 24, 2023",500,"38,030",,
"Jan 25, 2023",501,"38,082",,
"Jan 26, 2023",502,"38,138",,
"Jan 27, 2023",503,"38,175",,
"Jan 28, 2023",503,"38,256",,
"Jan 29, 2023",503,"38,316",,
"Jan 30, 2023",502,"36,095",,
"Jan 31, 2023",502,"36,135",,
"Feb 01, 2023",503,"36,173",,
"Feb 02, 2023",503,"36,232",,
"Feb 03, 2023",503,"36,259",,
"Feb 04, 2023",503,"36,300",,
"Feb 05, 2023",503,"36,319",,
"Feb 06, 2023",503,"36,343",,
"Feb 07, 2023",502,"36,368",,
"Feb 08, 2023",502,"36,401",,
"Feb 09, 2023",502,"36,452",,
"Feb 10, 2023",502,"36,501",,
"Feb 11, 2023",503,"36,782",,
"Feb 12, 2023",503,"36,821",,
"Feb 13, 2023",503,"36,854",,
"Feb 14, 2023",502,"36,887",,
"Feb 15, 2023",502,"36,929",,
"Feb 16, 2023",500,"36,092",,
"Feb 17, 2023",500,"36,144",,
"Feb 18, 2023",501,"36,189",,
"Feb 19, 2023",501,"36,219",,
"Feb 20, 2023",501,"36,270",,
"Feb 21, 2023",501,"36,311",,
"Feb 22, 2023",500,"36,362",,
"Feb 23, 2023",500,"36,382",,
"Feb 24, 2023",500,"36,403",,
"Feb 25, 2023",500,"36,421",,
"Feb 26, 2023",499,"36,657",,
"Feb 27, 2023",499,"36,688",,
"Mar 01, 2023",497,"36,722",,
"Mar 02, 2023",498,"36,772",,
"Mar 03, 2023",500,"36,943",,
"Mar 04, 2023",500,"36,970",,
"Mar 05, 2023",500,"37,027",,
"Mar 06, 2023",500,"37,061",,
"Mar 07, 2023",500,"37,099",,
"Mar 08, 2023",503,"37,141",,
"Mar 09, 2023",503,"37,189",,
"Mar 10, 2023",503,"37,223",,
"Mar 11, 2023",503,"37,277",,
"Mar 12, 2023",503,"37,327",,
"Mar 13, 2023",505,"37,370",,
"Mar 14, 2023",506,"37,428",,
"Mar 15, 2023",507,"37,483",,
"Mar 16, 2023",508,"37,543",,
"Mar 17, 2023",509,"37,611",,
"Mar 18, 2023",508,"37,681",,
"Mar 19, 2023",508,"37,745",,
"Mar 20, 2023",507,"37,802",,
"Mar 21, 2023",507,"37,847",,
"Mar 22, 2023",509,"38,992",,
"Mar 23, 2023",509,"39,041",,
"Mar 24, 2023",510,"39,088",,
"Mar 25, 2023",513,"39,143",,
"Mar 26, 2023",514,"39,166",,
"Mar 27, 2023",514,"39,185",,
"Mar 28, 2023",514,"39,215",,
"Mar 29, 2023",514,"39,265",,
"Mar 30, 2023",514,"39,311",,
"Mar 31, 2023",515,"39,352",,
"Apr 01, 2023",516,"39,381",,
"Apr 02, 2023",516,"39,417",,
"Apr 03, 2023",515,"39,448",,
"Apr 04, 2023",515,"39,483",,
"Apr 05, 2023",516,"39,548",,
"Apr 06, 2023",518,"39,604",,
"Apr 07, 2023",519,"39,648",,
"Apr 08, 2023",520,"39,682",,
"Apr 09, 2023",520,"39,722",,
"Apr 10, 2023",521,"39,762",,
"Apr 11, 2023",522,"39,813",,
"Apr 12, 2023",523,"39,854",,
"Apr 13, 2023",523,"39,922",,
"Apr 14, 2023",523,"39,950",,
"Apr 15, 2023",522,"40,021",,
"Apr 16, 2023",523,"40,221",,
"Apr 17, 2023",522,"39,436",,
"Apr 18, 2023",524,"39,497",,
"Apr 19, 2023",524,"39,553",,
"Apr 20, 2023",527,"39,616",,
"Apr 21, 2023",529,"39,659",,
"Apr 22, 2023",529,"39,692",,
"Apr 23, 2023",531,"39,726",,
"Apr 24, 2023",531,"39,757",,
"Apr 25, 2023",533,"39,825",,
"Apr 26, 2023",534,"39,881",,
"Apr 27, 2023",538,"39,977",,
"Apr 28, 2023",541,"40,026",,
"Apr 29, 2023",543,"40,072",,
"Apr 30, 2023",543,"40,106",,
"May 01, 2023",544,"40,150",,
"May 02, 2023",545,"40,199",,
"May 03, 2023",544,"40,251",,
"May 04, 2023",546,"40,297",,
"May 05, 2023",546,"40,360",,
"May 06, 2023",546,"40,403",,
"May 07, 2023",549,"40,483",,
"May 08, 2023",552,"40,495",,
"May 09, 2023",553,"40,552",,
"May 10, 2023",557,"40,628",,
"May 11, 2023",556,"40,685",,
"May 12, 2023",557,"40,771",,
"May 13, 2023",558,"40,821",,
"May 14, 2023",559,"40,875",,
"May 15, 2023",560,"40,912",,
Invalid date,,,,
