"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",704227,937
"2023-05-14 00:00:00",703290,1021
"2023-05-13 00:00:00",702270,1021
"2023-05-12 00:00:00",701249,1028
"2023-05-11 00:00:00",700221,1028
"2023-05-10 00:00:00",699193,971
"2023-05-09 00:00:00",698222,879
"2023-05-08 00:00:00",697343,0
"2023-05-07 00:00:00",697343,1679
"2023-05-06 00:00:00",695664,1679
"2023-05-05 00:00:00",693985,1043
"2023-05-04 00:00:00",692942,0
"2023-05-03 00:00:00",692942,2074
"2023-05-02 00:00:00",690868,0
"2023-05-01 00:00:00",690868,779
"2023-04-30 00:00:00",690089,1965
"2023-04-29 00:00:00",688124,1063
"2023-04-28 00:00:00",687061,0
"2023-04-27 00:00:00",687061,2201
"2023-04-26 00:00:00",684860,1003
"2023-04-25 00:00:00",683857,851
"2023-04-24 00:00:00",683006,0
"2023-04-23 00:00:00",683006,1614
"2023-04-22 00:00:00",681392,1614
"2023-04-21 00:00:00",679778,1101
"2023-04-20 00:00:00",678678,1101
"2023-04-19 00:00:00",677577,1071
"2023-04-18 00:00:00",676506,910
"2023-04-17 00:00:00",675596,1025
"2023-04-16 00:00:00",674571,1134
"2023-04-15 00:00:00",673437,1096
"2023-04-14 00:00:00",672341,1171
"2023-04-13 00:00:00",671170,1136
"2023-04-12 00:00:00",670034,1023
"2023-04-11 00:00:00",669011,906
"2023-04-10 00:00:00",668105,1042
"2023-04-09 00:00:00",667063,1221
"2023-04-08 00:00:00",665842,1143
"2023-04-07 00:00:00",664699,1194
"2023-04-06 00:00:00",663505,1145
"2023-04-05 00:00:00",662360,0
"2023-04-04 00:00:00",662360,2159
"2023-04-03 00:00:00",660201,1139
"2023-04-02 00:00:00",659062,1243
"2023-04-01 00:00:00",657819,0
"2023-03-31 00:00:00",657819,2480
"2023-03-30 00:00:00",655339,1269
"2023-03-29 00:00:00",654070,1115
"2023-03-28 00:00:00",652955,1029
"2023-03-27 00:00:00",651926,1132
"2023-03-26 00:00:00",650794,1186
"2023-03-25 00:00:00",649608,1225
"2023-03-24 00:00:00",648383,1292
"2023-03-23 00:00:00",647091,1299
"2023-03-22 00:00:00",645792,1211
"2023-03-21 00:00:00",644581,0
"2023-03-20 00:00:00",644581,2318
"2023-03-19 00:00:00",642263,1386
"2023-03-18 00:00:00",640877,1456
"2023-03-17 00:00:00",639421,1460
"2023-03-16 00:00:00",637961,1562
"2023-03-15 00:00:00",636399,1291
"2023-03-14 00:00:00",635108,0
"2023-03-13 00:00:00",635108,2514
"2023-03-12 00:00:00",632594,0
"2023-03-11 00:00:00",632594,2848
"2023-03-10 00:00:00",629746,1457
"2023-03-09 00:00:00",628289,1464
"2023-03-08 00:00:00",626825,1294
"2023-03-07 00:00:00",625531,1286
"2023-03-06 00:00:00",624245,1373
"2023-03-05 00:00:00",622872,1484
"2023-03-04 00:00:00",621388,1564
"2023-03-03 00:00:00",619824,0
"2023-03-02 00:00:00",619824,2893
"2023-03-01 00:00:00",616931,1365
"2023-02-28 00:00:00",615566,1154
"2023-02-27 00:00:00",614412,0
"2023-02-26 00:00:00",614412,2738
"2023-02-25 00:00:00",611674,1403
"2023-02-24 00:00:00",610271,1341
"2023-02-23 00:00:00",608930,1353
"2023-02-22 00:00:00",607577,1275
"2023-02-21 00:00:00",606302,0
"2023-02-20 00:00:00",606302,2747
"2023-02-19 00:00:00",603555,1604
"2023-02-18 00:00:00",601951,0
"2023-02-17 00:00:00",601951,3262
"2023-02-16 00:00:00",598689,1517
"2023-02-15 00:00:00",597172,1349
"2023-02-14 00:00:00",595823,1307
"2023-02-13 00:00:00",594516,1500
"2023-02-12 00:00:00",593016,1651
"2023-02-11 00:00:00",591365,0
"2023-02-10 00:00:00",591365,3006
"2023-02-09 00:00:00",588359,1506
"2023-02-08 00:00:00",586853,0
"2023-02-07 00:00:00",586853,2597
"2023-02-06 00:00:00",584256,1379
"2023-02-05 00:00:00",582877,1568
"2023-02-04 00:00:00",581309,1657
"2023-02-03 00:00:00",579652,1584
"2023-02-02 00:00:00",578068,1630
"2023-02-01 00:00:00",576438,1565
"2023-01-31 00:00:00",574873,1407
"2023-01-30 00:00:00",573466,1674
"2023-01-29 00:00:00",571792,838
"2023-01-28 00:00:00",570954,838
"2023-01-27 00:00:00",570116,3145
"2023-01-26 00:00:00",566971,0
"2023-01-25 00:00:00",566971,3005
"2023-01-24 00:00:00",563966,1295
"2023-01-23 00:00:00",562671,1507
"2023-01-22 00:00:00",561164,1622
"2023-01-21 00:00:00",559542,1702
"2023-01-20 00:00:00",557840,1671
"2023-01-19 00:00:00",556169,1636
"2023-01-18 00:00:00",554533,1508
"2023-01-17 00:00:00",553025,1307
"2023-01-16 00:00:00",551718,1534
"2023-01-15 00:00:00",550184,1763
"2023-01-14 00:00:00",548421,1835
"2023-01-13 00:00:00",546586,1855
"2023-01-12 00:00:00",544731,1746
"2023-01-11 00:00:00",542985,1684
