"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",4535754,0
"2023-05-13 00:00:00",4535754,19814
"2023-05-12 00:00:00",4515940,9960
"2023-05-11 00:00:00",4505980,9530
"2023-05-10 00:00:00",4496450,8970
"2023-05-09 00:00:00",4487481,8970
"2023-05-08 00:00:00",4478511,0
"2023-05-07 00:00:00",4478511,19118
"2023-05-06 00:00:00",4459393,9522
"2023-05-05 00:00:00",4449871,9522
"2023-05-04 00:00:00",4440349,9677
"2023-05-03 00:00:00",4430672,9717
"2023-05-02 00:00:00",4420955,9028
"2023-05-01 00:00:00",4411927,9673
"2023-04-30 00:00:00",4402254,10499
"2023-04-29 00:00:00",4391756,10499
"2023-04-28 00:00:00",4381257,0
"2023-04-27 00:00:00",4381257,21130
"2023-04-26 00:00:00",4360127,5114
"2023-04-25 00:00:00",4355014,5114
"2023-04-24 00:00:00",4349900,14352
"2023-04-23 00:00:00",4335549,14352
"2023-04-22 00:00:00",4321197,10360
"2023-04-21 00:00:00",4310837,0
"2023-04-20 00:00:00",4310837,19483
"2023-04-19 00:00:00",4291354,9579
"2023-04-18 00:00:00",4281775,9059
"2023-04-17 00:00:00",4272716,9728
"2023-04-16 00:00:00",4262988,10745
"2023-04-15 00:00:00",4252243,0
"2023-04-14 00:00:00",4252243,10318
"2023-04-13 00:00:00",4241925,21560
"2023-04-12 00:00:00",4220365,9973
"2023-04-11 00:00:00",4210392,9030
"2023-04-10 00:00:00",4201362,10163
"2023-04-09 00:00:00",4191199,10701
"2023-04-08 00:00:00",4180498,11207
"2023-04-07 00:00:00",4169291,11079
"2023-04-06 00:00:00",4158212,11260
"2023-04-05 00:00:00",4146952,11076
"2023-04-04 00:00:00",4135876,0
"2023-04-03 00:00:00",4135876,21861
"2023-04-02 00:00:00",4114015,11762
"2023-04-01 00:00:00",4102253,11666
"2023-03-31 00:00:00",4090587,11689
"2023-03-30 00:00:00",4078898,12060
"2023-03-29 00:00:00",4066838,11534
"2023-03-28 00:00:00",4055304,10467
"2023-03-27 00:00:00",4044837,11582
"2023-03-26 00:00:00",4033255,12340
"2023-03-25 00:00:00",4020915,12441
"2023-03-24 00:00:00",4008474,12654
"2023-03-23 00:00:00",3995820,12955
"2023-03-22 00:00:00",3982865,12636
"2023-03-21 00:00:00",3970229,0
"2023-03-20 00:00:00",3970229,24801
"2023-03-19 00:00:00",3945428,13489
"2023-03-18 00:00:00",3931939,13220
"2023-03-17 00:00:00",3918719,13204
"2023-03-16 00:00:00",3905515,13872
"2023-03-15 00:00:00",3891643,13055
"2023-03-14 00:00:00",3878588,12416
"2023-03-13 00:00:00",3866172,0
"2023-03-12 00:00:00",3866172,28097
"2023-03-11 00:00:00",3838075,0
"2023-03-10 00:00:00",3838075,29415
"2023-03-09 00:00:00",3808660,14506
"2023-03-08 00:00:00",3794154,15351
"2023-03-07 00:00:00",3778803,13669
"2023-03-06 00:00:00",3765134,15047
"2023-03-05 00:00:00",3750087,16886
"2023-03-04 00:00:00",3733201,18070
"2023-03-03 00:00:00",3715131,21033
"2023-03-02 00:00:00",3694098,25910
"2023-03-01 00:00:00",3668188,18101
"2023-02-28 00:00:00",3650087,0
"2023-02-27 00:00:00",3650087,36934
"2023-02-26 00:00:00",3613153,22286
"2023-02-25 00:00:00",3590867,32579
"2023-02-24 00:00:00",3558288,45080
"2023-02-23 00:00:00",3513208,11436
"2023-02-22 00:00:00",3501772,0
"2023-02-21 00:00:00",3501772,21693
"2023-02-20 00:00:00",3480079,11798
"2023-02-19 00:00:00",3468281,12190
"2023-02-18 00:00:00",3456091,12255
"2023-02-17 00:00:00",3443836,12293
"2023-02-16 00:00:00",3431543,12274
"2023-02-15 00:00:00",3419269,11815
"2023-02-14 00:00:00",3407454,11208
"2023-02-13 00:00:00",3396246,11941
"2023-02-12 00:00:00",3384305,12933
"2023-02-11 00:00:00",3371372,12695
"2023-02-10 00:00:00",3358677,12737
"2023-02-09 00:00:00",3345940,12870
"2023-02-08 00:00:00",3333070,12829
"2023-02-07 00:00:00",3320241,11952
"2023-02-06 00:00:00",3308289,12670
"2023-02-05 00:00:00",3295619,13545
"2023-02-04 00:00:00",3282074,13588
"2023-02-03 00:00:00",3268486,0
"2023-02-02 00:00:00",3268486,29427
"2023-02-01 00:00:00",3239059,13733
