Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 11, 2022",404,"7,936",,
"Aug 12, 2022",581,"38,427",,
"Aug 13, 2022",639,"93,820",,
"Aug 14, 2022",693,"95,738",,
"Aug 15, 2022",739,"97,730",,
"Aug 16, 2022",820,"100,433",,
"Aug 17, 2022",862,"101,871",,
"Aug 18, 2022",907,"102,435",,
"Aug 19, 2022",949,"104,455",,
"Aug 20, 2022",984,"104,479",,
"Aug 21, 2022","1,000","95,757",,
"Aug 22, 2022","1,023","96,355",,
"Aug 23, 2022","1,045","96,763",,
"Aug 24, 2022","1,063","97,206",,
"Aug 25, 2022","1,078","97,483",,
"Aug 26, 2022","1,100","98,264",,
"Aug 27, 2022","1,117","98,534",,
"Aug 28, 2022","1,134","98,689",,
"Aug 29, 2022","1,144","97,973",,
"Aug 30, 2022","1,155","98,273",,
"Aug 31, 2022","1,172","99,221",,
"Sep 01, 2022","1,189","99,275",,
"Sep 02, 2022","1,196","99,277",,
"Sep 03, 2022","1,204","99,680",,
"Sep 04, 2022","1,212","99,007",,
"Sep 05, 2022","1,225","98,867",,
"Sep 06, 2022","1,229","98,333",,
"Sep 07, 2022","1,231","98,519",,
"Sep 08, 2022","1,244","99,419",,
"Sep 09, 2022","1,260","100,834",,
"Sep 10, 2022","1,271","101,071",,
"Sep 11, 2022","1,278","100,553",,
"Sep 12, 2022","1,292","100,817",,
"Sep 13, 2022","1,302","101,140",,
"Sep 14, 2022","1,314","101,589",,
"Sep 15, 2022","1,324","102,052",,
"Sep 16, 2022","1,334","102,597",,
"Sep 17, 2022","1,341","102,849",,
"Sep 18, 2022","1,349","103,144",,
"Sep 19, 2022","1,359","103,616",,
"Sep 20, 2022","1,368","111,639",,
"Sep 21, 2022","1,377","111,902",,
"Sep 22, 2022","1,382","112,285",,
"Sep 23, 2022","1,392","112,827",,
"Sep 24, 2022","1,399","114,634",,
"Sep 25, 2022","1,401","114,793",,
"Sep 26, 2022","1,404","114,966",,
"Sep 27, 2022","1,411","115,270",,
"Sep 28, 2022","1,412","115,596",,
"Sep 29, 2022","1,420","116,249",,
"Sep 30, 2022","1,426","116,553",,
"Oct 01, 2022","1,433","116,792",,
"Oct 02, 2022","1,438","117,050",,
"Oct 03, 2022","1,443","117,254",,
"Oct 04, 2022","1,449","117,564",,
"Oct 05, 2022","1,457","122,652",,
"Oct 06, 2022","1,464","122,889",,
"Oct 07, 2022","1,476","123,428",,
"Oct 08, 2022","1,478","123,609",,
"Oct 09, 2022","1,484","124,280",,
"Oct 10, 2022","1,491","124,435",,
"Oct 11, 2022","1,496","124,744",,
"Oct 12, 2022","1,505","124,975",,
"Oct 13, 2022","1,510","125,212",,
"Oct 14, 2022","1,513","125,479",,
"Oct 15, 2022","1,522","125,662",,
"Oct 16, 2022","1,524","125,891",,
"Oct 17, 2022","1,529","126,070",,
"Oct 18, 2022","1,534","126,207",,
"Oct 19, 2022","1,541","127,466",,
"Oct 20, 2022","1,552","127,740",,
"Oct 21, 2022","1,558","127,717",,
"Oct 22, 2022","1,563","134,334",,
"Oct 23, 2022","1,570","134,635",,
"Oct 24, 2022","1,577","134,820",,
"Oct 25, 2022","1,584","134,988",,
"Oct 26, 2022","1,596","135,258",,
"Oct 27, 2022","1,600","135,312",,
"Oct 28, 2022","1,614","136,644",,
"Oct 29, 2022","1,621","137,054",,
"Oct 30, 2022","1,629","140,344",,
"Oct 31, 2022","1,642","140,842",,
"Nov 01, 2022","1,651","141,269",,
"Nov 02, 2022","1,663","141,737",,
"Nov 03, 2022","1,670","142,239",,
"Nov 04, 2022","1,677","142,662",,
"Nov 05, 2022","1,685","143,376",,
"Nov 06, 2022","1,697","143,745",,
"Nov 07, 2022","1,707","144,133",,
"Nov 08, 2022","1,722","153,640",,
"Nov 09, 2022","1,725","154,067",,
"Nov 10, 2022","1,735","154,799",,
"Nov 11, 2022","1,743","156,110",,
"Nov 12, 2022","1,746","156,541",,
"Nov 13, 2022","1,755","156,999",,
"Nov 14, 2022","1,767","158,286",,
"Nov 15, 2022","1,777","158,925",,
"Nov 16, 2022","1,784","160,096",,
"Nov 17, 2022","1,775","161,793",,
"Nov 18, 2022","1,721","168,196",,
"Nov 19, 2022","1,731","168,307",,
"Nov 20, 2022","1,743","169,415",,
"Nov 21, 2022","1,765","169,936",,
"Nov 22, 2022","1,790","171,482",,
"Nov 23, 2022","1,802","171,914",,
"Nov 24, 2022","1,819","172,754",,
"Nov 25, 2022","1,831","173,900",,
"Nov 26, 2022","1,838","174,211",,
"Nov 27, 2022","1,851","175,606",,
"Nov 28, 2022","1,890","176,420",,
"Nov 29, 2022","1,918","177,230",,
"Nov 30, 2022","1,945","177,831",,
"Dec 01, 2022","1,964","178,010",,
"Dec 02, 2022","1,974","178,813",,
"Dec 03, 2022","1,960","178,406",,
"Dec 04, 2022","1,967","179,653",,
"Dec 05, 2022","1,965","178,263",,
"Dec 06, 2022","1,974","180,574",,
"Dec 07, 2022","1,968","178,709",,
"Dec 08, 2022","1,959","178,954",,
"Dec 09, 2022","1,951","178,547",,
"Dec 10, 2022","1,953","185,467",,
"Dec 11, 2022","1,962","180,670",,
"Dec 12, 2022","1,979","181,975",,
"Dec 13, 2022","1,981","182,704",,
"Dec 14, 2022","1,988","183,959",,
"Dec 15, 2022","1,987","181,014",,
"Dec 16, 2022","1,999","191,205",,
"Dec 17, 2022","2,001","184,846",,
"Dec 18, 2022","2,005","173,487",,
