"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",2899656,0
"2023-05-13 00:00:00",2899656,12747
"2023-05-12 00:00:00",2886909,6563
"2023-05-11 00:00:00",2880346,6217
"2023-05-10 00:00:00",2874129,6044
"2023-05-09 00:00:00",2868085,6044
"2023-05-08 00:00:00",2862041,0
"2023-05-07 00:00:00",2862041,12811
"2023-05-06 00:00:00",2849230,6640
"2023-05-05 00:00:00",2842591,6640
"2023-05-04 00:00:00",2835951,6588
"2023-05-03 00:00:00",2829363,6531
"2023-05-02 00:00:00",2822832,5910
"2023-05-01 00:00:00",2816922,6325
"2023-04-30 00:00:00",2810597,6824
"2023-04-29 00:00:00",2803773,6824
"2023-04-28 00:00:00",2796949,0
"2023-04-27 00:00:00",2796949,13722
"2023-04-26 00:00:00",2783227,3234
"2023-04-25 00:00:00",2779994,3234
"2023-04-24 00:00:00",2776760,9468
"2023-04-23 00:00:00",2767292,9468
"2023-04-22 00:00:00",2757824,6917
"2023-04-21 00:00:00",2750907,0
"2023-04-20 00:00:00",2750907,13516
"2023-04-19 00:00:00",2737391,6723
"2023-04-18 00:00:00",2730668,5907
"2023-04-17 00:00:00",2724761,6507
"2023-04-16 00:00:00",2718254,6883
"2023-04-15 00:00:00",2711371,0
"2023-04-14 00:00:00",2711371,6820
"2023-04-13 00:00:00",2704551,13453
"2023-04-12 00:00:00",2691098,6540
"2023-04-11 00:00:00",2684558,5757
"2023-04-10 00:00:00",2678801,6481
"2023-04-09 00:00:00",2672320,6891
"2023-04-08 00:00:00",2665429,7139
"2023-04-07 00:00:00",2658290,7245
"2023-04-06 00:00:00",2651045,7221
"2023-04-05 00:00:00",2643824,7187
"2023-04-04 00:00:00",2636637,0
"2023-04-03 00:00:00",2636637,13656
"2023-04-02 00:00:00",2622981,8111
"2023-04-01 00:00:00",2614870,7708
"2023-03-31 00:00:00",2607162,7531
"2023-03-30 00:00:00",2599631,7836
"2023-03-29 00:00:00",2591795,7803
"2023-03-28 00:00:00",2583992,6719
"2023-03-27 00:00:00",2577273,7456
"2023-03-26 00:00:00",2569817,7920
"2023-03-25 00:00:00",2561897,8245
"2023-03-24 00:00:00",2553652,8033
"2023-03-23 00:00:00",2545619,8231
"2023-03-22 00:00:00",2537388,8040
"2023-03-21 00:00:00",2529348,0
"2023-03-20 00:00:00",2529348,15762
"2023-03-19 00:00:00",2513586,8612
"2023-03-18 00:00:00",2504974,8896
"2023-03-17 00:00:00",2496078,8742
"2023-03-16 00:00:00",2487336,9020
"2023-03-15 00:00:00",2478316,8733
"2023-03-14 00:00:00",2469583,8034
"2023-03-13 00:00:00",2461549,0
"2023-03-12 00:00:00",2461549,18212
"2023-03-11 00:00:00",2443337,0
"2023-03-10 00:00:00",2443337,19629
"2023-03-09 00:00:00",2423708,9673
"2023-03-08 00:00:00",2414035,9691
"2023-03-07 00:00:00",2404344,8778
"2023-03-06 00:00:00",2395566,9831
"2023-03-05 00:00:00",2385735,10980
"2023-03-04 00:00:00",2374755,11459
"2023-03-03 00:00:00",2363296,13491
"2023-03-02 00:00:00",2349805,15661
"2023-03-01 00:00:00",2334144,11774
"2023-02-28 00:00:00",2322370,0
"2023-02-27 00:00:00",2322370,23944
"2023-02-26 00:00:00",2298426,15056
"2023-02-25 00:00:00",2283370,21392
"2023-02-24 00:00:00",2261978,26851
"2023-02-23 00:00:00",2235127,7436
"2023-02-22 00:00:00",2227691,0
"2023-02-21 00:00:00",2227691,14312
"2023-02-20 00:00:00",2213379,7387
"2023-02-19 00:00:00",2205992,7843
"2023-02-18 00:00:00",2198149,7774
"2023-02-17 00:00:00",2190375,7693
"2023-02-16 00:00:00",2182682,7566
"2023-02-15 00:00:00",2175116,7429
"2023-02-14 00:00:00",2167687,6881
"2023-02-13 00:00:00",2160806,7571
"2023-02-12 00:00:00",2153235,8363
"2023-02-11 00:00:00",2144872,8192
"2023-02-10 00:00:00",2136680,8062
"2023-02-09 00:00:00",2128618,8552
"2023-02-08 00:00:00",2120066,8372
"2023-02-07 00:00:00",2111694,7495
"2023-02-06 00:00:00",2104199,8264
"2023-02-05 00:00:00",2095935,8998
"2023-02-04 00:00:00",2086937,8535
"2023-02-03 00:00:00",2078402,0
"2023-02-02 00:00:00",2078402,17197
"2023-02-01 00:00:00",2061205,8039
"2023-01-31 00:00:00",2053166,7481
"2023-01-30 00:00:00",2045685,8405
"2023-01-29 00:00:00",2037280,9134
"2023-01-28 00:00:00",2028147,9134
"2023-01-27 00:00:00",2019013,9155
"2023-01-26 00:00:00",2009858,9241
"2023-01-25 00:00:00",2000617,9182
"2023-01-24 00:00:00",1991435,7595
"2023-01-23 00:00:00",1983840,8344
"2023-01-22 00:00:00",1975496,9302
"2023-01-21 00:00:00",1966194,8816
"2023-01-20 00:00:00",1957378,9221
"2023-01-19 00:00:00",1948157,9323
"2023-01-18 00:00:00",1938834,8942
"2023-01-17 00:00:00",1929892,8567
"2023-01-16 00:00:00",1921325,0
"2023-01-15 00:00:00",1921325,19348
"2023-01-14 00:00:00",1901977,10539
"2023-01-13 00:00:00",1891438,9620
"2023-01-12 00:00:00",1881818,9507
"2023-01-11 00:00:00",1872311,9371
"2023-01-10 00:00:00",1862940,8733
"2023-01-09 00:00:00",1854207,9490
"2023-01-08 00:00:00",1844717,10120
"2023-01-07 00:00:00",1834597,9928
"2023-01-06 00:00:00",1824669,9983
"2023-01-05 00:00:00",1814686,9846
"2023-01-04 00:00:00",1804840,9359
"2023-01-03 00:00:00",1795481,8170
"2023-01-02 00:00:00",1787311,9298
"2023-01-01 00:00:00",1778013,0
"2022-12-31 00:00:00",1778013,20384
"2022-12-30 00:00:00",1757629,0
"2022-12-29 00:00:00",1757629,20575
"2022-12-28 00:00:00",1737054,9540
"2022-12-27 00:00:00",1727514,8241
"2022-12-26 00:00:00",1719273,9984
"2022-12-25 00:00:00",1709289,11200
"2022-12-24 00:00:00",1698089,11963
"2022-12-23 00:00:00",1686126,12473
"2022-12-22 00:00:00",1673653,12632
"2022-12-21 00:00:00",1661021,12858
"2022-12-20 00:00:00",1648163,11497
"2022-12-19 00:00:00",1636666,12918
"2022-12-18 00:00:00",1623748,13355
"2022-12-17 00:00:00",1610393,13870
"2022-12-16 00:00:00",1596523,13964
"2022-12-15 00:00:00",1582559,13784
"2022-12-14 00:00:00",1568775,13809
"2022-12-13 00:00:00",1554966,13420
"2022-12-12 00:00:00",1541546,13818
"2022-12-11 00:00:00",1527728,14851
"2022-12-10 00:00:00",1512877,15060
"2022-12-09 00:00:00",1497817,14496
"2022-12-08 00:00:00",1483321,14209
"2022-12-07 00:00:00",1469112,14168
"2022-12-06 00:00:00",1454944,15091
"2022-12-05 00:00:00",1439853,15091
"2022-12-04 00:00:00",1424763,15091
"2022-12-03 00:00:00",1409672,15091
"2022-12-02 00:00:00",1394582,15091
"2022-12-01 00:00:00",1379491,0
"2022-11-30 00:00:00",1379491,29686
"2022-11-29 00:00:00",1349805,14090
"2022-11-28 00:00:00",1335715,14908
"2022-11-27 00:00:00",1320807,15712
"2022-11-26 00:00:00",1305095,14829
"2022-11-25 00:00:00",1290266,16093
"2022-11-24 00:00:00",1274173,15948
"2022-11-23 00:00:00",1258225,16360
"2022-11-22 00:00:00",1241865,16804
"2022-11-21 00:00:00",1225061,18731
"2022-11-20 00:00:00",1206330,19956
"2022-11-19 00:00:00",1186374,21222
"2022-11-18 00:00:00",1165152,22848
"2022-11-17 00:00:00",1142304,24423
"2022-11-16 00:00:00",1117881,19333
"2022-11-15 00:00:00",1098548,13789
"2022-11-14 00:00:00",1084759,12866
"2022-11-13 00:00:00",1071893,12497
"2022-11-12 00:00:00",1059396,11562
"2022-11-11 00:00:00",1047834,10794
"2022-11-10 00:00:00",1037040,10540
"2022-11-09 00:00:00",1026500,10546
"2022-11-08 00:00:00",1015954,9580
"2022-11-07 00:00:00",1006374,10723
"2022-11-06 00:00:00",995651,11372
"2022-11-05 00:00:00",984279,11892
"2022-11-04 00:00:00",972387,11644
"2022-11-03 00:00:00",960743,11170
"2022-11-02 00:00:00",949573,11363
"2022-11-01 00:00:00",938210,10233
"2022-10-31 00:00:00",927977,9958
"2022-10-30 00:00:00",918019,10282
"2022-10-29 00:00:00",907737,9455
"2022-10-28 00:00:00",898282,8896
"2022-10-27 00:00:00",889386,8521
"2022-10-26 00:00:00",880865,8048
"2022-10-25 00:00:00",872817,7384
"2022-10-24 00:00:00",865433,7571
"2022-10-23 00:00:00",857862,8003
"2022-10-22 00:00:00",849859,8402
"2022-10-21 00:00:00",841457,7892
"2022-10-20 00:00:00",833565,8133
"2022-10-19 00:00:00",825432,7338
"2022-10-18 00:00:00",818094,6507
"2022-10-17 00:00:00",811587,7381
"2022-10-16 00:00:00",804206,7905
"2022-10-15 00:00:00",796301,7594
"2022-10-14 00:00:00",788707,7936
"2022-10-13 00:00:00",780771,8114
"2022-10-12 00:00:00",772657,8042
"2022-10-11 00:00:00",764615,7001
"2022-10-10 00:00:00",757614,7585
"2022-10-09 00:00:00",750029,9181
"2022-10-08 00:00:00",740848,8894
"2022-10-07 00:00:00",731954,8518
"2022-10-06 00:00:00",723436,8401
"2022-10-05 00:00:00",715035,8313
"2022-10-04 00:00:00",706722,7210
"2022-10-03 00:00:00",699512,7910
"2022-10-02 00:00:00",691602,8655
"2022-10-01 00:00:00",682947,8521
"2022-09-30 00:00:00",674426,7633
"2022-09-29 00:00:00",666793,7378
"2022-09-28 00:00:00",659415,7313
"2022-09-27 00:00:00",652102,7418
"2022-09-26 00:00:00",644684,8047
"2022-09-25 00:00:00",636637,9343
"2022-09-24 00:00:00",627294,8748
"2022-09-23 00:00:00",618546,9152
"2022-09-22 00:00:00",609394,9284
"2022-09-21 00:00:00",600110,8305
"2022-09-20 00:00:00",591805,6904
"2022-09-19 00:00:00",584901,7768
"2022-09-18 00:00:00",577133,9623
"2022-09-17 00:00:00",567510,10926
"2022-09-16 00:00:00",556584,9535
"2022-09-15 00:00:00",547049,8379
"2022-09-14 00:00:00",538670,7897
"2022-09-13 00:00:00",530773,7378
"2022-09-12 00:00:00",523395,8059
"2022-09-11 00:00:00",515336,8867
"2022-09-10 00:00:00",506469,8936
"2022-09-09 00:00:00",497533,9284
"2022-09-08 00:00:00",488249,18668
