"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",2683737,0
"2023-05-13 00:00:00",2683737,11634
"2023-05-12 00:00:00",2672103,5802
"2023-05-11 00:00:00",2666301,5574
"2023-05-10 00:00:00",2660727,5462
"2023-05-09 00:00:00",2655265,5462
"2023-05-08 00:00:00",2649803,0
"2023-05-07 00:00:00",2649803,11688
"2023-05-06 00:00:00",2638115,5935
"2023-05-05 00:00:00",2632181,5935
"2023-05-04 00:00:00",2626246,5883
"2023-05-03 00:00:00",2620363,5811
"2023-05-02 00:00:00",2614552,5579
"2023-05-01 00:00:00",2608973,5835
"2023-04-30 00:00:00",2603138,6341
"2023-04-29 00:00:00",2596797,6341
"2023-04-28 00:00:00",2590456,0
"2023-04-27 00:00:00",2590456,12296
"2023-04-26 00:00:00",2578160,2927
"2023-04-25 00:00:00",2575233,2927
"2023-04-24 00:00:00",2572306,8510
"2023-04-23 00:00:00",2563796,8510
"2023-04-22 00:00:00",2555286,6339
"2023-04-21 00:00:00",2548947,0
"2023-04-20 00:00:00",2548947,12019
"2023-04-19 00:00:00",2536928,6060
"2023-04-18 00:00:00",2530868,5487
"2023-04-17 00:00:00",2525381,6045
"2023-04-16 00:00:00",2519336,6527
"2023-04-15 00:00:00",2512809,0
"2023-04-14 00:00:00",2512809,6207
"2023-04-13 00:00:00",2506602,12691
"2023-04-12 00:00:00",2493911,5967
"2023-04-11 00:00:00",2487944,5447
"2023-04-10 00:00:00",2482497,5821
"2023-04-09 00:00:00",2476676,6226
"2023-04-08 00:00:00",2470450,6723
"2023-04-07 00:00:00",2463727,6499
"2023-04-06 00:00:00",2457228,6494
"2023-04-05 00:00:00",2450734,6346
"2023-04-04 00:00:00",2444388,0
"2023-04-03 00:00:00",2444388,12433
"2023-04-02 00:00:00",2431955,6989
"2023-04-01 00:00:00",2424966,6659
"2023-03-31 00:00:00",2418307,6727
"2023-03-30 00:00:00",2411580,7035
"2023-03-29 00:00:00",2404545,6730
"2023-03-28 00:00:00",2397815,6310
"2023-03-27 00:00:00",2391505,6810
"2023-03-26 00:00:00",2384695,7098
"2023-03-25 00:00:00",2377597,7173
"2023-03-24 00:00:00",2370424,7235
"2023-03-23 00:00:00",2363189,7497
"2023-03-22 00:00:00",2355692,7309
"2023-03-21 00:00:00",2348383,0
"2023-03-20 00:00:00",2348383,14419
"2023-03-19 00:00:00",2333964,8061
"2023-03-18 00:00:00",2325903,7803
"2023-03-17 00:00:00",2318100,8097
"2023-03-16 00:00:00",2310003,8082
"2023-03-15 00:00:00",2301921,7748
"2023-03-14 00:00:00",2294173,7519
"2023-03-13 00:00:00",2286654,0
"2023-03-12 00:00:00",2286654,16805
"2023-03-11 00:00:00",2269849,0
"2023-03-10 00:00:00",2269849,17890
"2023-03-09 00:00:00",2251959,8648
"2023-03-08 00:00:00",2243311,8503
"2023-03-07 00:00:00",2234808,8085
"2023-03-06 00:00:00",2226723,8925
"2023-03-05 00:00:00",2217798,9895
"2023-03-04 00:00:00",2207903,10725
"2023-03-03 00:00:00",2197178,12704
"2023-03-02 00:00:00",2184474,14869
"2023-03-01 00:00:00",2169605,10356
"2023-02-28 00:00:00",2159249,0
"2023-02-27 00:00:00",2159249,22423
"2023-02-26 00:00:00",2136826,14038
"2023-02-25 00:00:00",2122788,20653
"2023-02-24 00:00:00",2102135,26798
"2023-02-23 00:00:00",2075337,6395
"2023-02-22 00:00:00",2068942,0
"2023-02-21 00:00:00",2068942,12411
"2023-02-20 00:00:00",2056531,6579
"2023-02-19 00:00:00",2049952,7014
"2023-02-18 00:00:00",2042938,6872
"2023-02-17 00:00:00",2036066,6643
"2023-02-16 00:00:00",2029423,6560
"2023-02-15 00:00:00",2022863,6522
"2023-02-14 00:00:00",2016341,6241
"2023-02-13 00:00:00",2010100,6562
"2023-02-12 00:00:00",2003538,7114
"2023-02-11 00:00:00",1996424,7023
"2023-02-10 00:00:00",1989401,7102
"2023-02-09 00:00:00",1982299,7052
"2023-02-08 00:00:00",1975247,7345
"2023-02-07 00:00:00",1967902,6423
"2023-02-06 00:00:00",1961479,7032
"2023-02-05 00:00:00",1954447,7350
"2023-02-04 00:00:00",1947097,7397
"2023-02-03 00:00:00",1939700,0
"2023-02-02 00:00:00",1939700,14273
"2023-02-01 00:00:00",1925427,7121
"2023-01-31 00:00:00",1918306,6749
"2023-01-30 00:00:00",1911557,7450
"2023-01-29 00:00:00",1904107,8062
"2023-01-28 00:00:00",1896046,8062
"2023-01-27 00:00:00",1887984,7893
"2023-01-26 00:00:00",1880091,8181
"2023-01-25 00:00:00",1871910,7978
"2023-01-24 00:00:00",1863932,7274
"2023-01-23 00:00:00",1856658,7608
"2023-01-22 00:00:00",1849050,8461
"2023-01-21 00:00:00",1840589,8283
"2023-01-20 00:00:00",1832306,8507
"2023-01-19 00:00:00",1823799,8880
"2023-01-18 00:00:00",1814919,8450
"2023-01-17 00:00:00",1806469,8001
"2023-01-16 00:00:00",1798468,0
"2023-01-15 00:00:00",1798468,17827
"2023-01-14 00:00:00",1780641,9271
"2023-01-13 00:00:00",1771370,8798
"2023-01-12 00:00:00",1762572,8714
"2023-01-11 00:00:00",1753858,8947
"2023-01-10 00:00:00",1744911,8305
"2023-01-09 00:00:00",1736606,8951
"2023-01-08 00:00:00",1727655,9513
"2023-01-07 00:00:00",1718142,9209
"2023-01-06 00:00:00",1708933,8987
"2023-01-05 00:00:00",1699946,9387
"2023-01-04 00:00:00",1690559,8788
"2023-01-03 00:00:00",1681771,7417
"2023-01-02 00:00:00",1674354,8604
"2023-01-01 00:00:00",1665750,0
"2022-12-31 00:00:00",1665750,19266
"2022-12-30 00:00:00",1646484,0
"2022-12-29 00:00:00",1646484,19765
"2022-12-28 00:00:00",1626719,9090
"2022-12-27 00:00:00",1617629,7910
"2022-12-26 00:00:00",1609719,9604
"2022-12-25 00:00:00",1600115,10503
"2022-12-24 00:00:00",1589612,11371
"2022-12-23 00:00:00",1578241,12243
"2022-12-22 00:00:00",1565998,12038
"2022-12-21 00:00:00",1553960,12288
"2022-12-20 00:00:00",1541672,10993
"2022-12-19 00:00:00",1530679,12260
"2022-12-18 00:00:00",1518419,13162
"2022-12-17 00:00:00",1505257,13000
"2022-12-16 00:00:00",1492257,13244
"2022-12-15 00:00:00",1479013,13267
"2022-12-14 00:00:00",1465746,13432
"2022-12-13 00:00:00",1452314,12707
"2022-12-12 00:00:00",1439607,13297
"2022-12-11 00:00:00",1426310,14299
"2022-12-10 00:00:00",1412011,15149
"2022-12-09 00:00:00",1396862,14524
"2022-12-08 00:00:00",1382338,14012
"2022-12-07 00:00:00",1368326,14000
"2022-12-06 00:00:00",1354326,14779
"2022-12-05 00:00:00",1339547,14779
"2022-12-04 00:00:00",1324768,14779
"2022-12-03 00:00:00",1309990,14779
"2022-12-02 00:00:00",1295211,14779
"2022-12-01 00:00:00",1280432,0
"2022-11-30 00:00:00",1280432,29595
"2022-11-29 00:00:00",1250837,14601
"2022-11-28 00:00:00",1236236,14804
"2022-11-27 00:00:00",1221432,15559
"2022-11-26 00:00:00",1205873,15003
"2022-11-25 00:00:00",1190870,16538
"2022-11-24 00:00:00",1174332,16666
"2022-11-23 00:00:00",1157666,16981
"2022-11-22 00:00:00",1140685,17396
"2022-11-21 00:00:00",1123289,19191
"2022-11-20 00:00:00",1104098,21061
"2022-11-19 00:00:00",1083037,21885
"2022-11-18 00:00:00",1061152,23540
"2022-11-17 00:00:00",1037612,25150
"2022-11-16 00:00:00",1012462,20037
"2022-11-15 00:00:00",992425,14114
"2022-11-14 00:00:00",978311,13025
"2022-11-13 00:00:00",965286,12436
"2022-11-12 00:00:00",952850,11316
"2022-11-11 00:00:00",941534,10723
"2022-11-10 00:00:00",930811,10425
"2022-11-09 00:00:00",920386,10621
"2022-11-08 00:00:00",909765,9776
"2022-11-07 00:00:00",899989,10724
"2022-11-06 00:00:00",889265,11487
"2022-11-05 00:00:00",877778,12035
"2022-11-04 00:00:00",865743,11953
"2022-11-03 00:00:00",853790,11111
"2022-11-02 00:00:00",842679,11446
"2022-11-01 00:00:00",831233,10209
"2022-10-31 00:00:00",821024,9801
"2022-10-30 00:00:00",811223,9929
"2022-10-29 00:00:00",801294,9090
"2022-10-28 00:00:00",792204,8220
"2022-10-27 00:00:00",783984,8329
"2022-10-26 00:00:00",775655,7437
"2022-10-25 00:00:00",768218,6694
"2022-10-24 00:00:00",761524,6854
"2022-10-23 00:00:00",754670,7173
"2022-10-22 00:00:00",747497,7114
