Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 11, 2022",266,"5,594",,
"Aug 12, 2022",364,"7,994",,
"Aug 13, 2022",395,"8,715",,
"Aug 14, 2022",428,"9,838",,
"Aug 15, 2022",457,"9,938",,
"Aug 16, 2022",498,"10,626",,
"Aug 17, 2022",530,"11,559",,
"Aug 18, 2022",545,"11,698",,
"Aug 19, 2022",560,"11,809",,
"Aug 20, 2022",571,"11,091",,
"Aug 21, 2022",582,"11,208",,
"Aug 22, 2022",591,"11,453",,
"Aug 23, 2022",596,"11,579",,
"Aug 24, 2022",600,"11,745",,
"Aug 25, 2022",604,"11,784",,
"Aug 26, 2022",614,"11,846",,
"Aug 27, 2022",618,"11,900",,
"Aug 28, 2022",622,"11,813",,
"Aug 29, 2022",621,"10,894",,
"Aug 30, 2022",623,"10,946",,
"Aug 31, 2022",629,"11,192",,
"Sep 01, 2022",633,"11,735",,
"Sep 02, 2022",635,"11,762",,
"Sep 03, 2022",639,"12,115",,
"Sep 04, 2022",643,"12,147",,
"Sep 05, 2022",648,"12,211",,
"Sep 06, 2022",650,"12,285",,
"Sep 07, 2022",650,"12,381",,
"Sep 08, 2022",653,"12,568",,
"Sep 09, 2022",658,"13,645",,
"Sep 10, 2022",663,"64,318",,
"Sep 11, 2022",668,"64,455",,
"Sep 12, 2022",672,"64,523",,
"Sep 13, 2022",679,"14,071",,
"Sep 14, 2022",682,"14,220",,
"Sep 15, 2022",685,"14,433",,
"Sep 16, 2022",690,"14,840",,
"Sep 17, 2022",690,"14,839",,
"Sep 18, 2022",694,"14,928",,
"Sep 19, 2022",697,"14,972",,
"Sep 20, 2022",698,"14,986",,
"Sep 21, 2022",701,"66,865",,
"Sep 22, 2022",707,"67,019",,
"Sep 23, 2022",711,"67,186",,
"Sep 24, 2022",713,"17,174",,
"Sep 25, 2022",714,"17,236",,
"Sep 26, 2022",714,"17,287",,
"Sep 27, 2022",719,"17,586",,
"Sep 28, 2022",721,"17,652",,
"Sep 29, 2022",725,"17,736",,
"Sep 30, 2022",729,"17,795",,
"Oct 01, 2022",730,"17,845",,
"Oct 02, 2022",735,"17,943",,
"Oct 03, 2022",739,"18,020",,
"Oct 04, 2022",741,"18,066",,
"Oct 05, 2022",745,"18,171",,
"Oct 06, 2022",746,"18,206",,
"Oct 07, 2022",750,"18,277",,
"Oct 08, 2022",751,"18,347",,
"Oct 09, 2022",755,"18,861",,
"Oct 10, 2022",757,"18,912",,
"Oct 11, 2022",760,"19,088",,
"Oct 12, 2022",764,"19,126",,
"Oct 13, 2022",764,"19,227",,
"Oct 14, 2022",764,"19,262",,
"Oct 15, 2022",767,"19,336",,
"Oct 16, 2022",767,"19,355",,
"Oct 17, 2022",769,"19,394",,
"Oct 18, 2022",771,"19,446",,
"Oct 19, 2022",774,"19,485",,
"Oct 20, 2022",775,"19,503",,
"Oct 21, 2022",778,"19,566",,
"Oct 22, 2022",779,"19,649",,
"Oct 23, 2022",780,"19,754",,
"Oct 24, 2022",782,"19,741",,
"Oct 25, 2022",784,"19,797",,
"Oct 26, 2022",785,"19,876",,
"Oct 27, 2022",790,"19,985",,
"Oct 28, 2022",795,"20,143",,
"Oct 29, 2022",799,"20,212",,
"Oct 30, 2022",802,"20,250",,
"Oct 31, 2022",808,"20,461",,
"Nov 01, 2022",812,"20,533",,
"Nov 02, 2022",821,"20,719",,
"Nov 03, 2022",826,"20,759",,
"Nov 04, 2022",827,"20,810",,
"Nov 05, 2022",831,"20,930",,
"Nov 06, 2022",837,"21,108",,
"Nov 07, 2022",841,"21,191",,
"Nov 08, 2022",846,"21,252",,
"Nov 09, 2022",846,"21,451",,
"Nov 10, 2022",849,"21,563",,
"Nov 11, 2022",852,"21,654",,
"Nov 12, 2022",851,"21,664",,
"Nov 13, 2022",850,"21,753",,
"Nov 14, 2022",856,"22,650",,
"Nov 15, 2022",860,"22,764",,
"Nov 16, 2022",859,"22,815",,
"Nov 17, 2022",856,"23,237",,
"Nov 18, 2022",834,"23,082",,
"Nov 19, 2022",838,"23,140",,
"Nov 20, 2022",837,"23,162",,
"Nov 21, 2022",846,"23,410",,
"Nov 22, 2022",855,"23,641",,
"Nov 23, 2022",860,"23,492",,
"Nov 24, 2022",872,"23,577",,
"Nov 25, 2022",879,"23,711",,
"Nov 26, 2022",883,"23,948",,
"Nov 27, 2022",887,"23,963",,
"Nov 28, 2022",911,"24,452",,
"Nov 29, 2022",923,"24,883",,
"Nov 30, 2022",934,"25,104",,
"Dec 01, 2022",939,"25,145",,
"Dec 02, 2022",940,"25,201",,
"Dec 03, 2022",932,"24,579",,
"Dec 04, 2022",933,"24,758",,
"Dec 05, 2022",929,"23,500",,
"Dec 06, 2022",934,"25,499",,
"Dec 07, 2022",932,"24,219",,
"Dec 08, 2022",925,"24,262",,
"Dec 09, 2022",920,"24,248",,
"Dec 10, 2022",922,"24,899",,
"Dec 11, 2022",923,"26,105",,
"Dec 12, 2022",923,"27,303",,
"Dec 13, 2022",926,"27,346",,
"Dec 14, 2022",928,"28,665",,
"Dec 15, 2022",930,"28,583",,
"Dec 16, 2022",933,"29,543",,
"Dec 17, 2022",938,"35,663",,
"Dec 18, 2022",938,"29,905",,
"Dec 19, 2022",942,"31,409",,
"Dec 20, 2022",942,"32,760",,
"Dec 21, 2022",948,"33,268",,
"Dec 22, 2022",948,"34,923",,
"Dec 23, 2022",953,"35,257",,
"Dec 24, 2022",935,"32,079",,
"Dec 25, 2022",925,"33,153",,
"Dec 26, 2022",910,"39,429",,
"Dec 27, 2022",889,"38,310",,
"Dec 28, 2022",881,"39,658",,
"Dec 29, 2022",869,"41,322",,
"Dec 30, 2022",864,"41,659",,
"Dec 31, 2022",843,"38,561",,
"Jan 01, 2023",833,"39,814",,
"Jan 02, 2023",837,"40,313",,
"Jan 03, 2023",831,"38,241",,
"Jan 04, 2023",822,"39,570",,
"Jan 05, 2023",799,"33,000",,
"Jan 06, 2023",780,"32,333",,
"Jan 07, 2023",782,"32,381",,
"Jan 08, 2023",783,"32,691",,
"Jan 09, 2023",783,"32,731",,
"Jan 10, 2023",792,"34,826",,
"Jan 11, 2023",812,"37,647",,
"Jan 12, 2023",822,"38,184",,
"Jan 13, 2023",830,"40,042",,
"Jan 14, 2023",835,"40,751",,
"Jan 15, 2023",843,"40,895",,
"Jan 16, 2023","1,293","47,554",,
"Jan 17, 2023","1,295","47,661",,
"Jan 18, 2023","1,294","47,737",,
"Jan 19, 2023","1,296","47,874",,
"Jan 20, 2023","1,300","47,987",,
"Jan 21, 2023","1,299","48,036",,
"Jan 22, 2023","1,301","48,216",,
"Jan 23, 2023","1,301","48,308",,
"Jan 24, 2023","1,303","48,394",,
"Jan 25, 2023","1,306","48,597",,
"Jan 26, 2023","1,307","48,690",,
"Jan 27, 2023","1,308","48,835",,
"Jan 28, 2023","1,309","48,968",,
"Jan 29, 2023","1,310","49,147",,
"Jan 30, 2023","1,310","49,244",,
"Jan 31, 2023","1,312","49,372",,
"Feb 01, 2023","1,317","49,552",,
"Feb 02, 2023","1,317","49,766",,
"Feb 03, 2023","1,318","49,838",,
"Feb 04, 2023","1,319","50,555",,
"Feb 05, 2023","1,320","50,692",,
"Feb 06, 2023","1,320","50,765",,
"Feb 07, 2023","1,320","50,912",,
"Feb 08, 2023","1,323","51,066",,
"Feb 09, 2023","1,324","51,161",,
"Feb 10, 2023","1,325","51,242",,
"Feb 11, 2023","1,325","51,308",,
"Feb 12, 2023","1,325","51,519",,
"Feb 13, 2023","1,326","51,637",,
"Feb 14, 2023","1,326","51,697",,
"Feb 15, 2023","1,326","51,758",,
"Feb 16, 2023","1,325","51,832",,
"Feb 17, 2023","1,326","51,964",,
"Feb 18, 2023","1,329","52,057",,
"Feb 19, 2023","1,329","52,137",,
"Feb 20, 2023","1,329","52,226",,
"Feb 21, 2023","1,330","52,280",,
"Feb 22, 2023","1,337","84,725",,
"Feb 23, 2023","1,338","84,949",,
"Feb 24, 2023","1,339","88,912",,
"Feb 25, 2023","1,339","89,228",,
"Feb 26, 2023","1,341","92,178",,
"Feb 27, 2023","1,341","92,458",,
"Mar 01, 2023","1,337","92,950",,
"Mar 02, 2023","1,347","93,275",,
"Mar 03, 2023","1,356","99,386",,
"Mar 04, 2023","1,361","99,901",,
"Mar 05, 2023","1,366","100,102",,
"Mar 06, 2023","1,365","100,295",,
"Mar 07, 2023","1,370","100,743",,
"Mar 08, 2023","1,375","100,978",,
"Mar 09, 2023","1,381","101,161",,
"Mar 10, 2023","1,386","101,264",,
"Mar 11, 2023","1,392","101,379",,
"Mar 12, 2023","1,396","101,465",,
"Mar 13, 2023","1,399","101,534",,
"Mar 14, 2023","1,405","101,591",,
"Mar 15, 2023","1,411","101,783",,
"Mar 16, 2023","1,424","101,865",,
"Mar 17, 2023","1,430","102,045",,
"Mar 18, 2023","1,434","102,158",,
"Mar 19, 2023","1,440","102,223",,
"Mar 20, 2023","1,441","102,275",,
"Mar 21, 2023","1,447","102,426",,
"Mar 22, 2023","1,451","102,541",,
"Mar 23, 2023","1,455","102,698",,
