"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",11146249,24446
"2023-05-13 00:00:00",11121803,24514
"2023-05-12 00:00:00",11097289,24690
"2023-05-11 00:00:00",11072599,24428
"2023-05-10 00:00:00",11048171,23905
"2023-05-09 00:00:00",11024266,21897
"2023-05-08 00:00:00",11002369,22475
"2023-05-07 00:00:00",10979894,24287
"2023-05-06 00:00:00",10955607,24441
"2023-05-05 00:00:00",10931166,23585
"2023-05-04 00:00:00",10907581,24138
"2023-05-03 00:00:00",10883443,22216
"2023-05-02 00:00:00",10861227,20853
"2023-05-01 00:00:00",10840374,21942
"2023-04-30 00:00:00",10818432,24598
"2023-04-29 00:00:00",10793834,25338
"2023-04-28 00:00:00",10768496,26010
"2023-04-27 00:00:00",10742486,26259
"2023-04-26 00:00:00",10716227,25333
"2023-04-25 00:00:00",10690894,23005
"2023-04-24 00:00:00",10667889,24255
"2023-04-23 00:00:00",10643634,27271
"2023-04-22 00:00:00",10616363,26702
"2023-04-21 00:00:00",10589661,26189
"2023-04-20 00:00:00",10563472,26578
"2023-04-19 00:00:00",10536894,24924
"2023-04-18 00:00:00",10511970,21640
"2023-04-17 00:00:00",10490330,22794
"2023-04-16 00:00:00",10467536,24671
"2023-04-15 00:00:00",10442865,24711
"2023-04-14 00:00:00",10418154,24716
"2023-04-13 00:00:00",10393438,25975
"2023-04-12 00:00:00",10367463,24534
"2023-04-11 00:00:00",10342929,21196
"2023-04-10 00:00:00",10321733,23281
"2023-04-09 00:00:00",10298452,24900
"2023-04-08 00:00:00",10273552,27087
"2023-04-07 00:00:00",10246465,27739
"2023-04-06 00:00:00",10218726,28218
"2023-04-05 00:00:00",10190508,27442
"2023-04-04 00:00:00",10163066,24587
"2023-04-03 00:00:00",10138479,26442
"2023-04-02 00:00:00",10112037,29756
"2023-04-01 00:00:00",10082281,31945
"2023-03-31 00:00:00",10050336,33394
"2023-03-30 00:00:00",10016942,31888
"2023-03-29 00:00:00",9985054,31395
"2023-03-28 00:00:00",9953659,28371
"2023-03-27 00:00:00",9925288,30415
"2023-03-26 00:00:00",9894873,32161
"2023-03-25 00:00:00",9862712,30931
"2023-03-24 00:00:00",9831781,29735
"2023-03-23 00:00:00",9802046,29607
"2023-03-22 00:00:00",9772439,29554
"2023-03-21 00:00:00",9742885,26427
"2023-03-20 00:00:00",9716458,28324
"2023-03-19 00:00:00",9688134,30561
"2023-03-18 00:00:00",9657573,31082
"2023-03-17 00:00:00",9626491,32130
"2023-03-16 00:00:00",9594361,31980
"2023-03-15 00:00:00",9562381,30728
"2023-03-14 00:00:00",9531653,28841
"2023-03-13 00:00:00",9502812,30588
"2023-03-12 00:00:00",9472224,33505
