Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 29, 2023",10,"25,082",,
"Apr 30, 2023",22,"28,547",,
"May 01, 2023",34,"30,403",,
"May 02, 2023",48,"33,448",,
"May 03, 2023",56,"36,059",,
"May 04, 2023",80,"34,118",1,43
"May 05, 2023",94,"33,276",1,43
"May 06, 2023",106,"28,392",1,43
"May 07, 2023",124,"28,652",1,43
"May 08, 2023",138,"28,753",1,43
"May 09, 2023",158,"26,008",1,43
"May 10, 2023",175,"26,425",1,43
"May 11, 2023",198,"26,680",1,43
"May 12, 2023",216,"26,649",1,43
"May 13, 2023",241,"27,357",1,43
"May 14, 2023",293,"28,282",1,43
"May 15, 2023",319,"28,437",1,43
"May 16, 2023",341,"28,688",1,43
"May 17, 2023",352,"28,776",1,43
"May 18, 2023",369,"29,637",1,43
"May 19, 2023",383,"29,757",1,43
"May 20, 2023",408,"29,917",1,43
"May 21, 2023",423,"30,010",1,43
"May 22, 2023",440,"30,199",1,43
"May 23, 2023",456,"30,359",1,43
"May 24, 2023",467,"30,268",1,43
"May 25, 2023",479,"30,455",1,43
"May 26, 2023",491,"30,517",1,43
"May 27, 2023",497,"30,580",1,43
"May 28, 2023",499,"30,606",1,43
"May 29, 2023",504,"30,598",1,43
Invalid date,,,,
