"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",399771,11685
"2023-05-28 00:00:00",388086,6996
"2023-05-27 00:00:00",381090,0
"2023-05-26 00:00:00",381090,18414
"2023-05-25 00:00:00",362676,9816
"2023-05-24 00:00:00",352860,9295
"2023-05-23 00:00:00",343565,8341
"2023-05-22 00:00:00",335224,0
"2023-05-21 00:00:00",335224,20239
"2023-05-20 00:00:00",314985,11455
"2023-05-19 00:00:00",303530,11956
"2023-05-18 00:00:00",291574,11172
"2023-05-17 00:00:00",280402,6836
"2023-05-16 00:00:00",273566,6836
"2023-05-15 00:00:00",266729,6836
"2023-05-14 00:00:00",259893,17560
"2023-05-13 00:00:00",242334,17560
"2023-05-12 00:00:00",224774,12369
"2023-05-11 00:00:00",212405,12552
"2023-05-10 00:00:00",199853,12159
"2023-05-09 00:00:00",187694,10983
"2023-05-08 00:00:00",176711,11965
"2023-05-07 00:00:00",164746,16081
"2023-05-06 00:00:00",148665,16081
"2023-05-05 00:00:00",132585,16081
"2023-05-04 00:00:00",116504,18733
"2023-05-03 00:00:00",97771,21139
"2023-05-02 00:00:00",76632,20075
"2023-05-01 00:00:00",56557,23394
"2023-04-30 00:00:00",33163,0
