"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",337922,6911
"2023-05-28 00:00:00",331011,4191
"2023-05-27 00:00:00",326820,0
"2023-05-26 00:00:00",326820,9850
"2023-05-25 00:00:00",316970,5110
"2023-05-24 00:00:00",311860,5077
"2023-05-23 00:00:00",306783,4707
"2023-05-22 00:00:00",302076,0
"2023-05-21 00:00:00",302076,11391
"2023-05-20 00:00:00",290685,6164
"2023-05-19 00:00:00",284521,6458
"2023-05-18 00:00:00",278063,6587
"2023-05-17 00:00:00",271476,4215
"2023-05-16 00:00:00",267261,4215
"2023-05-15 00:00:00",263047,4215
"2023-05-14 00:00:00",258832,11620
"2023-05-13 00:00:00",247212,11620
"2023-05-12 00:00:00",235592,8775
"2023-05-11 00:00:00",226817,9254
"2023-05-10 00:00:00",217563,9322
"2023-05-09 00:00:00",208241,8655
"2023-05-08 00:00:00",199586,10510
"2023-05-07 00:00:00",189076,15651
"2023-05-06 00:00:00",173425,15651
"2023-05-05 00:00:00",157775,15651
"2023-05-04 00:00:00",142124,19268
"2023-05-03 00:00:00",122856,23233
"2023-05-02 00:00:00",99623,22849
"2023-05-01 00:00:00",76774,28741
"2023-04-30 00:00:00",48033,0
