"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",436224,15548
"2023-05-28 00:00:00",420676,8703
"2023-05-27 00:00:00",411973,0
"2023-05-26 00:00:00",411973,21519
"2023-05-25 00:00:00",390454,11316
"2023-05-24 00:00:00",379138,11335
"2023-05-23 00:00:00",367803,9595
"2023-05-22 00:00:00",358208,0
"2023-05-21 00:00:00",358208,21981
"2023-05-20 00:00:00",336227,13032
"2023-05-19 00:00:00",323195,12761
"2023-05-18 00:00:00",310434,12996
"2023-05-17 00:00:00",297438,7973
"2023-05-16 00:00:00",289465,7973
"2023-05-15 00:00:00",281491,7973
"2023-05-14 00:00:00",273518,19491
"2023-05-13 00:00:00",254028,19491
"2023-05-12 00:00:00",234537,13328
"2023-05-11 00:00:00",221209,12963
"2023-05-10 00:00:00",208246,12609
"2023-05-09 00:00:00",195637,11128
"2023-05-08 00:00:00",184509,12586
"2023-05-07 00:00:00",171923,16216
"2023-05-06 00:00:00",155707,16216
"2023-05-05 00:00:00",139492,16216
"2023-05-04 00:00:00",123276,18613
"2023-05-03 00:00:00",104663,21321
"2023-05-02 00:00:00",83342,21589
"2023-05-01 00:00:00",61753,25396
"2023-04-30 00:00:00",36357,0
