Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 29, 2023",12,"1,176,808",1,"1,166,965"
"Apr 30, 2023",21,"1,178,968",1,"1,167,121"
"May 01, 2023",34,"1,213,084",1,"1,167,237"
"May 02, 2023",44,"1,213,266",1,"1,167,356"
"May 03, 2023",52,"1,213,515",1,"1,167,501"
"May 04, 2023",74,"1,211,648",2,"1,167,684"
"May 05, 2023",89,"1,210,935",2,"1,167,841"
"May 06, 2023",100,"1,240,104",2,"1,167,985"
"May 07, 2023",116,"1,240,904",2,"1,168,120"
"May 08, 2023",126,"1,238,850",2,"1,168,236"
"May 09, 2023",144,"1,239,155",2,"1,168,429"
"May 10, 2023",160,"1,239,969",2,"1,168,570"
"May 11, 2023",176,"1,240,250",2,"1,168,740"
"May 12, 2023",192,"1,240,973",2,"1,168,878"
"May 13, 2023",213,"1,241,489",2,"1,169,096"
"May 14, 2023",253,"1,242,305",2,"1,169,239"
"May 15, 2023",275,"1,242,594",2,"1,169,346"
"May 16, 2023",291,"1,242,990",2,"1,169,518"
"May 17, 2023",306,"1,243,257",2,"1,169,675"
"May 18, 2023",320,"1,243,489",2,"1,169,836"
"May 19, 2023",332,"1,212,709",2,"1,169,971"
"May 20, 2023",348,"1,212,975",2,"1,170,136"
"May 21, 2023",363,"1,213,217",2,"1,170,301"
"May 22, 2023",378,"1,213,539",2,"1,170,439"
"May 23, 2023",391,"1,213,807",2,"1,170,571"
"May 24, 2023",402,"1,214,008",2,"1,170,724"
"May 25, 2023",414,"1,214,069",2,"1,170,724"
"May 26, 2023",424,"1,214,132",2,"1,170,724"
"May 27, 2023",433,"1,214,648",2,"1,171,202"
"May 28, 2023",434,"1,214,653",2,"1,171,202"
"May 29, 2023",433,"1,214,894",2,"1,171,504"
Invalid date,,,,
