Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 29, 2023",15,"31,955",,
"Apr 30, 2023",28,"37,130",,
"May 01, 2023",37,"39,611",,
"May 02, 2023",49,"43,661",,
"May 03, 2023",58,"43,779",,
"May 04, 2023",77,"42,422",1,43
"May 05, 2023",86,"42,012",1,43
"May 06, 2023",96,"35,293",1,43
"May 07, 2023",117,"29,406",1,43
"May 08, 2023",138,"29,974",1,43
"May 09, 2023",157,"77,239",1,43
"May 10, 2023",171,"77,317",1,43
"May 11, 2023",184,"78,468",1,43
"May 12, 2023",202,"79,164",1,43
"May 13, 2023",224,"79,559",1,43
"May 14, 2023",265,"80,183",1,43
"May 15, 2023",290,"80,352",1,43
"May 16, 2023",306,"80,550",1,43
"May 17, 2023",322,"80,722",1,43
"May 18, 2023",337,"85,100",1,43
"May 19, 2023",348,"85,159",1,43
"May 20, 2023",368,"85,278",1,43
"May 21, 2023",375,"84,762",1,43
"May 22, 2023",390,"84,571",1,43
"May 23, 2023",403,"84,703",1,43
"May 24, 2023",415,"84,597",1,43
"May 25, 2023",426,"84,685",1,43
"May 26, 2023",435,"84,720",1,43
"May 27, 2023",445,"84,788",1,43
"May 28, 2023",448,"84,819",1,43
"May 29, 2023",452,"84,801",1,43
Invalid date,,,,
