"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",449875,10677
"2023-05-28 00:00:00",439198,6261
"2023-05-27 00:00:00",432937,0
"2023-05-26 00:00:00",432937,15443
"2023-05-25 00:00:00",417494,8126
"2023-05-24 00:00:00",409368,8375
"2023-05-23 00:00:00",400993,7980
"2023-05-22 00:00:00",393013,0
"2023-05-21 00:00:00",393013,19262
"2023-05-20 00:00:00",373751,10763
"2023-05-19 00:00:00",362988,11984
"2023-05-18 00:00:00",351004,12135
"2023-05-17 00:00:00",338869,6210
"2023-05-16 00:00:00",332659,6210
"2023-05-15 00:00:00",326450,6210
"2023-05-14 00:00:00",320240,16406
"2023-05-13 00:00:00",303835,16406
"2023-05-12 00:00:00",287429,12512
"2023-05-11 00:00:00",274917,12657
"2023-05-10 00:00:00",262260,13053
"2023-05-09 00:00:00",249207,12379
"2023-05-08 00:00:00",236828,14489
"2023-05-07 00:00:00",222339,20119
"2023-05-06 00:00:00",202220,20119
"2023-05-05 00:00:00",182101,20119
"2023-05-04 00:00:00",161982,23796
"2023-05-03 00:00:00",138186,27395
"2023-05-02 00:00:00",110791,26831
"2023-05-01 00:00:00",83960,32544
"2023-04-30 00:00:00",51416,0
