Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 23, 2022",75,"10,669",,
"Nov 24, 2022",126,"16,882",,
"Nov 25, 2022",192,"26,681",,
"Nov 26, 2022",236,"27,980",,
"Nov 27, 2022",312,"29,305",,
"Nov 28, 2022",418,"30,682",,
"Nov 29, 2022",486,"31,234",,
"Nov 30, 2022",545,"31,929",,
"Dec 01, 2022",607,"32,585",,
"Dec 02, 2022",667,"34,330",,
"Dec 03, 2022",692,"33,415",,
"Dec 04, 2022",773,"37,454",,
"Dec 05, 2022",884,"38,643",,
"Dec 06, 2022",944,"42,231",,
"Dec 07, 2022",981,"44,180",,
"Dec 08, 2022","1,000","41,842",,
"Dec 09, 2022",996,"38,776",,
"Dec 10, 2022","1,008","55,028",,
"Dec 11, 2022","1,023","65,893",,
"Dec 12, 2022","1,032","64,849",,
"Dec 13, 2022","1,035","65,174",,
"Dec 14, 2022","1,051","67,087",,
"Dec 15, 2022","1,052","65,828",,
"Dec 16, 2022","1,064","75,059",,
"Dec 17, 2022","1,064","68,197",,
"Dec 18, 2022","1,071","72,485",,
"Dec 19, 2022","1,079","74,471",,
"Dec 20, 2022","1,081","68,948",,
"Dec 21, 2022","1,095","74,324",,
"Dec 22, 2022","1,099","76,182",,
"Dec 23, 2022","1,103","73,381",,
"Dec 24, 2022","1,092","71,987",,
"Dec 25, 2022","1,077","75,978",,
"Dec 26, 2022","1,074","77,909",,
"Dec 27, 2022","1,067","75,494",,
"Dec 28, 2022","1,050","80,761",,
"Dec 29, 2022","1,050","79,902",,
"Dec 30, 2022","1,049","76,707",,
"Dec 31, 2022","1,043","74,851",,
"Jan 01, 2023","1,034","75,731",,
"Jan 02, 2023","1,044","75,980",,
"Jan 03, 2023","1,036","75,441",,
"Jan 04, 2023","1,032","70,429",,
"Jan 05, 2023","1,001","66,526",,
"Jan 06, 2023",982,"61,906",,
"Jan 07, 2023",983,"61,906",,
"Jan 08, 2023",985,"61,943",,
"Jan 09, 2023",983,"61,542",,
"Jan 10, 2023","1,016","80,711",,
"Jan 11, 2023","1,060","87,607",,
"Jan 12, 2023","1,084","88,949",,
"Jan 13, 2023","1,125","133,680",,
"Jan 14, 2023","1,139","136,576",,
"Jan 15, 2023","1,178","137,312",,
"Jan 16, 2023","2,230","150,868",,
"Jan 17, 2023","2,247","151,440",,
"Jan 18, 2023","2,260","151,906",,
"Jan 19, 2023","2,270","152,585",,
"Jan 20, 2023","2,282","153,365",,
"Jan 21, 2023","2,292","153,701",,
"Jan 22, 2023","2,301","154,326",,
"Jan 23, 2023","2,314","154,879",,
"Jan 24, 2023","2,325","155,474",,
"Jan 25, 2023","2,334","156,059",,
"Jan 26, 2023","2,342","156,646",,
