"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",3031261,18105
"2023-05-16 00:00:00",3013156,18105
"2023-05-15 00:00:00",2995051,18131
"2023-05-14 00:00:00",2976920,21073
"2023-05-13 00:00:00",2955847,20713
"2023-05-12 00:00:00",2935134,22989
"2023-05-11 00:00:00",2912145,23187
"2023-05-10 00:00:00",2888958,0
"2023-05-09 00:00:00",2888958,43481
"2023-05-08 00:00:00",2845477,21493
"2023-05-07 00:00:00",2823984,22431
"2023-05-06 00:00:00",2801553,23669
"2023-05-05 00:00:00",2777884,26213
"2023-05-04 00:00:00",2751671,26034
"2023-05-03 00:00:00",2725637,0
"2023-05-02 00:00:00",2725637,50834
"2023-05-01 00:00:00",2674803,22925
"2023-04-30 00:00:00",2651878,26032
"2023-04-29 00:00:00",2625846,24118
"2023-04-28 00:00:00",2601728,22719
"2023-04-27 00:00:00",2579009,21645
"2023-04-26 00:00:00",2557364,20764
"2023-04-25 00:00:00",2536600,16896
"2023-04-24 00:00:00",2519705,16896
"2023-04-23 00:00:00",2502809,20400
"2023-04-22 00:00:00",2482409,15318
"2023-04-21 00:00:00",2467091,14310
"2023-04-20 00:00:00",2452781,14350
"2023-04-19 00:00:00",2438431,14913
"2023-04-18 00:00:00",2423518,12422
"2023-04-17 00:00:00",2411096,12877
"2023-04-16 00:00:00",2398219,15467
"2023-04-15 00:00:00",2382752,15309
"2023-04-14 00:00:00",2367443,14681
"2023-04-13 00:00:00",2352762,13934
"2023-04-12 00:00:00",2338828,13137
"2023-04-11 00:00:00",2325691,11504
"2023-04-10 00:00:00",2314187,12782
"2023-04-09 00:00:00",2301405,12950
"2023-04-08 00:00:00",2288455,14047
"2023-04-07 00:00:00",2274408,13654
"2023-04-06 00:00:00",2260754,13943
"2023-04-05 00:00:00",2246811,0
"2023-04-04 00:00:00",2246811,14031
"2023-04-03 00:00:00",2232780,11913
"2023-04-02 00:00:00",2220867,29338
"2023-04-01 00:00:00",2191529,15106
"2023-03-31 00:00:00",2176423,13485
"2023-03-30 00:00:00",2162938,13665
"2023-03-29 00:00:00",2149273,13316
"2023-03-28 00:00:00",2135957,11116
"2023-03-27 00:00:00",2124841,11710
