"DateTime","Spotify Streams","Change"
"2022-12-10 00:00:00",2391669,5136
"2022-12-09 00:00:00",2386533,5347
"2022-12-08 00:00:00",2381186,4861
"2022-12-07 00:00:00",2376325,5744
"2022-12-06 00:00:00",2370581,5744
"2022-12-05 00:00:00",2364837,5744
"2022-12-04 00:00:00",2359093,5744
"2022-12-03 00:00:00",2353349,5744
"2022-12-02 00:00:00",2347605,5744
"2022-12-01 00:00:00",2341861,5744
"2022-11-30 00:00:00",2336117,5744
"2022-11-29 00:00:00",2330374,5744
"2022-11-28 00:00:00",2324630,5744
"2022-11-27 00:00:00",2318886,5744
"2022-11-26 00:00:00",2313142,5744
"2022-11-25 00:00:00",2307398,5744
"2022-11-24 00:00:00",2301654,5744
"2022-11-23 00:00:00",2295910,5744
"2022-11-22 00:00:00",2290166,5744
"2022-11-21 00:00:00",2284422,5744
"2022-11-20 00:00:00",2278678,5744
"2022-11-19 00:00:00",2272934,5744
"2022-11-18 00:00:00",2267190,5744
"2022-11-17 00:00:00",2261446,5744
"2022-11-16 00:00:00",2255702,5744
"2022-11-15 00:00:00",2249958,5744
"2022-11-14 00:00:00",2244215,5744
"2022-11-13 00:00:00",2238471,5744
"2022-11-12 00:00:00",2232727,5744
"2022-11-11 00:00:00",2226983,5744
"2022-11-10 00:00:00",2221239,5744
"2022-11-09 00:00:00",2215495,5744
"2022-11-08 00:00:00",2209751,5744
"2022-11-07 00:00:00",2204007,5744
"2022-11-06 00:00:00",2198263,5744
"2022-11-05 00:00:00",2192519,5744
"2022-11-04 00:00:00",2186775,5744
"2022-11-03 00:00:00",2181031,5744
"2022-11-02 00:00:00",2175287,5744
"2022-11-01 00:00:00",2169543,5744
"2022-10-31 00:00:00",2163799,5744
"2022-10-30 00:00:00",2158056,5744
"2022-10-29 00:00:00",2152312,5744
"2022-10-28 00:00:00",2146568,5744
"2022-10-27 00:00:00",2140824,5744
"2022-10-26 00:00:00",2135080,5744
"2022-10-25 00:00:00",2129336,5744
"2022-10-24 00:00:00",2123592,5744
"2022-10-23 00:00:00",2117848,5744
"2022-10-22 00:00:00",2112104,5744
"2022-10-21 00:00:00",2106360,5744
"2022-10-20 00:00:00",2100616,5744
"2022-10-19 00:00:00",2094872,5744
"2022-10-18 00:00:00",2089128,5744
"2022-10-17 00:00:00",2083384,5744
"2022-10-16 00:00:00",2077640,5744
"2022-10-15 00:00:00",2071896,5744
"2022-10-14 00:00:00",2066153,5744
"2022-10-13 00:00:00",2060409,5744
"2022-10-12 00:00:00",2054665,5744
"2022-10-11 00:00:00",2048921,5744
"2022-10-10 00:00:00",2043177,5744
"2022-10-09 00:00:00",2037433,5744
"2022-10-08 00:00:00",2031689,5744
"2022-10-07 00:00:00",2025945,5744
"2022-10-06 00:00:00",2020201,5744
"2022-10-05 00:00:00",2014457,5744
"2022-10-04 00:00:00",2008713,5744
"2022-10-03 00:00:00",2002969,5744
"2022-10-02 00:00:00",1997225,5744
"2022-10-01 00:00:00",1991481,5744
"2022-09-30 00:00:00",1985737,5744
"2022-09-29 00:00:00",1979994,5744
"2022-09-28 00:00:00",1974250,5744
"2022-09-27 00:00:00",1968506,5744
"2022-09-26 00:00:00",1962762,5744
"2022-09-25 00:00:00",1957018,5744
"2022-09-24 00:00:00",1951274,5744
"2022-09-23 00:00:00",1945530,5744
"2022-09-22 00:00:00",1939786,0
"2022-09-21 00:00:00",1939786,7200
"2022-09-20 00:00:00",1932586,5836
"2022-09-19 00:00:00",1926750,6677
"2022-09-18 00:00:00",1920073,8316
"2022-09-17 00:00:00",1911757,8653
"2022-09-16 00:00:00",1903104,8339
"2022-09-15 00:00:00",1894765,8267
"2022-09-14 00:00:00",1886498,8128
"2022-09-13 00:00:00",1878370,6994
"2022-09-12 00:00:00",1871376,7850
"2022-09-11 00:00:00",1863526,7796
"2022-09-10 00:00:00",1855730,8163
"2022-09-09 00:00:00",1847567,8389
"2022-09-08 00:00:00",1839178,16406
"2022-09-07 00:00:00",1822772,0
"2022-09-06 00:00:00",1822772,6865
"2022-09-05 00:00:00",1815907,7078
"2022-09-04 00:00:00",1808829,8451
"2022-09-03 00:00:00",1800378,8723
"2022-09-02 00:00:00",1791655,8476
"2022-09-01 00:00:00",1783179,8110
"2022-08-31 00:00:00",1775069,7777
"2022-08-30 00:00:00",1767292,6500
"2022-08-29 00:00:00",1760792,7050
"2022-08-28 00:00:00",1753742,7718
"2022-08-27 00:00:00",1746024,8517
"2022-08-26 00:00:00",1737507,9845
"2022-08-25 00:00:00",1727662,8875
"2022-08-24 00:00:00",1718787,8552
"2022-08-23 00:00:00",1710235,8371
"2022-08-22 00:00:00",1701864,17470
"2022-08-21 00:00:00",1684394,0
"2022-08-20 00:00:00",1684394,8939
"2022-08-19 00:00:00",1675455,9709
"2022-08-18 00:00:00",1665746,9339
"2022-08-17 00:00:00",1656407,8647
"2022-08-16 00:00:00",1647760,7048
"2022-08-15 00:00:00",1640712,7715
"2022-08-14 00:00:00",1632997,8802
"2022-08-13 00:00:00",1624195,9231
"2022-08-12 00:00:00",1614964,9179
"2022-08-11 00:00:00",1605785,9453
"2022-08-10 00:00:00",1596332,10063
"2022-08-09 00:00:00",1586269,7542
"2022-08-08 00:00:00",1578727,8303
"2022-08-07 00:00:00",1570424,9467
"2022-08-06 00:00:00",1560957,10225
"2022-08-05 00:00:00",1550732,10878
"2022-08-04 00:00:00",1539854,10828
"2022-08-03 00:00:00",1529026,10437
"2022-08-02 00:00:00",1518589,9138
"2022-08-01 00:00:00",1509451,9838
"2022-07-31 00:00:00",1499613,11191
"2022-07-30 00:00:00",1488422,12119
"2022-07-29 00:00:00",1476303,12940
"2022-07-28 00:00:00",1463364,12940
"2022-07-27 00:00:00",1450424,11477
"2022-07-26 00:00:00",1438947,8816
"2022-07-25 00:00:00",1430131,10819
"2022-07-24 00:00:00",1419312,12227
"2022-07-23 00:00:00",1407085,11067
"2022-07-22 00:00:00",1396018,17428
"2022-07-21 00:00:00",1378590,17428
"2022-07-20 00:00:00",1361162,16413
"2022-07-19 00:00:00",1344749,12023
"2022-07-18 00:00:00",1332726,15061
"2022-07-17 00:00:00",1317665,16845
"2022-07-16 00:00:00",1300820,17434
"2022-07-15 00:00:00",1283386,16346
"2022-07-14 00:00:00",1267040,29884
"2022-07-13 00:00:00",1237156,0
"2022-07-12 00:00:00",1237156,12615
"2022-07-11 00:00:00",1224541,13220
"2022-07-10 00:00:00",1211321,12864
"2022-07-09 00:00:00",1198457,11345
"2022-07-08 00:00:00",1187112,14988
"2022-07-07 00:00:00",1172124,17547
"2022-07-06 00:00:00",1154577,12454
"2022-07-05 00:00:00",1142124,12454
"2022-07-04 00:00:00",1129670,16916
"2022-07-03 00:00:00",1112754,10176
"2022-07-02 00:00:00",1102578,15358
"2022-07-01 00:00:00",1087220,18721
"2022-06-30 00:00:00",1068500,18721
"2022-06-29 00:00:00",1049779,15476
"2022-06-28 00:00:00",1034303,9190
"2022-06-27 00:00:00",1025113,12782
"2022-06-26 00:00:00",1012331,14653
