Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"May 06, 2022","6,256","96,191,891",23,"74,717,709"
"May 07, 2022","8,252","107,660,033",40,"79,071,222"
"May 08, 2022","9,404","133,618,591",41,"77,405,323"
"May 09, 2022","10,640","135,443,724",43,"78,255,764"
"May 10, 2022","11,642","138,253,917",44,"80,525,016"
"May 11, 2022","12,531","140,041,659",46,"82,257,416"
"May 12, 2022","13,305","140,347,394",48,"82,360,656"
"May 13, 2022","14,199","137,450,852",50,"82,544,043"
"May 14, 2022","14,657","127,874,384",52,"82,069,308"
"May 15, 2022","15,084","127,539,814",51,"81,913,571"
"May 16, 2022","15,468","107,821,854",51,"81,929,910"
"May 17, 2022","15,863","108,049,760",50,"81,919,347"
"May 18, 2022","16,209","107,246,036",51,"81,222,079"
"May 19, 2022","16,553","101,698,900",49,"79,522,116"
"May 20, 2022","16,942","103,808,126",48,"79,528,679"
"May 21, 2022","17,204","103,059,985",46,"78,743,037"
"May 22, 2022","17,432","106,987,958",46,"78,763,245"
"May 23, 2022","17,717","106,897,055",46,"78,781,023"
"May 24, 2022","17,949","106,929,985",45,"78,776,934"
"May 25, 2022","18,206","106,445,641",45,"78,794,351"
"May 26, 2022","18,436","106,012,590",45,"78,811,762"
"May 27, 2022","18,711","105,250,300",46,"78,189,859"
"May 28, 2022","18,865","104,661,816",44,"77,823,077"
"May 29, 2022","19,031","104,769,191",43,"77,820,208"
"May 30, 2022","19,190","104,927,469",43,"77,836,364"
"May 31, 2022","19,353","104,636,939",42,"77,455,207"
"Jun 01, 2022","19,531","103,589,237",42,"77,470,821"
"Jun 02, 2022","19,702","103,568,872",42,"77,487,174"
"Jun 03, 2022","19,894","102,728,332",40,"76,975,095"
"Jun 04, 2022","20,035","100,282,133",37,"74,427,373"
"Jun 05, 2022","20,171","99,937,081",36,"74,348,724"
"Jun 06, 2022","20,320","99,834,796",36,"74,363,846"
"Jun 07, 2022","20,487","99,964,466",36,"74,378,366"
"Jun 08, 2022","20,606","96,292,098",36,"74,393,006"
"Jun 09, 2022","20,748","96,364,127",36,"74,408,155"
"Jun 10, 2022","20,902","95,199,954",34,"72,857,564"
"Jun 11, 2022","20,992","63,546,398",29,"41,365,721"
"Jun 12, 2022","21,077","61,536,576",27,"39,620,691"
"Jun 13, 2022","21,171","61,666,383",27,"39,626,588"
"Jun 14, 2022","21,288","61,801,661",27,"39,632,290"
"Jun 15, 2022","21,419","59,267,336",26,"37,373,679"
"Jun 16, 2022","21,535","59,129,019",26,"37,379,735"
"Jun 17, 2022","21,669","59,462,304",25,"37,364,402"
"Jun 18, 2022","21,762","57,455,560",25,"37,371,695"
"Jun 19, 2022","21,852","57,383,013",25,"37,378,337"
"Jun 20, 2022","21,971","57,404,495",25,"37,384,422"
"Jun 21, 2022","22,090","57,478,221",25,"37,390,119"
"Jun 22, 2022","22,190","57,569,246",25,"37,396,409"
"Jun 23, 2022","22,298","57,392,571",25,"37,405,926"
"Jun 24, 2022","22,404","57,073,841",23,"37,062,247"
"Jun 25, 2022","22,491","57,072,979",23,"37,067,294"
"Jun 26, 2022","22,558","56,480,317",23,"37,072,164"
"Jun 27, 2022","22,649","56,507,534",23,"37,076,575"
"Jun 28, 2022","22,733","56,518,701",23,"37,081,134"
"Jun 29, 2022","22,810","56,581,875",23,"37,087,161"
