"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",137762784,161602
"2023-04-30 00:00:00",137601182,180300
"2023-04-29 00:00:00",137420882,164802
"2023-04-28 00:00:00",137256080,160226
"2023-04-27 00:00:00",137095854,157509
"2023-04-26 00:00:00",136938345,149217
"2023-04-25 00:00:00",136789128,123420
"2023-04-24 00:00:00",136665708,144664
"2023-04-23 00:00:00",136521044,158179
"2023-04-22 00:00:00",136362865,164487
"2023-04-21 00:00:00",136198378,168376
"2023-04-20 00:00:00",136030002,167514
"2023-04-19 00:00:00",135862488,155581
"2023-04-18 00:00:00",135706907,135556
"2023-04-17 00:00:00",135571351,161941
"2023-04-16 00:00:00",135409410,177267
"2023-04-15 00:00:00",135232143,180787
"2023-04-14 00:00:00",135051356,186094
"2023-04-13 00:00:00",134865262,193701
"2023-04-12 00:00:00",134671561,173526
"2023-04-11 00:00:00",134498035,141645
"2023-04-10 00:00:00",134356390,176098
"2023-04-09 00:00:00",134180292,185557
"2023-04-08 00:00:00",133994735,200707
"2023-04-07 00:00:00",133794028,200370
"2023-04-06 00:00:00",133593658,210253
"2023-04-05 00:00:00",133383405,197574
"2023-04-04 00:00:00",133185831,0
"2023-04-03 00:00:00",133185831,344901
"2023-04-02 00:00:00",132840930,201977
"2023-04-01 00:00:00",132638953,201284
"2023-03-31 00:00:00",132437669,199684
"2023-03-30 00:00:00",132237985,196092
"2023-03-29 00:00:00",132041893,186386
"2023-03-28 00:00:00",131855507,161460
"2023-03-27 00:00:00",131694047,186909
"2023-03-26 00:00:00",131507138,195191
"2023-03-25 00:00:00",131311947,195723
"2023-03-24 00:00:00",131116224,198260
"2023-03-23 00:00:00",130917964,0
"2023-03-22 00:00:00",130917964,384895
"2023-03-21 00:00:00",130533069,151113
"2023-03-20 00:00:00",130381956,174291
"2023-03-19 00:00:00",130207665,196941
"2023-03-18 00:00:00",130010724,197973
"2023-03-17 00:00:00",129812751,200175
"2023-03-16 00:00:00",129612576,196625
"2023-03-15 00:00:00",129415951,186570
"2023-03-14 00:00:00",129229381,157932
"2023-03-13 00:00:00",129071449,179789
"2023-03-12 00:00:00",128891660,193991
"2023-03-11 00:00:00",128697669,193017
"2023-03-10 00:00:00",128504652,189999
"2023-03-09 00:00:00",128314653,198685
"2023-03-08 00:00:00",128115968,186841
"2023-03-07 00:00:00",127929127,154728
"2023-03-06 00:00:00",127774399,178353
"2023-03-05 00:00:00",127596046,191359
"2023-03-04 00:00:00",127404687,204159
"2023-03-03 00:00:00",127200528,214857
"2023-03-02 00:00:00",126985671,219619
"2023-03-01 00:00:00",126766052,199890
"2023-02-28 00:00:00",126566162,171299
"2023-02-27 00:00:00",126394863,198047
"2023-02-26 00:00:00",126196816,216714
"2023-02-25 00:00:00",125980102,221133
"2023-02-24 00:00:00",125758969,212094
"2023-02-23 00:00:00",125546875,212532
"2023-02-22 00:00:00",125334343,197553
"2023-02-21 00:00:00",125136790,168226
"2023-02-20 00:00:00",124968564,192354
"2023-02-19 00:00:00",124776210,211795
"2023-02-18 00:00:00",124564415,212535
"2023-02-17 00:00:00",124351880,203530
"2023-02-16 00:00:00",124148350,203270
"2023-02-15 00:00:00",123945080,190522
"2023-02-14 00:00:00",123754558,170723
"2023-02-13 00:00:00",123583835,197197
"2023-02-12 00:00:00",123386638,221018
"2023-02-11 00:00:00",123165620,219585
"2023-02-10 00:00:00",122946035,445090
"2023-02-09 00:00:00",122500945,0
"2023-02-08 00:00:00",122500945,209208
"2023-02-07 00:00:00",122291737,178457
"2023-02-06 00:00:00",122113280,204937
"2023-02-05 00:00:00",121908343,225853
"2023-02-04 00:00:00",121682490,224047
"2023-02-03 00:00:00",121458443,224266
"2023-02-02 00:00:00",121234177,224790
"2023-02-01 00:00:00",121009387,209809
"2023-01-31 00:00:00",120799578,177608
"2023-01-30 00:00:00",120621970,211313
"2023-01-29 00:00:00",120410657,233027
"2023-01-28 00:00:00",120177630,225005
"2023-01-27 00:00:00",119952625,215117
"2023-01-26 00:00:00",119737508,217024
"2023-01-25 00:00:00",119520484,199541
"2023-01-24 00:00:00",119320943,171557
"2023-01-23 00:00:00",119149386,205812
"2023-01-22 00:00:00",118943574,224459
"2023-01-21 00:00:00",118719115,214495
"2023-01-20 00:00:00",118504620,207756
"2023-01-19 00:00:00",118296864,204784
"2023-01-18 00:00:00",118092080,190698
"2023-01-17 00:00:00",117901382,161384
"2023-01-16 00:00:00",117739998,183928
"2023-01-15 00:00:00",117556070,209315
"2023-01-14 00:00:00",117346755,209088
"2023-01-13 00:00:00",117137667,216332
"2023-01-12 00:00:00",116921335,231475
"2023-01-11 00:00:00",116689860,229370
"2023-01-10 00:00:00",116460490,195266
"2023-01-09 00:00:00",116265224,223799
"2023-01-08 00:00:00",116041425,235938
"2023-01-07 00:00:00",115805487,235411
"2023-01-06 00:00:00",115570076,234898
"2023-01-05 00:00:00",115335178,224037
"2023-01-04 00:00:00",115111141,208385
"2023-01-03 00:00:00",114902756,180453
"2023-01-02 00:00:00",114722303,226340
"2023-01-01 00:00:00",114495963,234250
"2022-12-31 00:00:00",114261713,226690
"2022-12-30 00:00:00",114035023,224982
"2022-12-29 00:00:00",113810041,217219
"2022-12-28 00:00:00",113592822,188587
"2022-12-27 00:00:00",113404235,138424
"2022-12-26 00:00:00",113265811,181707
"2022-12-25 00:00:00",113084104,223424
"2022-12-24 00:00:00",112860680,235348
"2022-12-23 00:00:00",112625332,236849
"2022-12-22 00:00:00",112388483,239917
"2022-12-21 00:00:00",112148566,226940
"2022-12-20 00:00:00",111921626,189168
"2022-12-19 00:00:00",111732458,228704
"2022-12-18 00:00:00",111503754,254575
"2022-12-17 00:00:00",111249179,257605
"2022-12-16 00:00:00",110991574,263548
"2022-12-15 00:00:00",110728026,266144
"2022-12-14 00:00:00",110461882,215531
"2022-12-13 00:00:00",110246351,191628
"2022-12-12 00:00:00",110054723,220244
"2022-12-11 00:00:00",109834479,241020
"2022-12-10 00:00:00",109593459,246172
"2022-12-09 00:00:00",109347287,247181
"2022-12-08 00:00:00",109100106,242645
"2022-12-07 00:00:00",108857461,225519
"2022-12-06 00:00:00",108631942,247769
"2022-12-05 00:00:00",108384173,247769
"2022-12-04 00:00:00",108136404,247769
"2022-12-03 00:00:00",107888634,247769
"2022-12-02 00:00:00",107640865,247769
"2022-12-01 00:00:00",107393096,236962
"2022-11-30 00:00:00",107156134,225320
"2022-11-29 00:00:00",106930814,193603
"2022-11-28 00:00:00",106737211,205173
"2022-11-27 00:00:00",106532038,207101
"2022-11-26 00:00:00",106324937,212370
"2022-11-25 00:00:00",106112567,241345
"2022-11-24 00:00:00",105871222,232381
"2022-11-23 00:00:00",105638841,217268
"2022-11-22 00:00:00",105421573,189988
"2022-11-21 00:00:00",105231585,224065
"2022-11-20 00:00:00",105007520,240924
"2022-11-19 00:00:00",104766596,231718
"2022-11-18 00:00:00",104534878,230845
"2022-11-17 00:00:00",104304033,228503
"2022-11-16 00:00:00",104075530,210812
"2022-11-15 00:00:00",103864718,180963
"2022-11-14 00:00:00",103683755,214412
"2022-11-13 00:00:00",103469343,237288
"2022-11-12 00:00:00",103232055,239381
"2022-11-11 00:00:00",102992674,238669
"2022-11-10 00:00:00",102754005,236655
"2022-11-09 00:00:00",102517350,228038
"2022-11-08 00:00:00",102289312,199734
"2022-11-07 00:00:00",102089578,256265
"2022-11-06 00:00:00",101833313,243463
"2022-11-05 00:00:00",101589850,251490
"2022-11-04 00:00:00",101338360,235393
"2022-11-03 00:00:00",101102967,228612
"2022-11-02 00:00:00",100874355,229181
"2022-11-01 00:00:00",100645174,206254
"2022-10-31 00:00:00",100438920,241391
"2022-10-30 00:00:00",100197529,263673
"2022-10-29 00:00:00",99933856,259088
"2022-10-28 00:00:00",99674768,250442
"2022-10-27 00:00:00",99424326,246133
"2022-10-26 00:00:00",99178193,235306
"2022-10-25 00:00:00",98942887,205994
"2022-10-24 00:00:00",98736893,242317
"2022-10-23 00:00:00",98494576,263858
"2022-10-22 00:00:00",98230718,258830
"2022-10-21 00:00:00",97971888,254874
"2022-10-20 00:00:00",97717014,249054
"2022-10-19 00:00:00",97467960,236482
"2022-10-18 00:00:00",97231478,206877
"2022-10-17 00:00:00",97024601,250623
"2022-10-16 00:00:00",96773978,532875
"2022-10-15 00:00:00",96241103,259729
"2022-10-14 00:00:00",95981374,0
"2022-10-13 00:00:00",95981374,264892
"2022-10-12 00:00:00",95716482,250916
"2022-10-11 00:00:00",95465566,211309
"2022-10-10 00:00:00",95254257,249389
"2022-10-09 00:00:00",95004868,285433
"2022-10-08 00:00:00",94719435,278827
"2022-10-07 00:00:00",94440608,272008
"2022-10-06 00:00:00",94168600,267536
"2022-10-05 00:00:00",93901064,258334
"2022-10-04 00:00:00",93642730,221191
"2022-10-03 00:00:00",93421539,259193
"2022-10-02 00:00:00",93162346,273950
"2022-10-01 00:00:00",92888396,272215
"2022-09-30 00:00:00",92616181,277314
"2022-09-29 00:00:00",92338867,276256
"2022-09-28 00:00:00",92062611,258176
"2022-09-27 00:00:00",91804435,224378
"2022-09-26 00:00:00",91580057,265259
"2022-09-25 00:00:00",91314798,292309
"2022-09-24 00:00:00",91022489,299920
"2022-09-23 00:00:00",90722569,602629
"2022-09-22 00:00:00",90119940,0
"2022-09-21 00:00:00",90119940,283597
"2022-09-20 00:00:00",89836343,244644
"2022-09-19 00:00:00",89591699,290256
"2022-09-18 00:00:00",89301443,315753
"2022-09-17 00:00:00",88985690,313689
"2022-09-16 00:00:00",88672001,310777
"2022-09-15 00:00:00",88361224,309184
"2022-09-14 00:00:00",88052040,298318
"2022-09-13 00:00:00",87753722,252312
"2022-09-12 00:00:00",87501410,299839
"2022-09-11 00:00:00",87201571,327717
"2022-09-10 00:00:00",86873854,309645
"2022-09-09 00:00:00",86564209,314228
"2022-09-08 00:00:00",86249981,601678
"2022-09-07 00:00:00",85648303,0
"2022-09-06 00:00:00",85648303,267154
"2022-09-05 00:00:00",85381149,312654
"2022-09-04 00:00:00",85068495,343360
