Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"May 07, 2022","3,835","666,842",,
"May 08, 2022","4,303","4,441,580",1,88
"May 09, 2022","4,781","4,460,696",1,88
"May 10, 2022","5,152","4,411,788",1,88
"May 11, 2022","5,427","704,275",1,88
"May 12, 2022","5,620","522,949",1,88
"May 13, 2022","5,777","550,733",1,88
"May 14, 2022","5,910","554,563",1,88
"May 15, 2022","6,024","553,564",1,88
"May 16, 2022","6,113","557,892",1,88
"May 17, 2022","6,203","561,779",1,88
"May 18, 2022","6,281","560,865",1,88
"May 19, 2022","6,348","547,007",1,88
"May 20, 2022","6,396","478,013",1,88
"May 21, 2022","6,436","478,984",1,88
"May 22, 2022","6,477","451,160",1,88
"May 23, 2022","6,529","451,313",1,88
"May 24, 2022","6,556","452,597",1,88
"May 25, 2022","6,593","454,500",1,88
"May 26, 2022","6,634","451,182",1,88
"May 27, 2022","6,662","453,021",1,88
"May 28, 2022","6,684","619,934",1,88
"May 29, 2022","6,715","651,685",1,88
"May 30, 2022","6,744","652,107",1,88
"May 31, 2022","6,774","649,009",1,88
"Jun 01, 2022","6,809","650,236",1,88
"Jun 02, 2022","6,844","654,384",1,88
"Jun 03, 2022","6,881","629,918",1,88
"Jun 04, 2022","6,904","630,795",1,88
"Jun 05, 2022","6,927","639,738",1,88
"Jun 06, 2022","6,966","639,829",1,88
"Jun 07, 2022","6,988","642,284",1,88
"Jun 08, 2022","7,002","642,815",1,88
"Jun 09, 2022","7,013","641,190",1,88
"Jun 10, 2022","7,038","642,356",1,88
"Jun 11, 2022","7,059","645,154",1,88
"Jun 12, 2022","7,072","644,532",1,88
"Jun 13, 2022","7,098","639,522",1,88
"Jun 14, 2022","7,124","684,383",1,88
"Jun 15, 2022","7,138","685,411",1,88
"Jun 16, 2022","7,159","650,597",1,88
"Jun 17, 2022","7,169","648,145",1,88
"Jun 18, 2022","7,188","653,982",1,88
"Jun 19, 2022","7,199","656,733",1,88
"Jun 20, 2022","7,223","656,698",1,88
"Jun 21, 2022","7,237","659,236",1,88
"Jun 22, 2022","7,248","490,227",1,88
"Jun 23, 2022","7,263","491,590",1,88
"Jun 24, 2022","7,275","500,613",1,88
"Jun 25, 2022","7,290","498,479",1,88
"Jun 26, 2022","7,300","499,027",1,88
"Jun 27, 2022","7,317","499,591",1,88
"Jun 28, 2022","7,334","500,700",1,88
"Jun 29, 2022","7,339","501,066",1,88
"Jun 30, 2022","7,353","506,487",1,88
"Jul 01, 2022","7,359","506,841",1,88
"Jul 02, 2022","7,363","507,454",1,88
"Jul 03, 2022","7,372","508,545",1,88
"Jul 04, 2022","7,382","508,127",1,88
"Jul 05, 2022","7,390","508,655",1,88
"Jul 06, 2022","7,407","508,841",1,88
"Jul 07, 2022","7,412","509,068",1,87
"Jul 08, 2022","7,434","504,457",1,87
"Jul 09, 2022","7,443","509,821",1,87
"Jul 10, 2022","7,448","457,507",1,87
"Jul 11, 2022","7,462","451,958",1,87
"Jul 12, 2022","7,467","452,051",1,87
"Jul 13, 2022","7,468","450,713",1,87
"Jul 14, 2022","7,475","451,083",1,87
"Jul 15, 2022","7,480","436,880",1,87
"Jul 16, 2022","7,488","426,502",1,87
"Jul 17, 2022","7,495","425,010",1,87
"Jul 18, 2022","7,508","426,124",1,87
"Jul 19, 2022","7,516","460,702",1,87
"Jul 20, 2022","7,524","459,516",1,87
"Jul 21, 2022","7,532","427,781",1,87
"Jul 22, 2022","7,537","428,814",1,87
"Jul 23, 2022","7,534","459,941",1,87
"Jul 24, 2022","7,532","461,403",1,87
"Jul 25, 2022","7,533","463,158",1,87
"Jul 26, 2022","7,538","428,673",1,87
"Jul 27, 2022","7,546","428,875",1,87
"Jul 28, 2022","7,553","463,683",1,87
"Jul 29, 2022","7,554","465,328",1,87
"Jul 30, 2022","7,552","467,518",1,87
"Jul 31, 2022","7,558","466,979",1,87
"Aug 01, 2022","7,564","467,287",1,87
"Aug 02, 2022","7,569","467,598",1,87
"Aug 03, 2022","7,572","433,743",1,87
"Aug 04, 2022","7,582","434,027",1,87
"Aug 05, 2022","7,586","434,368",1,87
"Aug 06, 2022","7,590","437,500",1,87
"Aug 07, 2022","7,594","433,764",1,87
"Aug 08, 2022","7,592","434,059",1,87
"Aug 09, 2022","7,596","433,044",1,87
"Aug 10, 2022","7,608","432,796",1,87
"Aug 11, 2022","7,615","433,026",1,87
"Aug 12, 2022","7,613","467,829",1,87
"Aug 13, 2022","7,621","468,658",1,87
"Aug 14, 2022","7,622","420,207",1,87
"Aug 15, 2022","7,621","419,825",1,87
"Aug 16, 2022","7,624","420,160",1,87
"Aug 17, 2022","7,631","420,472",1,87
"Aug 18, 2022","7,638","420,985",1,87
"Aug 19, 2022","7,646","427,376",1,87
"Aug 20, 2022","7,644","427,824",1,87
"Aug 21, 2022","7,647","428,090",1,87
"Aug 22, 2022","7,657","428,271",1,87
"Aug 23, 2022","7,662","463,878",1,87
"Aug 24, 2022","7,662","462,746",1,87
"Aug 25, 2022","7,664","463,170",1,87
"Aug 26, 2022","7,671","467,001",1,87
"Aug 27, 2022","7,674","467,418",1,87
"Aug 28, 2022","7,678","467,760",1,87
"Aug 29, 2022","7,676","467,932",1,87
"Aug 30, 2022","7,677","468,145",1,87
"Aug 31, 2022","7,680","432,774",1,87
"Sep 01, 2022","7,683","432,807",1,87
"Sep 02, 2022","7,688","468,310",1,87
"Sep 03, 2022","7,686","467,998",1,87
"Sep 04, 2022","7,687","432,502",1,87
"Sep 05, 2022","7,691","432,694",1,87
"Sep 06, 2022","7,694","432,956",1,87
"Sep 07, 2022","7,697","433,258",1,87
"Sep 08, 2022","7,697","433,517",1,87
"Sep 09, 2022","7,700","434,403",1,86
"Sep 10, 2022","7,716","434,812",1,86
"Sep 11, 2022","7,728","435,079",1,86
"Sep 12, 2022","7,743","435,301",1,86
"Sep 13, 2022","7,748","435,573",1,86
"Sep 14, 2022","7,751","435,667",1,86
"Sep 15, 2022","7,753","435,967",1,86
"Sep 16, 2022","7,766","436,954",1,86
"Sep 17, 2022","7,776","437,303",1,86
"Sep 18, 2022","7,781","437,513",1,86
"Sep 19, 2022","7,786","437,865",1,86
"Sep 20, 2022","7,791","438,072",1,86
"Sep 21, 2022","7,803","438,953",1,86
"Sep 22, 2022","7,804","439,195",1,86
"Sep 23, 2022","7,807","439,370",1,86
"Sep 24, 2022","7,810","439,600",1,86
"Sep 25, 2022","7,814","439,835",1,86
"Sep 26, 2022","7,815","442,048",1,86
"Sep 27, 2022","7,813","442,297",1,86
"Sep 28, 2022","7,810","442,465",1,86
"Sep 29, 2022","7,810","442,855",1,86
"Sep 30, 2022","7,815","443,461",1,86
"Oct 01, 2022","7,814","444,586",2,86
"Oct 02, 2022","7,815","445,173",2,92
"Oct 03, 2022","7,816","445,801",2,97
"Oct 04, 2022","7,820","446,130",2,106
"Oct 05, 2022","7,824","446,568",2,124
"Oct 06, 2022","7,821","446,474",2,186
"Oct 07, 2022","7,824","446,890",2,229
"Oct 08, 2022","7,824","446,853",2,267
"Oct 09, 2022","7,826","483,703",2,280
"Oct 10, 2022","7,826","484,173",2,332
"Oct 11, 2022","7,828","447,637",2,390
"Oct 12, 2022","7,834","447,878",2,463
"Oct 13, 2022","7,838","447,550",2,553
"Oct 14, 2022","7,842","448,935",2,657
"Oct 15, 2022","7,844","449,370",2,735
"Oct 16, 2022","7,844","425,223",2,822
"Oct 17, 2022","7,849","425,866",2,891
"Oct 18, 2022","7,849","426,154",2,975
"Oct 19, 2022","7,853","425,488",2,"1,118"
"Oct 20, 2022","7,859","425,956",2,"1,218"
"Oct 21, 2022","7,859","426,654",2,"1,322"
"Oct 22, 2022","7,863","428,401",2,"1,420"
"Oct 23, 2022","7,863","429,270",2,"1,514"
"Oct 24, 2022","7,865","429,703",2,"1,614"
"Oct 25, 2022","7,867","430,046",2,"1,722"
"Oct 26, 2022","7,862","428,528",2,"1,796"
"Oct 27, 2022","7,861","428,926",2,"1,896"
"Oct 28, 2022","7,861","429,275",2,"1,976"
"Oct 29, 2022","7,870","429,510",2,"2,077"
"Oct 30, 2022","7,870","429,888",2,"2,154"
"Oct 31, 2022","7,868","430,066",2,"2,241"
"Nov 01, 2022","7,869","430,364",2,"2,333"
"Nov 02, 2022","7,876","430,625",2,"2,428"
"Nov 03, 2022","7,882","431,367",2,"2,507"
"Nov 04, 2022","7,883","431,615",2,"2,606"
"Nov 05, 2022","7,887","432,449",2,"2,691"
"Nov 06, 2022","7,883","433,159",2,"2,781"
"Nov 07, 2022","7,883","433,283",2,"2,880"
"Nov 08, 2022","7,884","433,519",2,"2,985"
"Nov 09, 2022","7,882","433,637",2,"3,085"
"Nov 10, 2022","7,881","433,857",2,"3,183"
"Nov 11, 2022","7,882","434,128",2,"3,330"
"Nov 12, 2022","7,876","434,253",2,"3,426"
"Nov 13, 2022","7,868","434,379",2,"3,518"
"Nov 14, 2022","7,867","434,387",2,"3,601"
"Nov 15, 2022","7,862","434,522",2,"3,682"
"Nov 16, 2022","7,857","434,733",2,"3,798"
"Nov 17, 2022","7,852","435,106",2,"3,892"
"Nov 18, 2022","7,793","434,121",2,"3,922"
"Nov 19, 2022","7,801","434,168",2,"3,963"
"Nov 20, 2022","7,803","426,058",2,"4,050"
"Nov 21, 2022","7,828","433,721",2,"4,136"
"Nov 22, 2022","7,834","435,293",2,"4,212"
"Nov 23, 2022","7,833","434,805",2,"4,332"
"Nov 24, 2022","7,840","434,968",2,"4,556"
"Nov 25, 2022","7,851","435,977",2,"4,721"
"Nov 26, 2022","7,855","435,448",2,"4,852"
"Nov 27, 2022","7,863","429,243",2,"4,957"
"Nov 28, 2022","7,880","437,953",2,"5,078"
"Nov 29, 2022","7,889","438,286",2,"5,219"
"Nov 30, 2022","7,897","438,530",2,"5,449"
"Dec 01, 2022","7,898","435,618",2,"5,862"
"Dec 02, 2022","7,903","438,554",2,"5,974"
"Dec 03, 2022","7,815","430,894",2,"6,175"
"Dec 04, 2022","7,777","415,859",2,"6,309"
"Dec 05, 2022","7,655","424,969",2,"6,417"
"Dec 06, 2022","7,653","431,275",2,"6,506"
"Dec 07, 2022","7,566","422,733",2,"6,616"
"Dec 08, 2022","7,528","417,744",2,"6,710"
"Dec 09, 2022","7,505","408,573",2,"6,710"
"Dec 10, 2022","7,501","411,929",2,"6,896"
"Dec 11, 2022","7,457","394,283",2,"6,981"
"Dec 12, 2022","7,442","405,417",2,"7,047"
"Dec 13, 2022","7,414","394,009",2,"7,117"
"Dec 14, 2022","7,415","411,079",2,"7,201"
"Dec 15, 2022","7,389","391,188",2,"7,281"
"Dec 16, 2022","7,416","405,867",2,"7,354"
"Dec 17, 2022","7,407","388,495",2,"7,354"
"Dec 18, 2022","7,424","364,659",2,"7,526"
"Dec 19, 2022","7,452","394,126",2,"7,588"
"Dec 20, 2022","7,453","398,123",2,"7,666"
"Dec 21, 2022","7,464","407,664",2,"7,736"
"Dec 22, 2022","7,470","409,190",2,"7,821"
"Dec 23, 2022","7,454","409,413",2,"7,894"
"Dec 24, 2022","7,348","355,636",2,"7,944"
"Dec 25, 2022","7,213","391,893",2,"7,954"
"Dec 26, 2022","7,101","389,551",2,"7,954"
"Dec 27, 2022","6,997","367,013",2,"8,058"
"Dec 28, 2022","6,906","358,874",2,"8,116"
"Dec 29, 2022","6,790","371,426",2,"8,188"
"Dec 30, 2022","6,703","367,679",2,"8,257"
"Dec 31, 2022","6,641","339,484",2,"8,257"
"Jan 01, 2023","6,554","363,045",2,"8,394"
"Jan 02, 2023","6,554","403,608",2,"8,460"
"Jan 03, 2023","6,487","387,957",2,"8,532"
"Jan 04, 2023","6,409","373,359",2,"8,532"
"Jan 05, 2023","6,271","365,386",2,"8,713"
"Jan 06, 2023","6,189","300,301",2,"8,713"
"Jan 07, 2023","6,187","300,304",2,"8,713"
"Jan 08, 2023","6,185","300,332",2,"8,713"
"Jan 09, 2023","6,180","300,281",2,"8,713"
"Jan 10, 2023","6,206","367,694",2,"9,146"
"Jan 11, 2023","6,272","409,367",2,"9,233"
"Jan 12, 2023","6,297","415,323",2,"9,352"
"Jan 13, 2023","6,324","421,411",2,"9,455"
"Jan 14, 2023","6,343","419,734",2,"9,455"
"Jan 15, 2023","6,356","422,478",2,"9,636"
"Jan 16, 2023","8,572","459,139",2,"9,721"
"Jan 17, 2023","8,572","459,490",2,"9,783"
"Jan 18, 2023","8,572","459,597",2,"9,872"
"Jan 19, 2023","8,577","459,600",2,"9,972"
"Jan 20, 2023","8,577","460,154",2,"10,131"
"Jan 21, 2023","8,575","461,181",2,"10,255"
"Jan 22, 2023","8,575","461,555",2,"10,376"
"Jan 23, 2023","8,570","463,235",2,"10,457"
"Jan 24, 2023","8,568","462,016",2,"10,556"
"Jan 25, 2023","8,570","462,386",2,"10,656"
"Jan 26, 2023","8,570","462,935",2,"10,768"
"Jan 27, 2023","8,569","463,587",2,"10,847"
"Jan 28, 2023","8,568","463,958",2,"10,946"
"Jan 29, 2023","8,573","464,743",2,"11,027"
"Jan 30, 2023","8,573","464,896",2,"11,106"
"Jan 31, 2023","8,571","468,278",2,"11,192"
"Feb 01, 2023","8,571","468,579",2,"11,270"
"Feb 02, 2023","8,568","468,781",2,"11,353"
"Feb 03, 2023","8,572","469,127",2,"11,429"
"Feb 04, 2023","8,567","469,477",2,"11,503"
"Feb 05, 2023","8,567","469,882",2,"11,587"
"Feb 06, 2023","8,560","470,171",2,"11,642"
"Feb 07, 2023","8,558","470,463",2,"11,693"
"Feb 08, 2023","8,561","471,023",2,"11,768"
"Feb 09, 2023","8,558","471,104",2,"11,841"
"Feb 10, 2023","8,560","471,629",2,"11,929"
"Feb 11, 2023","8,559","471,374",2,"12,004"
"Feb 12, 2023","8,556","471,620",2,"12,065"
"Feb 13, 2023","8,558","472,002",2,"12,147"
"Feb 14, 2023","8,557","472,095",2,"12,206"
"Feb 15, 2023","8,556","470,858",2,"12,269"
"Feb 16, 2023","8,556","471,246",2,"12,332"
"Feb 17, 2023","8,557","471,814",2,"12,405"
"Feb 18, 2023","8,560","472,598",2,"12,481"
"Feb 19, 2023","8,556","472,940",2,"12,481"
"Feb 20, 2023","8,555","473,349",2,"12,610"
"Feb 21, 2023","8,553","473,663",2,"12,668"
"Feb 22, 2023","8,549","474,178",2,"12,735"
"Feb 23, 2023","8,550","474,577",2,"12,802"
"Feb 24, 2023","8,550","474,926",2,"12,862"
"Feb 25, 2023","8,548","475,273",2,"12,937"
"Feb 26, 2023","8,543","475,537",2,"12,978"
"Feb 27, 2023","8,541","475,761",2,"13,026"
"Mar 01, 2023","8,528","473,535",2,"13,139"
"Mar 02, 2023","8,540","478,825",2,"13,223"
"Mar 03, 2023","8,548","476,565",2,"13,285"
"Mar 04, 2023","8,553","470,530",2,"13,360"
"Mar 05, 2023","8,559","477,860",2,"13,418"
"Mar 06, 2023","8,559","478,456",2,"13,475"
"Mar 07, 2023","8,568","478,816",2,"13,475"
"Mar 08, 2023","8,577","480,334",2,"13,594"
"Mar 09, 2023","8,577","480,694",2,"13,638"
"Mar 10, 2023","8,577","481,619",2,"13,638"
"Mar 11, 2023","8,584","481,329",2,"13,745"
"Mar 12, 2023","8,590","481,975",2,"13,802"
"Mar 13, 2023","8,596","483,395",2,"13,863"
"Mar 14, 2023","8,598","482,641",2,"13,924"
"Mar 15, 2023","8,604","483,252",2,"13,993"
"Mar 16, 2023","8,601","484,520",2,"14,044"
"Mar 17, 2023","8,608","493,689",2,"14,044"
"Mar 18, 2023","8,609","495,769",2,"14,145"
"Mar 19, 2023","8,612","496,239",2,"14,205"
"Mar 20, 2023","8,619","496,656",2,"14,261"
"Mar 21, 2023","8,627","497,837",2,"14,299"
"Mar 22, 2023","8,629","497,703",2,"14,299"
"Mar 23, 2023","8,631","498,236",2,"14,450"
"Mar 24, 2023","8,632","499,438",2,"14,516"
"Mar 25, 2023","8,640","500,205",2,"14,647"
"Mar 26, 2023","8,640","500,589",2,"14,742"
"Mar 27, 2023","8,644","501,119",2,"14,784"
"Mar 28, 2023","8,659","501,927",2,"14,784"
"Mar 29, 2023","8,667","502,654",2,"14,904"
"Mar 30, 2023","8,674","494,325",2,"14,971"
"Mar 31, 2023","8,681","494,147",2,"15,039"
"Apr 01, 2023","8,693","494,539",2,"15,095"
"Apr 02, 2023","8,702","495,899",2,"15,141"
"Apr 03, 2023","8,710","496,281",2,"15,184"
"Apr 04, 2023","8,725","497,553",2,"15,235"
"Apr 05, 2023","8,736","499,783",2,"15,328"
"Apr 06, 2023","8,742","500,196",2,"15,431"
"Apr 07, 2023","8,750","501,467",3,"16,335"
"Apr 08, 2023","8,759","501,922",3,"16,425"
"Apr 09, 2023","8,768","502,529",3,"16,537"
"Apr 10, 2023","8,775","503,124",3,"16,639"
"Apr 11, 2023","8,784","503,630",3,"16,744"
"Apr 12, 2023","8,794","504,109",3,"16,879"
"Apr 13, 2023","8,805","504,606",3,"17,002"
"Apr 14, 2023","8,813","504,984",3,"17,147"
"Apr 15, 2023","8,822","506,024",3,"17,269"
"Apr 16, 2023","8,830","508,415",3,"17,389"
"Apr 17, 2023","8,842","509,221",3,"17,508"
"Apr 18, 2023","8,858","509,611",3,"17,508"
"Apr 19, 2023","8,876","510,223",3,"17,508"
"Apr 20, 2023","8,886","510,521",3,"17,508"
"Apr 21, 2023","8,902","510,999",3,"17,508"
"Apr 22, 2023","8,911","511,446",3,"17,508"
"Apr 23, 2023","8,926","513,141",3,"17,508"
"Apr 24, 2023","8,945","515,262",3,"17,508"
"Apr 25, 2023","8,955","515,676",3,"17,508"
"Apr 26, 2023","8,961","517,415",3,"18,829"
"Apr 27, 2023","8,975","517,961",3,"18,949"
"Apr 28, 2023","8,988","518,441",3,"18,949"
"Apr 29, 2023","9,002","519,316",3,"19,224"
"Apr 30, 2023","9,020","522,584",3,"19,328"
"May 01, 2023","9,043","523,126",3,"19,457"
Invalid date,,,,
