Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"May 07, 2022","3,310","3,959,205",,
"May 08, 2022","3,729","4,305,275",1,88
"May 09, 2022","4,133","4,324,645",1,88
"May 10, 2022","4,479","927,540",1,88
"May 11, 2022","4,705","596,649",1,88
"May 12, 2022","4,866","427,314",1,88
"May 13, 2022","5,045","431,773",1,88
"May 14, 2022","5,151","429,883",1,88
"May 15, 2022","5,235","426,392",1,88
"May 16, 2022","5,327","426,216",1,88
"May 17, 2022","5,396","424,893",1,88
"May 18, 2022","5,448","427,248",1,88
"May 19, 2022","5,504","422,884",1,88
"May 20, 2022","5,567","453,342",1,88
"May 21, 2022","5,594","454,934",1,88
"May 22, 2022","5,638","429,071",1,88
"May 23, 2022","5,680","429,649",1,88
"May 24, 2022","5,707","429,987",1,88
"May 25, 2022","5,731","430,951",1,88
"May 26, 2022","5,770","437,645",1,88
"May 27, 2022","5,805","437,094",1,88
"May 28, 2022","5,822","464,090",1,88
"May 29, 2022","5,851","464,477",1,88
"May 30, 2022","5,869","433,457",1,88
"May 31, 2022","5,885","434,212",1,88
"Jun 01, 2022","5,913","435,070",1,88
"Jun 02, 2022","5,947","435,916",1,88
"Jun 03, 2022","5,983","433,609",1,88
"Jun 04, 2022","5,997","435,734",1,88
"Jun 05, 2022","6,024","475,377",1,88
"Jun 06, 2022","6,048","474,868",1,88
"Jun 07, 2022","6,069","475,735",1,88
"Jun 08, 2022","6,089","446,353",1,88
"Jun 09, 2022","6,103","446,321",1,88
"Jun 10, 2022","6,122","447,230",1,88
"Jun 11, 2022","6,141","448,572",1,88
"Jun 12, 2022","6,155","486,964",1,88
"Jun 13, 2022","6,171","487,644",1,88
"Jun 14, 2022","6,184","457,517",1,88
"Jun 15, 2022","6,198","458,471",1,88
"Jun 16, 2022","6,216","460,525",1,88
"Jun 17, 2022","6,231","458,389",1,88
"Jun 18, 2022","6,252","459,077",1,88
"Jun 19, 2022","6,268","459,813",1,88
"Jun 20, 2022","6,291","460,677",1,88
"Jun 21, 2022","6,312","461,347",1,88
"Jun 22, 2022","6,333","501,705",1,88
"Jun 23, 2022","6,345","502,280",1,88
"Jun 24, 2022","6,351","470,035",1,88
"Jun 25, 2022","6,363","469,990",1,88
"Jun 26, 2022","6,368","468,989",1,88
"Jun 27, 2022","6,379","469,386",1,88
"Jun 28, 2022","6,389","470,248",1,88
"Jun 29, 2022","6,391","470,870",1,88
"Jun 30, 2022","6,410","491,705",1,88
"Jul 01, 2022","6,416","492,148",1,88
"Jul 02, 2022","6,426","492,629",1,88
"Jul 03, 2022","6,429","493,136",1,88
"Jul 04, 2022","6,437","495,030",1,88
"Jul 05, 2022","6,442","493,944",1,88
"Jul 06, 2022","6,459","494,505",1,88
"Jul 07, 2022","6,463","491,795",1,87
"Jul 08, 2022","6,473","492,217",1,87
"Jul 09, 2022","6,477","493,626",1,87
"Jul 10, 2022","6,486","526,614",1,87
"Jul 11, 2022","6,494","525,277",1,87
"Jul 12, 2022","6,501","527,089",1,87
"Jul 13, 2022","6,504","527,530",1,87
"Jul 14, 2022","6,508","491,739",1,87
"Jul 15, 2022","6,519","493,992",1,87
"Jul 16, 2022","6,525","494,476",1,87
"Jul 17, 2022","6,537","493,381",1,87
"Jul 18, 2022","6,551","526,489",1,87
"Jul 19, 2022","6,564","526,810",1,87
"Jul 20, 2022","6,569","493,831",1,87
"Jul 21, 2022","6,583","1,084,077",2,"555,768"
"Jul 22, 2022","6,586","1,084,354",2,"555,776"
"Jul 23, 2022","6,592","1,050,130",2,"555,781"
"Jul 24, 2022","6,583","1,046,963",2,"555,817"
"Jul 25, 2022","6,584","1,047,738",2,"555,818"
"Jul 26, 2022","6,592","1,048,539",2,"555,841"
"Jul 27, 2022","6,602","1,048,998",2,"555,900"
"Jul 28, 2022","6,612","1,050,673",2,"555,897"
"Jul 29, 2022","6,616","495,529",1,87
"Jul 30, 2022","6,619","495,574",1,87
"Jul 31, 2022","6,625","497,881",1,87
"Aug 01, 2022","6,633","500,533",1,87
"Aug 02, 2022","6,638","500,537",1,87
"Aug 03, 2022","6,648","535,285",1,87
"Aug 04, 2022","6,661","535,714",1,87
"Aug 05, 2022","6,724","507,337",1,87
"Aug 06, 2022","6,747","507,900",1,87
"Aug 07, 2022","6,759","508,985",1,87
"Aug 08, 2022","6,770","509,333",1,87
"Aug 09, 2022","6,779","510,421",1,87
"Aug 10, 2022","6,799","510,604",1,87
"Aug 11, 2022","6,822","510,915",1,87
"Aug 12, 2022","6,834","511,196",1,87
"Aug 13, 2022","6,843","509,292",1,87
"Aug 14, 2022","6,851","510,437",1,87
"Aug 15, 2022","6,858","504,512",1,87
"Aug 16, 2022","6,863","505,025",1,87
"Aug 17, 2022","6,869","504,119",1,87
"Aug 18, 2022","6,881","504,629",1,87
"Aug 19, 2022","6,891","510,873",1,87
"Aug 20, 2022","6,892","511,140",1,87
"Aug 21, 2022","6,892","511,450",1,87
"Aug 22, 2022","6,899","556,082",1,87
"Aug 23, 2022","6,900","556,896",1,87
"Aug 24, 2022","6,904","521,711",1,87
"Aug 25, 2022","6,911","524,063",1,87
"Aug 26, 2022","6,914","527,392",1,87
"Aug 27, 2022","6,917","526,424",1,87
"Aug 28, 2022","6,918","526,664",1,87
"Aug 29, 2022","6,925","562,362",1,87
"Aug 30, 2022","6,929","562,931",1,87
"Aug 31, 2022","6,933","527,826",1,87
"Sep 01, 2022","6,941","528,391",1,87
"Sep 02, 2022","6,950","533,965",1,87
"Sep 03, 2022","6,958","534,314",1,87
"Sep 04, 2022","6,968","538,805",1,87
"Sep 05, 2022","6,973","539,232",1,87
"Sep 06, 2022","6,983","539,592",1,87
"Sep 07, 2022","6,984","535,834",1,87
"Sep 08, 2022","6,985","536,103",1,87
"Sep 09, 2022","6,996","536,929",1,86
"Sep 10, 2022","7,000","537,379",1,86
"Sep 11, 2022","7,010","537,793",1,86
"Sep 12, 2022","7,032","538,784",1,86
"Sep 13, 2022","7,039","539,144",1,86
