Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"May 07, 2022","2,477","6,123,557",1,"1,882,196"
"May 08, 2022","2,789","6,149,932",2,"1,882,532"
"May 09, 2022","3,085","6,157,446",2,"1,882,710"
"May 10, 2022","3,316","2,449,013",2,"1,882,932"
"May 11, 2022","3,465","2,444,080",2,"1,883,154"
"May 12, 2022","3,592","2,254,410",2,"1,883,354"
"May 13, 2022","3,698","2,258,741",2,"1,883,521"
"May 14, 2022","3,772","2,260,017",2,"1,883,761"
"May 15, 2022","3,838","2,255,971",2,"1,884,006"
"May 16, 2022","3,905","2,264,095",2,"1,884,214"
"May 17, 2022","3,960","2,266,990",2,"1,884,406"
"May 18, 2022","3,996","2,267,476",2,"1,884,642"
"May 19, 2022","4,033","2,248,967",2,"1,884,876"
"May 20, 2022","4,073","2,149,110",2,"1,885,107"
"May 21, 2022","4,099","2,150,191",2,"1,885,320"
"May 22, 2022","4,128","2,165,040",2,"1,885,561"
"May 23, 2022","4,152","2,165,581",2,"1,885,764"
"May 24, 2022","4,172","2,164,001",2,"1,885,957"
"May 25, 2022","4,180","2,165,117",2,"1,886,184"
"May 26, 2022","4,198","2,165,899",2,"1,886,405"
"May 27, 2022","4,217","2,168,897",2,"1,886,632"
"May 28, 2022","4,229","3,245,428",3,"2,964,007"
"May 29, 2022","4,240","3,246,901",3,"2,964,733"
"May 30, 2022","4,254","3,249,064",3,"2,965,357"
"May 31, 2022","4,272","3,250,278",3,"2,966,005"
"Jun 01, 2022","4,288","3,251,494",3,"2,966,768"
"Jun 02, 2022","4,308","3,261,299",3,"2,967,443"
"Jun 03, 2022","4,326","3,263,051",3,"2,968,144"
"Jun 04, 2022","4,340","3,264,393",3,"2,968,862"
"Jun 05, 2022","4,355","3,274,309",3,"2,969,618"
"Jun 06, 2022","4,366","3,275,064",3,"2,970,300"
"Jun 07, 2022","4,370","3,276,435",3,"2,971,094"
"Jun 08, 2022","4,384","3,277,478",3,"2,971,897"
"Jun 09, 2022","4,395","3,271,446",3,"2,972,672"
"Jun 10, 2022","4,401","3,272,967",3,"2,973,522"
"Jun 11, 2022","4,411","3,275,205",3,"2,974,412"
"Jun 12, 2022","4,418","3,275,618",3,"2,975,196"
"Jun 13, 2022","4,427","3,276,618",3,"2,975,990"
"Jun 14, 2022","4,441","3,277,862",3,"2,976,811"
"Jun 15, 2022","4,446","3,279,016",3,"2,977,573"
"Jun 16, 2022","4,464","3,280,359",3,"2,978,431"
"Jun 17, 2022","4,470","3,278,670",3,"2,979,236"
"Jun 18, 2022","4,481","3,280,197",3,"2,980,108"
"Jun 19, 2022","4,492","3,281,551",3,"2,980,826"
"Jun 20, 2022","4,505","3,282,292",3,"2,981,550"
"Jun 21, 2022","4,511","3,283,306",3,"2,982,175"
"Jun 22, 2022","4,525","3,304,013",3,"2,982,863"
"Jun 23, 2022","4,531","3,310,203",3,"2,983,511"
"Jun 24, 2022","4,541","3,313,393",3,"2,984,020"
"Jun 25, 2022","4,549","3,314,631",3,"2,984,451"
"Jun 26, 2022","4,554","3,315,107",3,"2,984,727"
"Jun 27, 2022","4,565","3,315,934",3,"2,984,990"
"Jun 28, 2022","4,571","3,316,427",3,"2,985,367"
"Jun 29, 2022","4,573","3,317,549",3,"2,985,945"
"Jun 30, 2022","4,582","3,318,404",3,"2,986,560"
"Jul 01, 2022","4,587","3,319,430",3,"2,987,224"
"Jul 02, 2022","4,595","3,321,823",3,"2,987,808"
"Jul 03, 2022","4,598","1,426,994",2,"1,092,285"
"Jul 04, 2022","4,604","1,427,494",2,"1,092,659"
"Jul 05, 2022","4,612","1,427,646",2,"1,092,659"
"Jul 06, 2022","4,621","1,429,151",2,"1,093,318"
"Jul 07, 2022","4,625","1,430,670",2,"1,093,616"
"Jul 08, 2022","4,637","1,430,979",2,"1,093,905"
"Jul 09, 2022","4,643","1,431,527",2,"1,094,271"
"Jul 10, 2022","4,645","1,431,988",2,"1,094,662"
"Jul 11, 2022","4,651","1,433,246",2,"1,094,997"
"Jul 12, 2022","4,659","1,432,877",2,"1,095,307"
"Jul 13, 2022","4,662","1,433,314",2,"1,095,634"
"Jul 14, 2022","4,668","1,435,996",2,"1,096,062"
"Jul 15, 2022","4,668","1,437,116",2,"1,096,491"
"Jul 16, 2022","4,671","1,437,726",2,"1,096,985"
"Jul 17, 2022","4,674","1,436,589",2,"1,097,396"
"Jul 18, 2022","4,678","1,436,715",2,"1,097,827"
"Jul 19, 2022","4,687","1,437,245",2,"1,098,368"
"Jul 20, 2022","4,685","1,437,375",2,"1,098,869"
"Jul 21, 2022","4,688","1,438,771",2,"1,099,303"
"Jul 22, 2022","4,692","1,439,682",2,"1,099,757"
"Jul 23, 2022","4,690","1,439,564",2,"1,100,207"
"Jul 24, 2022","4,690","1,441,208",2,"1,100,683"
"Jul 25, 2022","4,686","1,441,272",2,"1,101,070"
"Jul 26, 2022","4,687","1,441,931",2,"1,101,536"
"Jul 27, 2022","4,696","1,442,643",2,"1,102,066"
"Jul 28, 2022","4,698","1,443,350",2,"1,102,571"
"Jul 29, 2022","4,700","1,443,954",2,"1,103,019"
"Jul 30, 2022","4,696","1,444,657",2,"1,103,457"
"Jul 31, 2022","4,703","1,445,495",2,"1,103,874"
"Aug 01, 2022","4,710","1,447,167",2,"1,104,199"
"Aug 02, 2022","4,715","1,447,402",2,"1,104,555"
"Aug 03, 2022","4,717","1,448,106",2,"1,104,916"
"Aug 04, 2022","4,720","1,448,711",2,"1,105,330"
"Aug 05, 2022","4,726","1,449,272",2,"1,105,725"
"Aug 06, 2022","4,727","1,451,012",2,"1,106,176"
