Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"May 07, 2022","3,419","2,478,279",1,"1,882,196"
"May 08, 2022","3,846","6,234,151",2,"1,882,532"
"May 09, 2022","4,262","6,294,438",2,"1,882,710"
"May 10, 2022","4,597","6,250,553",2,"1,882,932"
"May 11, 2022","4,829","2,527,944",2,"1,883,154"
"May 12, 2022","5,024","2,354,566",2,"1,883,354"
"May 13, 2022","5,208","2,360,707",2,"1,883,521"
"May 14, 2022","5,312","2,356,918",2,"1,883,761"
"May 15, 2022","5,395","2,359,913",2,"1,884,006"
"May 16, 2022","5,486","2,359,543",2,"1,884,214"
"May 17, 2022","5,573","2,356,854",2,"1,884,406"
"May 18, 2022","5,634","2,361,560",2,"1,884,642"
"May 19, 2022","5,709","2,360,395",2,"1,884,876"
"May 20, 2022","5,777","2,364,698",2,"1,885,107"
"May 21, 2022","5,821","2,365,611",2,"1,885,320"
"May 22, 2022","5,865","2,370,524",2,"1,885,561"
"May 23, 2022","5,906","2,370,858",2,"1,885,764"
"May 24, 2022","5,934","2,371,081",2,"1,885,957"
"May 25, 2022","5,970","2,372,942",2,"1,886,184"
"May 26, 2022","5,999","2,376,821",2,"1,886,405"
"May 27, 2022","6,044","2,334,446",2,"1,886,632"
"May 28, 2022","6,056","2,334,237",2,"1,886,866"
"May 29, 2022","6,079","2,335,544",2,"1,887,122"
"May 30, 2022","6,099","2,336,554",2,"1,887,324"
"May 31, 2022","6,122","2,337,280",2,"1,887,525"
"Jun 01, 2022","6,148","2,338,260",2,"1,887,774"
"Jun 02, 2022","6,175","2,339,464",2,"1,888,019"
"Jun 03, 2022","6,196","2,340,523",2,"1,888,237"
"Jun 04, 2022","6,213","2,340,169",2,"1,888,552"
"Jun 05, 2022","6,238","2,350,300",2,"1,888,884"
"Jun 06, 2022","6,251","2,350,925",2,"1,889,198"
"Jun 07, 2022","6,275","2,352,766",2,"1,889,582"
"Jun 08, 2022","6,283","2,352,659",2,"1,889,945"
"Jun 09, 2022","6,304","2,352,891",2,"1,890,293"
"Jun 10, 2022","6,317","2,357,361",2,"1,890,649"
"Jun 11, 2022","6,334","2,358,555",2,"1,890,970"
"Jun 12, 2022","6,339","2,358,429",2,"1,891,239"
"Jun 13, 2022","6,351","2,359,248",2,"1,891,544"
"Jun 14, 2022","6,367","2,356,933",2,"1,891,856"
"Jun 15, 2022","6,384","2,364,733",2,"1,892,168"
"Jun 16, 2022","6,398","2,366,041",2,"1,892,516"
"Jun 17, 2022","6,406","2,364,054",2,"1,892,793"
"Jun 18, 2022","6,418","2,366,690",2,"1,893,178"
"Jun 19, 2022","6,419","2,367,512",2,"1,893,456"
"Jun 20, 2022","6,434","2,367,810",2,"1,893,748"
"Jun 21, 2022","6,447","2,368,680",2,"1,893,984"
"Jun 22, 2022","6,454","2,369,253",2,"1,894,223"
"Jun 23, 2022","6,468","2,370,578",2,"1,894,453"
"Jun 24, 2022","6,479","2,371,080",2,"1,894,635"
"Jun 25, 2022","6,494","2,371,410",2,"1,894,783"
"Jun 26, 2022","6,502","2,372,117",2,"1,894,914"
"Jun 27, 2022","6,512","2,372,774",2,"1,895,042"
"Jun 28, 2022","6,518","2,373,700",2,"1,895,209"
"Jun 29, 2022","6,523","2,374,472",2,"1,895,393"
"Jun 30, 2022","6,539","2,375,630",2,"1,895,579"
"Jul 01, 2022","6,540","2,375,773",2,"1,895,785"
"Jul 02, 2022","6,552","2,380,123",2,"1,895,958"
"Jul 03, 2022","6,550","2,380,323",2,"1,895,958"
"Jul 04, 2022","6,558","2,381,153",2,"1,896,221"
"Jul 05, 2022","6,564","2,388,034",2,"1,896,350"
"Jul 06, 2022","6,579","2,390,347",2,"1,896,458"
"Jul 07, 2022","6,580","2,390,991",2,"1,896,519"
"Jul 08, 2022","6,590","2,391,668",2,"1,896,630"
"Jul 09, 2022","6,600","2,393,901",2,"1,896,720"
"Jul 10, 2022","6,610","2,394,469",2,"1,896,844"
"Jul 11, 2022","6,613","2,393,115",2,"1,896,919"
"Jul 12, 2022","6,621","2,394,210",2,"1,896,998"
"Jul 13, 2022","6,627","2,394,877",2,"1,897,101"
"Jul 14, 2022","6,630","2,397,751",2,"1,897,180"
"Jul 15, 2022","6,635","2,398,403",2,"1,897,283"
"Jul 16, 2022","6,641","2,399,081",2,"1,897,391"
"Jul 17, 2022","6,648","2,397,895",2,"1,897,504"
"Jul 18, 2022","6,658","2,398,235",2,"1,897,636"
"Jul 19, 2022","6,673","2,399,375",2,"1,897,755"
"Jul 20, 2022","6,677","2,400,162",2,"1,897,881"
"Jul 21, 2022","6,689","2,402,308",2,"1,897,917"
"Jul 22, 2022","6,693","2,402,140",2,"1,898,072"
"Jul 23, 2022","6,691","2,400,500",2,"1,898,155"
"Jul 24, 2022","6,689","2,400,783",2,"1,898,225"
"Jul 25, 2022","6,683","2,401,255",2,"1,898,336"
"Jul 26, 2022","6,690","2,402,875",2,"1,898,420"
"Jul 27, 2022","6,701","2,403,437",2,"1,898,494"
"Jul 28, 2022","6,707","2,437,894",2,"1,898,561"
"Jul 29, 2022","6,717","2,437,489",2,"1,898,588"
"Jul 30, 2022","6,721","2,417,367",2,"1,898,663"
"Jul 31, 2022","6,727","2,419,190",2,"1,898,783"
"Aug 01, 2022","6,735","2,419,748",2,"1,898,884"
"Aug 02, 2022","6,737","2,420,517",2,"1,898,978"
"Aug 03, 2022","6,745","2,421,081",2,"1,899,095"
"Aug 04, 2022","6,752","2,416,172",2,"1,899,179"
"Aug 05, 2022","6,756","2,412,630",2,"1,899,223"
"Aug 06, 2022","6,759","2,414,322",2,"1,899,352"
"Aug 07, 2022","6,766","2,416,403",2,"1,899,435"
"Aug 08, 2022","6,766","2,416,851",2,"1,899,521"
"Aug 09, 2022","6,764","2,417,390",2,"1,899,579"
"Aug 10, 2022","6,768","2,416,118",2,"1,899,600"
"Aug 11, 2022","6,770","2,416,639",2,"1,899,657"
"Aug 12, 2022","6,771","2,417,099",2,"1,899,716"
"Aug 13, 2022","6,772","2,417,956",2,"1,899,772"
"Aug 14, 2022","6,774","2,419,711",2,"1,899,904"
"Aug 15, 2022","6,779","2,420,279",2,"1,900,001"
"Aug 16, 2022","6,778","2,420,754",2,"1,900,059"
"Aug 17, 2022","6,779","2,419,934",2,"1,900,176"
"Aug 18, 2022","6,781","2,420,666",2,"1,900,262"
"Aug 19, 2022","6,786","2,427,594",2,"1,900,410"
"Aug 20, 2022","6,783","2,428,150",2,"1,900,549"
"Aug 21, 2022","6,789","2,428,842",2,"1,900,664"
"Aug 22, 2022","6,792","2,429,297",2,"1,900,728"
"Aug 23, 2022","6,792","2,429,915",2,"1,900,834"
"Aug 24, 2022","6,797","2,430,501",2,"1,900,919"
"Aug 25, 2022","6,803","2,431,138",2,"1,901,049"
"Aug 26, 2022","6,803","2,431,585",2,"1,901,148"
"Aug 27, 2022","6,805","2,431,411",2,"1,901,209"
"Aug 28, 2022","6,803","530,212",1,87
"Aug 29, 2022","6,804","530,682",1,87
"Aug 30, 2022","6,812","537,728",1,87
