Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"May 07, 2022","4,026","2,736,038",1,"1,068,219"
"May 08, 2022","4,536","6,529,360",2,"1,068,588"
"May 09, 2022","4,990","6,544,044",2,"1,068,887"
"May 10, 2022","5,370","5,707,130",2,"1,069,251"
"May 11, 2022","5,653","2,049,351",2,"1,069,570"
"May 12, 2022","5,846","1,880,458",2,"1,069,873"
"May 13, 2022","6,017","1,858,359",2,"1,070,195"
"May 14, 2022","6,144","1,820,965",2,"1,070,591"
"May 15, 2022","6,246","1,817,171",2,"1,071,042"
"May 16, 2022","6,343","1,837,266",2,"1,071,432"
"May 17, 2022","6,418","1,865,541",2,"1,071,867"
"May 18, 2022","6,496","1,864,823",2,"1,072,437"
"May 19, 2022","6,582","3,870,031",2,"1,072,853"
"May 20, 2022","6,652","3,898,432",2,"1,073,359"
"May 21, 2022","6,693","3,881,686",2,"1,073,896"
"May 22, 2022","6,734","3,868,222",2,"1,074,370"
"May 23, 2022","6,787","3,871,891",2,"1,074,780"
"May 24, 2022","6,820","3,871,918",2,"1,075,258"
"May 25, 2022","6,852","3,900,956",2,"1,075,744"
"May 26, 2022","6,889","3,915,946",2,"1,076,217"
"May 27, 2022","6,912","2,007,772",2,"1,076,709"
"May 28, 2022","6,935","1,982,463",2,"1,077,229"
"May 29, 2022","6,959","1,651,548",2,"1,077,699"
"May 30, 2022","6,971","1,656,442",2,"1,078,121"
"May 31, 2022","6,999","1,657,986",2,"1,078,568"
"Jun 01, 2022","7,032","1,661,379",2,"1,079,082"
"Jun 02, 2022","7,062","1,671,149",2,"1,079,512"
"Jun 03, 2022","7,086","1,673,097",2,"1,079,995"
"Jun 04, 2022","7,100","1,685,954",2,"1,080,398"
"Jun 05, 2022","7,121","1,729,080",2,"1,080,822"
"Jun 06, 2022","7,141","1,732,197",2,"1,081,190"
"Jun 07, 2022","7,166","1,730,135",2,"1,081,600"
"Jun 08, 2022","7,193","1,847,408",2,"1,082,040"
"Jun 09, 2022","7,214","1,817,305",2,"1,082,467"
"Jun 10, 2022","7,240","1,703,469",2,"1,082,961"
"Jun 11, 2022","7,263","1,705,361",2,"1,083,530"
"Jun 12, 2022","7,282","1,705,988",2,"1,084,045"
"Jun 13, 2022","7,298","1,707,267",2,"1,084,534"
"Jun 14, 2022","7,313","1,739,031",2,"1,085,043"
"Jun 15, 2022","7,331","1,740,813",2,"1,085,493"
"Jun 16, 2022","7,344","1,711,602",2,"1,086,003"
"Jun 17, 2022","7,361","1,764,702",2,"1,086,531"
"Jun 18, 2022","7,375","1,766,457",2,"1,087,018"
"Jun 19, 2022","7,386","1,735,767",2,"1,087,458"
"Jun 20, 2022","7,404","1,773,291",2,"1,087,890"
"Jun 21, 2022","7,419","1,773,211",2,"1,088,279"
"Jun 22, 2022","7,434","1,739,376",2,"1,088,728"
"Jun 23, 2022","7,443","1,771,885",2,"1,089,146"
"Jun 24, 2022","7,458","1,741,883",2,"1,089,473"
"Jun 25, 2022","7,482","1,742,891",2,"1,089,756"
"Jun 26, 2022","7,492","1,743,687",2,"1,089,901"
"Jun 27, 2022","7,505","1,744,273",2,"1,090,036"
"Jun 28, 2022","7,519","1,745,170",2,"1,090,246"
"Jun 29, 2022","7,531","1,746,478",2,"1,090,640"
"Jun 30, 2022","7,542","1,748,150",2,"1,091,069"
"Jul 01, 2022","7,559","1,749,492",2,"1,091,527"
"Jul 02, 2022","7,569","1,751,340",2,"1,091,938"
"Jul 03, 2022","7,582","1,752,338",2,"1,092,285"
"Jul 04, 2022","7,591","1,756,208",2,"1,092,659"
"Jul 05, 2022","7,598","1,759,589",2,"1,092,659"
"Jul 06, 2022","7,609","1,759,979",2,"1,093,318"
"Jul 07, 2022","7,616","1,737,054",2,"1,093,616"
"Jul 08, 2022","7,631","1,737,892",2,"1,093,905"
"Jul 09, 2022","7,638","1,743,806",2,"1,094,271"
"Jul 10, 2022","7,650","1,744,834",2,"1,094,662"
"Jul 11, 2022","7,661","1,772,648",2,"1,094,997"
"Jul 12, 2022","7,677","1,777,584",2,"1,095,307"
"Jul 13, 2022","7,691","1,778,576",2,"1,095,634"
"Jul 14, 2022","7,698","1,763,589",2,"1,096,062"
"Jul 15, 2022","7,705","1,765,378",2,"1,096,491"
"Jul 16, 2022","7,709","1,733,300",2,"1,096,985"
"Jul 17, 2022","7,717","1,736,095",2,"1,097,396"
"Jul 18, 2022","7,728","1,736,361",2,"1,097,827"
"Jul 19, 2022","7,739","1,732,453",2,"1,098,368"
"Jul 20, 2022","7,746","1,766,657",2,"1,098,869"
"Jul 21, 2022","7,754","1,768,520",2,"1,099,303"
"Jul 22, 2022","7,754","1,735,818",2,"1,099,757"
"Jul 23, 2022","7,760","1,735,319",2,"1,100,207"
"Jul 24, 2022","7,756","1,732,018",2,"1,100,683"
"Jul 25, 2022","7,752","1,732,989",2,"1,101,070"
"Jul 26, 2022","7,761","1,735,399",2,"1,101,536"
"Jul 27, 2022","7,764","1,736,334",2,"1,102,066"
"Jul 28, 2022","7,777","1,737,995",2,"1,102,571"
"Jul 29, 2022","7,783","1,739,326",2,"1,103,019"
"Jul 30, 2022","7,784","1,740,677",2,"1,103,457"
"Jul 31, 2022","7,796","1,741,103",2,"1,103,874"
"Aug 01, 2022","7,805","1,741,938",2,"1,104,199"
"Aug 02, 2022","7,815","1,742,872",2,"1,104,555"
"Aug 03, 2022","7,818","1,743,636",2,"1,104,916"
"Aug 04, 2022","7,825","1,744,682",2,"1,105,330"
"Aug 05, 2022","7,839","1,746,090",2,"1,105,725"
"Aug 06, 2022","7,841","1,748,078",2,"1,106,176"
"Aug 07, 2022","7,842","1,746,779",2,"1,106,502"
"Aug 08, 2022","7,848","1,747,440",2,"1,106,762"
"Aug 09, 2022","7,862","1,748,335",2,"1,107,131"
"Aug 10, 2022","7,873","1,749,046",2,"1,107,512"
"Aug 11, 2022","7,875","1,749,753",2,"1,107,901"
"Aug 12, 2022","7,877","1,747,507",2,"1,108,356"
"Aug 13, 2022","7,880","1,748,537",2,"1,108,816"
"Aug 14, 2022","7,886","1,750,034",2,"1,109,185"
"Aug 15, 2022","7,891","1,750,816",2,"1,109,573"
