"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",20903593,21260
"2023-04-30 00:00:00",20882333,0
"2023-04-29 00:00:00",20882333,24700
"2023-04-28 00:00:00",20857633,39237
"2023-04-27 00:00:00",20818396,15105
"2023-04-26 00:00:00",20803291,13537
"2023-04-25 00:00:00",20789754,13537
"2023-04-24 00:00:00",20776217,0
"2023-04-23 00:00:00",20776217,14679
"2023-04-22 00:00:00",20761538,32539
"2023-04-21 00:00:00",20728999,15865
"2023-04-20 00:00:00",20713134,15393
"2023-04-19 00:00:00",20697741,14989
"2023-04-18 00:00:00",20682752,13227
"2023-04-17 00:00:00",20669525,14803
"2023-04-16 00:00:00",20654722,16532
"2023-04-15 00:00:00",20638190,16464
"2023-04-14 00:00:00",20621726,15799
"2023-04-13 00:00:00",20605927,15847
"2023-04-12 00:00:00",20590080,0
"2023-04-11 00:00:00",20590080,27008
"2023-04-10 00:00:00",20563072,14627
"2023-04-09 00:00:00",20548445,15738
"2023-04-08 00:00:00",20532707,17311
"2023-04-07 00:00:00",20515396,16925
"2023-04-06 00:00:00",20498471,16889
"2023-04-05 00:00:00",20481582,16666
"2023-04-04 00:00:00",20464916,0
"2023-04-03 00:00:00",20464916,28831
"2023-04-02 00:00:00",20436085,16632
"2023-04-01 00:00:00",20419453,16604
"2023-03-31 00:00:00",20402849,16445
"2023-03-30 00:00:00",20386404,15681
"2023-03-29 00:00:00",20370723,15385
"2023-03-28 00:00:00",20355338,13482
"2023-03-27 00:00:00",20341856,14679
"2023-03-26 00:00:00",20327177,16247
"2023-03-25 00:00:00",20310930,15974
"2023-03-24 00:00:00",20294956,15868
"2023-03-23 00:00:00",20279088,0
"2023-03-22 00:00:00",20279088,31584
"2023-03-21 00:00:00",20247504,13556
"2023-03-20 00:00:00",20233948,14784
"2023-03-19 00:00:00",20219164,16264
"2023-03-18 00:00:00",20202900,16797
"2023-03-17 00:00:00",20186103,16434
"2023-03-16 00:00:00",20169669,16014
"2023-03-15 00:00:00",20153655,16065
"2023-03-14 00:00:00",20137590,14260
"2023-03-13 00:00:00",20123330,15567
