Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",265,"69,696",,
"Jun 19, 2022",303,"74,214",1,506
"Jun 20, 2022",335,"74,398",1,506
"Jun 21, 2022",364,"281,944",1,506
"Jun 22, 2022",387,"280,593",1,506
"Jun 23, 2022",409,"280,248",1,506
"Jun 24, 2022",427,"280,461",1,506
"Jun 25, 2022",438,"280,074",1,506
"Jun 26, 2022",443,"281,177",1,506
"Jun 27, 2022",451,"281,317",1,506
"Jun 28, 2022",458,"281,409",1,506
"Jun 29, 2022",468,"281,542",1,506
"Jun 30, 2022",471,"282,040",1,506
"Jul 01, 2022",475,"282,112",1,506
"Jul 02, 2022",479,"282,323",1,506
"Jul 03, 2022",483,"281,563",1,506
"Jul 04, 2022",487,"281,708",1,506
"Jul 05, 2022",489,"282,046",1,506
"Jul 06, 2022",490,"282,180",1,506
"Jul 07, 2022",495,"277,829",1,506
"Jul 08, 2022",499,"306,340",1,506
"Jul 09, 2022",500,"306,541",1,506
"Jul 10, 2022",501,"306,655",1,506
"Jul 11, 2022",502,"306,857",1,506
"Jul 12, 2022",505,"307,015",1,506
"Jul 13, 2022",511,"307,187",1,506
"Jul 14, 2022",515,"307,441",1,506
"Jul 15, 2022",517,"307,616",1,506
"Jul 16, 2022",517,"307,125",1,506
"Jul 17, 2022",520,"307,376",1,506
"Jul 18, 2022",525,"308,112",1,506
"Jul 19, 2022",531,"308,285",1,506
"Jul 20, 2022",537,"308,530",1,506
"Jul 21, 2022",544,"310,098",1,506
"Jul 22, 2022",548,"310,344",1,506
"Jul 23, 2022",552,"310,538",1,506
"Jul 24, 2022",553,"310,258",1,506
"Jul 25, 2022",556,"100,963",1,506
"Jul 26, 2022",563,"310,734",1,506
"Jul 27, 2022",564,"310,877",1,506
"Jul 28, 2022",566,"311,101",1,506
"Jul 29, 2022",570,"311,368",1,506
"Jul 30, 2022",568,"101,540",1,506
"Jul 31, 2022",569,"101,614",1,506
"Aug 01, 2022",569,"101,586",1,506
"Aug 02, 2022",572,"101,695",1,506
"Aug 03, 2022",576,"101,765",1,506
"Aug 04, 2022",581,"101,881",1,506
"Aug 05, 2022",585,"101,980",1,506
"Aug 06, 2022",586,"102,646",1,506
"Aug 07, 2022",588,"102,690",1,506
"Aug 08, 2022",593,"102,775",1,506
"Aug 09, 2022",595,"102,839",1,506
"Aug 10, 2022",595,"102,940",1,506
"Aug 11, 2022",601,"103,226",1,506
"Aug 12, 2022",605,"103,371",1,506
"Aug 13, 2022",606,"103,425",1,506
"Aug 14, 2022",608,"103,503",1,506
"Aug 15, 2022",609,"102,892",1,506
"Aug 16, 2022",611,"103,459",1,506
"Aug 17, 2022",613,"103,515",1,506
"Aug 18, 2022",613,"103,578",1,506
"Aug 19, 2022",616,"104,243",1,506
"Aug 20, 2022",620,"104,375",1,506
"Aug 21, 2022",620,"104,400",1,506
"Aug 22, 2022",624,"104,477",1,506
"Aug 23, 2022",626,"104,543",1,506
"Aug 24, 2022",629,"104,586",1,506
"Aug 25, 2022",631,"104,757",1,506
"Aug 26, 2022",631,"104,825",1,506
"Aug 27, 2022",633,"104,896",1,506
"Aug 28, 2022",634,"104,939",1,506
"Aug 29, 2022",637,"104,997",1,506
"Aug 30, 2022",637,"104,456",1,506
"Aug 31, 2022",638,"104,507",1,506
"Sep 01, 2022",640,"104,570",1,506
"Sep 02, 2022",642,"104,622",1,506
"Sep 03, 2022",643,"104,646",1,506
"Sep 04, 2022",643,"104,652",1,506
"Sep 05, 2022",644,"104,678",1,506
"Sep 06, 2022",646,"104,750",1,506
"Sep 07, 2022",647,"104,813",1,506
"Sep 08, 2022",647,"104,852",1,506
"Sep 09, 2022",645,"104,901",1,506
"Sep 10, 2022",645,"104,965",1,506
"Sep 11, 2022",647,"55,268",1,506
"Sep 12, 2022",648,"55,308",1,506
"Sep 13, 2022",649,"55,362",1,506
"Sep 14, 2022",649,"55,428",1,506
"Sep 15, 2022",653,"55,487",1,506
"Sep 16, 2022",655,"55,613",1,506
"Sep 17, 2022",659,"56,777",1,506
"Sep 18, 2022",660,"56,824",1,506
"Sep 19, 2022",660,"56,865",1,506
"Sep 20, 2022",661,"56,893",1,506
"Sep 21, 2022",661,"56,989",1,506
"Sep 22, 2022",662,"57,062",1,506
"Sep 23, 2022",664,"57,128",1,506
"Sep 24, 2022",665,"57,200",1,506
"Sep 25, 2022",666,"57,244",1,506
"Sep 26, 2022",666,"56,679",1,506
"Sep 27, 2022",667,"56,729",1,506
"Sep 28, 2022",668,"56,818",1,506
"Sep 29, 2022",668,"56,859",1,506
"Sep 30, 2022",670,"56,924",1,506
"Oct 01, 2022",672,"57,028",1,506
"Oct 02, 2022",672,"57,066",1,506
"Oct 03, 2022",672,"57,101",1,506
"Oct 04, 2022",672,"57,162",1,506
"Oct 05, 2022",672,"57,245",1,506
"Oct 06, 2022",673,"57,311",1,506
"Oct 07, 2022",674,"57,426",1,506
"Oct 08, 2022",675,"57,467",1,506
"Oct 09, 2022",675,"57,500",1,506
"Oct 10, 2022",677,"57,547",1,506
"Oct 11, 2022",678,"57,653",1,506
"Oct 12, 2022",677,"57,643",1,506
"Oct 13, 2022",678,"57,700",1,506
"Oct 14, 2022",679,"58,330",1,506
"Oct 15, 2022",679,"58,409",1,506
"Oct 16, 2022",679,"58,471",1,506
"Oct 17, 2022",679,"58,513",1,506
"Oct 18, 2022",681,"59,720",1,506
"Oct 19, 2022",681,"59,779",1,506
"Oct 20, 2022",682,"59,873",1,506
"Oct 21, 2022",682,"59,909",1,506
"Oct 22, 2022",682,"60,024",1,506
"Oct 23, 2022",682,"60,333",1,506
"Oct 24, 2022",684,"60,392",1,506
"Oct 25, 2022",685,"60,459",1,506
"Oct 26, 2022",686,"60,535",1,506
"Oct 27, 2022",687,"60,604",1,506
"Oct 28, 2022",686,"60,733",1,506
"Oct 29, 2022",686,"60,819",1,506
"Oct 30, 2022",685,"60,845",1,506
"Oct 31, 2022",686,"60,884",1,506
"Nov 01, 2022",687,"60,968",1,506
"Nov 02, 2022",688,"61,005",1,506
"Nov 03, 2022",688,"61,068",1,506
"Nov 04, 2022",689,"61,138",1,506
"Nov 05, 2022",690,"61,204",1,506
"Nov 06, 2022",692,"61,326",1,506
"Nov 07, 2022",691,"61,410",1,506
"Nov 08, 2022",691,"61,479",1,506
"Nov 09, 2022",692,"61,598",1,506
"Nov 10, 2022",692,"61,659",1,506
"Nov 11, 2022",691,"61,711",1,506
"Nov 12, 2022",690,"61,952",1,506
"Nov 13, 2022",689,"62,000",1,506
"Nov 14, 2022",689,"62,024",1,506
"Nov 15, 2022",689,"62,107",1,506
"Nov 16, 2022",689,"62,145",1,506
"Nov 17, 2022",689,"62,212",1,506
"Nov 18, 2022",685,"61,792",1,506
"Nov 19, 2022",685,"61,781",1,506
"Nov 20, 2022",685,"62,231",1,506
"Nov 21, 2022",686,"62,273",1,506
"Nov 22, 2022",687,"61,735",1,506
"Nov 23, 2022",686,"61,724",1,506
"Nov 24, 2022",685,"61,839",1,506
"Nov 25, 2022",686,"61,964",1,506
"Nov 26, 2022",686,"62,044",1,506
"Nov 27, 2022",687,"62,094",1,506
"Nov 28, 2022",688,"62,126",1,506
"Nov 29, 2022",687,"60,004",1,506
"Nov 30, 2022",688,"62,211",1,506
"Dec 01, 2022",687,"62,245",1,506
"Dec 02, 2022",687,"62,245",1,506
"Dec 03, 2022",681,"59,981",1,506
"Dec 04, 2022",680,"61,180",1,506
"Dec 05, 2022",668,"62,142",1,506
"Dec 06, 2022",668,"62,105",1,506
"Dec 07, 2022",655,"56,568",1,506
"Dec 08, 2022",647,"54,894",1,506
"Dec 09, 2022",644,"54,885",1,506
"Dec 10, 2022",642,"54,870",1,506
"Dec 11, 2022",642,"54,647",1,506
"Dec 12, 2022",639,"55,321",1,506
"Dec 13, 2022",632,"55,285",1,506
"Dec 14, 2022",626,"56,898",1,506
"Dec 15, 2022",624,"53,759",1,506
"Dec 16, 2022",630,"55,915",1,505
"Dec 17, 2022",627,"55,304",1,505
"Dec 18, 2022",631,"53,449",1,505
"Dec 19, 2022",632,"54,522",1,505
"Dec 20, 2022",636,"56,214",1,505
"Dec 21, 2022",638,"58,833",1,505
"Dec 22, 2022",641,"60,418",1,505
"Dec 23, 2022",634,"60,011",1,505
"Dec 24, 2022",625,"56,044",1,505
"Dec 25, 2022",621,"56,114",1,505
"Dec 26, 2022",610,"57,460",1,505
"Dec 27, 2022",599,"54,079",1,505
"Dec 28, 2022",590,"54,756",1,505
"Dec 29, 2022",577,"55,066",1,505
"Dec 30, 2022",567,"54,740",1,505
"Dec 31, 2022",567,"56,023",1,505
"Jan 01, 2023",562,"54,619",1,505
"Jan 02, 2023",559,"20,440",1,504
"Jan 03, 2023",549,"19,892",1,504
"Jan 04, 2023",544,"19,717",1,504
"Jan 05, 2023",534,"19,664",1,504
"Jan 06, 2023",530,"19,650",1,504
"Jan 07, 2023",529,"19,649",1,504
"Jan 08, 2023",529,"19,650",1,504
"Jan 09, 2023",529,"19,650",1,504
"Jan 10, 2023",534,"23,062",1,504
"Jan 11, 2023",543,"60,034",1,504
"Jan 12, 2023",549,"60,562",1,504
"Jan 13, 2023",557,"63,083",1,504
"Jan 14, 2023",560,"60,381",1,504
"Jan 15, 2023",562,"63,202",1,504
"Jan 16, 2023",779,"66,259",1,504
"Jan 17, 2023",778,"65,719",1,504
"Jan 18, 2023",778,"65,831",1,504
"Jan 19, 2023",778,"65,924",1,504
"Jan 20, 2023",779,"65,972",1,504
"Jan 21, 2023",779,"66,099",1,504
"Jan 22, 2023",779,"66,147",1,504
"Jan 23, 2023",779,"66,166",1,504
"Jan 24, 2023",779,"66,269",1,504
"Jan 25, 2023",779,"66,318",1,504
"Jan 26, 2023",779,"66,376",1,504
"Jan 27, 2023",779,"66,468",1,504
"Jan 28, 2023",779,"66,077",1,504
"Jan 29, 2023",780,"66,123",1,504
"Jan 30, 2023",780,"66,220",1,504
"Jan 31, 2023",780,"66,280",1,504
"Feb 01, 2023",782,"66,335",1,504
"Feb 02, 2023",782,"66,808",1,504
"Feb 03, 2023",782,"66,862",1,504
"Feb 04, 2023",782,"66,894",1,504
"Feb 05, 2023",782,"66,916",1,504
"Feb 06, 2023",782,"66,930",1,504
"Feb 07, 2023",781,"66,956",1,504
"Feb 08, 2023",782,"67,046",1,504
"Feb 09, 2023",783,"67,096",1,504
"Feb 10, 2023",784,"67,117",1,504
"Feb 11, 2023",784,"66,923",1,504
"Feb 12, 2023",785,"66,944",1,504
"Feb 13, 2023",785,"66,955",1,504
"Feb 14, 2023",785,"67,033",1,504
"Feb 15, 2023",786,"67,082",1,504
