Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 17, 2022",248,"131,755",,
"Jun 18, 2022",343,"136,503",,
"Jun 19, 2022",382,"210,866",1,506
"Jun 20, 2022",434,"213,116",1,506
"Jun 21, 2022",462,"346,161",1,506
"Jun 22, 2022",485,"343,444",1,506
"Jun 23, 2022",514,"343,548",1,506
"Jun 24, 2022",549,"136,826",1,506
"Jun 25, 2022",565,"346,050",1,506
"Jun 26, 2022",572,"347,176",1,506
"Jun 27, 2022",587,"345,540",1,506
"Jun 28, 2022",599,"345,141",1,506
"Jun 29, 2022",612,"347,630",1,506
"Jun 30, 2022",623,"347,835",1,506
"Jul 01, 2022",632,"348,242",1,506
"Jul 02, 2022",641,"348,727",1,506
"Jul 03, 2022",645,"357,231",1,506
"Jul 04, 2022",650,"357,252",1,506
"Jul 05, 2022",652,"356,803",1,506
"Jul 06, 2022",651,"356,876",1,506
"Jul 07, 2022",657,"356,975",1,506
"Jul 08, 2022",668,"357,767",1,506
"Jul 09, 2022",670,"358,852",1,506
"Jul 10, 2022",675,"358,969",1,506
"Jul 11, 2022",678,"359,123",1,506
"Jul 12, 2022",709,"359,726",1,506
"Jul 13, 2022",726,"360,560",1,506
"Jul 14, 2022",742,"360,806",1,506
"Jul 15, 2022",755,"362,680",1,506
"Jul 16, 2022",761,"362,254",1,506
"Jul 17, 2022",766,"245,571",1,506
"Jul 18, 2022",772,"245,726",1,506
"Jul 19, 2022",778,"245,515",1,506
"Jul 20, 2022",787,"246,577",1,506
"Jul 21, 2022",799,"248,204",1,506
"Jul 22, 2022",813,"248,446",1,506
"Jul 23, 2022",820,"248,593",1,506
"Jul 24, 2022",823,"248,739",1,506
"Jul 25, 2022",832,"249,890",1,506
"Jul 26, 2022",844,"250,454",1,506
"Jul 27, 2022",849,"250,563",1,506
"Jul 28, 2022",849,"250,287",1,506
"Jul 29, 2022",852,"250,446",1,506
"Jul 30, 2022",855,"250,695",1,506
"Jul 31, 2022",855,"250,803",1,506
"Aug 01, 2022",856,"250,861",1,506
"Aug 02, 2022",861,"250,966",1,506
"Aug 03, 2022",868,"251,106",1,506
"Aug 04, 2022",873,"251,228",1,506
"Aug 05, 2022",877,"248,964",1,506
"Aug 06, 2022",877,"38,493",1,506
"Aug 07, 2022",882,"38,540",1,506
"Aug 08, 2022",886,"38,594",1,506
"Aug 09, 2022",890,"38,634",1,506
"Aug 10, 2022",894,"249,646",1,506
"Aug 11, 2022",899,"249,915",1,506
"Aug 12, 2022",903,"250,367",1,506
"Aug 13, 2022",904,"250,496",1,506
"Aug 14, 2022",907,"250,607",1,506
"Aug 15, 2022",910,"250,745",1,506
"Aug 16, 2022",912,"251,357",1,506
"Aug 17, 2022",918,"251,489",1,506
"Aug 18, 2022",920,"252,021",1,506
"Aug 19, 2022",925,"252,197",1,506
"Aug 20, 2022",926,"252,511",1,506
"Aug 21, 2022",930,"252,661",1,506
"Aug 22, 2022",935,"252,844",1,506
"Aug 23, 2022",937,"253,022",1,506
"Aug 24, 2022",948,"266,551",1,506
"Aug 25, 2022",950,"266,601",1,506
"Aug 26, 2022",950,"266,756",1,506
