"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",3115665,3945
"2023-04-30 00:00:00",3111720,0
"2023-04-29 00:00:00",3111720,8534
"2023-04-28 00:00:00",3103186,4486
"2023-04-27 00:00:00",3098700,3914
"2023-04-26 00:00:00",3094786,0
"2023-04-25 00:00:00",3094786,7373
"2023-04-24 00:00:00",3087413,4296
"2023-04-23 00:00:00",3083118,4296
"2023-04-22 00:00:00",3078822,4514
"2023-04-21 00:00:00",3074308,4497
"2023-04-20 00:00:00",3069811,4517
"2023-04-19 00:00:00",3065294,4438
"2023-04-18 00:00:00",3060856,3545
"2023-04-17 00:00:00",3057311,4168
"2023-04-16 00:00:00",3053143,5094
"2023-04-15 00:00:00",3048049,4556
"2023-04-14 00:00:00",3043493,4550
"2023-04-13 00:00:00",3038943,4611
"2023-04-12 00:00:00",3034332,4126
"2023-04-11 00:00:00",3030206,3387
"2023-04-10 00:00:00",3026819,4093
"2023-04-09 00:00:00",3022726,4577
"2023-04-08 00:00:00",3018149,4770
"2023-04-07 00:00:00",3013379,0
"2023-04-06 00:00:00",3013379,9571
"2023-04-05 00:00:00",3003808,4398
"2023-04-04 00:00:00",2999410,3985
"2023-04-03 00:00:00",2995425,4446
"2023-04-02 00:00:00",2990979,5049
"2023-04-01 00:00:00",2985930,5083
"2023-03-31 00:00:00",2980847,0
"2023-03-30 00:00:00",2980847,9863
"2023-03-29 00:00:00",2970984,4667
"2023-03-28 00:00:00",2966317,3729
"2023-03-27 00:00:00",2962588,4255
"2023-03-26 00:00:00",2958333,4407
"2023-03-25 00:00:00",2953926,4510
"2023-03-24 00:00:00",2949416,4393
"2023-03-23 00:00:00",2945023,4520
"2023-03-22 00:00:00",2940503,4153
"2023-03-21 00:00:00",2936350,3574
"2023-03-20 00:00:00",2932776,4176
"2023-03-19 00:00:00",2928600,4629
"2023-03-18 00:00:00",2923971,0
"2023-03-17 00:00:00",2923971,9339
"2023-03-16 00:00:00",2914632,0
"2023-03-15 00:00:00",2914632,9830
"2023-03-14 00:00:00",2904802,3762
"2023-03-13 00:00:00",2901040,4367
"2023-03-12 00:00:00",2896673,4796
"2023-03-11 00:00:00",2891877,4678
"2023-03-10 00:00:00",2887199,4846
"2023-03-09 00:00:00",2882353,4700
"2023-03-08 00:00:00",2877653,0
"2023-03-07 00:00:00",2877653,8378
"2023-03-06 00:00:00",2869275,4717
"2023-03-05 00:00:00",2864558,4903
"2023-03-04 00:00:00",2859655,4888
"2023-03-03 00:00:00",2854767,4917
"2023-03-02 00:00:00",2849850,0
"2023-03-01 00:00:00",2849850,9834
"2023-02-28 00:00:00",2840016,3964
"2023-02-27 00:00:00",2836052,4420
"2023-02-26 00:00:00",2831632,4836
"2023-02-25 00:00:00",2826796,4927
"2023-02-24 00:00:00",2821869,4780
"2023-02-23 00:00:00",2817089,4852
"2023-02-22 00:00:00",2812237,4679
"2023-02-21 00:00:00",2807558,4138
"2023-02-20 00:00:00",2803420,4919
