"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",5532127,11444
"2023-04-30 00:00:00",5520683,0
"2023-04-29 00:00:00",5520683,25143
"2023-04-28 00:00:00",5495540,13014
"2023-04-27 00:00:00",5482526,12127
"2023-04-26 00:00:00",5470399,11384
"2023-04-25 00:00:00",5459015,9676
"2023-04-24 00:00:00",5449339,12349
"2023-04-23 00:00:00",5436990,12349
"2023-04-22 00:00:00",5424641,12894
"2023-04-21 00:00:00",5411747,12457
"2023-04-20 00:00:00",5399290,12528
"2023-04-19 00:00:00",5386762,12084
"2023-04-18 00:00:00",5374678,10083
"2023-04-17 00:00:00",5364595,12444
"2023-04-16 00:00:00",5352151,13749
"2023-04-15 00:00:00",5338402,13201
"2023-04-14 00:00:00",5325201,13129
"2023-04-13 00:00:00",5312072,12979
"2023-04-12 00:00:00",5299093,11986
"2023-04-11 00:00:00",5287107,9717
"2023-04-10 00:00:00",5277390,11584
"2023-04-09 00:00:00",5265806,12407
"2023-04-08 00:00:00",5253399,13705
"2023-04-07 00:00:00",5239694,0
"2023-04-06 00:00:00",5239694,25646
"2023-04-05 00:00:00",5214048,12012
"2023-04-04 00:00:00",5202036,10572
"2023-04-03 00:00:00",5191464,11604
"2023-04-02 00:00:00",5179860,12967
"2023-04-01 00:00:00",5166893,12953
"2023-03-31 00:00:00",5153940,0
"2023-03-30 00:00:00",5153940,25544
"2023-03-29 00:00:00",5128396,12191
"2023-03-28 00:00:00",5116205,10565
"2023-03-27 00:00:00",5105640,12001
"2023-03-26 00:00:00",5093639,12917
"2023-03-25 00:00:00",5080722,13098
"2023-03-24 00:00:00",5067624,12725
"2023-03-23 00:00:00",5054899,12498
"2023-03-22 00:00:00",5042401,11816
"2023-03-21 00:00:00",5030585,10378
"2023-03-20 00:00:00",5020207,11642
"2023-03-19 00:00:00",5008565,12915
"2023-03-18 00:00:00",4995650,0
"2023-03-17 00:00:00",4995650,25827
"2023-03-16 00:00:00",4969823,0
"2023-03-15 00:00:00",4969823,25878
"2023-03-14 00:00:00",4943945,11242
"2023-03-13 00:00:00",4932703,12984
"2023-03-12 00:00:00",4919719,13799
"2023-03-11 00:00:00",4905920,13388
"2023-03-10 00:00:00",4892532,13390
"2023-03-09 00:00:00",4879142,13701
"2023-03-08 00:00:00",4865441,0
"2023-03-07 00:00:00",4865441,24251
"2023-03-06 00:00:00",4841190,12994
"2023-03-05 00:00:00",4828196,14015
"2023-03-04 00:00:00",4814181,13959
"2023-03-03 00:00:00",4800222,13963
"2023-03-02 00:00:00",4786259,0
"2023-03-01 00:00:00",4786259,26513
"2023-02-28 00:00:00",4759746,11224
"2023-02-27 00:00:00",4748522,12620
"2023-02-26 00:00:00",4735902,14154
"2023-02-25 00:00:00",4721748,14192
"2023-02-24 00:00:00",4707556,13856
"2023-02-23 00:00:00",4693700,14052
"2023-02-22 00:00:00",4679648,12896
"2023-02-21 00:00:00",4666752,11684
"2023-02-20 00:00:00",4655068,13478
"2023-02-19 00:00:00",4641590,15070
"2023-02-18 00:00:00",4626520,0
"2023-02-17 00:00:00",4626520,30755
"2023-02-16 00:00:00",4595765,15298
"2023-02-15 00:00:00",4580467,14350
"2023-02-14 00:00:00",4566117,12092
"2023-02-13 00:00:00",4554025,0
"2023-02-12 00:00:00",4554025,29838
"2023-02-11 00:00:00",4524187,13745
"2023-02-10 00:00:00",4510442,13674
"2023-02-09 00:00:00",4496768,13399
"2023-02-08 00:00:00",4483369,13164
"2023-02-07 00:00:00",4470205,0
"2023-02-06 00:00:00",4470205,23213
"2023-02-05 00:00:00",4446992,12843
"2023-02-04 00:00:00",4434149,11973
"2023-02-03 00:00:00",4422176,11501
"2023-02-02 00:00:00",4410675,11187
"2023-02-01 00:00:00",4399488,10813
"2023-01-31 00:00:00",4388675,9415
"2023-01-30 00:00:00",4379260,11419
"2023-01-29 00:00:00",4367841,0
"2023-01-28 00:00:00",4367841,12476
"2023-01-27 00:00:00",4355365,23660
"2023-01-26 00:00:00",4331705,12110
"2023-01-25 00:00:00",4319595,11470
"2023-01-24 00:00:00",4308125,9719
"2023-01-23 00:00:00",4298406,11534
"2023-01-22 00:00:00",4286872,13337
"2023-01-21 00:00:00",4273535,12619
"2023-01-20 00:00:00",4260916,12416
"2023-01-19 00:00:00",4248500,12346
"2023-01-18 00:00:00",4236154,11315
"2023-01-17 00:00:00",4224839,9937
"2023-01-16 00:00:00",4214902,10738
"2023-01-15 00:00:00",4204164,12909
"2023-01-14 00:00:00",4191255,12749
"2023-01-13 00:00:00",4178506,12562
"2023-01-12 00:00:00",4165944,12870
"2023-01-11 00:00:00",4153074,12556
"2023-01-10 00:00:00",4140518,10642
"2023-01-09 00:00:00",4129876,0
"2023-01-08 00:00:00",4129876,24778
"2023-01-07 00:00:00",4105098,12837
"2023-01-06 00:00:00",4092261,12241
"2023-01-05 00:00:00",4080020,11747
"2023-01-04 00:00:00",4068273,10639
"2023-01-03 00:00:00",4057634,10053
"2023-01-02 00:00:00",4047581,11934
"2023-01-01 00:00:00",4035647,12653
"2022-12-31 00:00:00",4022994,0
"2022-12-30 00:00:00",4022994,24726
"2022-12-29 00:00:00",3998268,0
"2022-12-28 00:00:00",3998268,11291
"2022-12-27 00:00:00",3986977,17467
"2022-12-26 00:00:00",3969510,10291
"2022-12-25 00:00:00",3959219,11564
"2022-12-24 00:00:00",3947655,12518
"2022-12-23 00:00:00",3935137,12125
"2022-12-22 00:00:00",3923012,12208
"2022-12-21 00:00:00",3910804,11620
"2022-12-20 00:00:00",3899184,10199
"2022-12-19 00:00:00",3888985,11942
"2022-12-18 00:00:00",3877043,13186
"2022-12-17 00:00:00",3863857,12786
"2022-12-16 00:00:00",3851071,0
"2022-12-15 00:00:00",3851071,25966
"2022-12-14 00:00:00",3825105,12435
"2022-12-13 00:00:00",3812670,10319
"2022-12-12 00:00:00",3802351,12699
"2022-12-11 00:00:00",3789652,13543
"2022-12-10 00:00:00",3776109,13579
"2022-12-09 00:00:00",3762530,13480
"2022-12-08 00:00:00",3749050,12797
"2022-12-07 00:00:00",3736253,12459
"2022-12-06 00:00:00",3723794,13286
"2022-12-05 00:00:00",3710508,13286
"2022-12-04 00:00:00",3697222,13286
"2022-12-03 00:00:00",3683935,13286
"2022-12-02 00:00:00",3670649,13286
"2022-12-01 00:00:00",3657363,13214
"2022-11-30 00:00:00",3644149,12624
"2022-11-29 00:00:00",3631525,10656
"2022-11-28 00:00:00",3620869,11571
"2022-11-27 00:00:00",3609298,11353
"2022-11-26 00:00:00",3597945,11788
"2022-11-25 00:00:00",3586157,15312
"2022-11-24 00:00:00",3570845,14366
"2022-11-23 00:00:00",3556479,12626
"2022-11-22 00:00:00",3543853,11118
"2022-11-21 00:00:00",3532735,12582
"2022-11-20 00:00:00",3520153,14274
"2022-11-19 00:00:00",3505879,14086
"2022-11-18 00:00:00",3491793,13320
"2022-11-17 00:00:00",3478473,12960
"2022-11-16 00:00:00",3465513,12740
"2022-11-15 00:00:00",3452773,10772
"2022-11-14 00:00:00",3442001,12778
"2022-11-13 00:00:00",3429223,14902
"2022-11-12 00:00:00",3414321,14693
"2022-11-11 00:00:00",3399628,14543
"2022-11-10 00:00:00",3385085,14316
"2022-11-09 00:00:00",3370769,13996
"2022-11-08 00:00:00",3356773,0
"2022-11-07 00:00:00",3356773,24866
"2022-11-06 00:00:00",3331907,15666
"2022-11-05 00:00:00",3316241,15085
"2022-11-04 00:00:00",3301156,14303
"2022-11-03 00:00:00",3286853,14058
"2022-11-02 00:00:00",3272795,13825
"2022-11-01 00:00:00",3258970,11607
"2022-10-31 00:00:00",3247363,13856
"2022-10-30 00:00:00",3233507,15415
"2022-10-29 00:00:00",3218092,15298
"2022-10-28 00:00:00",3202794,15179
"2022-10-27 00:00:00",3187615,14907
"2022-10-26 00:00:00",3172708,14872
"2022-10-25 00:00:00",3157836,13179
"2022-10-24 00:00:00",3144657,14917
"2022-10-23 00:00:00",3129740,16539
"2022-10-22 00:00:00",3113201,16124
"2022-10-21 00:00:00",3097077,15138
"2022-10-20 00:00:00",3081939,15378
"2022-10-19 00:00:00",3066561,14898
"2022-10-18 00:00:00",3051663,13098
"2022-10-17 00:00:00",3038565,15643
"2022-10-16 00:00:00",3022922,0
"2022-10-15 00:00:00",3022922,36004
"2022-10-14 00:00:00",2986918,16470
"2022-10-13 00:00:00",2970448,16558
"2022-10-12 00:00:00",2953890,15594
"2022-10-11 00:00:00",2938296,13735
"2022-10-10 00:00:00",2924561,16044
"2022-10-09 00:00:00",2908517,17585
"2022-10-08 00:00:00",2890932,15905
"2022-10-07 00:00:00",2875027,15468
"2022-10-06 00:00:00",2859559,15198
"2022-10-05 00:00:00",2844361,14968
"2022-10-04 00:00:00",2829393,13485
"2022-10-03 00:00:00",2815908,16250
"2022-10-02 00:00:00",2799658,17209
"2022-10-01 00:00:00",2782449,16265
"2022-09-30 00:00:00",2766184,16076
"2022-09-29 00:00:00",2750108,16073
"2022-09-28 00:00:00",2734035,15940
"2022-09-27 00:00:00",2718095,13666
"2022-09-26 00:00:00",2704429,16315
"2022-09-25 00:00:00",2688114,18142
"2022-09-24 00:00:00",2669972,17617
"2022-09-23 00:00:00",2652355,17369
"2022-09-22 00:00:00",2634986,17385
"2022-09-21 00:00:00",2617601,17075
"2022-09-20 00:00:00",2600526,14712
"2022-09-19 00:00:00",2585814,17480
"2022-09-18 00:00:00",2568334,19519
"2022-09-17 00:00:00",2548815,19397
"2022-09-16 00:00:00",2529418,19619
"2022-09-15 00:00:00",2509799,19717
"2022-09-14 00:00:00",2490082,18299
"2022-09-13 00:00:00",2471783,15276
"2022-09-12 00:00:00",2456507,17699
"2022-09-11 00:00:00",2438808,20540
"2022-09-10 00:00:00",2418268,19253
"2022-09-09 00:00:00",2399015,19491
"2022-09-08 00:00:00",2379524,35254
"2022-09-07 00:00:00",2344270,0
"2022-09-06 00:00:00",2344270,16914
"2022-09-05 00:00:00",2327356,20105
"2022-09-04 00:00:00",2307251,22501
"2022-09-03 00:00:00",2284750,21479
"2022-09-02 00:00:00",2263271,21774
"2022-09-01 00:00:00",2241497,19795
"2022-08-31 00:00:00",2221702,19140
"2022-08-30 00:00:00",2202562,18633
"2022-08-29 00:00:00",2183929,19329
"2022-08-28 00:00:00",2164600,21067
"2022-08-27 00:00:00",2143533,21640
"2022-08-26 00:00:00",2121893,19309
"2022-08-25 00:00:00",2102584,19728
"2022-08-24 00:00:00",2082856,18618
"2022-08-23 00:00:00",2064238,19460
"2022-08-22 00:00:00",2044778,19460
"2022-08-21 00:00:00",2025318,19460
"2022-08-20 00:00:00",2005858,19460
"2022-08-19 00:00:00",1986398,19460
"2022-08-18 00:00:00",1966938,20761
"2022-08-17 00:00:00",1946177,19789
"2022-08-16 00:00:00",1926388,15748
"2022-08-15 00:00:00",1910640,16985
"2022-08-14 00:00:00",1893655,20462
"2022-08-13 00:00:00",1873193,19283
"2022-08-12 00:00:00",1853910,19554
"2022-08-11 00:00:00",1834356,21624
"2022-08-10 00:00:00",1812732,22805
"2022-08-09 00:00:00",1789927,21604
"2022-08-08 00:00:00",1768323,21604
"2022-08-07 00:00:00",1746719,25417
"2022-08-06 00:00:00",1721302,25753
"2022-08-05 00:00:00",1695549,23977
"2022-08-04 00:00:00",1671572,23013
"2022-08-03 00:00:00",1648559,22390
"2022-08-02 00:00:00",1626169,20382
"2022-08-01 00:00:00",1605787,24779
"2022-07-31 00:00:00",1581008,27249
"2022-07-30 00:00:00",1553759,0
"2022-07-29 00:00:00",1553759,51891
"2022-07-28 00:00:00",1501868,25422
"2022-07-27 00:00:00",1476446,25046
"2022-07-26 00:00:00",1451400,22595
"2022-07-25 00:00:00",1428805,26771
"2022-07-24 00:00:00",1402034,29877
"2022-07-23 00:00:00",1372157,28844
"2022-07-22 00:00:00",1343313,27314
"2022-07-21 00:00:00",1315999,27174
"2022-07-20 00:00:00",1288825,26884
"2022-07-19 00:00:00",1261941,24705
"2022-07-18 00:00:00",1237236,28697
"2022-07-17 00:00:00",1208539,30382
"2022-07-16 00:00:00",1178157,26817
"2022-07-15 00:00:00",1151340,26768
"2022-07-14 00:00:00",1124572,27339
"2022-07-13 00:00:00",1097233,26846
"2022-07-12 00:00:00",1070387,23109
"2022-07-11 00:00:00",1047278,26921
"2022-07-10 00:00:00",1020357,30292
"2022-07-09 00:00:00",990065,29812
"2022-07-08 00:00:00",960253,28950
"2022-07-07 00:00:00",931303,28753
"2022-07-06 00:00:00",902550,26761
"2022-07-05 00:00:00",875789,26869
"2022-07-04 00:00:00",848920,32293
"2022-07-03 00:00:00",816627,34177
"2022-07-02 00:00:00",782450,35149
"2022-07-01 00:00:00",747301,34915
"2022-06-30 00:00:00",712386,35515
"2022-06-29 00:00:00",676871,37010
"2022-06-28 00:00:00",639861,36105
"2022-06-27 00:00:00",603756,42804
"2022-06-26 00:00:00",560952,52445
"2022-06-25 00:00:00",508507,51511
"2022-06-24 00:00:00",456996,53294
"2022-06-23 00:00:00",403702,60318
"2022-06-22 00:00:00",343384,66520
"2022-06-21 00:00:00",276864,62263
"2022-06-20 00:00:00",214601,89962
"2022-06-19 00:00:00",124639,0
