Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",252,"17,535",,
"Jun 19, 2022",283,"21,424",1,506
"Jun 20, 2022",312,"23,546",1,506
"Jun 21, 2022",336,"23,123",1,506
"Jun 22, 2022",355,"21,238",1,506
"Jun 23, 2022",377,"21,342",1,506
"Jun 24, 2022",398,"21,447",1,506
"Jun 25, 2022",409,"20,972",1,506
"Jun 26, 2022",415,"22,011",1,506
"Jun 27, 2022",422,"22,076",1,506
"Jun 28, 2022",432,"22,114",1,506
"Jun 29, 2022",437,"22,161",1,506
"Jun 30, 2022",442,"22,175",1,506
"Jul 01, 2022",451,"22,190",1,506
"Jul 02, 2022",457,"22,331",1,506
"Jul 03, 2022",462,"21,412",1,506
"Jul 04, 2022",464,"21,428",1,506
"Jul 05, 2022",465,"21,387",1,506
"Jul 06, 2022",465,"21,375",1,506
"Jul 07, 2022",471,"16,959",1,506
"Jul 08, 2022",477,"17,749",1,506
"Jul 09, 2022",480,"17,740",1,506
"Jul 10, 2022",480,"17,738",1,506
"Jul 11, 2022",483,"17,733",1,506
"Jul 12, 2022",487,"17,843",1,506
"Jul 13, 2022",491,"17,868",1,506
"Jul 14, 2022",496,"17,885",1,506
"Jul 15, 2022",499,"17,905",1,506
"Jul 16, 2022",499,"17,301",1,506
"Jul 17, 2022",503,"17,318",1,506
"Jul 18, 2022",507,"17,342",1,506
"Jul 19, 2022",514,"17,390",1,506
"Jul 20, 2022",515,"17,395",1,506
"Jul 21, 2022",520,"18,738",1,506
"Jul 22, 2022",528,"18,765",1,506
"Jul 23, 2022",533,"18,784",1,506
"Jul 24, 2022",538,"18,858",1,506
"Jul 25, 2022",542,"18,357",1,506
"Jul 26, 2022",548,"18,403",1,506
"Jul 27, 2022",549,"18,363",1,506
"Jul 28, 2022",550,"18,381",1,506
"Jul 29, 2022",554,"19,028",1,506
"Jul 30, 2022",556,"19,045",1,506
"Jul 31, 2022",557,"19,081",1,506
"Aug 01, 2022",557,"19,023",1,506
"Aug 02, 2022",560,"19,112",1,506
"Aug 03, 2022",567,"19,159",1,506
"Aug 04, 2022",570,"19,177",1,506
"Aug 05, 2022",574,"24,190",1,506
"Aug 06, 2022",576,"24,323",1,506
"Aug 07, 2022",578,"24,345",1,506
"Aug 08, 2022",582,"24,393",1,506
"Aug 09, 2022",581,"23,804",1,506
"Aug 10, 2022",583,"23,849",1,506
"Aug 11, 2022",586,"24,056",1,506
"Aug 12, 2022",591,"24,721",1,506
"Aug 13, 2022",594,"24,745",1,506
"Aug 14, 2022",596,"24,794",1,506
"Aug 15, 2022",600,"24,816",1,506
"Aug 16, 2022",604,"24,922",1,506
"Aug 17, 2022",605,"24,957",1,506
"Aug 18, 2022",606,"25,151",1,506
"Aug 19, 2022",609,"25,178",1,506
"Aug 20, 2022",612,"25,254",1,506
"Aug 21, 2022",611,"24,665",1,506
"Aug 22, 2022",615,"24,726",1,506
"Aug 23, 2022",617,"24,750",1,506
"Aug 24, 2022",620,"24,775",1,506
"Aug 25, 2022",620,"24,797",1,506
"Aug 26, 2022",621,"24,840",1,506
"Aug 27, 2022",623,"24,855",1,506
"Aug 28, 2022",626,"24,881",1,506
"Aug 29, 2022",626,"24,874",1,506
"Aug 30, 2022",627,"24,880",1,506
"Aug 31, 2022",629,"24,892",1,506
"Sep 01, 2022",630,"24,927",1,506
"Sep 02, 2022",635,"25,580",1,506
"Sep 03, 2022",636,"25,599",1,506
"Sep 04, 2022",635,"25,616",1,506
"Sep 05, 2022",636,"25,638",1,506
"Sep 06, 2022",639,"25,729",1,506
"Sep 07, 2022",641,"25,780",1,506
"Sep 08, 2022",643,"25,788",1,506
"Sep 09, 2022",643,"25,804",1,506
"Sep 10, 2022",644,"25,827",1,506
"Sep 11, 2022",645,"25,243",1,506
"Sep 12, 2022",646,"25,275",1,506
"Sep 13, 2022",645,"25,290",1,506
"Sep 14, 2022",647,"25,339",1,506
"Sep 15, 2022",650,"25,373",1,506
"Sep 16, 2022",653,"25,445",1,506
"Sep 17, 2022",657,"26,577",1,506
"Sep 18, 2022",658,"26,580",1,506
"Sep 19, 2022",660,"26,611",1,506
"Sep 20, 2022",662,"26,614",1,506
"Sep 21, 2022",662,"26,645",1,506
"Sep 22, 2022",664,"26,691",1,506
"Sep 23, 2022",665,"26,700",1,506
"Sep 24, 2022",668,"26,760",1,506
"Sep 25, 2022",667,"26,782",1,506
"Sep 26, 2022",666,"26,194",1,506
"Sep 27, 2022",668,"26,204",1,506
"Sep 28, 2022",669,"26,239",1,506
"Sep 29, 2022",669,"26,244",1,506
"Sep 30, 2022",669,"26,249",1,506
"Oct 01, 2022",671,"26,306",1,506
"Oct 02, 2022",673,"26,326",1,506
"Oct 03, 2022",673,"26,331",1,506
"Oct 04, 2022",674,"26,359",1,506
"Oct 05, 2022",675,"26,384",1,506
"Oct 06, 2022",675,"26,386",1,506
"Oct 07, 2022",675,"26,420",1,506
"Oct 08, 2022",675,"26,424",1,506
"Oct 09, 2022",675,"26,441",1,506
"Oct 10, 2022",678,"26,494",1,506
"Oct 11, 2022",678,"26,560",1,506
"Oct 12, 2022",678,"26,565",1,506
"Oct 13, 2022",678,"26,593",1,506
"Oct 14, 2022",678,"26,595",1,506
"Oct 15, 2022",681,"37,462",1,506
"Oct 16, 2022",682,"37,501",1,506
"Oct 17, 2022",681,"26,676",1,506
"Oct 18, 2022",683,"27,848",1,506
"Oct 19, 2022",683,"27,864",1,506
"Oct 20, 2022",683,"27,872",1,506
"Oct 21, 2022",685,"27,912",1,506
"Oct 22, 2022",686,"28,062",1,506
"Oct 23, 2022",686,"28,120",1,506
"Oct 24, 2022",686,"28,153",1,506
"Oct 25, 2022",686,"28,172",1,506
"Oct 26, 2022",686,"28,195",1,506
"Oct 27, 2022",687,"28,245",1,506
"Oct 28, 2022",688,"28,270",1,506
"Oct 29, 2022",689,"28,290",1,506
"Oct 30, 2022",690,"28,300",1,506
"Oct 31, 2022",690,"28,312",1,506
"Nov 01, 2022",692,"28,340",1,506
"Nov 02, 2022",693,"28,343",1,506
"Nov 03, 2022",695,"28,372",1,506
"Nov 04, 2022",697,"28,400",1,506
"Nov 05, 2022",697,"28,415",1,506
"Nov 06, 2022",699,"28,440",1,506
"Nov 07, 2022",699,"28,548",1,506
"Nov 08, 2022",699,"28,568",1,506
"Nov 09, 2022",700,"28,588",1,506
"Nov 10, 2022",700,"28,610",1,506
"Nov 11, 2022",698,"28,621",1,506
"Nov 12, 2022",697,"28,817",1,506
"Nov 13, 2022",695,"28,829",1,506
"Nov 14, 2022",695,"28,836",1,506
"Nov 15, 2022",695,"28,867",1,506
"Nov 16, 2022",695,"28,880",1,506
"Nov 17, 2022",694,"28,885",1,506
"Nov 18, 2022",687,"28,876",1,506
"Nov 19, 2022",688,"28,879",1,506
"Nov 20, 2022",688,"28,832",1,506
"Nov 21, 2022",691,"28,893",1,506
"Nov 22, 2022",693,"28,932",1,506
"Nov 23, 2022",691,"28,919",1,506
"Nov 24, 2022",690,"28,949",1,506
"Nov 25, 2022",693,"29,007",1,506
"Nov 26, 2022",692,"24,072",1,506
"Nov 27, 2022",694,"29,026",1,506
"Nov 28, 2022",696,"29,038",1,506
"Nov 29, 2022",696,"29,041",1,506
"Nov 30, 2022",697,"29,047",1,506
"Dec 01, 2022",700,"29,064",1,506
"Dec 02, 2022",698,"27,780",1,506
"Dec 03, 2022",692,"25,494",1,506
"Dec 04, 2022",691,"27,955",1,506
