"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",2728686,4284
"2023-04-30 00:00:00",2724402,0
"2023-04-29 00:00:00",2724402,9077
"2023-04-28 00:00:00",2715325,4539
"2023-04-27 00:00:00",2710786,4434
"2023-04-26 00:00:00",2706352,0
"2023-04-25 00:00:00",2706352,8183
"2023-04-24 00:00:00",2698169,4525
"2023-04-23 00:00:00",2693644,4525
"2023-04-22 00:00:00",2689119,4770
"2023-04-21 00:00:00",2684349,4602
"2023-04-20 00:00:00",2679747,4444
"2023-04-19 00:00:00",2675303,4342
"2023-04-18 00:00:00",2670961,4051
"2023-04-17 00:00:00",2666910,4503
"2023-04-16 00:00:00",2662407,5256
"2023-04-15 00:00:00",2657151,5053
"2023-04-14 00:00:00",2652098,5083
"2023-04-13 00:00:00",2647015,4768
"2023-04-12 00:00:00",2642247,4498
"2023-04-11 00:00:00",2637749,3923
"2023-04-10 00:00:00",2633826,4418
"2023-04-09 00:00:00",2629408,4735
"2023-04-08 00:00:00",2624673,4983
"2023-04-07 00:00:00",2619690,0
"2023-04-06 00:00:00",2619690,9322
"2023-04-05 00:00:00",2610368,4417
"2023-04-04 00:00:00",2605951,4056
"2023-04-03 00:00:00",2601895,4458
"2023-04-02 00:00:00",2597437,4781
"2023-04-01 00:00:00",2592656,5009
"2023-03-31 00:00:00",2587647,0
"2023-03-30 00:00:00",2587647,9619
"2023-03-29 00:00:00",2578028,4723
"2023-03-28 00:00:00",2573305,4120
"2023-03-27 00:00:00",2569185,4421
"2023-03-26 00:00:00",2564764,4799
"2023-03-25 00:00:00",2559965,4594
"2023-03-24 00:00:00",2555371,4443
"2023-03-23 00:00:00",2550928,4397
"2023-03-22 00:00:00",2546531,4322
"2023-03-21 00:00:00",2542209,3856
"2023-03-20 00:00:00",2538353,4255
"2023-03-19 00:00:00",2534098,4530
"2023-03-18 00:00:00",2529568,0
"2023-03-17 00:00:00",2529568,9222
"2023-03-16 00:00:00",2520346,0
"2023-03-15 00:00:00",2520346,8955
"2023-03-14 00:00:00",2511391,4028
"2023-03-13 00:00:00",2507363,4723
"2023-03-12 00:00:00",2502640,4884
"2023-03-11 00:00:00",2497756,4771
"2023-03-10 00:00:00",2492985,4805
"2023-03-09 00:00:00",2488180,4733
"2023-03-08 00:00:00",2483447,0
"2023-03-07 00:00:00",2483447,8596
"2023-03-06 00:00:00",2474851,4587
"2023-03-05 00:00:00",2470264,4953
"2023-03-04 00:00:00",2465311,4804
"2023-03-03 00:00:00",2460507,4881
"2023-03-02 00:00:00",2455626,0
"2023-03-01 00:00:00",2455626,9567
"2023-02-28 00:00:00",2446059,4310
"2023-02-27 00:00:00",2441749,4685
"2023-02-26 00:00:00",2437064,5081
"2023-02-25 00:00:00",2431983,5182
"2023-02-24 00:00:00",2426801,5021
"2023-02-23 00:00:00",2421780,5160
"2023-02-22 00:00:00",2416620,4913
"2023-02-21 00:00:00",2411707,4455
"2023-02-20 00:00:00",2407252,5312
"2023-02-19 00:00:00",2401940,5777
"2023-02-18 00:00:00",2396163,0
"2023-02-17 00:00:00",2396163,12063
"2023-02-16 00:00:00",2384100,5996
"2023-02-15 00:00:00",2378104,5739
"2023-02-14 00:00:00",2372365,4966
"2023-02-13 00:00:00",2367399,0
"2023-02-12 00:00:00",2367399,11531
"2023-02-11 00:00:00",2355868,5445
"2023-02-10 00:00:00",2350423,5247
"2023-02-09 00:00:00",2345176,5074
"2023-02-08 00:00:00",2340102,5039
"2023-02-07 00:00:00",2335063,0
"2023-02-06 00:00:00",2335063,9061
"2023-02-05 00:00:00",2326002,4821
"2023-02-04 00:00:00",2321181,4378
"2023-02-03 00:00:00",2316803,4197
"2023-02-02 00:00:00",2312606,4128
"2023-02-01 00:00:00",2308478,4191
"2023-01-31 00:00:00",2304287,3830
"2023-01-30 00:00:00",2300457,4453
"2023-01-29 00:00:00",2296004,0
"2023-01-28 00:00:00",2296004,4720
"2023-01-27 00:00:00",2291284,9035
"2023-01-26 00:00:00",2282249,4475
"2023-01-25 00:00:00",2277774,4426
"2023-01-24 00:00:00",2273348,4040
"2023-01-23 00:00:00",2269308,4389
"2023-01-22 00:00:00",2264919,4952
"2023-01-21 00:00:00",2259967,4973
"2023-01-20 00:00:00",2254994,4616
"2023-01-19 00:00:00",2250378,4590
"2023-01-18 00:00:00",2245788,4343
"2023-01-17 00:00:00",2241445,3819
"2023-01-16 00:00:00",2237626,4370
"2023-01-15 00:00:00",2233256,4911
"2023-01-14 00:00:00",2228345,4942
"2023-01-13 00:00:00",2223403,4850
"2023-01-12 00:00:00",2218553,5032
"2023-01-11 00:00:00",2213521,4483
"2023-01-10 00:00:00",2209038,4153
"2023-01-09 00:00:00",2204885,0
"2023-01-08 00:00:00",2204885,9573
"2023-01-07 00:00:00",2195312,4889
"2023-01-06 00:00:00",2190423,4817
"2023-01-05 00:00:00",2185606,4641
"2023-01-04 00:00:00",2180965,4145
"2023-01-03 00:00:00",2176820,4126
"2023-01-02 00:00:00",2172694,4765
"2023-01-01 00:00:00",2167929,4874
"2022-12-31 00:00:00",2163055,0
"2022-12-30 00:00:00",2163055,9676
"2022-12-29 00:00:00",2153379,0
"2022-12-28 00:00:00",2153379,4368
"2022-12-27 00:00:00",2149011,6977
"2022-12-26 00:00:00",2142034,4062
"2022-12-25 00:00:00",2137972,4560
"2022-12-24 00:00:00",2133412,4823
"2022-12-23 00:00:00",2128589,4716
"2022-12-22 00:00:00",2123873,4761
"2022-12-21 00:00:00",2119112,4540
"2022-12-20 00:00:00",2114572,4041
"2022-12-19 00:00:00",2110531,4616
"2022-12-18 00:00:00",2105915,5253
"2022-12-17 00:00:00",2100662,4959
"2022-12-16 00:00:00",2095703,0
"2022-12-15 00:00:00",2095703,10065
"2022-12-14 00:00:00",2085638,4815
"2022-12-13 00:00:00",2080823,4141
"2022-12-12 00:00:00",2076682,4726
"2022-12-11 00:00:00",2071956,5358
"2022-12-10 00:00:00",2066598,5278
"2022-12-09 00:00:00",2061320,5165
"2022-12-08 00:00:00",2056155,5212
"2022-12-07 00:00:00",2050943,4942
"2022-12-06 00:00:00",2046001,5406
"2022-12-05 00:00:00",2040595,5406
"2022-12-04 00:00:00",2035190,5406
"2022-12-03 00:00:00",2029784,5406
"2022-12-02 00:00:00",2024379,5406
"2022-12-01 00:00:00",2018973,5177
"2022-11-30 00:00:00",2013796,4946
"2022-11-29 00:00:00",2008850,4414
"2022-11-28 00:00:00",2004436,4612
"2022-11-27 00:00:00",1999824,4444
"2022-11-26 00:00:00",1995380,4756
"2022-11-25 00:00:00",1990624,5731
"2022-11-24 00:00:00",1984893,5385
"2022-11-23 00:00:00",1979508,5298
"2022-11-22 00:00:00",1974210,4605
"2022-11-21 00:00:00",1969605,5085
"2022-11-20 00:00:00",1964520,5502
"2022-11-19 00:00:00",1959018,5403
"2022-11-18 00:00:00",1953615,5569
"2022-11-17 00:00:00",1948046,5344
"2022-11-16 00:00:00",1942702,5262
"2022-11-15 00:00:00",1937440,4710
"2022-11-14 00:00:00",1932730,5416
"2022-11-13 00:00:00",1927314,6199
"2022-11-12 00:00:00",1921115,5842
"2022-11-11 00:00:00",1915273,5860
"2022-11-10 00:00:00",1909413,5802
"2022-11-09 00:00:00",1903611,5561
"2022-11-08 00:00:00",1898050,0
"2022-11-07 00:00:00",1898050,10647
"2022-11-06 00:00:00",1887403,6299
"2022-11-05 00:00:00",1881104,6290
"2022-11-04 00:00:00",1874814,5913
"2022-11-03 00:00:00",1868901,5848
"2022-11-02 00:00:00",1863053,5630
"2022-11-01 00:00:00",1857423,5088
"2022-10-31 00:00:00",1852335,5676
"2022-10-30 00:00:00",1846659,6389
"2022-10-29 00:00:00",1840270,6217
"2022-10-28 00:00:00",1834053,6098
"2022-10-27 00:00:00",1827955,6124
"2022-10-26 00:00:00",1821831,6051
"2022-10-25 00:00:00",1815780,5399
"2022-10-24 00:00:00",1810381,6543
"2022-10-23 00:00:00",1803838,7313
"2022-10-22 00:00:00",1796525,7176
"2022-10-21 00:00:00",1789349,6539
"2022-10-20 00:00:00",1782810,6379
"2022-10-19 00:00:00",1776431,6479
"2022-10-18 00:00:00",1769952,5808
"2022-10-17 00:00:00",1764144,6703
"2022-10-16 00:00:00",1757441,0
"2022-10-15 00:00:00",1757441,14828
"2022-10-14 00:00:00",1742613,7052
"2022-10-13 00:00:00",1735561,7282
"2022-10-12 00:00:00",1728279,6848
"2022-10-11 00:00:00",1721431,6097
"2022-10-10 00:00:00",1715334,7255
"2022-10-09 00:00:00",1708079,7873
"2022-10-08 00:00:00",1700206,8129
"2022-10-07 00:00:00",1692077,8052
"2022-10-06 00:00:00",1684025,8007
"2022-10-05 00:00:00",1676018,7618
"2022-10-04 00:00:00",1668400,6542
"2022-10-03 00:00:00",1661858,7471
"2022-10-02 00:00:00",1654387,7748
"2022-10-01 00:00:00",1646639,7336
"2022-09-30 00:00:00",1639303,7354
"2022-09-29 00:00:00",1631949,7547
"2022-09-28 00:00:00",1624402,7903
"2022-09-27 00:00:00",1616499,6622
"2022-09-26 00:00:00",1609877,7472
"2022-09-25 00:00:00",1602405,7926
"2022-09-24 00:00:00",1594479,7901
"2022-09-23 00:00:00",1586578,8204
"2022-09-22 00:00:00",1578374,8113
"2022-09-21 00:00:00",1570261,7859
"2022-09-20 00:00:00",1562402,6930
"2022-09-19 00:00:00",1555472,8075
"2022-09-18 00:00:00",1547397,8773
"2022-09-17 00:00:00",1538624,8586
"2022-09-16 00:00:00",1530038,8604
"2022-09-15 00:00:00",1521434,8539
"2022-09-14 00:00:00",1512895,8123
"2022-09-13 00:00:00",1504772,7203
"2022-09-12 00:00:00",1497569,8574
"2022-09-11 00:00:00",1488995,9476
"2022-09-10 00:00:00",1479519,9245
"2022-09-09 00:00:00",1470274,9369
"2022-09-08 00:00:00",1460905,17199
"2022-09-07 00:00:00",1443706,0
"2022-09-06 00:00:00",1443706,8203
"2022-09-05 00:00:00",1435503,9505
"2022-09-04 00:00:00",1425998,10690
"2022-09-03 00:00:00",1415308,10450
"2022-09-02 00:00:00",1404858,10315
"2022-09-01 00:00:00",1394543,10425
"2022-08-31 00:00:00",1384118,9839
"2022-08-30 00:00:00",1374279,8791
"2022-08-29 00:00:00",1365488,10470
"2022-08-28 00:00:00",1355018,11268
"2022-08-27 00:00:00",1343750,11541
"2022-08-26 00:00:00",1332209,11500
"2022-08-25 00:00:00",1320709,11510
"2022-08-24 00:00:00",1309199,11131
"2022-08-23 00:00:00",1298068,11266
"2022-08-22 00:00:00",1286802,11266
"2022-08-21 00:00:00",1275537,11266
"2022-08-20 00:00:00",1264271,11266
"2022-08-19 00:00:00",1253006,11266
"2022-08-18 00:00:00",1241740,11895
"2022-08-17 00:00:00",1229845,11542
"2022-08-16 00:00:00",1218303,10131
"2022-08-15 00:00:00",1208172,11406
"2022-08-14 00:00:00",1196766,12539
"2022-08-13 00:00:00",1184227,12574
"2022-08-12 00:00:00",1171653,12315
"2022-08-11 00:00:00",1159338,12278
"2022-08-10 00:00:00",1147060,11731
"2022-08-09 00:00:00",1135329,11787
"2022-08-08 00:00:00",1123542,11787
"2022-08-07 00:00:00",1111755,14017
"2022-08-06 00:00:00",1097738,14166
"2022-08-05 00:00:00",1083572,13650
"2022-08-04 00:00:00",1069922,12813
"2022-08-03 00:00:00",1057109,12166
"2022-08-02 00:00:00",1044943,11468
"2022-08-01 00:00:00",1033475,13197
"2022-07-31 00:00:00",1020278,14769
"2022-07-30 00:00:00",1005509,0
"2022-07-29 00:00:00",1005509,28662
"2022-07-28 00:00:00",976847,14902
"2022-07-27 00:00:00",961945,14275
"2022-07-26 00:00:00",947670,12778
"2022-07-25 00:00:00",934892,15007
"2022-07-24 00:00:00",919885,17353
"2022-07-23 00:00:00",902532,16165
"2022-07-22 00:00:00",886367,15650
"2022-07-21 00:00:00",870717,15702
"2022-07-20 00:00:00",855015,15179
"2022-07-19 00:00:00",839836,13935
"2022-07-18 00:00:00",825901,16043
"2022-07-17 00:00:00",809858,17173
"2022-07-16 00:00:00",792685,15844
"2022-07-15 00:00:00",776841,15809
"2022-07-14 00:00:00",761032,16341
"2022-07-13 00:00:00",744691,15989
"2022-07-12 00:00:00",728702,14490
"2022-07-11 00:00:00",714212,16938
"2022-07-10 00:00:00",697274,18456
"2022-07-09 00:00:00",678818,18351
"2022-07-08 00:00:00",660467,18378
"2022-07-07 00:00:00",642089,17705
"2022-07-06 00:00:00",624384,16256
"2022-07-05 00:00:00",608128,16822
"2022-07-04 00:00:00",591306,20845
"2022-07-03 00:00:00",570461,23581
"2022-07-02 00:00:00",546880,24264
"2022-07-01 00:00:00",522616,25513
"2022-06-30 00:00:00",497103,26533
"2022-06-29 00:00:00",470570,25905
"2022-06-28 00:00:00",444665,23814
"2022-06-27 00:00:00",420851,28712
"2022-06-26 00:00:00",392139,34541
"2022-06-25 00:00:00",357598,37749
"2022-06-24 00:00:00",319849,40145
"2022-06-23 00:00:00",279704,44375
"2022-06-22 00:00:00",235329,47474
"2022-06-21 00:00:00",187855,44475
"2022-06-20 00:00:00",143380,63607
"2022-06-19 00:00:00",79773,0
