"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",2454713,2998
"2023-04-30 00:00:00",2451715,0
"2023-04-29 00:00:00",2451715,6515
"2023-04-28 00:00:00",2445200,3357
"2023-04-27 00:00:00",2441843,3093
"2023-04-26 00:00:00",2438750,3106
"2023-04-25 00:00:00",2435644,2711
"2023-04-24 00:00:00",2432933,3356
"2023-04-23 00:00:00",2429577,3356
"2023-04-22 00:00:00",2426221,3533
"2023-04-21 00:00:00",2422688,3457
"2023-04-20 00:00:00",2419231,3299
"2023-04-19 00:00:00",2415932,3436
"2023-04-18 00:00:00",2412496,2773
"2023-04-17 00:00:00",2409723,3367
"2023-04-16 00:00:00",2406356,3690
"2023-04-15 00:00:00",2402666,3544
"2023-04-14 00:00:00",2399122,3491
"2023-04-13 00:00:00",2395631,3475
"2023-04-12 00:00:00",2392156,3198
"2023-04-11 00:00:00",2388958,2677
"2023-04-10 00:00:00",2386281,3036
"2023-04-09 00:00:00",2383245,3442
"2023-04-08 00:00:00",2379803,3662
"2023-04-07 00:00:00",2376141,0
"2023-04-06 00:00:00",2376141,6936
"2023-04-05 00:00:00",2369205,3355
"2023-04-04 00:00:00",2365850,2958
"2023-04-03 00:00:00",2362892,3147
"2023-04-02 00:00:00",2359745,3736
"2023-04-01 00:00:00",2356009,3748
"2023-03-31 00:00:00",2352261,0
"2023-03-30 00:00:00",2352261,6698
"2023-03-29 00:00:00",2345563,3334
"2023-03-28 00:00:00",2342229,2903
"2023-03-27 00:00:00",2339326,3164
"2023-03-26 00:00:00",2336162,3485
"2023-03-25 00:00:00",2332677,3590
"2023-03-24 00:00:00",2329087,3440
"2023-03-23 00:00:00",2325647,3329
"2023-03-22 00:00:00",2322318,3292
"2023-03-21 00:00:00",2319026,2873
"2023-03-20 00:00:00",2316153,3225
"2023-03-19 00:00:00",2312928,3599
"2023-03-18 00:00:00",2309329,0
"2023-03-17 00:00:00",2309329,6901
"2023-03-16 00:00:00",2302428,0
"2023-03-15 00:00:00",2302428,6633
"2023-03-14 00:00:00",2295795,2944
"2023-03-13 00:00:00",2292851,3559
"2023-03-12 00:00:00",2289292,3764
"2023-03-11 00:00:00",2285528,3577
"2023-03-10 00:00:00",2281951,3414
"2023-03-09 00:00:00",2278537,3463
"2023-03-08 00:00:00",2275074,0
"2023-03-07 00:00:00",2275074,6368
"2023-03-06 00:00:00",2268706,3334
"2023-03-05 00:00:00",2265372,3813
"2023-03-04 00:00:00",2261559,3744
"2023-03-03 00:00:00",2257815,3701
"2023-03-02 00:00:00",2254114,0
"2023-03-01 00:00:00",2254114,7405
"2023-02-28 00:00:00",2246709,3344
"2023-02-27 00:00:00",2243365,3496
"2023-02-26 00:00:00",2239869,4023
"2023-02-25 00:00:00",2235846,4293
"2023-02-24 00:00:00",2231553,4025
"2023-02-23 00:00:00",2227528,4208
"2023-02-22 00:00:00",2223320,4063
"2023-02-21 00:00:00",2219257,3723
"2023-02-20 00:00:00",2215534,4183
"2023-02-19 00:00:00",2211351,4575
"2023-02-18 00:00:00",2206776,0
"2023-02-17 00:00:00",2206776,9478
"2023-02-16 00:00:00",2197298,4530
"2023-02-15 00:00:00",2192768,4077
"2023-02-14 00:00:00",2188691,3579
"2023-02-13 00:00:00",2185112,0
"2023-02-12 00:00:00",2185112,8673
"2023-02-11 00:00:00",2176439,4092
"2023-02-10 00:00:00",2172347,4112
"2023-02-09 00:00:00",2168235,3698
"2023-02-08 00:00:00",2164537,3518
"2023-02-07 00:00:00",2161019,0
"2023-02-06 00:00:00",2161019,6798
"2023-02-05 00:00:00",2154221,3675
"2023-02-04 00:00:00",2150546,3462
"2023-02-03 00:00:00",2147084,3338
"2023-02-02 00:00:00",2143746,3286
"2023-02-01 00:00:00",2140460,3395
"2023-01-31 00:00:00",2137065,3025
"2023-01-30 00:00:00",2134040,3360
"2023-01-29 00:00:00",2130680,0
"2023-01-28 00:00:00",2130680,3738
"2023-01-27 00:00:00",2126942,6964
"2023-01-26 00:00:00",2119978,3587
"2023-01-25 00:00:00",2116391,3439
"2023-01-24 00:00:00",2112952,3219
"2023-01-23 00:00:00",2109733,3751
"2023-01-22 00:00:00",2105982,4239
"2023-01-21 00:00:00",2101743,3926
"2023-01-20 00:00:00",2097817,3884
"2023-01-19 00:00:00",2093933,3894
