"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",2048963,2762
"2023-04-30 00:00:00",2046201,0
"2023-04-29 00:00:00",2046201,5991
"2023-04-28 00:00:00",2040210,2920
"2023-04-27 00:00:00",2037290,2734
"2023-04-26 00:00:00",2034556,0
"2023-04-25 00:00:00",2034556,5507
"2023-04-24 00:00:00",2029049,2997
"2023-04-23 00:00:00",2026052,2997
"2023-04-22 00:00:00",2023055,3112
"2023-04-21 00:00:00",2019943,3218
"2023-04-20 00:00:00",2016725,3173
"2023-04-19 00:00:00",2013552,2959
"2023-04-18 00:00:00",2010593,2641
"2023-04-17 00:00:00",2007952,3002
"2023-04-16 00:00:00",2004950,3196
"2023-04-15 00:00:00",2001754,3344
"2023-04-14 00:00:00",1998410,3235
"2023-04-13 00:00:00",1995175,3195
"2023-04-12 00:00:00",1991980,2846
"2023-04-11 00:00:00",1989134,2358
"2023-04-10 00:00:00",1986776,2758
"2023-04-09 00:00:00",1984018,2946
"2023-04-08 00:00:00",1981072,3265
"2023-04-07 00:00:00",1977807,0
"2023-04-06 00:00:00",1977807,6255
"2023-04-05 00:00:00",1971552,3021
"2023-04-04 00:00:00",1968531,2706
"2023-04-03 00:00:00",1965825,2995
"2023-04-02 00:00:00",1962830,3119
"2023-04-01 00:00:00",1959711,3261
"2023-03-31 00:00:00",1956450,0
"2023-03-30 00:00:00",1956450,6119
"2023-03-29 00:00:00",1950331,3037
"2023-03-28 00:00:00",1947294,2550
"2023-03-27 00:00:00",1944744,2815
"2023-03-26 00:00:00",1941929,3101
"2023-03-25 00:00:00",1938828,3043
"2023-03-24 00:00:00",1935785,3149
"2023-03-23 00:00:00",1932636,2961
"2023-03-22 00:00:00",1929675,2959
"2023-03-21 00:00:00",1926716,2560
"2023-03-20 00:00:00",1924156,2769
"2023-03-19 00:00:00",1921387,3043
"2023-03-18 00:00:00",1918344,0
"2023-03-17 00:00:00",1918344,6308
"2023-03-16 00:00:00",1912036,0
"2023-03-15 00:00:00",1912036,5968
"2023-03-14 00:00:00",1906068,2682
"2023-03-13 00:00:00",1903386,3184
"2023-03-12 00:00:00",1900202,3408
"2023-03-11 00:00:00",1896794,3331
"2023-03-10 00:00:00",1893463,3179
"2023-03-09 00:00:00",1890284,3197
"2023-03-08 00:00:00",1887087,0
"2023-03-07 00:00:00",1887087,5818
"2023-03-06 00:00:00",1881269,3324
"2023-03-05 00:00:00",1877945,3316
"2023-03-04 00:00:00",1874629,3287
"2023-03-03 00:00:00",1871342,3405
"2023-03-02 00:00:00",1867937,0
"2023-03-01 00:00:00",1867937,6466
"2023-02-28 00:00:00",1861471,2796
"2023-02-27 00:00:00",1858675,3025
"2023-02-26 00:00:00",1855650,3501
"2023-02-25 00:00:00",1852149,3533
"2023-02-24 00:00:00",1848616,3470
"2023-02-23 00:00:00",1845146,3486
"2023-02-22 00:00:00",1841660,3312
"2023-02-21 00:00:00",1838348,2984
"2023-02-20 00:00:00",1835364,3727
"2023-02-19 00:00:00",1831637,3829
"2023-02-18 00:00:00",1827808,0
"2023-02-17 00:00:00",1827808,8076
"2023-02-16 00:00:00",1819732,3779
"2023-02-15 00:00:00",1815953,3705
"2023-02-14 00:00:00",1812248,3084
"2023-02-13 00:00:00",1809164,0
"2023-02-12 00:00:00",1809164,7640
"2023-02-11 00:00:00",1801524,3751
"2023-02-10 00:00:00",1797773,3584
"2023-02-09 00:00:00",1794189,3426
"2023-02-08 00:00:00",1790763,3314
"2023-02-07 00:00:00",1787449,0
"2023-02-06 00:00:00",1787449,6067
"2023-02-05 00:00:00",1781382,3393
"2023-02-04 00:00:00",1777989,3198
"2023-02-03 00:00:00",1774791,3072
"2023-02-02 00:00:00",1771719,2997
"2023-02-01 00:00:00",1768722,2961
