Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",314,"28,924",,
"Jun 19, 2022",357,"32,747",1,506
"Jun 20, 2022",392,"38,738",1,506
"Jun 21, 2022",427,"39,233",1,506
"Jun 22, 2022",445,"34,929",1,506
"Jun 23, 2022",476,"242,118",1,506
"Jun 24, 2022",500,"243,688",1,506
"Jun 25, 2022",516,"243,330",1,506
"Jun 26, 2022",522,"232,145",1,506
"Jun 27, 2022",530,"232,230",1,506
"Jun 28, 2022",535,"232,337",1,506
"Jun 29, 2022",553,"231,049",1,506
"Jun 30, 2022",564,"231,200",1,506
"Jul 01, 2022",574,"231,293",1,506
"Jul 02, 2022",582,"231,545",1,506
"Jul 03, 2022",583,"22,883",1,506
"Jul 04, 2022",585,"22,965",1,506
"Jul 05, 2022",586,"22,955",1,506
"Jul 06, 2022",589,"22,970",1,506
"Jul 07, 2022",596,"23,034",1,506
"Jul 08, 2022",601,"23,059",1,506
"Jul 09, 2022",607,"23,084",1,506
"Jul 10, 2022",607,"23,080",1,506
"Jul 11, 2022",610,"23,086",1,506
"Jul 12, 2022",617,"23,119",1,506
"Jul 13, 2022",622,"23,184",1,506
"Jul 14, 2022",625,"23,200",1,506
"Jul 15, 2022",629,"23,216",1,506
"Jul 16, 2022",630,"22,610",1,506
"Jul 17, 2022",634,"22,697",1,506
"Jul 18, 2022",640,"22,735",1,506
"Jul 19, 2022",648,"33,317",1,506
"Jul 20, 2022",652,"33,413",1,506
"Jul 21, 2022",667,"34,788",1,506
"Jul 22, 2022",673,"34,898",1,506
"Jul 23, 2022",678,"34,934",1,506
"Jul 24, 2022",684,"34,986",1,506
"Jul 25, 2022",692,"35,018",1,506
"Jul 26, 2022",698,"35,054",1,506
"Jul 27, 2022",700,"35,005",1,506
"Jul 28, 2022",702,"35,042",1,506
"Jul 29, 2022",709,"35,114",1,506
"Jul 30, 2022",710,"35,136",1,506
"Jul 31, 2022",710,"34,990",1,506
"Aug 01, 2022",712,"35,019",1,506
"Aug 02, 2022",712,"35,038",1,506
"Aug 03, 2022",715,"35,056",1,506
"Aug 04, 2022",719,"35,070",1,506
"Aug 05, 2022",723,"35,116",1,506
"Aug 06, 2022",724,"35,230",1,506
"Aug 07, 2022",726,"35,263",1,506
"Aug 08, 2022",727,"35,315",1,506
"Aug 09, 2022",728,"35,337",1,506
"Aug 10, 2022",732,"35,396",1,506
"Aug 11, 2022",736,"35,574",1,506
"Aug 12, 2022",741,"35,640",1,506
"Aug 13, 2022",741,"35,663",1,506
"Aug 14, 2022",746,"35,800",1,506
"Aug 15, 2022",755,"35,839",1,506
"Aug 16, 2022",759,"36,369",1,506
"Aug 17, 2022",761,"36,384",1,506
"Aug 18, 2022",762,"36,401",1,506
"Aug 19, 2022",767,"36,430",1,506
"Aug 20, 2022",771,"36,476",1,506
"Aug 21, 2022",772,"36,506",1,506
"Aug 22, 2022",774,"36,560",1,506
"Aug 23, 2022",777,"38,554",1,506
"Aug 24, 2022",784,"38,608",1,506
"Aug 25, 2022",789,"38,651",1,506
"Aug 26, 2022",789,"38,682",1,506
"Aug 27, 2022",791,"38,726",1,506
"Aug 28, 2022",792,"38,891",1,506
"Aug 29, 2022",795,"38,926",1,506
"Aug 30, 2022",797,"38,932",1,506
"Aug 31, 2022",800,"38,958",1,506
"Sep 01, 2022",800,"38,976",1,506
"Sep 02, 2022",801,"39,007",1,506
"Sep 03, 2022",803,"39,063",1,506
"Sep 04, 2022",805,"39,113",1,506
"Sep 05, 2022",808,"39,140",1,506
"Sep 06, 2022",810,"39,181",1,506
"Sep 07, 2022",811,"39,230",1,506
"Sep 08, 2022",814,"39,237",1,506
"Sep 09, 2022",814,"39,254",1,506
"Sep 10, 2022",816,"39,274",1,506
"Sep 11, 2022",818,"39,342",1,506
"Sep 12, 2022",819,"39,405",1,506
"Sep 13, 2022",821,"39,431",1,506
"Sep 14, 2022",822,"39,479",1,506
"Sep 15, 2022",826,"39,513",1,506
"Sep 16, 2022",829,"39,587",1,506
"Sep 17, 2022",832,"40,718",1,506
"Sep 18, 2022",833,"40,731",1,506
"Sep 19, 2022",837,"40,758",1,506
"Sep 20, 2022",838,"40,758",1,506
"Sep 21, 2022",838,"40,811",1,506
"Sep 22, 2022",839,"40,847",1,506
"Sep 23, 2022",841,"40,898",1,506
