Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 02, 2022",638,"18,358",1,506
"Nov 03, 2022",638,"18,372",1,506
"Nov 04, 2022",639,"18,399",1,506
"Nov 05, 2022",639,"18,414",1,506
"Nov 06, 2022",640,"18,434",1,506
"Nov 07, 2022",640,"18,533",1,506
"Nov 08, 2022",640,"18,537",1,506
"Nov 09, 2022",639,"18,545",1,506
"Nov 10, 2022",640,"18,569",1,506
"Nov 11, 2022",639,"18,575",1,506
"Nov 12, 2022",638,"18,767",1,506
"Nov 13, 2022",636,"18,781",1,506
"Nov 14, 2022",636,"18,784",1,506
"Nov 15, 2022",636,"18,797",1,506
"Nov 16, 2022",636,"18,815",1,506
"Nov 17, 2022",636,"18,824",1,506
"Nov 18, 2022",633,"18,825",1,506
"Nov 19, 2022",634,"18,827",1,506
"Nov 20, 2022",634,"18,819",1,506
"Nov 21, 2022",638,"18,900",1,506
"Nov 22, 2022",638,"18,920",1,506
"Nov 23, 2022",637,"18,920",1,506
"Nov 24, 2022",636,"18,940",1,506
"Nov 25, 2022",637,"18,991",1,506
"Nov 26, 2022",638,"18,997",1,506
"Nov 27, 2022",641,"19,017",1,506
"Nov 28, 2022",641,"19,024",1,506
"Nov 29, 2022",640,"19,025",1,506
"Nov 30, 2022",640,"19,041",1,506
"Dec 01, 2022",640,"19,050",1,506
"Dec 02, 2022",639,"19,044",1,506
"Dec 03, 2022",633,"16,760",1,506
"Dec 04, 2022",632,"17,886",1,506
"Dec 05, 2022",617,"18,722",1,506
"Dec 06, 2022",615,"18,659",1,506
"Dec 07, 2022",609,"15,156",1,506
"Dec 08, 2022",598,"14,067",1,506
"Dec 09, 2022",595,"14,058",1,506
"Dec 10, 2022",593,"14,000",1,506
"Dec 11, 2022",591,"13,703",1,506
"Dec 12, 2022",589,"14,430",1,506
"Dec 13, 2022",584,"14,295",1,506
"Dec 14, 2022",580,"14,313",1,506
"Dec 15, 2022",579,"14,314",1,506
"Dec 16, 2022",584,"14,317",1,505
"Dec 17, 2022",583,"14,163",1,505
"Dec 18, 2022",585,"14,168",1,505
"Dec 19, 2022",585,"13,016",1,505
"Dec 20, 2022",587,"13,205",1,505
"Dec 21, 2022",592,"16,246",1,505
"Dec 22, 2022",592,"16,247",1,505
"Dec 23, 2022",586,"16,242",1,505
"Dec 24, 2022",576,"14,370",1,505
"Dec 25, 2022",568,"14,378",1,505
"Dec 26, 2022",561,"15,762",1,505
"Dec 27, 2022",554,"12,946",1,505
"Dec 28, 2022",547,"12,544",1,505
"Dec 29, 2022",539,"12,037",1,505
"Dec 30, 2022",534,"11,556",1,505
"Dec 31, 2022",535,"11,818",1,505
"Jan 01, 2023",528,"12,229",1,505
"Jan 02, 2023",528,"11,990",1,504
"Jan 03, 2023",523,"11,672",1,504
"Jan 04, 2023",519,"11,553",1,504
"Jan 05, 2023",510,"11,518",1,504
"Jan 06, 2023",503,"11,254",1,504
"Jan 07, 2023",503,"11,256",1,504
"Jan 08, 2023",503,"11,256",1,504
"Jan 09, 2023",503,"11,257",1,504
"Jan 10, 2023",507,"14,005",1,504
"Jan 11, 2023",516,"15,560",1,504
"Jan 12, 2023",519,"15,830",1,504
"Jan 13, 2023",526,"17,667",1,504
"Jan 14, 2023",528,"14,931",1,504
"Jan 15, 2023",531,"17,684",1,504
"Jan 16, 2023",729,"19,986",1,504
"Jan 17, 2023",730,"19,990",1,504
"Jan 18, 2023",729,"19,995",1,504
"Jan 19, 2023",729,"20,023",1,504
"Jan 20, 2023",729,"20,034",1,504
"Jan 21, 2023",729,"20,052",1,504
"Jan 22, 2023",729,"20,079",1,504
"Jan 23, 2023",729,"20,082",1,504
"Jan 24, 2023",729,"20,094",1,504
"Jan 25, 2023",729,"20,104",1,504
"Jan 26, 2023",729,"20,115",1,504
"Jan 27, 2023",729,"20,122",1,504
"Jan 28, 2023",729,"20,148",1,504
"Jan 29, 2023",730,"20,157",1,504
"Jan 30, 2023",730,"20,172",1,504
"Jan 31, 2023",730,"20,182",1,504
"Feb 01, 2023",730,"20,192",1,504
"Feb 02, 2023",730,"20,595",1,504
"Feb 03, 2023",730,"20,606",1,504
"Feb 04, 2023",731,"20,611",1,504
