Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",333,"43,321",,
"Jun 19, 2022",366,"46,353",1,506
"Jun 20, 2022",405,"46,933",1,506
"Jun 21, 2022",434,"42,889",1,506
"Jun 22, 2022",459,"40,625",1,506
"Jun 23, 2022",490,"40,905",1,506
"Jun 24, 2022",515,"41,115",1,506
"Jun 25, 2022",531,"42,583",1,506
"Jun 26, 2022",536,"43,630",1,506
"Jun 27, 2022",546,"43,717",1,506
"Jun 28, 2022",554,"45,064",1,506
"Jun 29, 2022",566,"47,325",1,506
"Jun 30, 2022",569,"47,357",1,506
"Jul 01, 2022",572,"47,362",1,506
"Jul 02, 2022",579,"47,543",1,506
"Jul 03, 2022",581,"46,610",1,506
"Jul 04, 2022",582,"46,627",1,506
"Jul 05, 2022",583,"46,564",1,506
"Jul 06, 2022",584,"46,674",1,506
"Jul 07, 2022",592,"47,077",1,506
"Jul 08, 2022",597,"47,078",1,506
"Jul 09, 2022",597,"47,080",1,506
"Jul 10, 2022",597,"47,086",1,506
"Jul 11, 2022",598,"47,069",1,506
"Jul 12, 2022",603,"47,101",1,506
"Jul 13, 2022",606,"47,136",1,506
"Jul 14, 2022",612,"47,214",1,506
"Jul 15, 2022",618,"47,270",1,506
"Jul 16, 2022",619,"46,671",1,506
"Jul 17, 2022",622,"46,715",1,506
"Jul 18, 2022",625,"46,706",1,506
"Jul 19, 2022",633,"47,364",1,506
"Jul 20, 2022",637,"47,365",1,506
"Jul 21, 2022",642,"48,895",1,506
"Jul 22, 2022",646,"48,924",1,506
"Jul 23, 2022",651,"49,372",1,506
"Jul 24, 2022",653,"49,414",1,506
"Jul 25, 2022",656,"49,331",1,506
"Jul 26, 2022",662,"49,387",1,506
"Jul 27, 2022",663,"49,324",1,506
"Jul 28, 2022",665,"49,365",1,506
"Jul 29, 2022",668,"49,423",1,506
"Jul 30, 2022",668,"50,956",1,506
"Jul 31, 2022",671,"50,997",1,506
"Aug 01, 2022",673,"51,035",1,506
"Aug 02, 2022",675,"51,048",1,506
"Aug 03, 2022",678,"51,062",1,506
"Aug 04, 2022",683,"51,079",1,506
"Aug 05, 2022",685,"51,119",1,506
"Aug 06, 2022",688,"51,130",1,506
"Aug 07, 2022",691,"51,170",1,506
"Aug 08, 2022",695,"51,231",1,506
"Aug 09, 2022",698,"53,885",1,506
"Aug 10, 2022",701,"53,958",1,506
"Aug 11, 2022",707,"54,129",1,506
"Aug 12, 2022",711,"54,177",1,506
"Aug 13, 2022",713,"54,328",1,506
"Aug 14, 2022",714,"54,372",1,506
"Aug 15, 2022",717,"54,400",1,506
"Aug 16, 2022",719,"54,438",1,506
"Aug 17, 2022",722,"54,470",1,506
"Aug 18, 2022",722,"54,482",1,506
"Aug 19, 2022",724,"54,516",1,506
"Aug 20, 2022",725,"54,735",1,506
"Aug 21, 2022",726,"54,751",1,506
"Aug 22, 2022",730,"54,813",1,506
"Aug 23, 2022",733,"54,851",1,506
"Aug 24, 2022",738,"54,910",1,506
"Aug 25, 2022",739,"54,945",1,506
"Aug 26, 2022",740,"54,986",1,506
"Aug 27, 2022",743,"55,007",1,506
"Aug 28, 2022",743,"54,602",1,506
"Aug 29, 2022",745,"54,643",1,506
"Aug 30, 2022",748,"54,840",1,506
"Aug 31, 2022",752,"54,895",1,506
"Sep 01, 2022",752,"54,919",1,506
"Sep 02, 2022",754,"54,949",1,506
"Sep 03, 2022",756,"54,975",1,506
"Sep 04, 2022",760,"55,022",1,506
"Sep 05, 2022",759,"55,039",1,506
"Sep 06, 2022",761,"55,084",1,506
"Sep 07, 2022",761,"55,138",1,506
"Sep 08, 2022",762,"55,144",1,506
"Sep 09, 2022",763,"55,148",1,506
"Sep 10, 2022",764,"55,164",1,506
"Sep 11, 2022",765,"55,182",1,506
"Sep 12, 2022",765,"55,203",1,506
"Sep 13, 2022",767,"55,266",1,506
"Sep 14, 2022",770,"55,296",1,506
"Sep 15, 2022",771,"55,331",1,506
"Sep 16, 2022",772,"55,277",1,506
"Sep 17, 2022",774,"56,405",1,506
"Sep 18, 2022",775,"56,426",1,506
"Sep 19, 2022",780,"56,471",1,506
"Sep 20, 2022",780,"56,484",1,506
"Sep 21, 2022",781,"56,535",1,506
"Sep 22, 2022",783,"56,579",1,506
"Sep 23, 2022",784,"56,591",1,506
"Sep 24, 2022",784,"56,609",1,506
"Sep 25, 2022",786,"56,639",1,506
"Sep 26, 2022",786,"56,654",1,506
"Sep 27, 2022",787,"56,664",1,506
"Sep 28, 2022",788,"56,688",1,506
"Sep 29, 2022",788,"56,693",1,506
"Sep 30, 2022",788,"56,707",1,506
"Oct 01, 2022",788,"56,710",1,506
"Oct 02, 2022",788,"56,724",1,506
