"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",2357978,2902
"2023-04-30 00:00:00",2355076,0
"2023-04-29 00:00:00",2355076,6288
"2023-04-28 00:00:00",2348788,3212
"2023-04-27 00:00:00",2345576,3083
"2023-04-26 00:00:00",2342493,0
"2023-04-25 00:00:00",2342493,5452
"2023-04-24 00:00:00",2337041,3163
"2023-04-23 00:00:00",2333878,3163
"2023-04-22 00:00:00",2330715,3422
"2023-04-21 00:00:00",2327293,3376
"2023-04-20 00:00:00",2323917,3324
"2023-04-19 00:00:00",2320593,3173
"2023-04-18 00:00:00",2317420,2660
"2023-04-17 00:00:00",2314760,3172
"2023-04-16 00:00:00",2311588,3591
"2023-04-15 00:00:00",2307997,3390
"2023-04-14 00:00:00",2304607,3476
"2023-04-13 00:00:00",2301131,3339
"2023-04-12 00:00:00",2297792,3136
"2023-04-11 00:00:00",2294656,2529
"2023-04-10 00:00:00",2292127,2976
"2023-04-09 00:00:00",2289151,3290
"2023-04-08 00:00:00",2285861,3702
"2023-04-07 00:00:00",2282159,0
"2023-04-06 00:00:00",2282159,6668
"2023-04-05 00:00:00",2275491,3086
"2023-04-04 00:00:00",2272405,2627
"2023-04-03 00:00:00",2269778,3255
"2023-04-02 00:00:00",2266523,3373
"2023-04-01 00:00:00",2263150,3351
"2023-03-31 00:00:00",2259799,0
"2023-03-30 00:00:00",2259799,6687
"2023-03-29 00:00:00",2253112,3106
"2023-03-28 00:00:00",2250006,2690
"2023-03-27 00:00:00",2247316,3047
"2023-03-26 00:00:00",2244269,3289
"2023-03-25 00:00:00",2240980,3294
"2023-03-24 00:00:00",2237686,3088
"2023-03-23 00:00:00",2234598,2950
"2023-03-22 00:00:00",2231648,2990
"2023-03-21 00:00:00",2228658,2556
"2023-03-20 00:00:00",2226102,2957
"2023-03-19 00:00:00",2223145,3301
"2023-03-18 00:00:00",2219844,0
"2023-03-17 00:00:00",2219844,6474
"2023-03-16 00:00:00",2213370,0
"2023-03-15 00:00:00",2213370,6338
"2023-03-14 00:00:00",2207032,2744
"2023-03-13 00:00:00",2204288,3282
"2023-03-12 00:00:00",2201006,3400
"2023-03-11 00:00:00",2197606,3439
"2023-03-10 00:00:00",2194167,3351
"2023-03-09 00:00:00",2190816,3292
"2023-03-08 00:00:00",2187524,0
"2023-03-07 00:00:00",2187524,5984
"2023-03-06 00:00:00",2181540,3322
"2023-03-05 00:00:00",2178218,3382
"2023-03-04 00:00:00",2174836,3435
"2023-03-03 00:00:00",2171401,3377
"2023-03-02 00:00:00",2168024,0
"2023-03-01 00:00:00",2168024,6927
"2023-02-28 00:00:00",2161097,3014
"2023-02-27 00:00:00",2158083,3291
"2023-02-26 00:00:00",2154792,3698
"2023-02-25 00:00:00",2151094,3806
"2023-02-24 00:00:00",2147288,3704
"2023-02-23 00:00:00",2143584,3737
"2023-02-22 00:00:00",2139847,3616
"2023-02-21 00:00:00",2136231,3194
"2023-02-20 00:00:00",2133037,3725
"2023-02-19 00:00:00",2129312,4291
"2023-02-18 00:00:00",2125021,0
"2023-02-17 00:00:00",2125021,9164
"2023-02-16 00:00:00",2115857,4530
"2023-02-15 00:00:00",2111327,4154
"2023-02-14 00:00:00",2107173,3607
"2023-02-13 00:00:00",2103566,0
"2023-02-12 00:00:00",2103566,8835
"2023-02-11 00:00:00",2094731,3897
"2023-02-10 00:00:00",2090834,3797
"2023-02-09 00:00:00",2087037,3423
"2023-02-08 00:00:00",2083614,3427
"2023-02-07 00:00:00",2080187,0
"2023-02-06 00:00:00",2080187,6371
"2023-02-05 00:00:00",2073816,3531
"2023-02-04 00:00:00",2070285,3314
"2023-02-03 00:00:00",2066971,3178
"2023-02-02 00:00:00",2063793,3313
"2023-02-01 00:00:00",2060480,3083
"2023-01-31 00:00:00",2057397,2737
"2023-01-30 00:00:00",2054660,3158
"2023-01-29 00:00:00",2051502,0
"2023-01-28 00:00:00",2051502,3609
"2023-01-27 00:00:00",2047893,6684
"2023-01-26 00:00:00",2041209,3512
"2023-01-25 00:00:00",2037697,3133
"2023-01-24 00:00:00",2034564,2931
"2023-01-23 00:00:00",2031633,3259
"2023-01-22 00:00:00",2028374,3644
"2023-01-21 00:00:00",2024730,3635
"2023-01-20 00:00:00",2021095,3509
"2023-01-19 00:00:00",2017586,3216
"2023-01-18 00:00:00",2014370,3078
"2023-01-17 00:00:00",2011292,2672
"2023-01-16 00:00:00",2008620,3050
"2023-01-15 00:00:00",2005570,3463
"2023-01-14 00:00:00",2002107,3651
"2023-01-13 00:00:00",1998456,3531
"2023-01-12 00:00:00",1994925,3576
"2023-01-11 00:00:00",1991349,3345
"2023-01-10 00:00:00",1988004,2805
"2023-01-09 00:00:00",1985199,0
"2023-01-08 00:00:00",1985199,6972
"2023-01-07 00:00:00",1978227,3686
"2023-01-06 00:00:00",1974541,3569
"2023-01-05 00:00:00",1970972,3319
"2023-01-04 00:00:00",1967653,2894
"2023-01-03 00:00:00",1964759,2802
"2023-01-02 00:00:00",1961957,3397
"2023-01-01 00:00:00",1958560,3718
"2022-12-31 00:00:00",1954842,0
"2022-12-30 00:00:00",1954842,6983
"2022-12-29 00:00:00",1947859,0
"2022-12-28 00:00:00",1947859,3143
"2022-12-27 00:00:00",1944716,5007
"2022-12-26 00:00:00",1939709,2922
"2022-12-25 00:00:00",1936787,3475
"2022-12-24 00:00:00",1933312,3651
"2022-12-23 00:00:00",1929661,3509
"2022-12-22 00:00:00",1926152,3607
"2022-12-21 00:00:00",1922545,3324
"2022-12-20 00:00:00",1919221,2791
"2022-12-19 00:00:00",1916430,3326
"2022-12-18 00:00:00",1913104,3772
"2022-12-17 00:00:00",1909332,3568
"2022-12-16 00:00:00",1905764,0
"2022-12-15 00:00:00",1905764,7213
"2022-12-14 00:00:00",1898551,3644
"2022-12-13 00:00:00",1894907,3179
"2022-12-12 00:00:00",1891728,3495
"2022-12-11 00:00:00",1888233,4067
"2022-12-10 00:00:00",1884166,4067
"2022-12-09 00:00:00",1880099,3909
"2022-12-08 00:00:00",1876190,3712
"2022-12-07 00:00:00",1872478,3587
"2022-12-06 00:00:00",1868891,3924
"2022-12-05 00:00:00",1864967,3924
"2022-12-04 00:00:00",1861043,3924
"2022-12-03 00:00:00",1857120,3924
"2022-12-02 00:00:00",1853196,3924
"2022-12-01 00:00:00",1849272,3959
"2022-11-30 00:00:00",1845313,3698
"2022-11-29 00:00:00",1841615,3099
"2022-11-28 00:00:00",1838516,3290
"2022-11-27 00:00:00",1835226,3223
"2022-11-26 00:00:00",1832003,3227
"2022-11-25 00:00:00",1828776,4245
"2022-11-24 00:00:00",1824531,4089
"2022-11-23 00:00:00",1820442,3657
"2022-11-22 00:00:00",1816785,3241
"2022-11-21 00:00:00",1813544,3644
"2022-11-20 00:00:00",1809900,4192
"2022-11-19 00:00:00",1805708,4155
"2022-11-18 00:00:00",1801553,4202
"2022-11-17 00:00:00",1797351,4184
"2022-11-16 00:00:00",1793167,3783
"2022-11-15 00:00:00",1789384,3301
"2022-11-14 00:00:00",1786083,3975
"2022-11-13 00:00:00",1782108,4419
"2022-11-12 00:00:00",1777689,4344
"2022-11-11 00:00:00",1773345,4415
"2022-11-10 00:00:00",1768930,4359
"2022-11-09 00:00:00",1764571,4186
"2022-11-08 00:00:00",1760385,0
"2022-11-07 00:00:00",1760385,7554
"2022-11-06 00:00:00",1752831,4694
"2022-11-05 00:00:00",1748137,4539
"2022-11-04 00:00:00",1743598,4551
"2022-11-03 00:00:00",1739047,4324
"2022-11-02 00:00:00",1734723,4452
"2022-11-01 00:00:00",1730271,3713
"2022-10-31 00:00:00",1726558,4266
"2022-10-30 00:00:00",1722292,4707
"2022-10-29 00:00:00",1717585,4685
"2022-10-28 00:00:00",1712900,4686
"2022-10-27 00:00:00",1708214,4769
"2022-10-26 00:00:00",1703445,4615
"2022-10-25 00:00:00",1698830,4088
"2022-10-24 00:00:00",1694742,4731
"2022-10-23 00:00:00",1690011,5298
"2022-10-22 00:00:00",1684713,5137
"2022-10-21 00:00:00",1679576,5014
"2022-10-20 00:00:00",1674562,5072
"2022-10-19 00:00:00",1669490,4869
"2022-10-18 00:00:00",1664621,4232
"2022-10-17 00:00:00",1660389,4852
"2022-10-16 00:00:00",1655537,0
"2022-10-15 00:00:00",1655537,11077
"2022-10-14 00:00:00",1644460,5353
"2022-10-13 00:00:00",1639107,5595
"2022-10-12 00:00:00",1633512,5193
"2022-10-11 00:00:00",1628319,4510
"2022-10-10 00:00:00",1623809,5320
"2022-10-09 00:00:00",1618489,5993
"2022-10-08 00:00:00",1612496,6465
"2022-10-07 00:00:00",1606031,6657
"2022-10-06 00:00:00",1599374,6543
"2022-10-05 00:00:00",1592831,6054
"2022-10-04 00:00:00",1586777,4757
"2022-10-03 00:00:00",1582020,5541
"2022-10-02 00:00:00",1576479,6067
"2022-10-01 00:00:00",1570412,6011
"2022-09-30 00:00:00",1564401,5805
"2022-09-29 00:00:00",1558596,6101
"2022-09-28 00:00:00",1552495,5978
"2022-09-27 00:00:00",1546517,5140
"2022-09-26 00:00:00",1541377,5961
"2022-09-25 00:00:00",1535416,6746
"2022-09-24 00:00:00",1528670,6643
"2022-09-23 00:00:00",1522027,6782
"2022-09-22 00:00:00",1515245,6934
"2022-09-21 00:00:00",1508311,6186
"2022-09-20 00:00:00",1502125,5417
"2022-09-19 00:00:00",1496708,6775
"2022-09-18 00:00:00",1489933,7142
"2022-09-17 00:00:00",1482791,7259
"2022-09-16 00:00:00",1475532,7296
"2022-09-15 00:00:00",1468236,7260
"2022-09-14 00:00:00",1460976,6898
"2022-09-13 00:00:00",1454078,5564
"2022-09-12 00:00:00",1448514,7006
"2022-09-11 00:00:00",1441508,8058
"2022-09-10 00:00:00",1433450,8099
"2022-09-09 00:00:00",1425351,8055
"2022-09-08 00:00:00",1417296,14647
"2022-09-07 00:00:00",1402649,0
"2022-09-06 00:00:00",1402649,6580
"2022-09-05 00:00:00",1396069,7597
"2022-09-04 00:00:00",1388472,9186
"2022-09-03 00:00:00",1379286,9057
"2022-09-02 00:00:00",1370229,9139
"2022-09-01 00:00:00",1361090,9014
"2022-08-31 00:00:00",1352076,8733
"2022-08-30 00:00:00",1343343,7580
"2022-08-29 00:00:00",1335763,9245
"2022-08-28 00:00:00",1326518,10218
"2022-08-27 00:00:00",1316300,10451
"2022-08-26 00:00:00",1305849,10370
"2022-08-25 00:00:00",1295479,10410
"2022-08-24 00:00:00",1285069,9915
"2022-08-23 00:00:00",1275154,10073
"2022-08-22 00:00:00",1265081,10073
"2022-08-21 00:00:00",1255007,10073
"2022-08-20 00:00:00",1244934,10073
"2022-08-19 00:00:00",1234860,10073
"2022-08-18 00:00:00",1224787,10327
"2022-08-17 00:00:00",1214460,10184
"2022-08-16 00:00:00",1204276,8792
"2022-08-15 00:00:00",1195484,9897
"2022-08-14 00:00:00",1185587,11157
"2022-08-13 00:00:00",1174430,11101
"2022-08-12 00:00:00",1163329,11087
"2022-08-11 00:00:00",1152242,11040
"2022-08-10 00:00:00",1141202,10675
"2022-08-09 00:00:00",1130527,10533
"2022-08-08 00:00:00",1119995,10533
"2022-08-07 00:00:00",1109462,12793
"2022-08-06 00:00:00",1096669,12944
"2022-08-05 00:00:00",1083725,12338
"2022-08-04 00:00:00",1071387,11414
"2022-08-03 00:00:00",1059973,10890
"2022-08-02 00:00:00",1049083,9952
"2022-08-01 00:00:00",1039131,12130
"2022-07-31 00:00:00",1027001,13378
"2022-07-30 00:00:00",1013623,0
"2022-07-29 00:00:00",1013623,26017
"2022-07-28 00:00:00",987606,13193
"2022-07-27 00:00:00",974413,13207
"2022-07-26 00:00:00",961206,11324
"2022-07-25 00:00:00",949882,13547
"2022-07-24 00:00:00",936335,15959
"2022-07-23 00:00:00",920376,15012
"2022-07-22 00:00:00",905364,13813
"2022-07-21 00:00:00",891551,14040
"2022-07-20 00:00:00",877511,14034
"2022-07-19 00:00:00",863477,12529
"2022-07-18 00:00:00",850948,15066
"2022-07-17 00:00:00",835882,16304
"2022-07-16 00:00:00",819578,14952
"2022-07-15 00:00:00",804626,15219
"2022-07-14 00:00:00",789407,15275
"2022-07-13 00:00:00",774132,14802
"2022-07-12 00:00:00",759330,13073
"2022-07-11 00:00:00",746257,15479
"2022-07-10 00:00:00",730778,17598
"2022-07-09 00:00:00",713180,17339
"2022-07-08 00:00:00",695841,17341
"2022-07-07 00:00:00",678500,16935
"2022-07-06 00:00:00",661565,15622
"2022-07-05 00:00:00",645943,16175
"2022-07-04 00:00:00",629768,19987
"2022-07-03 00:00:00",609781,22776
"2022-07-02 00:00:00",587005,23287
"2022-07-01 00:00:00",563718,24071
"2022-06-30 00:00:00",539647,25833
"2022-06-29 00:00:00",513814,25246
"2022-06-28 00:00:00",488568,23662
"2022-06-27 00:00:00",464906,28865
"2022-06-26 00:00:00",436041,34821
"2022-06-25 00:00:00",401220,38247
"2022-06-24 00:00:00",362973,41267
"2022-06-23 00:00:00",321706,46859
"2022-06-22 00:00:00",274847,51214
"2022-06-21 00:00:00",223633,48832
"2022-06-20 00:00:00",174801,73970
"2022-06-19 00:00:00",100831,0
