Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",324,"18,401",,
"Jun 19, 2022",367,"23,367",1,506
"Jun 20, 2022",405,"23,719",1,506
"Jun 21, 2022",440,"20,202",1,506
"Jun 22, 2022",464,"17,907",1,506
"Jun 23, 2022",495,"17,937",1,506
"Jun 24, 2022",519,"18,176",1,506
"Jun 25, 2022",538,"17,706",1,506
"Jun 26, 2022",557,"18,831",1,506
"Jun 27, 2022",573,"18,925",1,506
"Jun 28, 2022",586,"19,001",1,506
"Jun 29, 2022",600,"21,412",1,506
"Jun 30, 2022",609,"21,482",1,506
"Jul 01, 2022",622,"21,548",1,506
"Jul 02, 2022",630,"21,724",1,506
"Jul 03, 2022",639,"21,898",1,506
"Jul 04, 2022",646,"22,341",1,506
"Jul 05, 2022",649,"22,322",1,506
"Jul 06, 2022",656,"22,548",1,506
"Jul 07, 2022",669,"22,915",1,506
"Jul 08, 2022",685,"23,247",1,506
"Jul 09, 2022",692,"25,037",1,506
"Jul 10, 2022",697,"25,112",1,506
"Jul 11, 2022",706,"25,186",1,506
"Jul 12, 2022",713,"25,493",1,506
"Jul 13, 2022",721,"25,521",1,506
"Jul 14, 2022",727,"25,542",1,506
"Jul 15, 2022",739,"25,629",1,506
"Jul 16, 2022",742,"25,094",1,506
"Jul 17, 2022",745,"24,846",1,506
"Jul 18, 2022",749,"25,391",1,506
"Jul 19, 2022",754,"234,483",1,506
"Jul 20, 2022",767,"234,645",1,506
"Jul 21, 2022",778,"236,146",1,506
"Jul 22, 2022",787,"236,372",1,506
"Jul 23, 2022",795,"236,505",1,506
"Jul 24, 2022",802,"236,675",1,506
"Jul 25, 2022",805,"236,809",1,506
"Jul 26, 2022",811,"236,970",1,506
"Jul 27, 2022",819,"237,019",1,506
"Jul 28, 2022",827,"27,371",1,506
"Jul 29, 2022",835,"237,322",1,506
"Jul 30, 2022",843,"237,578",1,506
"Jul 31, 2022",849,"237,713",1,506
"Aug 01, 2022",853,"238,098",1,506
"Aug 02, 2022",857,"238,850",1,506
"Aug 03, 2022",863,"28,674",1,506
"Aug 04, 2022",870,"28,740",1,506
"Aug 05, 2022",878,"239,309",1,506
"Aug 06, 2022",882,"239,406",1,506
"Aug 07, 2022",888,"239,530",1,506
"Aug 08, 2022",894,"239,690",1,506
"Aug 09, 2022",901,"239,818",1,506
"Aug 10, 2022",908,"239,945",1,506
"Aug 11, 2022",915,"240,215",1,506
"Aug 12, 2022",922,"240,361",1,506
"Aug 13, 2022",931,"240,542",1,506
"Aug 14, 2022",934,"240,669",1,506
"Aug 15, 2022",942,"240,958",1,506
"Aug 16, 2022",950,"241,598",1,506
"Aug 17, 2022",954,"241,759",1,506
"Aug 18, 2022",958,"242,312",1,506
"Aug 19, 2022",963,"242,696",1,506
"Aug 20, 2022",974,"259,637",1,506
"Aug 21, 2022",978,"259,737",1,506
"Aug 22, 2022",986,"259,873",1,506
"Aug 23, 2022",995,"260,125",1,506
"Aug 24, 2022","1,005","260,301",1,506
"Aug 25, 2022","1,012","260,144",1,506
"Aug 26, 2022","1,017","260,317",1,506
"Aug 27, 2022","1,022","260,676",1,506
"Aug 28, 2022","1,025","260,810",1,506
"Aug 29, 2022","1,031","260,928",1,506
"Aug 30, 2022","1,037","261,091",1,506
"Aug 31, 2022","1,041","261,222",1,506
"Sep 01, 2022","1,044","261,352",1,506
"Sep 02, 2022","1,050","261,707",1,506
"Sep 03, 2022","1,054","261,864",1,506
"Sep 04, 2022","1,059","262,059",1,506
"Sep 05, 2022","1,063","262,168",1,506
"Sep 06, 2022","1,076","262,411",1,506
"Sep 07, 2022","1,083","262,567",1,506
"Sep 08, 2022","1,091","262,675",1,506
"Sep 09, 2022","1,094","262,766",1,506
"Sep 10, 2022","1,098","262,894",1,506
"Sep 11, 2022","1,104","264,148",1,506
"Sep 12, 2022","1,104","264,301",1,506
"Sep 13, 2022","1,105","264,405",1,506
"Sep 14, 2022","1,105","264,490",1,506
"Sep 15, 2022","1,109","264,634",1,506
"Sep 16, 2022","1,112","264,803",1,506
"Sep 17, 2022","1,118","264,931",1,506
"Sep 18, 2022","1,119","265,003",1,506
"Sep 19, 2022","1,122","265,135",1,506
"Sep 20, 2022","1,123","265,212",1,506
"Sep 21, 2022","1,124","265,344",1,506
"Sep 22, 2022","1,126","265,467",1,506
"Sep 23, 2022","1,133","265,658",1,506
"Sep 24, 2022","1,133","265,739",1,506
"Sep 25, 2022","1,139","265,875",1,506
"Sep 26, 2022","1,141","265,936",1,506
"Sep 27, 2022","1,147","266,063",1,506
"Sep 28, 2022","1,149","266,196",1,506
"Sep 29, 2022","1,151","266,306",1,506
"Sep 30, 2022","1,154","266,459",1,506
"Oct 01, 2022","1,155","266,603",1,506
"Oct 02, 2022","1,159","266,711",1,506
"Oct 03, 2022","1,162","266,809",1,506
"Oct 04, 2022","1,166","266,916",1,506
"Oct 05, 2022","1,169","267,023",1,506
"Oct 06, 2022","1,170","267,140",1,506
"Oct 07, 2022","1,171","267,296",1,506
"Oct 08, 2022","1,176","267,470",1,506
"Oct 09, 2022","1,178","267,618",1,506
"Oct 10, 2022","1,180","267,796",1,506
"Oct 11, 2022","1,181","267,957",1,506
"Oct 12, 2022","1,186","268,065",1,506
"Oct 13, 2022","1,188","268,263",1,506
"Oct 14, 2022","1,189","268,365",1,506
"Oct 15, 2022","1,192","268,505",1,506
"Oct 16, 2022","1,197","268,649",1,506
"Oct 17, 2022","1,201","268,757",1,506
"Oct 18, 2022","1,200","268,828",1,506
"Oct 19, 2022","1,202","268,994",1,506
"Oct 20, 2022","1,206","269,800",1,506
"Oct 21, 2022","1,211","269,971",1,506
"Oct 22, 2022","1,214","270,199",1,506
"Oct 23, 2022","1,215","270,371",1,506
"Oct 24, 2022","1,216","270,462",1,506
"Oct 25, 2022","1,219","270,607",1,506
"Oct 26, 2022","1,222","271,256",1,506
"Oct 27, 2022","1,225","271,422",1,506
"Oct 28, 2022","1,227","271,560",1,506
"Oct 29, 2022","1,230","271,667",1,506
"Oct 30, 2022","1,228","271,733",1,506
"Oct 31, 2022","1,231","271,851",1,506
"Nov 01, 2022","1,234","271,970",1,506
"Nov 02, 2022","1,235","272,059",1,506
"Nov 03, 2022","1,240","272,235",1,506
"Nov 04, 2022","1,242","272,351",1,506
"Nov 05, 2022","1,246","272,452",1,506
"Nov 06, 2022","1,247","272,600",1,506
"Nov 07, 2022","1,247","272,760",1,506
"Nov 08, 2022","1,253","272,711",1,506
"Nov 09, 2022","1,253","272,817",1,506
"Nov 10, 2022","1,257","272,952",1,506
"Nov 11, 2022","1,259","273,051",1,506
"Nov 12, 2022","1,260","273,115",1,506
"Nov 13, 2022","1,260","273,239",1,506
"Nov 14, 2022","1,258","272,791",1,506
"Nov 15, 2022","1,258","272,916",1,506
"Nov 16, 2022","1,260","273,035",1,506
"Nov 17, 2022","1,259","273,144",1,506
"Nov 18, 2022","1,243","272,676",1,506
"Nov 19, 2022","1,244","272,652",1,506
"Nov 20, 2022","1,247","273,083",1,506
"Nov 21, 2022","1,256","273,241",1,506
"Nov 22, 2022","1,258","273,344",1,506
"Nov 23, 2022","1,260","273,405",1,506
"Nov 24, 2022","1,262","273,559",1,506
"Nov 25, 2022","1,268","273,852",1,506
"Nov 26, 2022","1,268","273,969",1,506
"Nov 27, 2022","1,270","274,081",1,506
"Nov 28, 2022","1,274","274,170",1,506
"Nov 29, 2022","1,276","272,100",1,506
"Nov 30, 2022","1,277","274,345",1,506
"Dec 01, 2022","1,282","273,022",1,506
"Dec 02, 2022","1,288","273,273",1,506
"Dec 03, 2022","1,276","271,958",1,506
"Dec 04, 2022","1,272","274,356",1,506
"Dec 05, 2022","1,252","273,994",1,506
"Dec 06, 2022","1,253","274,361",1,506
"Dec 07, 2022","1,240","269,442",1,506
"Dec 08, 2022","1,228","268,440",1,506
"Dec 09, 2022","1,223","268,427",1,506
"Dec 10, 2022","1,221","266,526",1,506
"Dec 11, 2022","1,222","270,517",1,506
"Dec 12, 2022","1,229","274,627",1,506
"Dec 13, 2022","1,227","274,552",1,506
"Dec 14, 2022","1,226","277,200",1,506
"Dec 15, 2022","1,226","275,127",1,506
"Dec 16, 2022","1,232","275,079",1,505
"Dec 17, 2022","1,227","273,693",1,505
"Dec 18, 2022","1,233","270,917",1,505
"Dec 19, 2022","1,237","275,548",1,505
"Dec 20, 2022","1,239","276,679",1,505
"Dec 21, 2022","1,244","279,674",1,505
"Dec 22, 2022","1,244","278,674",1,505
"Dec 23, 2022","1,237","278,604",1,505
"Dec 24, 2022","1,222","276,093",1,505
"Dec 25, 2022","1,211","274,921",1,505
"Dec 26, 2022","1,193","275,365",1,505
"Dec 27, 2022","1,181","270,749",1,505
"Dec 28, 2022","1,171","269,427",1,505
"Dec 29, 2022","1,152","269,882",1,505
"Dec 30, 2022","1,140","274,928",1,505
"Dec 31, 2022","1,136","272,533",1,505
"Jan 01, 2023","1,129","271,267",1,505
"Jan 02, 2023","1,128","272,892",1,504
"Jan 03, 2023","1,113","268,405",1,504
"Jan 04, 2023","1,102","246,631",1,504
"Jan 05, 2023","1,090","263,491",1,504
"Jan 06, 2023","1,076","260,857",1,504
"Jan 07, 2023","1,075","261,002",1,504
"Jan 08, 2023","1,074","261,021",1,504
"Jan 09, 2023","1,074","261,092",1,504
"Jan 10, 2023","1,086","269,015",1,504
"Jan 11, 2023","1,112","279,873",1,504
"Jan 12, 2023","1,122","280,489",1,504
"Jan 13, 2023","1,129","281,158",1,504
"Jan 14, 2023","1,131","278,753",1,504
"Jan 15, 2023","1,136","281,630",1,504
"Jan 16, 2023","1,574","286,626",1,504
"Jan 17, 2023","1,576","286,779",1,504
"Jan 18, 2023","1,576","286,917",1,504
"Jan 19, 2023","1,582","287,076",1,504
"Jan 20, 2023","1,587","287,170",1,504
"Jan 21, 2023","1,587","287,341",1,504
"Jan 22, 2023","1,590","287,532",1,504
"Jan 23, 2023","1,592","287,648",1,504
"Jan 24, 2023","1,596","286,559",1,504
"Jan 25, 2023","1,596","286,631",1,504
"Jan 26, 2023","1,600","286,734",1,504
"Jan 27, 2023","1,604","286,870",1,504
"Jan 28, 2023","1,606","286,950",1,504
"Jan 29, 2023","1,607","287,088",1,504
"Jan 30, 2023","1,608","287,225",1,504
"Jan 31, 2023","1,609","287,349",1,504
"Feb 01, 2023","1,612","287,364",1,504
"Feb 02, 2023","1,613","287,895",1,504
"Feb 03, 2023","1,614","288,036",1,504
"Feb 04, 2023","1,617","288,148",1,504
"Feb 05, 2023","1,617","288,251",1,504
"Feb 06, 2023","1,618","288,415",1,504
"Feb 07, 2023","1,618","288,543",1,504
"Feb 08, 2023","1,620","288,665",1,504
"Feb 09, 2023","1,625","288,810",1,504
"Feb 10, 2023","1,628","289,042",1,504
"Feb 11, 2023","1,629","288,920",1,504
"Feb 12, 2023","1,633","289,052",1,504
"Feb 13, 2023","1,636","289,186",1,504
"Feb 14, 2023","1,639","289,348",1,504
"Feb 15, 2023","1,639","289,468",1,504
"Feb 16, 2023","1,640","289,641",1,504
"Feb 17, 2023","1,640","289,765",1,504
"Feb 18, 2023","1,641","289,876",1,504
"Feb 19, 2023","1,641","289,986",1,504
"Feb 20, 2023","1,641","295,825",1,504
"Feb 21, 2023","1,641","295,991",1,504
"Feb 22, 2023","1,641","296,169",1,504
"Feb 23, 2023","1,641","296,296",1,504
"Feb 24, 2023","1,640","296,536",1,504
"Feb 25, 2023","1,640","296,697",1,504
"Feb 26, 2023","1,639","296,821",1,504
"Feb 27, 2023","1,638","296,936",1,504
"Mar 01, 2023","1,634","297,163",1,504
"Mar 02, 2023","1,639","297,389",1,504
"Mar 03, 2023","1,646","297,642",1,504
"Mar 04, 2023","1,651","297,815",1,504
"Mar 05, 2023","1,654","298,086",1,504
"Mar 06, 2023","1,658","299,599",1,504
"Mar 07, 2023","1,660","299,839",1,504
"Mar 08, 2023","1,665","300,058",1,504
"Mar 09, 2023","1,666","300,238",1,504
"Mar 10, 2023","1,668","300,424",1,504
"Mar 11, 2023","1,668","300,591",1,504
"Mar 12, 2023","1,672","300,767",1,504
"Mar 13, 2023","1,674","300,918",1,504
"Mar 14, 2023","1,682","302,318",1,504
"Mar 15, 2023","1,687","323,399",1,504
"Mar 16, 2023","1,689","323,316",1,504
"Mar 17, 2023","1,693","324,414",1,504
"Mar 18, 2023","1,694","324,547",1,504
"Mar 19, 2023","1,699","324,959",1,504
"Mar 20, 2023","1,700","325,117",1,504
"Mar 21, 2023","1,704","325,316",1,503
"Mar 22, 2023","1,709","325,463",1,503
"Mar 23, 2023","1,721","325,734",1,503
"Mar 24, 2023","1,723","325,878",1,504
"Mar 25, 2023","1,732","326,187",1,504
"Mar 26, 2023","1,733","326,316",1,504
"Mar 27, 2023","1,739","326,692",1,504
"Mar 28, 2023","1,747","326,870",1,504
"Mar 29, 2023","1,751","327,140",1,504
"Mar 30, 2023","1,757","327,600",1,504
"Mar 31, 2023","1,764","327,877",1,504
"Apr 01, 2023","1,766","328,081",1,504
"Apr 02, 2023","1,769","327,724",1,504
"Apr 03, 2023","1,771","327,909",1,504
"Apr 04, 2023","1,780","328,696",1,504
"Apr 05, 2023","1,782","328,001",1,504
"Apr 06, 2023","1,790","328,212",1,504
"Apr 07, 2023","1,797","328,495",1,504
"Apr 08, 2023","1,800","328,595",1,504
"Apr 09, 2023","1,808","328,863",1,503
"Apr 10, 2023","1,817","329,024",1,503
"Apr 11, 2023","1,825","329,291",1,503
"Apr 12, 2023","1,832","329,541",1,502
"Apr 13, 2023","1,832","329,393",1,502
"Apr 14, 2023","1,838","327,490",1,502
"Apr 15, 2023","1,841","327,691",1,502
"Apr 16, 2023","1,846","327,645",1,502
"Apr 17, 2023","1,857","328,088",1,502
"Apr 18, 2023","1,865","328,512",1,502
"Apr 19, 2023","1,873","328,654",1,502
"Apr 20, 2023","1,883","329,930",1,502
"Apr 21, 2023","1,892","327,386",1,502
"Apr 22, 2023","1,900","330,340",1,502
"Apr 23, 2023","1,905","330,546",1,502
"Apr 24, 2023","1,912","330,688",1,501
"Apr 25, 2023","1,923","330,834",1,501
"Apr 26, 2023","1,926","330,887",1,501
"Apr 27, 2023","1,934","331,183",1,501
"Apr 28, 2023","1,941","331,357",1,501
"Apr 29, 2023","1,952","331,585",1,501
"Apr 30, 2023","1,959","331,746",1,501
"May 01, 2023","1,967","331,815",1,501
"May 02, 2023","1,977","332,108",1,501
Invalid date,,,,
