"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",7382843,19905
"2023-04-30 00:00:00",7362938,0
"2023-04-29 00:00:00",7362938,44233
"2023-04-28 00:00:00",7318705,21855
"2023-04-27 00:00:00",7296850,20915
"2023-04-26 00:00:00",7275935,20146
"2023-04-25 00:00:00",7255789,16760
"2023-04-24 00:00:00",7239029,21028
"2023-04-23 00:00:00",7218001,21028
"2023-04-22 00:00:00",7196973,22156
"2023-04-21 00:00:00",7174817,21818
"2023-04-20 00:00:00",7152999,21808
"2023-04-19 00:00:00",7131191,20204
"2023-04-18 00:00:00",7110987,17287
"2023-04-17 00:00:00",7093700,20565
"2023-04-16 00:00:00",7073135,22589
"2023-04-15 00:00:00",7050546,22179
"2023-04-14 00:00:00",7028367,22312
"2023-04-13 00:00:00",7006055,22812
"2023-04-12 00:00:00",6983243,21625
"2023-04-11 00:00:00",6961618,17591
"2023-04-10 00:00:00",6944027,20060
"2023-04-09 00:00:00",6923967,22009
"2023-04-08 00:00:00",6901958,23022
"2023-04-07 00:00:00",6878936,0
"2023-04-06 00:00:00",6878936,44577
"2023-04-05 00:00:00",6834359,21236
"2023-04-04 00:00:00",6813123,18602
"2023-04-03 00:00:00",6794521,20444
"2023-04-02 00:00:00",6774077,22505
"2023-04-01 00:00:00",6751572,22947
"2023-03-31 00:00:00",6728625,0
"2023-03-30 00:00:00",6728625,44357
"2023-03-29 00:00:00",6684268,21506
"2023-03-28 00:00:00",6662762,18937
"2023-03-27 00:00:00",6643825,20812
"2023-03-26 00:00:00",6623013,22625
"2023-03-25 00:00:00",6600388,22548
"2023-03-24 00:00:00",6577840,21904
"2023-03-23 00:00:00",6555936,21558
"2023-03-22 00:00:00",6534378,20435
"2023-03-21 00:00:00",6513943,17927
"2023-03-20 00:00:00",6496016,19716
"2023-03-19 00:00:00",6476300,22040
"2023-03-18 00:00:00",6454260,0
"2023-03-17 00:00:00",6454260,44394
"2023-03-16 00:00:00",6409866,0
"2023-03-15 00:00:00",6409866,42482
"2023-03-14 00:00:00",6367384,18327
"2023-03-13 00:00:00",6349057,21225
"2023-03-12 00:00:00",6327832,22546
"2023-03-11 00:00:00",6305286,22643
"2023-03-10 00:00:00",6282643,22636
"2023-03-09 00:00:00",6260007,22832
"2023-03-08 00:00:00",6237175,0
"2023-03-07 00:00:00",6237175,41291
"2023-03-06 00:00:00",6195884,21193
"2023-03-05 00:00:00",6174691,22437
"2023-03-04 00:00:00",6152254,23378
"2023-03-03 00:00:00",6128876,23602
"2023-03-02 00:00:00",6105274,0
"2023-03-01 00:00:00",6105274,44093
"2023-02-28 00:00:00",6061181,19042
"2023-02-27 00:00:00",6042139,20842
"2023-02-26 00:00:00",6021297,23522
"2023-02-25 00:00:00",5997775,23209
"2023-02-24 00:00:00",5974566,22438
"2023-02-23 00:00:00",5952128,22171
"2023-02-22 00:00:00",5929957,20944
"2023-02-21 00:00:00",5909013,19477
"2023-02-20 00:00:00",5889536,21551
"2023-02-19 00:00:00",5867985,23886
"2023-02-18 00:00:00",5844099,0
"2023-02-17 00:00:00",5844099,46799
"2023-02-16 00:00:00",5797300,23243
"2023-02-15 00:00:00",5774057,22125
"2023-02-14 00:00:00",5751932,19023
"2023-02-13 00:00:00",5732909,0
"2023-02-12 00:00:00",5732909,46242
"2023-02-11 00:00:00",5686667,22934
"2023-02-10 00:00:00",5663733,22756
"2023-02-09 00:00:00",5640977,23196
"2023-02-08 00:00:00",5617781,21188
"2023-02-07 00:00:00",5596593,0
"2023-02-06 00:00:00",5596593,38953
"2023-02-05 00:00:00",5557640,21567
"2023-02-04 00:00:00",5536073,20896
"2023-02-03 00:00:00",5515177,20186
"2023-02-02 00:00:00",5494991,19806
"2023-02-01 00:00:00",5475185,19478
"2023-01-31 00:00:00",5455707,17157
"2023-01-30 00:00:00",5438550,20237
"2023-01-29 00:00:00",5418313,0
"2023-01-28 00:00:00",5418313,22284
"2023-01-27 00:00:00",5396029,42925
"2023-01-26 00:00:00",5353104,21725
"2023-01-25 00:00:00",5331379,21053
"2023-01-24 00:00:00",5310326,17743
"2023-01-23 00:00:00",5292583,20587
"2023-01-22 00:00:00",5271996,23468
"2023-01-21 00:00:00",5248528,22573
"2023-01-20 00:00:00",5225955,21947
"2023-01-19 00:00:00",5204008,21510
"2023-01-18 00:00:00",5182498,19793
"2023-01-17 00:00:00",5162705,17802
"2023-01-16 00:00:00",5144903,19394
"2023-01-15 00:00:00",5125509,22595
"2023-01-14 00:00:00",5102914,22164
"2023-01-13 00:00:00",5080750,22090
"2023-01-12 00:00:00",5058660,22536
"2023-01-11 00:00:00",5036124,21234
"2023-01-10 00:00:00",5014890,17692
"2023-01-09 00:00:00",4997198,0
"2023-01-08 00:00:00",4997198,42646
"2023-01-07 00:00:00",4954552,22061
"2023-01-06 00:00:00",4932491,21573
"2023-01-05 00:00:00",4910918,20134
"2023-01-04 00:00:00",4890784,17999
"2023-01-03 00:00:00",4872785,17803
"2023-01-02 00:00:00",4854982,20426
"2023-01-01 00:00:00",4834556,21707
"2022-12-31 00:00:00",4812849,0
"2022-12-30 00:00:00",4812849,41262
"2022-12-29 00:00:00",4771587,0
"2022-12-28 00:00:00",4771587,19040
"2022-12-27 00:00:00",4752547,29386
"2022-12-26 00:00:00",4723161,16363
"2022-12-25 00:00:00",4706798,17965
"2022-12-24 00:00:00",4688833,20257
"2022-12-23 00:00:00",4668576,20003
"2022-12-22 00:00:00",4648573,19742
"2022-12-21 00:00:00",4628831,19020
"2022-12-20 00:00:00",4609811,16715
"2022-12-19 00:00:00",4593096,19460
"2022-12-18 00:00:00",4573636,21620
"2022-12-17 00:00:00",4552016,20860
"2022-12-16 00:00:00",4531156,0
"2022-12-15 00:00:00",4531156,40949
"2022-12-14 00:00:00",4490207,19712
"2022-12-13 00:00:00",4470495,16808
"2022-12-12 00:00:00",4453687,19948
"2022-12-11 00:00:00",4433739,22768
"2022-12-10 00:00:00",4410971,22580
"2022-12-09 00:00:00",4388391,21993
"2022-12-08 00:00:00",4366398,21284
"2022-12-07 00:00:00",4345114,21373
"2022-12-06 00:00:00",4323741,21884
"2022-12-05 00:00:00",4301857,21884
"2022-12-04 00:00:00",4279973,21884
"2022-12-03 00:00:00",4258089,21884
"2022-12-02 00:00:00",4236205,21884
"2022-12-01 00:00:00",4214321,21670
"2022-11-30 00:00:00",4192651,21084
"2022-11-29 00:00:00",4171567,17675
"2022-11-28 00:00:00",4153892,18741
"2022-11-27 00:00:00",4135151,18362
"2022-11-26 00:00:00",4116789,19549
"2022-11-25 00:00:00",4097240,23741
"2022-11-24 00:00:00",4073499,22832
"2022-11-23 00:00:00",4050667,20841
"2022-11-22 00:00:00",4029826,18384
"2022-11-21 00:00:00",4011442,20948
"2022-11-20 00:00:00",3990494,22411
"2022-11-19 00:00:00",3968083,21794
"2022-11-18 00:00:00",3946289,21306
"2022-11-17 00:00:00",3924983,20520
"2022-11-16 00:00:00",3904463,19612
"2022-11-15 00:00:00",3884851,17051
"2022-11-14 00:00:00",3867800,19681
"2022-11-13 00:00:00",3848119,22667
"2022-11-12 00:00:00",3825452,22896
"2022-11-11 00:00:00",3802556,22643
"2022-11-10 00:00:00",3779913,22571
"2022-11-09 00:00:00",3757342,21255
"2022-11-08 00:00:00",3736087,0
"2022-11-07 00:00:00",3736087,37913
"2022-11-06 00:00:00",3698174,23114
"2022-11-05 00:00:00",3675060,23006
"2022-11-04 00:00:00",3652054,22415
"2022-11-03 00:00:00",3629639,21461
"2022-11-02 00:00:00",3608178,21224
"2022-11-01 00:00:00",3586954,18143
"2022-10-31 00:00:00",3568811,20881
"2022-10-30 00:00:00",3547930,22836
"2022-10-29 00:00:00",3525094,22719
"2022-10-28 00:00:00",3502375,21765
"2022-10-27 00:00:00",3480610,21928
"2022-10-26 00:00:00",3458682,21519
"2022-10-25 00:00:00",3437163,18288
"2022-10-24 00:00:00",3418875,21481
"2022-10-23 00:00:00",3397394,23894
"2022-10-22 00:00:00",3373500,23120
"2022-10-21 00:00:00",3350380,21787
"2022-10-20 00:00:00",3328593,22081
"2022-10-19 00:00:00",3306512,21098
"2022-10-18 00:00:00",3285414,18192
"2022-10-17 00:00:00",3267222,21972
"2022-10-16 00:00:00",3245250,0
"2022-10-15 00:00:00",3245250,48309
"2022-10-14 00:00:00",3196941,23066
"2022-10-13 00:00:00",3173875,23244
"2022-10-12 00:00:00",3150631,21382
"2022-10-11 00:00:00",3129249,18688
"2022-10-10 00:00:00",3110561,21941
"2022-10-09 00:00:00",3088620,23840
"2022-10-08 00:00:00",3064780,21848
"2022-10-07 00:00:00",3042932,20056
"2022-10-06 00:00:00",3022876,20141
"2022-10-05 00:00:00",3002735,20402
"2022-10-04 00:00:00",2982333,18350
"2022-10-03 00:00:00",2963983,21583
"2022-10-02 00:00:00",2942400,23899
"2022-10-01 00:00:00",2918501,22834
"2022-09-30 00:00:00",2895667,22381
"2022-09-29 00:00:00",2873286,23458
"2022-09-28 00:00:00",2849828,22271
"2022-09-27 00:00:00",2827557,19077
"2022-09-26 00:00:00",2808480,22146
"2022-09-25 00:00:00",2786334,25499
"2022-09-24 00:00:00",2760835,24889
"2022-09-23 00:00:00",2735946,24381
"2022-09-22 00:00:00",2711565,24261
"2022-09-21 00:00:00",2687304,22598
"2022-09-20 00:00:00",2664706,19398
"2022-09-19 00:00:00",2645308,23211
"2022-09-18 00:00:00",2622097,26212
"2022-09-17 00:00:00",2595885,25599
"2022-09-16 00:00:00",2570286,25528
"2022-09-15 00:00:00",2544758,25335
"2022-09-14 00:00:00",2519423,24660
"2022-09-13 00:00:00",2494763,20204
"2022-09-12 00:00:00",2474559,23761
"2022-09-11 00:00:00",2450798,26578
"2022-09-10 00:00:00",2424220,25822
"2022-09-09 00:00:00",2398398,25397
"2022-09-08 00:00:00",2373001,46713
"2022-09-07 00:00:00",2326288,0
"2022-09-06 00:00:00",2326288,20840
"2022-09-05 00:00:00",2305448,24316
"2022-09-04 00:00:00",2281132,28414
"2022-09-03 00:00:00",2252718,27163
"2022-09-02 00:00:00",2225555,26039
"2022-09-01 00:00:00",2199516,25608
"2022-08-31 00:00:00",2173908,24984
"2022-08-30 00:00:00",2148924,22036
"2022-08-29 00:00:00",2126888,25746
"2022-08-28 00:00:00",2101142,28467
"2022-08-27 00:00:00",2072675,27825
"2022-08-26 00:00:00",2044850,27395
"2022-08-25 00:00:00",2017455,26576
"2022-08-24 00:00:00",1990879,25309
"2022-08-23 00:00:00",1965570,26133
"2022-08-22 00:00:00",1939437,26133
"2022-08-21 00:00:00",1913304,26133
"2022-08-20 00:00:00",1887171,26133
"2022-08-19 00:00:00",1861038,26133
"2022-08-18 00:00:00",1834905,26671
"2022-08-17 00:00:00",1808234,25645
"2022-08-16 00:00:00",1782589,22337
"2022-08-15 00:00:00",1760252,25973
"2022-08-14 00:00:00",1734279,27997
"2022-08-13 00:00:00",1706282,27769
"2022-08-12 00:00:00",1678513,26312
"2022-08-11 00:00:00",1652201,26259
"2022-08-10 00:00:00",1625942,26172
"2022-08-09 00:00:00",1599770,24901
"2022-08-08 00:00:00",1574870,24901
"2022-08-07 00:00:00",1549969,28882
"2022-08-06 00:00:00",1521087,24285
"2022-08-05 00:00:00",1496802,22081
"2022-08-04 00:00:00",1474721,22236
"2022-08-03 00:00:00",1452485,23144
"2022-08-02 00:00:00",1429341,22003
"2022-08-01 00:00:00",1407338,25459
"2022-07-31 00:00:00",1381879,27490
"2022-07-30 00:00:00",1354389,0
"2022-07-29 00:00:00",1354389,48057
"2022-07-28 00:00:00",1306332,25583
"2022-07-27 00:00:00",1280749,26044
"2022-07-26 00:00:00",1254705,22387
"2022-07-25 00:00:00",1232318,23786
"2022-07-24 00:00:00",1208532,27154
"2022-07-23 00:00:00",1181378,25176
"2022-07-22 00:00:00",1156202,25003
"2022-07-21 00:00:00",1131199,24340
"2022-07-20 00:00:00",1106859,22612
"2022-07-19 00:00:00",1084247,19827
"2022-07-18 00:00:00",1064420,24099
"2022-07-17 00:00:00",1040321,25755
"2022-07-16 00:00:00",1014566,23493
"2022-07-15 00:00:00",991073,23676
"2022-07-14 00:00:00",967397,24625
"2022-07-13 00:00:00",942772,23821
"2022-07-12 00:00:00",918951,21218
"2022-07-11 00:00:00",897733,25387
"2022-07-10 00:00:00",872346,27970
"2022-07-09 00:00:00",844376,26317
"2022-07-08 00:00:00",818059,26050
"2022-07-07 00:00:00",792009,25470
"2022-07-06 00:00:00",766539,23177
"2022-07-05 00:00:00",743362,24085
"2022-07-04 00:00:00",719277,28925
"2022-07-03 00:00:00",690352,32348
"2022-07-02 00:00:00",658004,33476
"2022-07-01 00:00:00",624528,33973
"2022-06-30 00:00:00",590555,35267
"2022-06-29 00:00:00",555288,34799
"2022-06-28 00:00:00",520489,32916
"2022-06-27 00:00:00",487573,37772
"2022-06-26 00:00:00",449801,44916
"2022-06-25 00:00:00",404885,46545
"2022-06-24 00:00:00",358340,48207
"2022-06-23 00:00:00",310133,54143
"2022-06-22 00:00:00",255990,55821
"2022-06-21 00:00:00",200169,51162
"2022-06-20 00:00:00",149007,69316
"2022-06-19 00:00:00",79691,0
