Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",247,"18,324",,
"Jun 19, 2022",278,"23,067",1,506
"Jun 20, 2022",308,"23,214",1,506
"Jun 21, 2022",334,"23,219",1,506
"Jun 22, 2022",348,"21,029",1,506
"Jun 23, 2022",365,"20,653",1,506
"Jun 24, 2022",379,"20,848",1,506
"Jun 25, 2022",393,"20,955",1,506
"Jun 26, 2022",400,"22,003",1,506
"Jun 27, 2022",408,"20,279",1,506
"Jun 28, 2022",415,"20,338",1,506
"Jun 29, 2022",419,"20,379",1,506
"Jun 30, 2022",424,"20,393",1,506
"Jul 01, 2022",431,"20,458",1,506
"Jul 02, 2022",434,"20,599",1,506
"Jul 03, 2022",436,"19,733",1,506
"Jul 04, 2022",440,"19,760",1,506
"Jul 05, 2022",440,"19,694",1,506
"Jul 06, 2022",441,"19,695",1,506
"Jul 07, 2022",446,"19,730",1,506
"Jul 08, 2022",449,"19,735",1,506
"Jul 09, 2022",449,"15,062",1,506
"Jul 10, 2022",450,"15,062",1,506
"Jul 11, 2022",450,"15,053",1,506
"Jul 12, 2022",453,"15,073",1,506
"Jul 13, 2022",456,"15,102",1,506
"Jul 14, 2022",457,"15,102",1,506
"Jul 15, 2022",460,"15,110",1,506
"Jul 16, 2022",460,"14,508",1,506
"Jul 17, 2022",463,"14,519",1,506
"Jul 18, 2022",466,"14,468",1,506
"Jul 19, 2022",467,"14,470",1,506
"Jul 20, 2022",469,"14,481",1,506
"Jul 21, 2022",473,"15,774",1,506
"Jul 22, 2022",476,"15,783",1,506
"Jul 23, 2022",479,"15,802",1,506
"Jul 24, 2022",481,"15,845",1,506
"Jul 25, 2022",483,"15,862",1,506
"Jul 26, 2022",488,"15,975",1,506
"Jul 27, 2022",489,"15,905",1,506
"Jul 28, 2022",492,"15,930",1,506
"Jul 29, 2022",495,"15,950",1,506
"Jul 30, 2022",497,"15,966",1,506
"Jul 31, 2022",497,"15,994",1,506
"Aug 01, 2022",500,"16,024",1,506
"Aug 02, 2022",503,"16,053",1,506
"Aug 03, 2022",504,"16,005",1,506
"Aug 04, 2022",504,"16,014",1,506
"Aug 05, 2022",506,"16,053",1,506
"Aug 06, 2022",506,"16,060",1,506
"Aug 07, 2022",509,"16,080",1,506
"Aug 08, 2022",513,"16,227",1,506
"Aug 09, 2022",514,"16,242",1,506
"Aug 10, 2022",516,"16,291",1,506
"Aug 11, 2022",522,"16,468",1,506
"Aug 12, 2022",525,"16,515",1,506
"Aug 13, 2022",526,"16,653",1,506
"Aug 14, 2022",528,"16,702",1,506
"Aug 15, 2022",531,"16,725",1,506
"Aug 16, 2022",532,"16,740",1,506
"Aug 17, 2022",535,"16,756",1,506
"Aug 18, 2022",534,"16,775",1,506
"Aug 19, 2022",537,"16,794",1,506
"Aug 20, 2022",541,"16,900",1,506
"Aug 21, 2022",541,"16,907",1,506
"Aug 22, 2022",543,"16,960",1,506
"Aug 23, 2022",546,"17,063",1,506
"Aug 24, 2022",550,"17,087",1,506
"Aug 25, 2022",551,"17,211",1,506
"Aug 26, 2022",552,"17,281",1,506
"Aug 27, 2022",555,"17,299",1,506
"Aug 28, 2022",556,"17,320",1,506
"Aug 29, 2022",559,"17,366",1,506
"Aug 30, 2022",560,"17,376",1,506
"Aug 31, 2022",562,"17,401",1,506
"Sep 01, 2022",562,"17,421",1,506
"Sep 02, 2022",563,"17,454",1,506
"Sep 03, 2022",563,"17,473",1,506
"Sep 04, 2022",563,"17,490",1,506
"Sep 05, 2022",563,"17,507",1,506
"Sep 06, 2022",564,"17,538",1,506
"Sep 07, 2022",565,"17,570",1,506
"Sep 08, 2022",565,"17,572",1,506
"Sep 09, 2022",565,"17,590",1,506
"Sep 10, 2022",565,"17,602",1,506
"Sep 11, 2022",566,"17,617",1,506
"Sep 12, 2022",564,"17,589",1,506
"Sep 13, 2022",565,"17,608",1,506
"Sep 14, 2022",566,"17,626",1,506
"Sep 15, 2022",568,"17,654",1,506
"Sep 16, 2022",569,"17,601",1,506
"Sep 17, 2022",571,"18,724",1,506
"Sep 18, 2022",572,"18,733",1,506
"Sep 19, 2022",572,"18,749",1,506
"Sep 20, 2022",573,"18,749",1,506
"Sep 21, 2022",573,"18,784",1,506
"Sep 22, 2022",573,"18,387",1,506
"Sep 23, 2022",576,"18,426",1,506
"Sep 24, 2022",576,"18,456",1,506
"Sep 25, 2022",576,"18,480",1,506
"Sep 26, 2022",575,"18,485",1,506
"Sep 27, 2022",577,"18,494",1,506
"Sep 28, 2022",578,"18,518",1,506
"Sep 29, 2022",578,"18,520",1,506
"Sep 30, 2022",579,"18,535",1,506
"Oct 01, 2022",580,"18,603",1,506
"Oct 02, 2022",580,"18,615",1,506
"Oct 03, 2022",582,"18,626",1,506
"Oct 04, 2022",583,"18,648",1,506
"Oct 05, 2022",584,"18,675",1,506
"Oct 06, 2022",584,"18,679",1,506
"Oct 07, 2022",584,"18,705",1,506
"Oct 08, 2022",584,"18,710",1,506
"Oct 09, 2022",584,"18,725",1,506
"Oct 10, 2022",584,"18,816",1,506
"Oct 11, 2022",583,"18,836",1,506
"Oct 12, 2022",584,"18,843",1,506
"Oct 13, 2022",584,"18,861",1,506
"Oct 14, 2022",584,"18,862",1,506
"Oct 15, 2022",585,"18,888",1,506
"Oct 16, 2022",585,"18,924",1,506
"Oct 17, 2022",585,"18,940",1,506
"Oct 18, 2022",586,"18,945",1,506
"Oct 19, 2022",587,"18,955",1,506
"Oct 20, 2022",587,"18,968",1,506
"Oct 21, 2022",588,"18,986",1,506
"Oct 22, 2022",588,"19,063",1,506
"Oct 23, 2022",588,"19,121",1,506
"Oct 24, 2022",588,"19,135",1,506
"Oct 25, 2022",588,"19,150",1,506
"Oct 26, 2022",588,"19,174",1,506
"Oct 27, 2022",588,"19,183",1,506
"Oct 28, 2022",587,"19,195",1,506
"Oct 29, 2022",588,"19,218",1,506
"Oct 30, 2022",588,"19,225",1,506
"Oct 31, 2022",588,"19,239",1,506
"Nov 01, 2022",588,"19,250",1,506
"Nov 02, 2022",588,"19,253",1,506
"Nov 03, 2022",590,"19,295",1,506
"Nov 04, 2022",591,"19,322",1,506
"Nov 05, 2022",591,"19,337",1,506
"Nov 06, 2022",592,"19,360",1,506
"Nov 07, 2022",592,"19,458",1,506
"Nov 08, 2022",592,"19,468",1,506
"Nov 09, 2022",592,"19,482",1,506
