Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022","1,113","34,316,600",8,"26,449,067"
"Oct 29, 2022","1,520","36,053,856",13,"27,276,508"
"Oct 30, 2022","1,753","36,338,999",13,"27,281,235"
"Oct 31, 2022","2,099","37,427,385",14,"28,134,966"
"Nov 01, 2022","2,315","37,681,370",14,"28,139,614"
"Nov 02, 2022","2,495","37,848,973",14,"28,144,411"
"Nov 03, 2022","2,709","39,567,323",14,"28,149,767"
"Nov 04, 2022","3,058","38,137,210",14,"28,154,576"
"Nov 05, 2022","3,161","32,785,976",15,"28,183,372"
"Nov 06, 2022","3,251","32,841,200",15,"28,189,920"
"Nov 07, 2022","3,352","32,862,921",15,"28,195,858"
"Nov 08, 2022","3,463","35,024,890",15,"28,202,075"
"Nov 09, 2022","3,560","35,014,852",15,"28,208,724"
"Nov 10, 2022","3,626","34,154,398",14,"27,363,782"
"Nov 11, 2022","3,694","34,418,622",15,"27,625,599"
"Nov 12, 2022","3,704","34,280,081",13,"27,400,940"
"Nov 13, 2022","3,707","34,042,303",13,"27,410,240"
"Nov 14, 2022","3,753","33,983,520",13,"27,415,315"
"Nov 15, 2022","3,784","34,028,069",13,"27,420,533"
"Nov 16, 2022","3,803","33,764,077",13,"27,425,287"
"Nov 17, 2022","3,790","33,926,597",13,"27,430,210"
"Nov 18, 2022","3,523","33,920,845",13,"27,429,353"
"Nov 19, 2022","3,543","19,082,151",11,"12,563,612"
"Nov 20, 2022","3,603","15,721,067",10,"11,461,265"
"Nov 21, 2022","3,721","15,731,845",10,"11,462,848"
"Nov 22, 2022","3,801","15,727,900",10,"11,462,546"
"Nov 23, 2022","3,835","15,726,305",10,"11,467,460"
"Nov 24, 2022","3,876","15,724,446",10,"11,474,080"
"Nov 25, 2022","3,928","15,735,976",10,"11,478,837"
"Nov 26, 2022","3,955","15,740,294",10,"11,481,822"
"Nov 27, 2022","3,988","15,686,366",10,"11,484,746"
"Nov 28, 2022","4,039","15,691,194",10,"11,487,588"
"Nov 29, 2022","4,065","15,745,324",10,"11,490,554"
"Nov 30, 2022","4,090","15,750,117",10,"11,493,898"
"Dec 01, 2022","4,104","15,747,080",10,"11,495,208"
"Dec 02, 2022","4,130","15,731,423",9,"11,476,562"
"Dec 03, 2022","4,063","15,506,794",8,"11,321,166"
"Dec 04, 2022","4,080","15,123,519",8,"11,323,985"
"Dec 05, 2022","4,051","15,098,858",5,"1,976,217"
"Dec 06, 2022","4,067","15,133,588",8,"11,327,735"
"Dec 07, 2022","4,030","15,138,141",8,"11,332,083"
"Dec 08, 2022","4,016","15,140,781",8,"11,335,411"
"Dec 09, 2022","3,992","15,113,008",8,"11,335,411"
"Dec 10, 2022","4,026","15,100,787",8,"11,341,182"
"Dec 11, 2022","4,088","15,128,760",8,"11,343,868"
"Dec 12, 2022","4,145","15,133,688",8,"11,345,532"
"Dec 13, 2022","4,174","15,132,616",8,"11,348,676"
"Dec 14, 2022","4,215","15,129,130",8,"11,350,355"
"Dec 15, 2022","4,224","15,123,530",8,"11,353,140"
"Dec 16, 2022","4,255","15,100,514",8,"11,356,968"
"Dec 17, 2022","4,254","12,404,554",6,"8,783,916"
"Dec 18, 2022","4,287","12,471,287",6,"8,786,231"
"Dec 19, 2022","4,316","12,512,821",6,"8,788,459"
"Dec 20, 2022","4,320","12,527,764",6,"8,790,846"
"Dec 21, 2022","4,337","12,542,231",6,"8,793,037"
"Dec 22, 2022","4,345","12,578,844",6,"8,795,023"
"Dec 23, 2022","4,329","12,566,926",6,"8,796,947"
"Dec 24, 2022","4,254","12,562,319",6,"8,798,962"
"Dec 25, 2022","4,163","12,549,449",6,"8,800,894"
"Dec 26, 2022","4,132","12,566,596",6,"8,803,756"
"Dec 27, 2022","4,078","12,577,548",6,"8,806,024"
"Dec 28, 2022","4,043","12,589,780",6,"8,809,154"
"Dec 29, 2022","3,986","12,500,890",5,"8,728,567"
"Dec 30, 2022","3,946","12,513,584",5,"8,731,686"
"Dec 31, 2022","3,915","11,716,624",4,"7,918,708"
"Jan 01, 2023","3,850","11,705,501",4,"7,925,341"
"Jan 02, 2023","3,835","11,743,670",4,"7,927,517"
"Jan 03, 2023","3,771","11,699,917",4,"7,929,539"
"Jan 04, 2023","3,720","11,643,406",4,"7,931,532"
"Jan 05, 2023","3,643","11,634,617",4,"7,933,580"
"Jan 06, 2023","3,584","11,601,205",4,"7,935,961"
"Jan 07, 2023","3,580","11,603,206",4,"7,938,029"
"Jan 08, 2023","3,582","11,604,860",4,"7,940,336"
"Jan 09, 2023","3,582","11,641,193",4,"7,942,425"
"Jan 10, 2023","3,641","11,793,949",4,"7,944,971"
"Jan 11, 2023","3,707","11,823,588",4,"7,947,390"
"Jan 12, 2023","3,732","11,798,204",4,"7,950,065"
"Jan 13, 2023","3,760","11,797,725",4,"7,952,594"
"Jan 14, 2023","3,775","11,622,761",3,"7,883,422"
"Jan 15, 2023","3,800","11,513,499",3,"7,886,078"
"Jan 16, 2023","5,912","11,554,987",3,"7,887,530"
"Jan 17, 2023","5,927","11,559,305",3,"7,889,764"
"Jan 18, 2023","5,931","11,563,135",3,"7,891,860"
"Jan 19, 2023","5,939","11,560,599",3,"7,893,983"
"Jan 20, 2023","5,949","11,555,347",3,"7,896,119"
"Jan 21, 2023","5,958","11,584,076",3,"7,898,208"
"Jan 22, 2023","5,973","11,587,349",3,"7,900,502"
"Jan 23, 2023","5,989","11,623,656",3,"7,902,619"
"Jan 24, 2023","5,998","11,632,196",3,"7,904,416"
"Jan 25, 2023","6,004","11,633,513",3,"7,906,680"
"Jan 26, 2023","6,011","11,637,884",3,"7,908,406"
"Jan 27, 2023","6,017","11,631,325",3,"7,910,288"
"Jan 28, 2023","6,024","11,635,245",3,"7,912,635"
"Jan 29, 2023","6,029","11,602,335",3,"7,915,017"
"Jan 30, 2023","6,033","11,561,566",3,"7,916,584"
"Jan 31, 2023","6,032","11,564,600",3,"7,918,349"
"Feb 01, 2023","6,036","11,532,153",3,"7,919,815"
"Feb 02, 2023","6,041","11,541,863",3,"7,921,350"
"Feb 03, 2023","6,047","11,545,660",3,"7,922,895"
"Feb 04, 2023","6,046","11,547,281",3,"7,924,654"
"Feb 05, 2023","6,045","11,548,223",3,"7,925,903"
"Feb 06, 2023","6,050","11,550,924",3,"7,927,032"
"Feb 07, 2023","6,058","11,554,026",3,"7,928,229"
"Feb 08, 2023","6,062","11,556,845",3,"7,929,734"
"Feb 09, 2023","6,069","9,648,504",3,"7,931,134"
"Feb 10, 2023","6,071","9,651,631",3,"7,932,678"
"Feb 11, 2023","6,073","9,766,468",3,"7,934,059"
"Feb 12, 2023","6,073","8,642,997",2,"6,775,994"
"Feb 13, 2023","6,078","8,651,238",2,"6,776,941"
"Feb 14, 2023","6,078","8,654,507",2,"6,777,892"
"Feb 15, 2023","6,071","8,651,695",2,"6,778,717"
"Feb 16, 2023","6,075","8,653,611",2,"6,779,594"
"Feb 17, 2023","6,076","8,655,516",2,"6,780,520"
"Feb 18, 2023","6,074","8,702,229",2,"6,781,739"
"Feb 19, 2023","6,068","2,175,985",1,"272,527"
"Feb 20, 2023","6,069","2,169,833",1,"272,512"
"Feb 21, 2023","6,068","2,170,494",1,"272,480"
"Feb 22, 2023","6,059","2,171,165",1,"272,467"
"Feb 23, 2023","6,057","2,150,941",1,"272,431"
"Feb 24, 2023","6,053","2,151,792",1,"272,409"
"Feb 25, 2023","6,047","2,094,379",1,"272,401"
"Feb 26, 2023","6,047","2,090,633",1,"272,380"
"Feb 27, 2023","6,048","1,953,672",1,"272,347"
"Mar 01, 2023","6,030","1,955,772",1,"272,301"
"Mar 02, 2023","6,044","1,954,403",1,"272,293"
"Mar 03, 2023","6,065","1,953,556",1,"272,284"
"Mar 04, 2023","6,074","1,937,399",1,"272,274"
"Mar 05, 2023","6,093","1,686,937",1,"272,234"
"Mar 06, 2023","6,101","1,656,376",1,"272,202"
"Mar 07, 2023","6,113","1,657,276",1,"272,171"
"Mar 08, 2023","6,116","1,655,077",1,"272,156"
"Mar 09, 2023","6,133","1,655,865",1,"272,124"
"Mar 10, 2023","6,149","1,652,730",1,"272,087"
"Mar 11, 2023","6,163","1,655,327",1,"272,078"
"Mar 12, 2023","6,175","1,663,615",1,"272,049"
"Mar 13, 2023","6,181","1,656,049",1,"272,001"
"Mar 14, 2023","6,192","1,657,038",1,"271,975"
"Mar 15, 2023","6,198","1,657,986",1,"271,942"
"Mar 16, 2023","6,214","1,658,714",1,"271,904"
"Mar 17, 2023","6,220","1,658,244",1,"271,883"
"Mar 18, 2023","6,229","1,658,589",1,"271,870"
"Mar 19, 2023","6,236","1,538,574",1,"271,840"
"Mar 20, 2023","6,242","1,539,524",1,"271,799"
"Mar 21, 2023","6,256","1,539,979",1,"271,780"
"Mar 22, 2023","6,271","1,538,266",1,"271,759"
"Mar 23, 2023","6,288","1,538,915",1,"271,724"
"Mar 24, 2023","6,306","1,537,621",1,"271,698"
"Mar 25, 2023","6,330","1,542,965",1,"271,678"
"Mar 26, 2023","6,343","1,543,442",1,"271,647"
"Mar 27, 2023","6,357","1,547,478",1,"271,589"
"Mar 28, 2023","6,371","1,581,686",1,"271,559"
"Mar 29, 2023","6,385","1,581,756",1,"271,532"
"Mar 30, 2023","6,394","1,581,108",1,"271,500"
"Mar 31, 2023","6,414","1,570,613",1,"271,462"
"Apr 01, 2023","6,434","1,570,991",1,"271,440"
"Apr 02, 2023","6,445","1,572,176",1,"271,413"
"Apr 03, 2023","6,460","1,573,657",1,"271,376"
"Apr 04, 2023","6,468","1,569,436",1,"271,334"
"Apr 05, 2023","6,486","1,575,706",1,"271,308"
"Apr 06, 2023","6,501","1,577,609",1,"271,276"
"Apr 07, 2023","6,515","1,576,321",1,"271,252"
"Apr 08, 2023","6,527","1,584,038",1,"271,225"
"Apr 09, 2023","6,542","1,587,356",1,"271,209"
"Apr 10, 2023","6,553","1,585,044",1,"271,168"
"Apr 11, 2023","6,573","1,586,029",1,"271,140"
"Apr 12, 2023","6,592","1,586,353",1,"271,112"
"Apr 13, 2023","6,595","1,580,705",1,"271,078"
"Apr 14, 2023","6,607","1,586,048",1,"271,061"
"Apr 15, 2023","6,618","1,579,890",1,"271,048"
"Apr 16, 2023","6,635","1,581,105",1,"271,025"
"Apr 17, 2023","6,655","1,570,421",1,"271,002"
"Apr 18, 2023","6,663","1,570,642",1,"270,999"
"Apr 19, 2023","6,674","1,570,546",1,"270,999"
"Apr 20, 2023","6,696","1,565,866",1,"270,960"
"Apr 21, 2023","6,719","1,575,522",1,"270,929"
"Apr 22, 2023","6,734","1,305,547",,
"Apr 23, 2023","6,750","1,317,157",,
"Apr 24, 2023","6,763","1,310,023",,
"Apr 25, 2023","6,780","1,347,010",,
"Apr 26, 2023","6,806","1,349,082",,
"Apr 27, 2023","6,818","1,347,429",,
"Apr 28, 2023","6,837","1,322,625",,
"Apr 29, 2023","6,854","1,318,630",,
"Apr 30, 2023","6,884","1,324,680",,
"May 01, 2023","6,900","1,326,486",,
"May 02, 2023","6,913","1,326,568",,
"May 03, 2023","6,927","1,327,639",,
"May 04, 2023","6,944","1,325,720",,
"May 05, 2023","6,965","1,328,934",,
"May 06, 2023","6,996","1,330,892",,
"May 07, 2023","7,015","1,333,754",,
"May 08, 2023","7,039","1,326,686",,
"May 09, 2023","7,058","1,337,022",,
"May 10, 2023","7,072","1,356,521",,
"May 11, 2023","7,089","1,355,822",,
"May 12, 2023","7,112","1,355,515",,
"May 13, 2023","7,128","1,329,300",,
"May 14, 2023","7,148","1,330,374",,
"May 15, 2023","7,167","1,331,326",,
"May 16, 2023","7,188","1,327,276",,
"May 17, 2023","7,200","1,331,332",,
Invalid date,,,,
