Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022",5,"3,047",,
"Oct 29, 2022",556,"28,051",,
"Oct 30, 2022",623,"29,304",,
"Oct 31, 2022",711,"46,355",,
"Nov 01, 2022",751,"46,668",,
"Nov 02, 2022",786,"47,951",,
"Nov 03, 2022",821,"50,861",,
"Nov 04, 2022",874,"58,185",,
"Nov 05, 2022",898,"57,072",,
"Nov 06, 2022",920,"63,882",,
"Nov 07, 2022",937,"64,064",,
"Nov 08, 2022",968,"64,362",,
"Nov 09, 2022",980,"64,496",,
"Nov 10, 2022",994,"65,340",,
"Nov 11, 2022","1,001","65,487",,
"Nov 12, 2022","1,003","65,548",,
"Nov 13, 2022","1,012","65,679",,
"Nov 14, 2022","1,013","65,696",,
"Nov 15, 2022","1,018","65,910",,
"Nov 16, 2022","1,025","65,858",,
"Nov 17, 2022","1,024","65,934",,
"Nov 18, 2022",962,"65,351",,
"Nov 19, 2022",970,"65,356",,
"Nov 20, 2022",983,"58,763",,
"Nov 21, 2022","1,009","64,541",,
"Nov 22, 2022","1,024","66,049",,
"Nov 23, 2022","1,029","66,091",,
"Nov 24, 2022","1,036","64,453",,
"Nov 25, 2022","1,050","68,377",,
"Nov 26, 2022","1,052","68,486",,
"Nov 27, 2022","1,059","61,452",,
"Nov 28, 2022","1,079","68,441",,
"Nov 29, 2022","1,090","68,962",,
"Nov 30, 2022","1,102","69,356",,
"Dec 01, 2022","1,101","68,089",,
"Dec 02, 2022","1,113","68,738",,
"Dec 03, 2022","1,096","68,227",,
"Dec 04, 2022","1,097","62,605",,
"Dec 05, 2022","1,080","51,946",,
"Dec 06, 2022","1,086","66,658",,
"Dec 07, 2022","1,077","66,913",,
"Dec 08, 2022","1,073","67,743",,
"Dec 09, 2022","1,069","60,980",,
"Dec 10, 2022","1,077","68,056",,
"Dec 11, 2022","1,081","64,403",,
"Dec 12, 2022","1,097","68,751",,
"Dec 13, 2022","1,106","68,940",,
"Dec 14, 2022","1,109","64,103",,
"Dec 15, 2022","1,112","63,782",,
"Dec 16, 2022","1,118","67,569",,
"Dec 17, 2022","1,114","58,817",,
"Dec 18, 2022","1,121","64,052",,
"Dec 19, 2022","1,127","62,823",,
"Dec 20, 2022","1,130","53,903",,
"Dec 21, 2022","1,137","68,760",,
"Dec 22, 2022","1,140","76,178",,
"Dec 23, 2022","1,135","69,293",,
"Dec 24, 2022","1,114","63,137",,
"Dec 25, 2022","1,086","62,984",,
"Dec 26, 2022","1,068","62,924",,
"Dec 27, 2022","1,052","68,636",,
"Dec 28, 2022","1,040","240,443",,
"Dec 29, 2022","1,026","231,278",,
"Dec 30, 2022","1,026","245,582",,
"Dec 31, 2022","1,012","239,743",,
"Jan 01, 2023",995,"238,162",,
"Jan 02, 2023",994,"245,352",,
"Jan 03, 2023",974,"229,217",,
"Jan 04, 2023",958,"216,619",,
"Jan 05, 2023",937,"208,863",,
"Jan 06, 2023",916,"200,134",,
"Jan 07, 2023",913,"200,125",,
"Jan 08, 2023",915,"200,666",,
"Jan 09, 2023",915,"200,669",,
"Jan 10, 2023",929,"249,450",,
"Jan 11, 2023",955,"257,061",,
