"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",1888220,0
"2023-05-14 00:00:00",1888220,6866
"2023-05-13 00:00:00",1881354,3309
"2023-05-12 00:00:00",1878045,3308
"2023-05-11 00:00:00",1874737,0
"2023-05-10 00:00:00",1874737,3335
"2023-05-09 00:00:00",1871402,4927
"2023-05-08 00:00:00",1866476,4927
"2023-05-07 00:00:00",1861549,3802
"2023-05-06 00:00:00",1857747,3590
"2023-05-05 00:00:00",1854157,0
"2023-05-04 00:00:00",1854157,7269
"2023-05-03 00:00:00",1846888,0
"2023-05-02 00:00:00",1846888,6856
"2023-05-01 00:00:00",1840032,3700
"2023-04-30 00:00:00",1836333,3700
"2023-04-29 00:00:00",1832633,3947
"2023-04-28 00:00:00",1828686,4214
"2023-04-27 00:00:00",1824472,4481
"2023-04-26 00:00:00",1819991,4469
"2023-04-25 00:00:00",1815522,3607
"2023-04-24 00:00:00",1811915,4143
"2023-04-23 00:00:00",1807772,4867
"2023-04-22 00:00:00",1802905,4378
"2023-04-21 00:00:00",1798527,4368
"2023-04-20 00:00:00",1794159,4586
"2023-04-19 00:00:00",1789573,4130
"2023-04-18 00:00:00",1785443,4130
"2023-04-17 00:00:00",1781313,4089
"2023-04-16 00:00:00",1777224,0
"2023-04-15 00:00:00",1777224,8384
"2023-04-14 00:00:00",1768840,4049
"2023-04-13 00:00:00",1764791,3851
"2023-04-12 00:00:00",1760940,3358
"2023-04-11 00:00:00",1757582,3045
"2023-04-10 00:00:00",1754537,3531
"2023-04-09 00:00:00",1751006,0
"2023-04-08 00:00:00",1751006,7427
"2023-04-07 00:00:00",1743579,3849
"2023-04-06 00:00:00",1739730,3946
"2023-04-05 00:00:00",1735784,0
"2023-04-04 00:00:00",1735784,7556
"2023-04-03 00:00:00",1728228,3883
"2023-04-02 00:00:00",1724345,4396
"2023-04-01 00:00:00",1719949,5290
"2023-03-31 00:00:00",1714659,0
"2023-03-30 00:00:00",1714659,9644
"2023-03-29 00:00:00",1705015,4200
"2023-03-28 00:00:00",1700815,3719
"2023-03-27 00:00:00",1697096,0
"2023-03-26 00:00:00",1697096,9086
"2023-03-25 00:00:00",1688010,4938
"2023-03-24 00:00:00",1683072,4590
"2023-03-23 00:00:00",1678482,4485
"2023-03-22 00:00:00",1673997,4291
"2023-03-21 00:00:00",1669706,3983
"2023-03-20 00:00:00",1665723,4123
"2023-03-19 00:00:00",1661600,0
"2023-03-18 00:00:00",1661600,9098
"2023-03-17 00:00:00",1652502,4361
"2023-03-16 00:00:00",1648141,4207
"2023-03-15 00:00:00",1643934,4193
"2023-03-14 00:00:00",1639741,3935
"2023-03-13 00:00:00",1635806,0
"2023-03-12 00:00:00",1635806,8953
"2023-03-11 00:00:00",1626853,0
"2023-03-10 00:00:00",1626853,9490
"2023-03-09 00:00:00",1617363,4946
"2023-03-08 00:00:00",1612417,4718
"2023-03-07 00:00:00",1607699,4427
"2023-03-06 00:00:00",1603272,5420
"2023-03-05 00:00:00",1597852,5560
"2023-03-04 00:00:00",1592292,5483
"2023-03-03 00:00:00",1586809,4824
"2023-03-02 00:00:00",1581985,5096
"2023-03-01 00:00:00",1576889,4664
"2023-02-28 00:00:00",1572225,4456
"2023-02-27 00:00:00",1567769,4761
"2023-02-26 00:00:00",1563008,5211
"2023-02-25 00:00:00",1557797,5646
"2023-02-24 00:00:00",1552151,5642
