"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",2926814,0
"2023-05-14 00:00:00",2926814,9609
"2023-05-13 00:00:00",2917205,4931
"2023-05-12 00:00:00",2912274,5197
"2023-05-11 00:00:00",2907077,0
"2023-05-10 00:00:00",2907077,4987
"2023-05-09 00:00:00",2902090,7072
"2023-05-08 00:00:00",2895019,7072
"2023-05-07 00:00:00",2887947,5337
"2023-05-06 00:00:00",2882610,5425
"2023-05-05 00:00:00",2877185,0
"2023-05-04 00:00:00",2877185,10690
"2023-05-03 00:00:00",2866495,5556
"2023-05-02 00:00:00",2860939,4856
"2023-05-01 00:00:00",2856083,5437
"2023-04-30 00:00:00",2850646,5437
"2023-04-29 00:00:00",2845209,5660
"2023-04-28 00:00:00",2839549,5865
"2023-04-27 00:00:00",2833684,5672
"2023-04-26 00:00:00",2828012,5751
"2023-04-25 00:00:00",2822261,5124
"2023-04-24 00:00:00",2817137,5708
"2023-04-23 00:00:00",2811429,6219
"2023-04-22 00:00:00",2805210,6098
"2023-04-21 00:00:00",2799112,6256
"2023-04-20 00:00:00",2792856,6140
"2023-04-19 00:00:00",2786716,5637
"2023-04-18 00:00:00",2781080,5637
"2023-04-17 00:00:00",2775443,6026
"2023-04-16 00:00:00",2769417,0
"2023-04-15 00:00:00",2769417,12484
"2023-04-14 00:00:00",2756933,5947
"2023-04-13 00:00:00",2750986,5958
"2023-04-12 00:00:00",2745028,5521
"2023-04-11 00:00:00",2739507,5017
"2023-04-10 00:00:00",2734490,5737
"2023-04-09 00:00:00",2728753,0
"2023-04-08 00:00:00",2728753,11921
"2023-04-07 00:00:00",2716832,6272
"2023-04-06 00:00:00",2710560,6547
"2023-04-05 00:00:00",2704013,0
"2023-04-04 00:00:00",2704013,12466
"2023-04-03 00:00:00",2691547,6600
"2023-04-02 00:00:00",2684947,7141
"2023-04-01 00:00:00",2677806,0
"2023-03-31 00:00:00",2677806,7527
"2023-03-30 00:00:00",2670279,14020
"2023-03-29 00:00:00",2656259,6701
"2023-03-28 00:00:00",2649558,6001
"2023-03-27 00:00:00",2643557,6770
"2023-03-26 00:00:00",2636787,7606
"2023-03-25 00:00:00",2629181,7272
"2023-03-24 00:00:00",2621909,7226
"2023-03-23 00:00:00",2614683,7750
"2023-03-22 00:00:00",2606933,8130
"2023-03-21 00:00:00",2598803,7436
"2023-03-20 00:00:00",2591367,8334
"2023-03-19 00:00:00",2583033,0
"2023-03-18 00:00:00",2583033,17728
"2023-03-17 00:00:00",2565305,8934
"2023-03-16 00:00:00",2556371,8583
"2023-03-15 00:00:00",2547788,8244
"2023-03-14 00:00:00",2539544,7674
"2023-03-13 00:00:00",2531870,0
"2023-03-12 00:00:00",2531870,18326
"2023-03-11 00:00:00",2513544,0
"2023-03-10 00:00:00",2513544,20277
"2023-03-09 00:00:00",2493267,10128
"2023-03-08 00:00:00",2483139,9569
"2023-03-07 00:00:00",2473570,8355
"2023-03-06 00:00:00",2465215,9710
"2023-03-05 00:00:00",2455505,10529
"2023-03-04 00:00:00",2444976,10525
"2023-03-03 00:00:00",2434451,10358
"2023-03-02 00:00:00",2424093,10249
"2023-03-01 00:00:00",2413844,9967
"2023-02-28 00:00:00",2403877,8465
"2023-02-27 00:00:00",2395412,9554
"2023-02-26 00:00:00",2385858,10473
"2023-02-25 00:00:00",2375385,10715
"2023-02-24 00:00:00",2364670,10867
"2023-02-23 00:00:00",2353803,10750
"2023-02-22 00:00:00",2343053,0
"2023-02-21 00:00:00",2343053,19011
"2023-02-20 00:00:00",2324042,10340
"2023-02-19 00:00:00",2313702,11427
"2023-02-18 00:00:00",2302275,11292
"2023-02-17 00:00:00",2290983,11132
"2023-02-16 00:00:00",2279851,0
"2023-02-15 00:00:00",2279851,22425
"2023-02-14 00:00:00",2257426,10035
"2023-02-13 00:00:00",2247391,10985
"2023-02-12 00:00:00",2236406,12158
"2023-02-11 00:00:00",2224248,12609
"2023-02-10 00:00:00",2211639,12470
"2023-02-09 00:00:00",2199169,12267
"2023-02-08 00:00:00",2186902,11407
"2023-02-07 00:00:00",2175495,0
"2023-02-06 00:00:00",2175495,10382
"2023-02-05 00:00:00",2165113,11804
"2023-02-04 00:00:00",2153309,24974
"2023-02-03 00:00:00",2128335,12212
"2023-02-02 00:00:00",2116123,12698
"2023-02-01 00:00:00",2103425,12194
"2023-01-31 00:00:00",2091231,10729
"2023-01-30 00:00:00",2080502,12710
"2023-01-29 00:00:00",2067792,13684
"2023-01-28 00:00:00",2054108,13911
"2023-01-27 00:00:00",2040197,13806
"2023-01-26 00:00:00",2026391,13798
"2023-01-25 00:00:00",2012593,13002
"2023-01-24 00:00:00",1999591,11504
"2023-01-23 00:00:00",1988087,13088
"2023-01-22 00:00:00",1974999,14358
"2023-01-21 00:00:00",1960641,14502
"2023-01-20 00:00:00",1946139,14611
"2023-01-19 00:00:00",1931528,14975
"2023-01-18 00:00:00",1916553,13363
"2023-01-17 00:00:00",1903190,12253
"2023-01-16 00:00:00",1890937,12569
"2023-01-15 00:00:00",1878368,14923
"2023-01-14 00:00:00",1863445,14533
"2023-01-13 00:00:00",1848912,0
"2023-01-12 00:00:00",1848912,29684
"2023-01-11 00:00:00",1819228,14301
"2023-01-10 00:00:00",1804927,12527
"2023-01-09 00:00:00",1792400,14379
"2023-01-08 00:00:00",1778021,15202
"2023-01-07 00:00:00",1762819,15644
"2023-01-06 00:00:00",1747175,15383
"2023-01-05 00:00:00",1731792,0
"2023-01-04 00:00:00",1731792,27648
"2023-01-03 00:00:00",1704144,13293
"2023-01-02 00:00:00",1690851,15316
"2023-01-01 00:00:00",1675535,16384
"2022-12-31 00:00:00",1659151,16130
"2022-12-30 00:00:00",1643021,15612
"2022-12-29 00:00:00",1627409,0
"2022-12-28 00:00:00",1627409,28869
"2022-12-27 00:00:00",1598540,0
"2022-12-26 00:00:00",1598540,25375
"2022-12-25 00:00:00",1573165,15182
"2022-12-24 00:00:00",1557983,16646
