Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022",1,"2,980",,
"Oct 29, 2022",449,"29,820",,
"Oct 30, 2022",516,"37,555",,
"Oct 31, 2022",590,"39,769",,
"Nov 01, 2022",626,"76,991",,
"Nov 02, 2022",654,"78,245",,
"Nov 03, 2022",681,"41,571",,
"Nov 04, 2022",723,"42,265",,
"Nov 05, 2022",738,"41,149",,
"Nov 06, 2022",749,"41,612",,
"Nov 07, 2022",770,"42,071",,
"Nov 08, 2022",790,"42,205",,
"Nov 09, 2022",795,"41,975",,
"Nov 10, 2022",809,"42,533",,
"Nov 11, 2022",824,"42,667",,
"Nov 12, 2022",829,"42,745",,
"Nov 13, 2022",832,"42,811",,
"Nov 14, 2022",834,"42,851",,
"Nov 15, 2022",835,"42,934",,
"Nov 16, 2022",838,"42,995",,
"Nov 17, 2022",837,"43,013",,
"Nov 18, 2022",801,"42,658",,
"Nov 19, 2022",806,"42,786",,
"Nov 20, 2022",812,"36,137",,
"Nov 21, 2022",827,"43,047",,
"Nov 22, 2022",838,"43,117",,
"Nov 23, 2022",840,"43,134",,
"Nov 24, 2022",846,"40,196",,
"Nov 25, 2022",855,"43,995",,
"Nov 26, 2022",858,"44,040",,
"Nov 27, 2022",862,"36,991",,
"Nov 28, 2022",872,"43,927",,
"Nov 29, 2022",882,"44,462",,
"Nov 30, 2022",887,"44,547",,
"Dec 01, 2022",889,"44,440",,
"Dec 02, 2022",894,"44,476",,
"Dec 03, 2022",878,"43,876",,
"Dec 04, 2022",877,"38,176",,
"Dec 05, 2022",862,"43,064",,
"Dec 06, 2022",859,"43,117",,
"Dec 07, 2022",851,"42,377",,
"Dec 08, 2022",847,"43,038",,
"Dec 09, 2022",842,"36,274",,
"Dec 10, 2022",845,"35,976",,
"Dec 11, 2022",849,"33,757",,
"Dec 12, 2022",862,"39,661",,
"Dec 13, 2022",877,"40,068",,
"Dec 14, 2022",882,"33,315",,
"Dec 15, 2022",883,"33,333",,
"Dec 16, 2022",889,"34,025",,
"Dec 17, 2022",888,"26,832",,
"Dec 18, 2022",899,"33,655",,
"Dec 19, 2022",908,"33,825",,
"Dec 20, 2022",908,"33,382",,
"Dec 21, 2022",910,"41,016",,
"Dec 22, 2022",909,"47,678",,
"Dec 23, 2022",907,"42,489",,
"Dec 24, 2022",888,"35,263",,
"Dec 25, 2022",857,"24,216",,
"Dec 26, 2022",846,"26,915",,
"Dec 27, 2022",839,"33,194",,
"Dec 28, 2022",830,"33,793",,
"Dec 29, 2022",812,"27,410",,
"Dec 30, 2022",803,"40,838",,
"Dec 31, 2022",794,"40,943",,
"Jan 01, 2023",780,"35,205",,
"Jan 02, 2023",777,"41,846",,
"Jan 03, 2023",761,"40,348",,
"Jan 04, 2023",752,"33,181",,
"Jan 05, 2023",734,"32,340",,
"Jan 06, 2023",724,"25,361",,
"Jan 07, 2023",720,"25,349",,
"Jan 08, 2023",721,"25,370",,
"Jan 09, 2023",719,"25,363",,
"Jan 10, 2023",725,"46,401",,
"Jan 11, 2023",738,"49,747",,
"Jan 12, 2023",746,"50,779",,
"Jan 13, 2023",752,"49,341",,
"Jan 14, 2023",754,"49,584",,
"Jan 15, 2023",762,"49,850",,
"Jan 16, 2023","1,243","56,698",,
"Jan 17, 2023","1,243","56,764",,
"Jan 18, 2023","1,244","56,834",,
"Jan 19, 2023","1,243","56,908",,
"Jan 20, 2023","1,244","57,015",,
"Jan 21, 2023","1,246","57,206",,
"Jan 22, 2023","1,248","57,315",,
"Jan 23, 2023","1,249","57,390",,
"Jan 24, 2023","1,252","57,485",,
"Jan 25, 2023","1,254","57,572",,
"Jan 26, 2023","1,254","57,633",,
"Jan 27, 2023","1,257","57,906",,
"Jan 28, 2023","1,257","58,022",,
"Jan 29, 2023","1,259","58,182",,
"Jan 30, 2023","1,259","58,221",,
"Jan 31, 2023","1,259","58,286",,
"Feb 01, 2023","1,262","58,468",,
"Feb 02, 2023","1,264","58,536",,
"Feb 03, 2023","1,264","58,593",,
"Feb 04, 2023","1,264","58,644",,
"Feb 05, 2023","1,263","58,670",,
"Feb 06, 2023","1,262","58,763",,
"Feb 07, 2023","1,263","58,863",,
"Feb 08, 2023","1,261","59,767",,
"Feb 09, 2023","1,262","60,108",,
"Feb 10, 2023","1,263","60,448",,
"Feb 11, 2023","1,262","60,518",,
"Feb 12, 2023","1,261","60,583",,
"Feb 13, 2023","1,262","60,656",,
"Feb 14, 2023","1,262","60,709",,
"Feb 15, 2023","1,262","60,926",,
"Feb 16, 2023","1,263","61,004",,
"Feb 17, 2023","1,263","61,068",,
"Feb 18, 2023","1,261","61,136",,
"Feb 19, 2023","1,258","61,173",,
"Feb 20, 2023","1,258","61,218",,
"Feb 21, 2023","1,257","61,280",,
"Feb 22, 2023","1,256","61,356",,
"Feb 23, 2023","1,255","61,381",,
"Feb 24, 2023","1,255","61,468",,
"Feb 25, 2023","1,255","61,573",,
"Feb 26, 2023","1,254","61,766",,
"Feb 27, 2023","1,255","61,879",,
"Mar 01, 2023","1,251","60,900",,
"Mar 02, 2023","1,254","61,363",,
"Mar 03, 2023","1,261","61,477",,
"Mar 04, 2023","1,261","49,270",,
"Mar 05, 2023","1,263","61,617",,
"Mar 06, 2023","1,264","61,688",,
"Mar 07, 2023","1,266","61,759",,
"Mar 08, 2023","1,268","56,338",,
"Mar 09, 2023","1,270","56,445",,
"Mar 10, 2023","1,272","56,492",,
"Mar 11, 2023","1,273","56,613",,
"Mar 12, 2023","1,273","51,610",,
"Mar 13, 2023","1,277","51,669",,
"Mar 14, 2023","1,277","51,727",,
"Mar 15, 2023","1,282","51,787",,
"Mar 16, 2023","1,284","51,842",,
"Mar 17, 2023","1,286","51,952",,
"Mar 18, 2023","1,290","52,069",,
"Mar 19, 2023","1,293","52,192",,
"Mar 20, 2023","1,292","52,254",,
"Mar 21, 2023","1,295","52,305",,
"Mar 22, 2023","1,298","52,389",,
"Mar 23, 2023","1,300","52,471",,
"Mar 24, 2023","1,300","52,543",,
"Mar 25, 2023","1,302","52,758",,
"Mar 26, 2023","1,303","52,815",,
"Mar 27, 2023","1,304","52,907",,
"Mar 28, 2023","1,305","52,968",,
"Mar 29, 2023","1,310","53,126",,
"Mar 30, 2023","1,316","53,347",,
"Mar 31, 2023","1,319","53,420",,
"Apr 01, 2023","1,321","53,511",,
"Apr 02, 2023","1,321","53,593",,
"Apr 03, 2023","1,322","53,648",,
"Apr 04, 2023","1,325","53,738",,
"Apr 05, 2023","1,333","52,976",,
"Apr 06, 2023","1,335","53,059",,
"Apr 07, 2023","1,340","54,006",,
"Apr 08, 2023","1,341","54,042",,
"Apr 09, 2023","1,343","54,139",,
"Apr 10, 2023","1,349","54,235",,
"Apr 11, 2023","1,351","55,641",,
"Apr 12, 2023","1,355","55,714",,
"Apr 13, 2023","1,357","55,779",,
"Apr 14, 2023","1,360","55,854",,
"Apr 15, 2023","1,363","56,115",,
"Apr 16, 2023","1,366","56,362",,
"Apr 17, 2023","1,370","56,507",,
"Apr 18, 2023","1,372","56,580",,
"Apr 19, 2023","1,376","56,694",,
"Apr 20, 2023","1,378","56,726",,
"Apr 21, 2023","1,381","56,920",,
"Apr 22, 2023","1,381","56,960",,
"Apr 23, 2023","1,382","57,026",,
"Apr 24, 2023","1,385","57,114",,
"Apr 25, 2023","1,389","57,193",,
"Apr 26, 2023","1,393","57,237",,
"Apr 27, 2023","1,398","57,401",,
"Apr 28, 2023","1,401","57,494",,
"Apr 29, 2023","1,405","57,640",,
"Apr 30, 2023","1,406","57,665",,
"May 01, 2023","1,408","57,743",,
"May 02, 2023","1,414","57,808",,
"May 03, 2023","1,416","57,895",,
"May 04, 2023","1,417","57,937",,
"May 05, 2023","1,421","58,029",,
"May 06, 2023","1,423","58,073",,
"May 07, 2023","1,425","58,173",,
"May 08, 2023","1,429","58,225",,
"May 09, 2023","1,435","58,367",,
"May 10, 2023","1,438","58,464",,
"May 11, 2023","1,438","58,593",,
"May 12, 2023","1,442","58,682",,
"May 13, 2023","1,448","58,792",,
"May 14, 2023","1,453","58,910",,
"May 15, 2023","1,458","58,998",,
"May 16, 2023","1,460","59,041",,
"May 17, 2023","1,463","59,104",,
Invalid date,,,,
