Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022",4,"5,802",,
"Oct 29, 2022",780,"60,546",,
"Oct 30, 2022",881,"79,394",,
"Oct 31, 2022","1,023","121,947",,
"Nov 01, 2022","1,111","292,060",,
"Nov 02, 2022","1,176","300,250",,
"Nov 03, 2022","1,233","259,684",,
"Nov 04, 2022","1,339","289,297",,
"Nov 05, 2022","1,382","285,580",,
"Nov 06, 2022","1,416","290,587",,
"Nov 07, 2022","1,450","290,421",,
"Nov 08, 2022","1,480","291,609",,
"Nov 09, 2022","1,498","289,603",,
"Nov 10, 2022","1,523","289,669",,
"Nov 11, 2022","1,560","293,535",,
"Nov 12, 2022","1,582","294,888",,
"Nov 13, 2022","1,592","299,719",,
"Nov 14, 2022","1,599","300,092",,
"Nov 15, 2022","1,608","300,269",,
"Nov 16, 2022","1,619","300,124",,
"Nov 17, 2022","1,611","299,568",,
"Nov 18, 2022","1,515","297,838",,
"Nov 19, 2022","1,529","298,017",,
"Nov 20, 2022","1,552","291,583",,
"Nov 21, 2022","1,593","299,019",,
"Nov 22, 2022","1,619","298,101",,
"Nov 23, 2022","1,629","310,861",,
"Nov 24, 2022","1,637","309,885",,
"Nov 25, 2022","1,661","314,450",,
"Nov 26, 2022","1,664","314,667",,
"Nov 27, 2022","1,680","307,980",,
"Nov 28, 2022","1,704","315,308",,
"Nov 29, 2022","1,726","316,061",,
"Nov 30, 2022","1,738","316,296",,
"Dec 01, 2022","1,748","316,197",,
"Dec 02, 2022","1,758","316,463",,
"Dec 03, 2022","1,730","311,692",,
"Dec 04, 2022","1,739","311,660",,
"Dec 05, 2022","1,712","302,307",,
"Dec 06, 2022","1,712","316,758",,
"Dec 07, 2022","1,688","315,722",,
"Dec 08, 2022","1,679","312,829",,
"Dec 09, 2022","1,672","306,054",,
"Dec 10, 2022","1,679","306,649",,
"Dec 11, 2022","1,701","323,296",,
"Dec 12, 2022","1,723","324,811",,
"Dec 13, 2022","1,736","306,097",,
"Dec 14, 2022","1,748","314,503",,
"Dec 15, 2022","1,747","309,602",,
"Dec 16, 2022","1,767","299,678",,
"Dec 17, 2022","1,766","306,012",,
"Dec 18, 2022","1,775","306,558",,
"Dec 19, 2022","1,791","310,506",,
"Dec 20, 2022","1,796","296,590",,
"Dec 21, 2022","1,801","303,853",,
"Dec 22, 2022","1,801","312,611",,
"Dec 23, 2022","1,794","303,558",,
"Dec 24, 2022","1,765","298,890",,
"Dec 25, 2022","1,719","293,963",,
