"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",2827133,0
"2023-05-14 00:00:00",2827133,10633
"2023-05-13 00:00:00",2816500,5265
"2023-05-12 00:00:00",2811235,5198
"2023-05-11 00:00:00",2806037,0
"2023-05-10 00:00:00",2806037,4973
"2023-05-09 00:00:00",2801064,7973
"2023-05-08 00:00:00",2793091,7973
"2023-05-07 00:00:00",2785118,5499
"2023-05-06 00:00:00",2779619,5389
"2023-05-05 00:00:00",2774230,0
"2023-05-04 00:00:00",2774230,10493
"2023-05-03 00:00:00",2763737,0
"2023-05-02 00:00:00",2763737,10309
"2023-05-01 00:00:00",2753428,5504
"2023-04-30 00:00:00",2747925,5504
"2023-04-29 00:00:00",2742421,5368
"2023-04-28 00:00:00",2737053,5517
"2023-04-27 00:00:00",2731536,5533
"2023-04-26 00:00:00",2726003,5412
"2023-04-25 00:00:00",2720591,4911
"2023-04-24 00:00:00",2715680,5364
"2023-04-23 00:00:00",2710316,5803
"2023-04-22 00:00:00",2704513,5864
"2023-04-21 00:00:00",2698649,5796
"2023-04-20 00:00:00",2692853,6153
"2023-04-19 00:00:00",2686700,5679
"2023-04-18 00:00:00",2681022,5679
"2023-04-17 00:00:00",2675343,5599
"2023-04-16 00:00:00",2669744,0
"2023-04-15 00:00:00",2669744,11656
"2023-04-14 00:00:00",2658088,5821
"2023-04-13 00:00:00",2652267,5689
"2023-04-12 00:00:00",2646578,5134
"2023-04-11 00:00:00",2641444,5017
"2023-04-10 00:00:00",2636427,5420
"2023-04-09 00:00:00",2631007,0
"2023-04-08 00:00:00",2631007,11929
"2023-04-07 00:00:00",2619078,6209
"2023-04-06 00:00:00",2612869,6279
"2023-04-05 00:00:00",2606590,0
"2023-04-04 00:00:00",2606590,11933
"2023-04-03 00:00:00",2594657,5997
"2023-04-02 00:00:00",2588660,6599
"2023-04-01 00:00:00",2582061,7357
"2023-03-31 00:00:00",2574704,0
"2023-03-30 00:00:00",2574704,13842
"2023-03-29 00:00:00",2560862,7762
"2023-03-28 00:00:00",2553100,6217
"2023-03-27 00:00:00",2546883,0
"2023-03-26 00:00:00",2546883,13731
"2023-03-25 00:00:00",2533152,7121
"2023-03-24 00:00:00",2526031,6689
"2023-03-23 00:00:00",2519342,6537
"2023-03-22 00:00:00",2512805,6266
"2023-03-21 00:00:00",2506539,5969
"2023-03-20 00:00:00",2500570,6965
"2023-03-19 00:00:00",2493605,0
"2023-03-18 00:00:00",2493605,13913
"2023-03-17 00:00:00",2479692,6763
"2023-03-16 00:00:00",2472929,6825
"2023-03-15 00:00:00",2466104,6845
"2023-03-14 00:00:00",2459259,6569
"2023-03-13 00:00:00",2452690,0
"2023-03-12 00:00:00",2452690,14700
"2023-03-11 00:00:00",2437990,0
"2023-03-10 00:00:00",2437990,14820
"2023-03-09 00:00:00",2423170,7268
"2023-03-08 00:00:00",2415902,6893
"2023-03-07 00:00:00",2409009,6518
"2023-03-06 00:00:00",2402491,7009
"2023-03-05 00:00:00",2395482,7773
"2023-03-04 00:00:00",2387709,7773
"2023-03-03 00:00:00",2379936,7706
"2023-03-02 00:00:00",2372230,7575
"2023-03-01 00:00:00",2364655,7338
"2023-02-28 00:00:00",2357317,6647
"2023-02-27 00:00:00",2350670,7273
"2023-02-26 00:00:00",2343397,8342
"2023-02-25 00:00:00",2335055,7803
"2023-02-24 00:00:00",2327252,8143
"2023-02-23 00:00:00",2319109,8018
"2023-02-22 00:00:00",2311091,0
"2023-02-21 00:00:00",2311091,15060
"2023-02-20 00:00:00",2296031,7971
"2023-02-19 00:00:00",2288060,9312
"2023-02-18 00:00:00",2278748,10018
"2023-02-17 00:00:00",2268730,8860
"2023-02-16 00:00:00",2259870,0
"2023-02-15 00:00:00",2259870,17409
"2023-02-14 00:00:00",2242461,7801
"2023-02-13 00:00:00",2234660,8659
"2023-02-12 00:00:00",2226001,9043
"2023-02-11 00:00:00",2216958,8891
"2023-02-10 00:00:00",2208067,9163
"2023-02-09 00:00:00",2198904,9365
"2023-02-08 00:00:00",2189539,9548
"2023-02-07 00:00:00",2179991,0
"2023-02-06 00:00:00",2179991,8670
"2023-02-05 00:00:00",2171321,9445
"2023-02-04 00:00:00",2161876,21543
"2023-02-03 00:00:00",2140333,10865
"2023-02-02 00:00:00",2129468,10874
"2023-02-01 00:00:00",2118594,10555
"2023-01-31 00:00:00",2108039,9449
"2023-01-30 00:00:00",2098590,11013
"2023-01-29 00:00:00",2087577,12775
"2023-01-28 00:00:00",2074802,14251
"2023-01-27 00:00:00",2060551,14359
"2023-01-26 00:00:00",2046192,14457
"2023-01-25 00:00:00",2031735,14373
"2023-01-24 00:00:00",2017362,12329
"2023-01-23 00:00:00",2005033,13716
"2023-01-22 00:00:00",1991317,14930
"2023-01-21 00:00:00",1976387,18255
"2023-01-20 00:00:00",1958132,21828
"2023-01-19 00:00:00",1936304,18371
"2023-01-18 00:00:00",1917933,16502
"2023-01-17 00:00:00",1901431,14797
"2023-01-16 00:00:00",1886634,14193
"2023-01-15 00:00:00",1872441,15808
"2023-01-14 00:00:00",1856633,15148
"2023-01-13 00:00:00",1841485,0
"2023-01-12 00:00:00",1841485,26991
"2023-01-11 00:00:00",1814494,9825
"2023-01-10 00:00:00",1804669,9627
"2023-01-09 00:00:00",1795042,10181
"2023-01-08 00:00:00",1784861,9876
"2023-01-07 00:00:00",1774985,8180
"2023-01-06 00:00:00",1766805,8331
"2023-01-05 00:00:00",1758474,0
"2023-01-04 00:00:00",1758474,15989
"2023-01-03 00:00:00",1742485,7528
"2023-01-02 00:00:00",1734957,8699
"2023-01-01 00:00:00",1726258,9118
"2022-12-31 00:00:00",1717140,9097
"2022-12-30 00:00:00",1708043,9175
"2022-12-29 00:00:00",1698868,0
"2022-12-28 00:00:00",1698868,18154
"2022-12-27 00:00:00",1680714,0
"2022-12-26 00:00:00",1680714,16454
"2022-12-25 00:00:00",1664260,10620
"2022-12-24 00:00:00",1653640,11517
"2022-12-23 00:00:00",1642123,11771
"2022-12-22 00:00:00",1630352,10615
"2022-12-21 00:00:00",1619737,9439
"2022-12-20 00:00:00",1610298,8847
"2022-12-19 00:00:00",1601451,10655
"2022-12-18 00:00:00",1590796,11658
"2022-12-17 00:00:00",1579138,12066
"2022-12-16 00:00:00",1567072,12675
"2022-12-15 00:00:00",1554397,13098
"2022-12-14 00:00:00",1541299,11249
"2022-12-13 00:00:00",1530050,10847
"2022-12-12 00:00:00",1519203,11478
"2022-12-11 00:00:00",1507725,13093
"2022-12-10 00:00:00",1494632,15354
"2022-12-09 00:00:00",1479278,14861
"2022-12-08 00:00:00",1464417,14400
"2022-12-07 00:00:00",1450017,12897
"2022-12-06 00:00:00",1437120,13862
"2022-12-05 00:00:00",1423258,13862
"2022-12-04 00:00:00",1409397,13862
"2022-12-03 00:00:00",1395535,13862
"2022-12-02 00:00:00",1381674,13862
"2022-12-01 00:00:00",1367812,15692
"2022-11-30 00:00:00",1352120,15479
"2022-11-29 00:00:00",1336641,14137
"2022-11-28 00:00:00",1322504,14781
"2022-11-27 00:00:00",1307723,14820
"2022-11-26 00:00:00",1292903,18747
"2022-11-25 00:00:00",1274156,20630
"2022-11-24 00:00:00",1253526,20539
"2022-11-23 00:00:00",1232987,20476
"2022-11-22 00:00:00",1212511,20091
