Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022",2,"2,992",,
"Oct 29, 2022",356,"32,872",,
"Oct 30, 2022",411,"50,580",,
"Oct 31, 2022",466,"51,443",,
"Nov 01, 2022",494,"52,727",,
"Nov 02, 2022",519,"53,098",,
"Nov 03, 2022",551,"56,082",,
"Nov 04, 2022",590,"56,848",,
"Nov 05, 2022",600,"55,710",,
"Nov 06, 2022",610,"62,396",,
"Nov 07, 2022",626,"62,717",,
"Nov 08, 2022",640,"62,900",,
"Nov 09, 2022",648,"62,981",,
"Nov 10, 2022",660,"63,779",,
"Nov 11, 2022",673,"63,916",,
"Nov 12, 2022",675,"63,959",,
"Nov 13, 2022",683,"64,041",,
"Nov 14, 2022",686,"64,601",,
"Nov 15, 2022",688,"64,692",,
"Nov 16, 2022",689,"64,785",,
"Nov 17, 2022",688,"64,813",,
"Nov 18, 2022",652,"64,401",,
"Nov 19, 2022",655,"64,435",,
"Nov 20, 2022",663,"57,883",,
"Nov 21, 2022",684,"64,921",,
"Nov 22, 2022",690,"64,936",,
"Nov 23, 2022",693,"64,789",,
"Nov 24, 2022",698,"62,090",,
"Nov 25, 2022",705,"65,926",,
"Nov 26, 2022",708,"65,995",,
"Nov 27, 2022",707,"58,911",,
"Nov 28, 2022",721,"65,866",,
"Nov 29, 2022",728,"66,377",,
"Nov 30, 2022",731,"66,455",,
"Dec 01, 2022",731,"66,168",,
"Dec 02, 2022",737,"66,224",,
"Dec 03, 2022",722,"65,683",,
"Dec 04, 2022",721,"60,514",,
"Dec 05, 2022",702,"65,642",,
"Dec 06, 2022",701,"65,636",,
"Dec 07, 2022",693,"65,607",,
"Dec 08, 2022",693,"66,056",,
"Dec 09, 2022",691,"59,297",,
"Dec 10, 2022",697,"59,708",,
"Dec 11, 2022",702,"56,452",,
"Dec 12, 2022",714,"63,328",,
"Dec 13, 2022",726,"48,593",,
"Dec 14, 2022",734,"59,174",,
"Dec 15, 2022",730,"52,591",,
"Dec 16, 2022",736,"43,757",,
"Dec 17, 2022",733,"55,494",,
"Dec 18, 2022",742,"61,193",,
"Dec 19, 2022",746,"59,756",,
"Dec 20, 2022",746,"37,191",,
"Dec 21, 2022",751,"52,896",,
"Dec 22, 2022",752,"59,795",,
"Dec 23, 2022",751,"51,184",,
