"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",1342668,0
"2023-05-14 00:00:00",1342668,4513
"2023-05-13 00:00:00",1338155,2360
"2023-05-12 00:00:00",1335795,2519
"2023-05-11 00:00:00",1333276,0
"2023-05-10 00:00:00",1333276,2395
"2023-05-09 00:00:00",1330881,3583
"2023-05-08 00:00:00",1327299,3583
"2023-05-07 00:00:00",1323716,2522
"2023-05-06 00:00:00",1321194,2519
"2023-05-05 00:00:00",1318675,0
"2023-05-04 00:00:00",1318675,4849
"2023-05-03 00:00:00",1313826,0
"2023-05-02 00:00:00",1313826,4527
"2023-05-01 00:00:00",1309299,2471
"2023-04-30 00:00:00",1306828,2471
"2023-04-29 00:00:00",1304357,2501
"2023-04-28 00:00:00",1301856,2520
"2023-04-27 00:00:00",1299336,2425
"2023-04-26 00:00:00",1296911,2462
"2023-04-25 00:00:00",1294449,2321
"2023-04-24 00:00:00",1292128,2575
"2023-04-23 00:00:00",1289553,2672
"2023-04-22 00:00:00",1286881,2608
"2023-04-21 00:00:00",1284273,2646
"2023-04-20 00:00:00",1281627,2655
"2023-04-19 00:00:00",1278972,2609
"2023-04-18 00:00:00",1276364,2609
"2023-04-17 00:00:00",1273755,2720
"2023-04-16 00:00:00",1271035,0
"2023-04-15 00:00:00",1271035,5575
"2023-04-14 00:00:00",1265460,2712
"2023-04-13 00:00:00",1262748,2387
"2023-04-12 00:00:00",1260361,2471
"2023-04-11 00:00:00",1257890,2282
"2023-04-10 00:00:00",1255608,2336
"2023-04-09 00:00:00",1253272,0
"2023-04-08 00:00:00",1253272,5244
"2023-04-07 00:00:00",1248028,2569
"2023-04-06 00:00:00",1245459,2628
"2023-04-05 00:00:00",1242831,0
"2023-04-04 00:00:00",1242831,4956
"2023-04-03 00:00:00",1237875,2351
"2023-04-02 00:00:00",1235524,2717
"2023-04-01 00:00:00",1232807,2900
"2023-03-31 00:00:00",1229907,0
"2023-03-30 00:00:00",1229907,5515
"2023-03-29 00:00:00",1224392,2678
"2023-03-28 00:00:00",1221714,2522
"2023-03-27 00:00:00",1219192,0
"2023-03-26 00:00:00",1219192,5479
"2023-03-25 00:00:00",1213713,2869
"2023-03-24 00:00:00",1210844,2697
"2023-03-23 00:00:00",1208147,2876
"2023-03-22 00:00:00",1205271,2824
"2023-03-21 00:00:00",1202447,2393
"2023-03-20 00:00:00",1200054,2731
"2023-03-19 00:00:00",1197323,0
"2023-03-18 00:00:00",1197323,5765
"2023-03-17 00:00:00",1191558,2872
"2023-03-16 00:00:00",1188686,2730
"2023-03-15 00:00:00",1185956,2667
"2023-03-14 00:00:00",1183289,2677
"2023-03-13 00:00:00",1180612,0
"2023-03-12 00:00:00",1180612,6114
"2023-03-11 00:00:00",1174498,0
"2023-03-10 00:00:00",1174498,6141
"2023-03-09 00:00:00",1168357,2886
"2023-03-08 00:00:00",1165471,2849
"2023-03-07 00:00:00",1162622,2649
"2023-03-06 00:00:00",1159973,2953
"2023-03-05 00:00:00",1157020,3088
"2023-03-04 00:00:00",1153932,3088
"2023-03-03 00:00:00",1150844,3084
"2023-03-02 00:00:00",1147760,3110
"2023-03-01 00:00:00",1144650,2990
"2023-02-28 00:00:00",1141660,2788
"2023-02-27 00:00:00",1138872,2966
"2023-02-26 00:00:00",1135906,3136
"2023-02-25 00:00:00",1132770,3480
"2023-02-24 00:00:00",1129290,3398
"2023-02-23 00:00:00",1125892,3208
"2023-02-22 00:00:00",1122684,0
"2023-02-21 00:00:00",1122684,6536
"2023-02-20 00:00:00",1116148,3353
"2023-02-19 00:00:00",1112795,3391
"2023-02-18 00:00:00",1109404,3498
"2023-02-17 00:00:00",1105906,3406
"2023-02-16 00:00:00",1102500,0
"2023-02-15 00:00:00",1102500,6862
"2023-02-14 00:00:00",1095638,3147
"2023-02-13 00:00:00",1092491,3542
"2023-02-12 00:00:00",1088949,3687
"2023-02-11 00:00:00",1085262,3853
"2023-02-10 00:00:00",1081409,3626
"2023-02-09 00:00:00",1077783,3697
"2023-02-08 00:00:00",1074086,3656
"2023-02-07 00:00:00",1070430,0
"2023-02-06 00:00:00",1070430,3411
"2023-02-05 00:00:00",1067019,3862
"2023-02-04 00:00:00",1063157,8135
"2023-02-03 00:00:00",1055022,3874
"2023-02-02 00:00:00",1051148,4020
"2023-02-01 00:00:00",1047128,4266
"2023-01-31 00:00:00",1042862,3579
"2023-01-30 00:00:00",1039283,4147
"2023-01-29 00:00:00",1035136,4338
"2023-01-28 00:00:00",1030798,4431
"2023-01-27 00:00:00",1026367,4593
"2023-01-26 00:00:00",1021774,4553
"2023-01-25 00:00:00",1017221,4507
"2023-01-24 00:00:00",1012714,3970
"2023-01-23 00:00:00",1008744,4190
"2023-01-22 00:00:00",1004554,4698
"2023-01-21 00:00:00",999856,4593
"2023-01-20 00:00:00",995263,4800
"2023-01-19 00:00:00",990463,4541
"2023-01-18 00:00:00",985922,4352
"2023-01-17 00:00:00",981570,4234
"2023-01-16 00:00:00",977336,4258
"2023-01-15 00:00:00",973078,4592
"2023-01-14 00:00:00",968486,4680
"2023-01-13 00:00:00",963806,0
"2023-01-12 00:00:00",963806,9452
"2023-01-11 00:00:00",954354,4811
"2023-01-10 00:00:00",949543,4191
"2023-01-09 00:00:00",945352,4697
"2023-01-08 00:00:00",940655,4987
"2023-01-07 00:00:00",935668,4854
"2023-01-06 00:00:00",930814,4813
"2023-01-05 00:00:00",926001,0
"2023-01-04 00:00:00",926001,9059
"2023-01-03 00:00:00",916942,4361
"2023-01-02 00:00:00",912581,5031
"2023-01-01 00:00:00",907550,5366
"2022-12-31 00:00:00",902184,5579
"2022-12-30 00:00:00",896605,5424
"2022-12-29 00:00:00",891181,0
"2022-12-28 00:00:00",891181,9573
"2022-12-27 00:00:00",881608,0
"2022-12-26 00:00:00",881608,9078
"2022-12-25 00:00:00",872530,5521
"2022-12-24 00:00:00",867009,5611
"2022-12-23 00:00:00",861398,5734
"2022-12-22 00:00:00",855664,5631
"2022-12-21 00:00:00",850033,5505
"2022-12-20 00:00:00",844528,4993
"2022-12-19 00:00:00",839535,5528
"2022-12-18 00:00:00",834007,6119
"2022-12-17 00:00:00",827888,6239
"2022-12-16 00:00:00",821649,6484
"2022-12-15 00:00:00",815165,6712
"2022-12-14 00:00:00",808453,6358
"2022-12-13 00:00:00",802095,5611
"2022-12-12 00:00:00",796484,6550
"2022-12-11 00:00:00",789934,6633
"2022-12-10 00:00:00",783301,7527
"2022-12-09 00:00:00",775774,7464
"2022-12-08 00:00:00",768310,7426
"2022-12-07 00:00:00",760884,6886
"2022-12-06 00:00:00",753998,7360
"2022-12-05 00:00:00",746638,7360
"2022-12-04 00:00:00",739278,7360
"2022-12-03 00:00:00",731919,7360
"2022-12-02 00:00:00",724559,7360
"2022-12-01 00:00:00",717199,8566
"2022-11-30 00:00:00",708633,8163
"2022-11-29 00:00:00",700470,7275
"2022-11-28 00:00:00",693195,7944
"2022-11-27 00:00:00",685251,8475
"2022-11-26 00:00:00",676776,8768
"2022-11-25 00:00:00",668008,10220
"2022-11-24 00:00:00",657788,10137
"2022-11-23 00:00:00",647651,9774
"2022-11-22 00:00:00",637877,9055
"2022-11-21 00:00:00",628822,10718
"2022-11-20 00:00:00",618104,11898
"2022-11-19 00:00:00",606206,12666
"2022-11-18 00:00:00",593540,12830
"2022-11-17 00:00:00",580710,13696
"2022-11-16 00:00:00",567014,13469
"2022-11-15 00:00:00",553545,12568
"2022-11-14 00:00:00",540977,14700
"2022-11-13 00:00:00",526277,16923
"2022-11-12 00:00:00",509354,17532
"2022-11-11 00:00:00",491822,17241
"2022-11-10 00:00:00",474581,18568
"2022-11-09 00:00:00",456013,18173
"2022-11-08 00:00:00",437840,16968
"2022-11-07 00:00:00",420872,18824
"2022-11-06 00:00:00",402048,30090
"2022-11-05 00:00:00",371958,32816
"2022-11-04 00:00:00",339142,45239
"2022-11-03 00:00:00",293903,49150
"2022-11-02 00:00:00",244753,56367
"2022-11-01 00:00:00",188386,51536
"2022-10-31 00:00:00",136850,69814
"2022-10-30 00:00:00",67036,0
