Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022",401,"28,399",,
"Oct 29, 2022",530,"37,015",,
"Oct 30, 2022",585,"39,247",,
"Oct 31, 2022",661,"77,505",,
"Nov 01, 2022",698,"77,915",,
"Nov 02, 2022",730,"42,899",,
"Nov 03, 2022",774,"48,755",,
"Nov 04, 2022",811,"54,954",,
"Nov 05, 2022",837,"53,896",,
"Nov 06, 2022",856,"55,239",,
"Nov 07, 2022",876,"55,672",,
"Nov 08, 2022",894,"57,197",,
"Nov 09, 2022",911,"57,398",,
"Nov 10, 2022",925,"57,960",,
"Nov 11, 2022",936,"58,131",,
"Nov 12, 2022",944,"60,237",,
"Nov 13, 2022",944,"60,215",,
"Nov 14, 2022",950,"60,383",,
"Nov 15, 2022",950,"60,523",,
"Nov 16, 2022",952,"60,651",,
"Nov 17, 2022",949,"60,714",,
"Nov 18, 2022",902,"60,268",,
"Nov 19, 2022",905,"60,249",,
"Nov 20, 2022",914,"53,499",,
"Nov 21, 2022",936,"59,277",,
"Nov 22, 2022",950,"60,777",,
"Nov 23, 2022",949,"60,741",,
"Nov 24, 2022",953,"59,079",,
"Nov 25, 2022",964,"63,031",,
"Nov 26, 2022",962,"63,051",,
"Nov 27, 2022",964,"54,025",,
"Nov 28, 2022",981,"61,005",,
"Nov 29, 2022",991,"61,556",,
"Nov 30, 2022",997,"61,912",,
"Dec 01, 2022",994,"60,207",,
"Dec 02, 2022","1,004","60,462",,
"Dec 03, 2022",987,"59,866",,
"Dec 04, 2022",989,"54,793",,
"Dec 05, 2022",971,"56,779",,
"Dec 06, 2022",968,"58,693",,
"Dec 07, 2022",957,"59,063",,
"Dec 08, 2022",952,"59,659",,
"Dec 09, 2022",949,"52,898",,
"Dec 10, 2022",955,"54,295",,
"Dec 11, 2022",965,"52,290",,
"Dec 12, 2022",981,"67,169",,
"Dec 13, 2022",981,"63,844",,
"Dec 14, 2022",983,"53,789",,
"Dec 15, 2022",985,"49,554",,
"Dec 16, 2022",995,"55,839",,
"Dec 17, 2022",991,"47,067",,
"Dec 18, 2022",997,"55,019",,
"Dec 19, 2022","1,000","50,820",,
"Dec 20, 2022","1,000","43,862",,
