"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",1478929,0
"2023-05-14 00:00:00",1478929,4967
"2023-05-13 00:00:00",1473962,2604
"2023-05-12 00:00:00",1471358,2569
"2023-05-11 00:00:00",1468789,0
"2023-05-10 00:00:00",1468789,2497
"2023-05-09 00:00:00",1466292,3784
"2023-05-08 00:00:00",1462508,3784
"2023-05-07 00:00:00",1458724,2789
"2023-05-06 00:00:00",1455935,2708
"2023-05-05 00:00:00",1453227,0
"2023-05-04 00:00:00",1453227,5223
"2023-05-03 00:00:00",1448004,2597
"2023-05-02 00:00:00",1445407,2247
"2023-05-01 00:00:00",1443160,2674
"2023-04-30 00:00:00",1440486,2674
"2023-04-29 00:00:00",1437812,2646
"2023-04-28 00:00:00",1435166,2874
"2023-04-27 00:00:00",1432292,2669
"2023-04-26 00:00:00",1429623,2771
"2023-04-25 00:00:00",1426852,2443
"2023-04-24 00:00:00",1424409,2771
"2023-04-23 00:00:00",1421638,2973
"2023-04-22 00:00:00",1418665,2863
"2023-04-21 00:00:00",1415802,2889
"2023-04-20 00:00:00",1412913,2956
"2023-04-19 00:00:00",1409957,2711
"2023-04-18 00:00:00",1407247,2711
"2023-04-17 00:00:00",1404536,2896
"2023-04-16 00:00:00",1401640,0
"2023-04-15 00:00:00",1401640,6220
"2023-04-14 00:00:00",1395420,2914
"2023-04-13 00:00:00",1392506,2780
"2023-04-12 00:00:00",1389726,2674
"2023-04-11 00:00:00",1387052,2368
"2023-04-10 00:00:00",1384684,2680
"2023-04-09 00:00:00",1382004,0
"2023-04-08 00:00:00",1382004,5633
"2023-04-07 00:00:00",1376371,2998
"2023-04-06 00:00:00",1373373,3003
"2023-04-05 00:00:00",1370370,0
"2023-04-04 00:00:00",1370370,5738
"2023-04-03 00:00:00",1364632,2980
"2023-04-02 00:00:00",1361652,3185
"2023-04-01 00:00:00",1358467,3279
"2023-03-31 00:00:00",1355188,0
"2023-03-30 00:00:00",1355188,6328
"2023-03-29 00:00:00",1348860,2969
"2023-03-28 00:00:00",1345891,2867
"2023-03-27 00:00:00",1343024,0
"2023-03-26 00:00:00",1343024,6436
"2023-03-25 00:00:00",1336588,3333
"2023-03-24 00:00:00",1333255,3157
"2023-03-23 00:00:00",1330098,3299
"2023-03-22 00:00:00",1326799,3203
"2023-03-21 00:00:00",1323596,2958
"2023-03-20 00:00:00",1320638,3292
"2023-03-19 00:00:00",1317346,0
"2023-03-18 00:00:00",1317346,6810
"2023-03-17 00:00:00",1310536,3298
"2023-03-16 00:00:00",1307238,3373
"2023-03-15 00:00:00",1303865,3147
"2023-03-14 00:00:00",1300718,3113
"2023-03-13 00:00:00",1297605,0
"2023-03-12 00:00:00",1297605,6797
